ENSG00000163359,ENSG00000152661,ENSG00000129038,ENSG00000196611,ENSG00000113269,ENSG00000080823,ENSG00000127074,ENSG00000166510,ENSG00000142765,label
3.19,3.50,3.63,2.81,3.27,3.70,9.37,2.95,4.56,1.00
3.41,4.51,6.50,3.36,8.64,5.60,2.71,2.90,3.65,1.00
3.24,3.98,4.08,3.02,8.32,4.34,2.78,2.93,4.24,1.00
3.94,4.28,9.96,6.47,8.23,4.88,2.72,2.74,3.94,1.00
3.05,4.88,5.29,2.97,9.44,5.11,2.77,2.93,3.29,1.00
3.20,4.90,6.14,3.04,9.05,4.53,2.63,2.84,3.39,1.00
10.63,4.79,8.38,3.15,7.88,6.19,2.67,3.11,3.37,1.00
3.19,3.47,4.32,3.94,8.55,9.08,2.75,2.94,3.24,1.00
10.34,4.78,10.69,2.71,7.26,7.52,2.82,2.99,5.30,1.00
10.59,5.10,6.90,2.99,7.98,5.63,2.65,2.80,2.95,1.00
11.11,7.71,9.22,5.52,5.69,9.40,2.82,2.83,3.53,1.00
2.94,4.02,8.18,3.16,8.21,4.98,2.61,2.89,3.78,1.00
3.00,3.79,4.79,10.16,8.50,4.83,2.73,3.03,5.58,0.00
3.00,3.49,9.14,2.88,8.22,4.17,2.46,2.68,6.30,1.00
3.13,3.65,6.86,4.60,8.91,4.91,2.74,4.41,3.71,1.00
3.24,3.59,3.44,3.25,3.25,3.62,4.29,2.93,3.51,1.00
3.02,10.01,5.99,4.78,9.45,5.26,2.70,2.79,3.31,1.00
3.13,3.13,6.20,2.89,7.61,4.68,2.65,2.83,3.16,1.00
3.09,3.66,7.93,3.17,6.88,4.90,2.70,2.68,5.15,1.00
3.00,3.58,7.58,2.93,8.89,8.11,2.45,2.85,3.53,1.00
3.09,3.34,5.14,3.01,8.80,5.71,2.58,2.96,6.27,1.00
3.10,3.42,5.58,2.89,7.53,5.19,2.62,2.91,3.78,1.00
3.63,3.24,4.51,2.95,6.74,4.59,2.65,3.02,6.12,1.00
3.18,4.95,6.75,2.94,7.14,5.28,2.66,3.19,5.82,1.00
3.14,3.37,6.47,3.07,7.72,7.07,2.57,2.84,5.00,1.00
3.56,3.54,5.35,3.77,6.19,3.65,2.67,2.90,3.34,1.00
3.57,3.35,5.11,3.19,6.74,6.54,11.02,2.99,5.23,1.00
3.30,4.19,5.59,3.28,7.40,5.20,2.82,3.19,3.68,1.00
3.27,5.84,4.04,3.14,8.42,4.11,2.72,2.80,3.91,1.00
3.68,3.58,6.73,3.07,8.74,3.69,2.66,3.06,4.69,1.00
10.79,7.16,7.50,3.48,9.08,8.58,4.01,3.51,3.47,1.00
3.10,4.08,6.11,3.08,8.73,4.47,2.50,2.98,4.57,1.00
7.45,4.67,7.84,9.22,8.10,4.71,2.85,4.16,3.15,1.00
3.04,3.34,6.23,3.60,8.32,4.76,2.74,2.94,4.57,1.00
8.43,3.54,9.82,2.92,9.21,4.44,2.74,3.01,4.20,1.00
3.11,3.57,4.95,3.13,9.73,3.96,2.71,2.99,4.12,1.00
3.52,3.85,4.75,3.10,8.61,5.36,2.75,3.16,5.71,1.00
3.16,4.34,5.05,3.87,6.75,7.32,2.65,3.55,6.29,0.00
4.55,5.30,7.23,6.19,8.46,5.69,2.84,2.94,4.44,1.00
2.87,3.54,3.60,3.18,9.63,4.10,2.89,2.82,6.90,1.00
3.42,3.25,5.90,3.28,6.11,4.54,2.78,2.94,7.32,1.00
3.15,4.03,9.51,3.06,4.36,5.21,2.62,3.07,7.63,1.00
3.15,4.75,3.42,3.86,7.33,4.73,2.69,3.15,4.65,1.00
3.26,4.39,6.16,3.15,8.51,6.45,2.85,2.78,3.62,1.00
2.98,4.43,3.46,3.18,3.88,4.17,2.92,2.84,3.25,1.00
3.28,3.93,5.87,3.06,7.07,4.90,2.69,3.05,4.56,1.00
3.09,3.56,5.13,3.00,9.10,4.22,2.73,2.85,4.07,1.00
3.18,3.26,3.95,3.45,9.16,8.73,2.83,3.07,3.31,1.00
3.04,3.53,6.89,3.22,6.99,3.99,2.60,2.97,4.25,1.00
4.48,4.39,7.16,3.37,7.71,5.06,2.58,2.92,3.32,1.00
3.10,4.06,9.23,2.95,8.03,7.72,2.55,3.47,3.51,0.00
2.95,3.37,5.61,4.10,8.20,5.46,2.62,2.74,6.32,1.00
3.17,3.21,6.98,3.23,8.36,5.60,2.70,2.88,6.98,1.00
