ENSG00000154639,ENSG00000151012,ENSG00000175591,ENSG00000102595,ENSG00000142765,ENSG00000171004,ENSG00000128512,label
3.04,4.50,3.07,3.84,4.56,3.08,3.68,0.00
4.16,7.05,3.11,3.63,3.65,4.72,3.62,0.00
5.38,5.11,2.91,3.73,4.24,4.16,3.72,0.00
6.40,6.03,2.71,3.78,3.29,4.94,3.79,0.00
4.91,6.51,3.08,3.46,3.39,3.04,4.01,0.00
3.71,8.52,3.49,5.07,3.37,4.53,4.44,0.00
4.66,6.13,2.87,4.03,3.24,4.99,3.84,0.00
6.00,6.76,2.91,4.14,5.30,4.98,3.29,0.00
4.49,6.04,4.29,4.29,2.95,4.34,3.98,0.00
3.14,5.96,3.05,5.35,3.53,3.25,3.43,0.00
6.52,6.25,3.02,4.38,3.78,3.05,5.40,0.00
5.69,8.59,6.36,4.03,5.58,5.86,3.79,1.00
6.14,4.15,3.47,3.82,6.30,4.67,4.14,0.00
6.69,7.54,6.03,3.87,3.71,6.56,3.91,0.00
2.88,6.63,3.06,4.37,3.51,3.10,3.44,0.00
4.34,5.86,2.95,4.04,3.31,3.66,3.88,0.00
6.53,5.40,2.87,4.18,3.16,3.13,4.73,0.00
6.10,7.46,3.09,4.36,5.15,3.06,4.07,0.00
5.27,4.48,2.89,3.40,3.53,4.43,4.89,0.00
7.95,5.45,3.06,3.81,6.27,2.89,3.99,0.00
6.90,4.92,3.11,4.70,3.78,3.18,4.04,0.00
6.85,5.41,3.17,3.71,3.34,3.52,3.74,0.00
7.15,5.86,2.90,4.29,6.12,2.96,3.46,0.00
6.47,5.52,3.64,3.36,5.82,3.12,6.01,0.00
7.53,5.17,2.97,4.04,5.00,3.39,4.15,0.00
7.76,8.19,3.00,3.39,3.34,3.14,5.98,0.00
6.06,5.24,2.89,4.02,5.23,3.32,3.76,0.00
6.45,4.37,3.10,3.20,3.68,3.24,3.64,0.00
7.28,5.98,2.85,4.24,3.91,3.07,5.44,0.00
5.72,6.56,3.40,3.92,4.03,3.32,5.04,0.00
5.84,5.15,2.90,3.62,4.69,3.14,4.44,0.00
3.97,3.75,2.90,5.11,3.13,4.37,5.40,0.00
4.23,5.94,3.52,4.44,3.47,3.12,4.82,0.00
6.82,5.95,3.04,3.00,4.57,3.76,3.78,0.00
7.31,8.03,3.25,3.41,3.54,3.34,4.75,0.00
4.61,6.64,2.87,5.16,3.15,4.50,4.20,0.00
5.32,7.68,3.42,4.19,4.57,3.23,5.08,0.00
7.19,9.10,4.03,4.01,3.51,3.06,3.51,0.00
2.81,7.71,2.86,5.02,4.57,4.13,4.21,0.00
6.29,4.15,3.36,4.25,4.20,3.15,4.49,0.00
8.02,5.07,3.34,4.09,4.12,5.10,3.73,0.00
6.42,4.97,7.02,3.87,5.71,5.97,3.78,1.00
5.40,6.62,6.84,4.43,6.29,3.84,3.45,1.00
2.95,8.76,3.07,4.60,4.44,3.14,3.85,0.00
4.44,8.09,2.94,4.37,3.16,4.91,3.99,0.00
4.64,4.42,2.92,2.75,4.05,6.01,3.69,0.00
5.76,4.75,3.01,2.98,6.90,3.07,3.50,0.00
4.44,7.86,3.02,4.20,3.32,3.16,3.41,0.00
7.11,7.20,3.22,4.18,7.32,3.02,4.35,0.00
7.38,4.32,5.48,4.42,7.63,6.05,3.39,1.00
5.68,8.88,3.71,3.97,4.65,6.41,3.44,0.00
4.31,8.15,3.09,4.50,3.62,5.25,4.02,0.00
3.10,7.91,3.19,5.21,3.25,3.39,4.11,0.00
6.98,8.58,3.20,3.78,4.56,3.87,4.33,0.00
5.98,6.21,2.95,3.86,4.07,5.22,4.15,0.00
