ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692,label
5.01,2.78,2.95,3.58,4.62,5.97,7.33,4.45,3.67,4.48,1.00
3.44,3.11,3.25,3.66,3.88,6.00,7.59,3.53,4.50,4.73,1.00
5.72,3.43,3.16,3.96,5.05,7.33,7.99,5.53,3.08,4.30,1.00
4.88,3.09,3.22,3.43,3.91,5.89,7.65,3.51,4.35,5.11,1.00
5.14,3.17,3.29,3.66,4.40,5.22,7.70,3.88,3.88,5.13,1.00
7.82,3.20,3.22,4.86,3.04,7.61,8.93,5.26,8.20,4.63,1.00
7.17,9.99,3.18,4.42,3.07,6.40,6.41,6.10,8.49,3.51,0.00
7.94,7.41,3.27,3.95,6.70,7.62,10.34,6.08,3.51,4.34,1.00
7.80,3.89,3.06,4.40,3.08,8.28,9.82,6.24,6.48,3.64,0.00
2.93,2.93,3.28,3.45,8.05,4.72,9.38,3.42,4.86,4.65,1.00
5.02,3.07,2.96,5.11,3.78,6.58,8.98,3.56,5.77,3.88,1.00
4.39,2.93,3.03,3.75,3.16,6.37,8.75,4.39,7.35,4.23,1.00
6.98,6.81,3.16,4.44,3.17,7.25,7.98,4.91,7.58,3.33,1.00
6.20,2.96,3.84,3.84,4.41,4.74,7.40,3.72,3.98,5.14,1.00
8.27,3.10,3.30,4.10,3.27,6.34,4.47,3.20,6.75,3.91,1.00
4.18,3.14,3.25,3.81,4.43,5.96,7.87,3.89,5.80,3.64,1.00
3.34,2.94,3.56,3.55,8.59,3.35,5.50,3.13,3.72,4.00,1.00
3.22,2.93,4.05,3.32,5.31,4.70,5.02,3.37,3.42,5.48,1.00
3.25,2.98,3.35,3.45,9.33,3.48,7.28,3.00,3.68,5.37,1.00
2.90,2.94,3.99,3.54,8.21,7.20,7.23,3.15,3.58,5.81,1.00
3.12,3.05,3.27,4.01,8.78,5.77,7.06,3.26,3.43,5.54,1.00
7.39,2.80,3.47,3.62,4.29,4.65,9.26,3.28,3.31,4.49,1.00
6.34,3.23,4.04,3.63,3.27,6.94,7.21,3.03,3.69,3.79,1.00
5.11,3.03,3.17,3.60,7.99,3.77,8.42,3.18,4.00,4.35,1.00
6.30,3.31,3.44,3.75,3.43,4.85,7.45,3.68,3.71,4.44,1.00
6.80,3.15,3.14,4.57,3.81,9.88,10.60,3.60,4.76,4.76,1.00
3.70,3.19,4.31,3.51,7.42,5.54,7.43,3.22,3.68,4.19,1.00
5.57,2.83,3.75,3.59,6.37,5.64,8.30,3.99,4.31,4.54,1.00
8.22,3.44,3.23,4.30,3.20,5.87,10.19,3.68,6.66,4.49,1.00
3.36,3.11,3.22,3.88,3.28,4.23,6.79,3.74,3.77,4.20,0.00
7.54,2.87,3.11,3.66,3.91,6.25,3.47,3.28,3.66,4.67,0.00
8.32,2.85,3.18,4.01,3.07,5.25,8.50,5.07,6.56,4.12,0.00
