ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846,label
8.28,4.06,7.57,3.18,6.63,3.25,2.84,3.14,3.62,0.00
7.14,4.24,10.65,3.41,8.28,3.37,2.72,3.64,2.82,0.00
7.74,5.09,7.89,5.54,6.69,4.79,2.95,4.63,2.81,0.00
6.68,4.67,9.08,4.07,6.75,3.61,2.78,3.66,2.86,0.00
7.65,4.72,9.43,3.13,7.31,3.41,2.76,3.79,2.86,0.00
7.89,3.34,9.50,4.43,6.46,3.16,2.58,3.20,2.99,0.00
6.29,4.38,8.95,3.59,6.63,3.18,3.14,3.67,3.08,0.00
6.93,3.67,7.48,3.93,6.92,3.23,5.41,4.69,3.19,0.00
7.46,3.53,8.71,3.37,7.12,3.30,2.75,3.64,3.06,0.00
5.49,4.70,8.01,4.52,3.42,3.39,2.98,3.53,2.88,0.00
9.78,5.65,8.49,3.64,7.09,3.41,2.98,2.91,4.64,0.00
7.06,4.21,6.21,3.41,6.62,3.10,5.99,4.01,2.92,1.00
8.65,6.04,7.68,3.09,6.76,4.09,2.72,3.14,4.34,0.00
7.57,4.17,4.37,3.44,6.25,3.22,3.57,3.65,2.89,0.00
7.84,4.54,6.85,3.47,7.23,3.70,2.65,3.25,2.82,0.00
7.65,5.28,6.90,4.29,7.20,2.89,3.00,4.15,7.04,0.00
10.63,5.69,8.50,4.00,6.93,3.06,2.73,4.96,5.83,0.00
10.24,4.25,8.14,5.92,7.81,3.50,2.73,4.56,3.61,0.00
9.73,5.71,7.95,6.72,7.34,3.44,2.41,6.07,3.18,0.00
10.10,4.52,6.85,3.08,7.28,3.58,3.06,3.83,4.34,0.00
9.77,5.56,8.30,3.52,7.66,3.15,2.82,4.22,5.03,0.00
9.97,4.57,7.39,3.15,7.16,2.99,3.10,3.81,5.67,0.00
9.58,5.47,9.23,3.00,6.88,3.32,3.00,3.57,7.32,0.00
