CCLE Cell Line Name	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	LBW242	Lapatinib	Nilotinib	Nutlin-3	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	Paclitaxel	Panobinostat	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
1321N1_CENTRAL_NERVOUS_SYSTEM	-0.35	-0.53	0.85	-1.04	-0.59	-1.11	-0.35	-0.68	-0.88	-0.69	-0.68	-0.85	-0.86	-0.76	-0.82	-0.36	0.34	-0.53	-0.40	-0.56	0.04	0.85	0.85	-0.19
22RV1_PROSTATE	-0.32	1.07	-0.48	1.28	-0.59	1.41	-0.58	-0.34	-0.25	-0.52	0.59	0.66	0.15	0.20	0.77	0.75	0.40	0.84	-0.64	0.46	0.06	-0.17	0.73	-0.97
42MGBA_CENTRAL_NERVOUS_SYSTEM	1.60	0.26	1.21	-0.01	0.40	-1.11	1.38	0.95	-0.04	-0.69	0.75	-0.41	-0.86	0.37	1.08	1.67	0.57	-0.05	-1.71	1.20	0.55	1.52	1.86	2.45
5637_URINARY_TRACT	0.14	-0.06	-0.18	-0.64	2.06	0.82	-0.43	-0.64	0.62	0.00	-1.15	-0.65	-0.86	-0.92	-0.98	0.06	1.39	-0.82	0.25	0.44	-0.17	-0.44	0.45	-0.43
639V_URINARY_TRACT	0.37	0.86	0.30	-0.15	-0.52	1.52	-0.04	-1.02	-0.84	0.08	-0.66	0.23	0.35	0.39	-0.28	-0.67	0.28	-0.36	-0.22	-0.27	0.03	0.70	1.22	0.88
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.26	1.23	1.13	1.05	1.62	2.06	5.98	1.04	1.34	2.10	4.93	0.48	3.12	2.25	2.60	1.73	1.97	1.82	2.42	2.40	2.28	2.87	1.95	1.26
769P_KIDNEY	-0.42	0.68	1.55	-0.60	2.01	-0.03	-0.62	-0.12	1.34	0.31	0.41	0.04	0.65	-0.75	0.29	-0.24	-0.85	-0.92	0.87	-0.87	-0.71	-0.03	0.19	0.15
786O_KIDNEY	-0.08	-0.72	-0.74	-0.88	-0.85	0.66	-0.74	-1.04	0.54	0.02	-1.05	-0.59	-0.86	-0.31	-0.29	-0.80	-1.28	-1.38	0.10	-0.02	-0.98	-0.16	0.35	-1.64
8305C_THYROID	0.12	0.44	0.16	0.93	-0.26	0.55	0.26	0.62	-0.22	0.52	0.94	1.08	1.53	0.28	0.35	2.66	0.11	0.41	1.05	0.21	0.33	-0.12	0.91	0.46
8505C_THYROID	0.27	-1.18	-1.22	0.19	-0.86	1.08	0.01	-0.95	-0.66	0.10	-1.10	0.59	-0.72	-0.76	-0.98	-0.13	0.20	-0.07	0.60	-0.18	-0.79	-0.48	0.77	-1.35
8MGBA_CENTRAL_NERVOUS_SYSTEM	0.18	0.79	0.26	-1.04	-0.16	-1.11	-0.52	6.17	0.05	-0.69	0.70	-0.93	-0.86	-0.35	3.90	-0.42	1.33	-0.41	-1.71	-0.74	0.24	1.26	0.57	0.71
A172_CENTRAL_NERVOUS_SYSTEM	-0.89	-1.11	-0.96	-0.94	-0.85	0.33	-0.68	-0.91	-1.05	-0.69	-0.68	-0.92	-0.86	-0.41	-0.82	-0.77	-0.45	-0.38	-0.05	-0.53	0.10	0.37	-0.23	-0.21
