129790_at,1728_at,22881_at,341_at,4935_at,5243_at,5253_at,5580_at,63898_at,79668_at,label
5.42,12.14,4.27,5.43,4.05,3.67,7.76,4.87,7.92,4.56,1.00
5.05,10.91,6.41,5.22,5.34,3.92,8.04,6.95,7.08,4.56,0.00
5.99,13.42,5.38,8.61,3.68,3.72,8.43,8.03,4.45,5.89,1.00
5.71,10.39,4.62,11.32,3.82,3.93,8.13,6.23,7.83,7.49,1.00
6.59,12.15,5.21,7.33,4.21,7.42,7.36,6.23,7.38,6.63,0.00
6.05,9.81,4.49,7.17,4.04,5.60,8.23,7.91,4.96,5.84,1.00
5.71,12.27,6.51,6.00,3.90,3.83,8.10,10.09,7.53,7.83,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6.84,13.77,6.19,5.76,3.93,4.11,8.68,9.75,7.45,4.32,0.00
7.66,12.83,4.26,6.35,4.16,3.86,8.23,5.64,5.86,5.06,1.00
8.94,10.84,5.26,11.63,5.49,8.04,7.01,7.84,7.46,4.59,0.00
6.29,13.25,6.94,6.15,3.92,3.96,8.21,8.52,4.84,7.04,1.00
5.76,12.65,4.21,13.54,5.34,10.24,7.11,7.16,5.63,4.18,1.00
7.41,13.54,5.83,9.53,4.24,6.50,7.35,6.04,7.73,5.99,0.00
5.61,10.72,4.36,6.01,3.75,3.74,8.65,5.44,7.17,6.76,1.00
6.58,11.82,6.35,8.37,5.76,4.88,7.79,6.72,7.53,6.90,0.00
6.20,10.44,6.27,5.97,4.27,3.78,7.95,5.59,5.47,6.35,0.00
6.12,12.83,4.43,5.07,3.93,6.61,8.68,7.27,4.90,6.82,1.00
6.63,12.51,4.52,6.69,3.84,4.08,8.49,8.04,6.31,6.09,1.00
6.63,12.70,4.16,6.93,4.15,3.98,8.05,6.70,6.63,7.50,1.00
5.88,11.12,4.35,5.10,6.92,4.90,9.59,9.45,7.52,7.69,1.00
7.48,10.58,6.59,6.93,4.07,8.49,8.73,6.27,7.40,5.75,0.00
8.20,8.81,4.27,10.22,4.03,3.77,7.52,7.92,7.62,5.75,0.00
7.89,9.57,6.30,8.28,7.11,6.75,6.84,5.69,5.94,6.12,0.00
5.67,11.06,6.90,5.98,4.20,3.60,8.07,5.24,6.31,7.42,0.00
9.35,9.41,4.38,6.71,3.99,3.91,8.74,7.67,5.24,7.54,1.00
8.82,9.68,6.02,5.78,4.66,3.99,7.70,5.25,5.40,5.15,0.00
7.15,5.82,4.67,6.08,4.37,3.95,9.43,9.70,5.10,8.23,1.00
6.45,12.92,6.04,9.67,4.05,3.57,7.98,7.28,7.37,6.66,1.00
6.67,11.92,3.94,8.36,3.83,3.91,7.95,7.21,7.29,6.26,1.00
6.34,6.13,5.47,5.84,4.23,4.33,7.97,8.63,4.78,8.88,0.00
7.62,6.04,4.34,4.90,3.70,4.22,8.01,8.26,5.23,8.89,0.00
6.48,10.15,5.28,10.48,10.19,7.84,5.84,6.95,7.36,7.07,0.00
8.82,10.88,5.05,7.31,3.82,3.62,7.99,5.42,6.51,8.13,0.00
6.30,7.02,6.91,7.06,4.04,4.00,7.97,9.29,5.17,8.82,1.00
6.86,12.72,5.45,6.77,3.91,5.07,8.48,7.69,6.58,6.73,1.00
7.90,13.05,5.58,14.15,8.17,3.83,6.61,7.89,4.14,4.59,1.00
6.42,10.08,7.10,9.06,9.32,4.48,7.22,8.72,4.45,6.55,0.00
6.05,11.07,7.59,13.02,3.85,3.81,7.51,6.69,4.63,3.96,1.00
6.85,11.92,6.81,9.36,4.12,3.75,8.32,6.53,5.15,5.78,1.00
4.63,8.54,4.08,4.76,3.80,8.89,9.49,6.72,6.45,4.35,0.00
5.72,8.73,6.18,10.73,3.85,9.55,5.88,5.45,6.71,7.12,0.00
6.90,11.60,7.04,6.16,4.21,4.17,9.01,8.27,4.94,6.19,0.00
