1004_at,1026_at,10417_at,10439_at,10788_at,10855_at,11098_at,11167_at,114907_at,1284_at,129790_at,1365_at,13_at,147381_at,1475_at,1490_at,1545_at,1728_at,1780_at,1832_at,201651_at,202374_at,220134_at,2202_at,22835_at,22881_at,22943_at,2353_at,2564_at,26040_at,2620_at,2669_at,27018_at,27063_at,283537_at,290_at,2919_at,3037_at,3214_at,3397_at,341_at,3485_at,3490_at,3676_at,389421_at,4050_at,4240_at,4255_at,440498_at,4734_at,4753_at,4879_at,4935_at,51186_at,5142_at,51599_at,51700_at,5176_at,5243_at,5253_at,5270_at,5321_at,54478_at,55228_at,55510_at,55531_at,5580_at,57194_at,57464_at,5746_at,57823_at,6275_at,6372_at,63898_at,646962_at,6482_at,6775_at,684_at,6876_at,730102_at,7424_at,760_at,7852_at,79668_at,79805_at,83641_at,83871_at,83988_at,84141_at,84617_at,8739_at,8910_at,9071_at,91614_at,928_at,9415_at,9447_at,9536_at,9843_at,9870_at,label
3.89,7.04,7.13,6.82,4.69,6.85,13.09,12.44,6.16,8.66,5.42,3.93,3.68,3.97,6.75,10.78,8.53,12.14,4.74,4.42,4.23,3.37,7.50,5.12,7.67,4.27,4.86,11.03,6.49,8.14,3.74,9.83,7.05,3.69,4.84,10.46,3.91,8.35,7.13,12.34,5.43,5.25,10.56,6.54,4.69,4.49,7.18,3.76,3.64,7.95,4.47,4.16,4.05,12.27,10.07,7.58,3.96,4.97,3.67,7.76,11.77,7.21,10.30,3.76,3.70,4.80,4.87,5.83,6.38,4.27,3.62,10.15,3.96,7.92,5.65,7.51,6.54,9.55,11.33,4.14,10.19,3.15,4.26,4.56,5.23,8.37,10.27,3.86,7.86,13.02,4.10,9.85,4.20,9.05,4.47,6.63,9.01,5.96,4.23,8.48,1.00
3.73,9.52,6.36,9.89,4.59,4.23,11.46,12.91,4.69,11.37,5.05,3.94,4.99,4.28,3.59,13.47,4.47,10.91,5.42,10.24,4.11,3.46,6.55,4.68,7.31,6.41,14.05,4.40,3.96,4.16,3.74,8.31,12.79,7.72,9.55,5.28,4.30,3.82,6.65,13.45,5.22,8.70,12.84,6.75,3.83,4.34,8.89,5.20,6.70,8.82,4.67,6.34,5.34,11.71,4.76,5.84,4.32,6.22,3.92,8.04,13.27,3.59,10.82,4.00,3.61,3.91,6.95,4.67,5.16,3.94,3.88,14.32,3.61,7.08,5.62,5.16,5.58,5.76,10.72,5.69,10.65,3.47,5.43,4.56,5.73,8.27,10.95,4.07,8.37,13.29,4.51,9.48,4.35,8.72,10.73,8.90,4.56,5.46,3.69,7.90,0.00
3.89,6.78,4.73,3.81,4.75,6.80,10.08,8.46,6.53,11.60,5.99,3.81,3.64,4.18,3.94,10.50,4.30,13.42,7.20,9.75,4.14,3.38,7.31,9.46,5.81,5.38,11.39,5.74,3.85,6.14,7.86,6.40,13.23,4.23,5.65,9.92,11.28,3.96,7.94,10.78,8.61,8.99,12.23,7.51,7.99,4.49,7.00,4.16,8.62,8.92,4.06,3.61,3.68,11.73,10.26,6.47,8.26,5.97,3.72,8.43,13.40,9.53,9.67,5.62,3.64,3.80,8.03,4.51,6.43,4.08,3.86,9.29,3.83,4.45,5.71,6.33,4.89,4.08,7.56,7.46,7.84,3.26,4.00,5.89,3.74,9.50,11.81,7.05,5.77,11.53,4.60,11.25,4.13,8.76,8.18,6.71,4.30,7.15,3.69,9.25,1.00
4.11,7.57,4.84,3.92,5.15,4.80,5.01,10.04,4.43,4.37,5.71,3.97,4.15,11.39,4.92,7.14,11.79,10.39,5.59,4.36,3.92,3.60,7.42,4.26,9.45,4.62,12.47,6.04,3.84,4.22,4.87,4.40,13.27,3.92,3.58,3.81,4.43,5.53,7.89,11.14,11.32,11.19,4.35,3.73,11.82,4.60,6.40,8.16,7.96,7.76,7.17,4.05,3.82,11.14,4.19,8.25,8.03,11.22,3.93,8.13,6.22,4.28,9.68,9.88,3.84,3.75,6.23,4.95,6.08,4.49,3.85,9.13,4.11,7.83,5.14,4.54,5.15,10.39,10.27,5.70,6.14,8.62,5.83,7.49,7.75,6.97,11.80,3.51,4.07,11.92,4.38,4.54,4.07,6.06,6.12,8.59,4.56,5.79,4.02,7.96,1.00
3.90,9.67,4.86,4.04,4.48,6.33,11.12,9.84,4.27,11.11,6.59,6.20,3.85,6.68,3.82,11.28,8.78,12.15,4.60,9.56,3.73,3.28,6.59,4.49,7.36,5.21,5.19,6.94,3.78,4.14,3.99,9.25,12.62,4.27,3.39,3.60,9.80,3.91,8.17,9.54,7.33,4.94,12.78,7.21,3.75,4.72,6.03,9.37,8.82,8.20,4.28,4.07,4.21,12.06,4.52,7.06,5.63,4.53,7.42,7.36,9.81,3.40,9.36,6.35,3.71,3.91,6.23,8.44,8.28,4.05,4.08,7.38,3.70,7.38,5.24,4.56,10.68,3.99,7.32,9.52,7.87,7.41,4.12,6.63,3.93,10.57,11.39,4.54,9.53,12.10,4.43,12.33,4.29,7.80,10.52,6.02,4.38,5.20,3.79,8.66,0.00
4.04,9.87,5.94,4.14,10.94,5.44,4.40,3.89,7.06,4.48,6.05,4.32,3.90,4.41,4.13,3.48,4.04,9.81,4.08,4.60,4.02,3.55,9.49,4.16,5.44,4.49,4.11,6.25,4.10,7.24,4.72,8.63,5.75,4.03,3.78,3.67,4.27,3.93,7.35,6.67,7.17,4.77,3.99,11.05,7.87,5.48,7.17,4.10,9.68,7.32,5.01,4.20,4.04,7.25,5.30,8.22,3.88,12.39,5.60,8.23,10.84,3.56,4.82,4.17,3.79,5.72,7.91,4.65,5.36,4.33,10.24,12.40,4.00,4.96,5.21,8.21,5.44,9.84,5.57,4.03,4.11,4.81,11.68,5.84,4.77,11.41,4.79,4.38,4.19,8.32,8.08,10.05,4.46,3.71,4.37,6.34,10.73,4.78,3.86,8.71,1.00
3.88,6.11,6.71,4.86,7.63,7.19,5.80,7.00,7.59,6.65,5.71,9.80,4.36,4.54,6.92,6.22,8.83,12.27,4.60,11.80,3.75,3.91,6.34,8.83,6.92,6.51,6.52,6.43,8.22,5.66,3.73,4.06,8.98,3.61,7.75,4.28,4.54,3.91,6.13,9.96,6.00,7.08,4.25,3.66,3.66,4.29,5.65,8.02,10.08,7.46,4.50,4.19,3.90,6.36,6.01,9.06,8.79,5.10,3.83,8.10,4.80,3.82,9.44,4.11,3.67,3.78,10.09,4.85,4.96,4.16,4.07,10.81,3.71,7.53,5.28,7.34,5.87,7.17,5.28,4.51,5.78,4.34,4.35,7.83,4.03,6.56,5.49,4.48,4.86,9.26,4.28,11.90,4.11,6.39,12.35,5.00,5.05,9.60,3.76,9.02,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.86,6.99,5.06,7.96,4.29,6.47,9.57,8.87,7.57,8.11,6.84,5.11,3.88,3.83,4.41,3.51,9.62,13.77,4.27,11.22,3.81,3.42,6.58,4.21,8.84,6.19,6.75,10.01,9.04,6.60,3.61,4.64,12.52,4.02,8.24,3.86,6.44,3.66,6.53,12.84,5.76,9.25,3.85,3.81,3.79,4.59,6.97,8.09,9.59,8.19,5.24,4.00,3.93,10.44,4.10,9.85,6.54,4.56,4.11,8.68,8.97,3.29,10.89,4.00,4.08,3.84,9.75,4.46,7.14,4.38,4.06,5.95,3.75,7.45,4.93,8.76,7.04,9.96,7.33,5.16,3.95,5.52,4.31,4.32,4.36,6.80,9.63,3.40,8.09,10.51,7.98,9.09,4.42,5.46,11.27,5.26,5.66,10.61,3.95,8.15,0.00
4.75,7.14,13.19,6.60,5.05,9.13,10.36,12.61,9.07,8.73,7.66,4.33,3.69,4.10,3.69,12.93,11.25,12.83,4.48,4.76,4.02,3.51,7.32,10.49,7.41,4.26,12.70,7.55,7.26,7.77,4.09,9.58,7.20,3.64,5.26,12.10,12.95,6.59,7.98,13.39,6.35,4.92,11.32,6.05,3.91,4.24,6.75,8.22,7.84,8.67,4.48,4.09,4.16,8.09,8.06,7.34,5.56,4.86,3.86,8.23,11.95,5.96,10.96,9.51,3.91,3.83,5.64,4.61,5.62,4.23,3.82,8.29,9.26,5.86,9.46,6.46,6.01,5.39,11.97,5.03,8.57,3.49,4.97,5.06,5.84,6.96,10.75,6.23,8.78,12.72,4.09,11.09,4.08,7.60,11.54,8.94,4.74,6.88,3.75,8.07,1.00
3.97,5.31,4.94,4.04,11.30,6.26,12.70,4.20,4.31,6.80,8.94,5.88,6.48,3.87,4.34,7.24,4.52,10.84,6.56,12.14,4.45,3.25,7.50,3.95,8.19,5.26,13.83,9.10,5.68,4.68,5.70,7.23,13.16,8.33,4.66,3.74,5.06,3.79,7.06,12.13,11.63,4.62,7.93,3.86,9.11,5.11,8.57,9.86,8.87,7.99,4.78,11.92,5.49,11.49,4.49,10.20,4.82,6.81,8.04,7.01,6.56,4.17,8.53,3.94,3.77,3.91,7.84,4.27,5.87,5.94,3.86,9.32,3.68,7.46,4.62,4.98,5.63,7.87,13.77,3.83,4.59,7.00,4.80,4.59,4.72,10.55,4.37,3.91,4.16,11.56,4.44,10.16,4.20,9.17,11.78,6.31,4.46,5.64,10.37,7.87,0.00
3.87,10.54,8.81,3.88,5.54,5.95,11.76,6.05,7.05,8.34,6.29,3.85,3.88,3.97,8.37,10.46,4.29,13.25,10.55,4.30,3.83,4.35,7.07,4.14,8.15,6.94,9.86,10.33,3.93,8.07,8.61,5.78,12.56,3.87,5.70,3.47,5.06,6.22,6.87,10.18,6.15,11.77,12.97,6.84,3.82,4.27,10.17,4.40,4.10,8.14,6.55,3.57,3.92,11.87,8.67,3.99,4.82,4.61,3.96,8.21,14.44,11.25,9.87,3.90,3.71,5.38,8.52,4.56,10.50,4.47,4.62,12.78,3.74,4.84,5.72,7.99,5.05,3.93,5.29,6.12,5.14,3.35,4.26,7.04,4.14,5.31,10.83,5.06,7.56,11.39,5.29,11.74,4.17,7.46,11.93,6.63,11.25,5.06,4.21,8.67,1.00
4.08,9.28,6.39,4.22,11.35,5.14,4.54,4.35,4.30,5.62,5.76,5.74,6.17,4.09,8.80,11.99,4.10,12.65,4.51,13.22,4.92,3.79,6.39,4.05,7.54,4.21,10.29,5.95,6.21,4.34,10.37,3.79,7.43,8.75,4.25,9.57,4.50,3.77,6.37,13.66,13.54,6.27,9.76,3.71,10.73,5.39,6.02,8.93,9.14,7.34,4.70,5.10,5.34,9.77,4.44,9.29,4.18,12.75,10.24,7.11,5.94,3.89,9.19,4.18,3.83,4.18,7.16,7.69,6.02,4.36,4.00,12.72,3.99,5.63,5.29,6.52,5.58,9.07,11.67,8.26,4.17,3.80,4.33,4.18,4.91,10.29,8.09,4.07,9.48,10.15,4.74,10.46,4.51,9.85,7.70,7.29,4.03,4.98,3.64,8.58,1.00
7.49,10.05,4.60,4.94,4.31,6.02,8.39,4.79,4.70,10.63,7.41,7.52,3.74,4.00,3.87,12.66,8.39,13.54,4.88,9.62,3.85,3.40,6.27,4.51,8.70,5.83,9.19,4.68,4.86,5.83,4.34,8.03,12.78,4.40,4.39,3.80,5.63,3.76,6.53,12.92,9.53,10.94,12.62,3.90,3.58,5.18,9.41,9.84,8.56,6.66,8.01,3.94,4.24,12.09,4.49,8.77,4.18,4.29,6.50,7.35,12.43,7.65,9.48,8.17,7.29,3.72,6.04,5.35,5.15,9.28,3.84,10.15,3.86,7.73,8.25,6.39,9.20,5.86,4.21,7.09,8.86,11.57,4.84,5.99,4.43,10.81,11.30,4.34,10.48,12.34,5.53,11.95,4.27,5.01,11.54,6.55,4.30,9.01,3.55,7.86,0.00
