1004_at,10439_at,10788_at,10855_at,11098_at,13_at,1728_at,1780_at,202374_at,22835_at,2919_at,341_at,3676_at,389421_at,4050_at,4734_at,4879_at,51186_at,5142_at,51599_at,5176_at,5321_at,55510_at,57194_at,57464_at,6275_at,6876_at,7852_at,83871_at,9071_at,label
3.89,6.82,4.69,6.85,13.09,3.68,12.14,4.74,3.37,7.67,3.91,5.43,6.54,4.69,4.49,7.95,4.16,12.27,10.07,7.58,4.97,7.21,3.70,5.83,6.38,10.15,11.33,4.26,10.27,4.20,1.00
3.73,9.89,4.59,4.23,11.46,4.99,10.91,5.42,3.46,7.31,4.30,5.22,6.75,3.83,4.34,8.82,6.34,11.71,4.76,5.84,6.22,3.59,3.61,4.67,5.16,14.32,10.72,5.43,10.95,4.35,0.00
3.89,3.81,4.75,6.80,10.08,3.64,13.42,7.20,3.38,5.81,11.28,8.61,7.51,7.99,4.49,8.92,3.61,11.73,10.26,6.47,5.97,9.53,3.64,4.51,6.43,9.29,7.56,4.00,11.81,4.13,1.00
4.11,3.92,5.15,4.80,5.01,4.15,10.39,5.59,3.60,9.45,4.43,11.32,3.73,11.82,4.60,7.76,4.05,11.14,4.19,8.25,11.22,4.28,3.84,4.95,6.08,9.13,10.27,5.83,11.80,4.07,1.00
3.90,4.04,4.48,6.33,11.12,3.85,12.15,4.60,3.28,7.36,9.80,7.33,7.21,3.75,4.72,8.20,4.07,12.06,4.52,7.06,4.53,3.40,3.71,8.44,8.28,7.38,7.32,4.12,11.39,4.29,0.00
4.04,4.14,10.94,5.44,4.40,3.90,9.81,4.08,3.55,5.44,4.27,7.17,11.05,7.87,5.48,7.32,4.20,7.25,5.30,8.22,12.39,3.56,3.79,4.65,5.36,12.40,5.57,11.68,4.79,4.46,1.00
3.88,4.86,7.63,7.19,5.80,4.36,12.27,4.60,3.91,6.92,4.54,6.00,3.66,3.66,4.29,7.46,4.19,6.36,6.01,9.06,5.10,3.82,3.67,4.85,4.96,10.81,5.28,4.35,5.49,4.11,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.86,7.96,4.29,6.47,9.57,3.88,13.77,4.27,3.42,8.84,6.44,5.76,3.81,3.79,4.59,8.19,4.00,10.44,4.10,9.85,4.56,3.29,4.08,4.46,7.14,5.95,7.33,4.31,9.63,4.42,0.00
4.75,6.60,5.05,9.13,10.36,3.69,12.83,4.48,3.51,7.41,12.95,6.35,6.05,3.91,4.24,8.67,4.09,8.09,8.06,7.34,4.86,5.96,3.91,4.61,5.62,8.29,11.97,4.97,10.75,4.08,1.00
3.97,4.04,11.30,6.26,12.70,6.48,10.84,6.56,3.25,8.19,5.06,11.63,3.86,9.11,5.11,7.99,11.92,11.49,4.49,10.20,6.81,4.17,3.77,4.27,5.87,9.32,13.77,4.80,4.37,4.20,0.00
3.87,3.88,5.54,5.95,11.76,3.88,13.25,10.55,4.35,8.15,5.06,6.15,6.84,3.82,4.27,8.14,3.57,11.87,8.67,3.99,4.61,11.25,3.71,4.56,10.50,12.78,5.29,4.26,10.83,4.17,1.00
4.08,4.22,11.35,5.14,4.54,6.17,12.65,4.51,3.79,7.54,4.50,13.54,3.71,10.73,5.39,7.34,5.10,9.77,4.44,9.29,12.75,3.89,3.83,7.69,6.02,12.72,11.67,4.33,8.09,4.51,1.00
7.49,4.94,4.31,6.02,8.39,3.74,13.54,4.88,3.40,8.70,5.63,9.53,3.90,3.58,5.18,6.66,3.94,12.09,4.49,8.77,4.29,7.65,7.29,5.35,5.15,10.15,4.21,4.84,11.30,4.27,0.00
4.36,4.03,4.25,7.72,10.66,3.76,10.72,6.05,3.79,8.25,3.78,6.01,5.61,4.00,4.45,7.70,4.39,12.30,9.81,4.87,4.15,8.76,6.86,7.71,6.64,10.30,9.89,4.19,11.10,3.93,1.00
4.39,5.03,6.60,6.82,8.36,3.76,11.82,4.45,4.70,7.67,12.00,8.37,3.80,3.58,5.00,8.88,3.89,11.24,4.65,11.29,4.50,9.25,7.39,5.01,5.89,7.79,4.72,6.89,8.39,8.37,0.00
6.23,6.24,4.63,5.10,10.98,3.60,10.44,5.24,3.52,7.75,6.56,5.97,7.52,5.65,4.50,8.22,3.86,12.47,5.27,4.19,4.50,5.34,3.54,4.49,7.43,6.63,9.96,4.10,9.54,4.44,0.00
4.73,5.63,7.59,5.28,10.37,3.96,12.83,4.67,3.39,8.46,4.18,5.07,8.50,8.58,4.19,7.42,4.07,11.75,4.66,5.44,11.30,7.85,3.70,4.62,5.60,13.39,7.26,4.21,11.18,4.20,1.00
3.87,4.67,4.75,8.31,9.20,3.87,12.51,4.44,3.76,4.80,5.69,6.69,3.71,3.64,4.39,6.29,4.19,9.71,4.52,10.03,7.98,3.79,3.72,4.73,6.92,14.75,4.76,6.92,4.19,4.05,1.00
3.81,4.43,5.57,7.07,10.65,3.95,12.70,4.47,3.72,5.70,4.48,6.93,3.86,4.18,4.93,6.84,4.32,6.55,4.66,8.96,5.65,3.30,3.85,4.53,7.68,13.61,4.96,8.17,4.39,4.22,1.00
3.87,3.99,12.62,5.63,13.47,3.70,11.12,4.83,2.95,5.01,4.58,5.10,3.74,3.51,4.39,8.58,4.09,12.09,4.24,10.26,4.53,7.03,3.83,4.32,6.70,10.33,6.62,4.14,4.37,3.93,1.00
3.89,7.63,4.91,6.89,12.11,4.15,10.58,4.20,3.34,8.63,7.59,6.93,3.74,3.48,4.60,7.23,5.07,11.76,9.05,9.04,4.12,6.37,3.69,6.32,8.23,9.74,4.60,10.50,4.37,3.93,0.00
3.93,4.07,4.54,5.67,9.64,4.17,8.81,4.29,3.33,7.60,5.53,10.22,3.94,7.72,7.82,8.10,4.39,11.75,4.56,10.22,8.37,3.48,3.55,4.21,6.18,6.46,6.48,4.29,10.65,4.21,0.00
7.84,4.18,8.23,7.40,9.96,4.08,9.57,6.84,3.51,6.46,8.44,8.28,3.83,10.11,8.14,5.05,6.24,12.34,5.72,8.91,4.04,8.60,3.89,4.35,4.92,8.45,12.76,4.25,10.77,6.03,0.00
8.52,3.69,7.10,7.77,10.60,8.26,11.06,5.92,3.60,10.29,10.83,5.98,8.17,6.74,5.30,7.85,3.95,11.96,4.97,7.97,3.61,4.74,3.78,4.87,6.52,12.08,7.29,7.29,10.50,6.64,0.00
3.84,4.20,5.91,4.34,8.39,3.75,9.41,4.93,3.32,4.82,4.15,6.71,6.72,4.29,4.83,8.35,3.82,11.15,7.17,4.31,4.40,11.23,3.77,4.58,10.49,11.19,4.68,4.43,4.33,4.05,1.00
