1004_at,10439_at,10788_at,10855_at,11098_at,11167_at,1284_at,129790_at,13_at,147381_at,1475_at,1490_at,1728_at,1780_at,201651_at,202374_at,220134_at,2202_at,22835_at,22943_at,2353_at,27063_at,283537_at,290_at,2919_at,341_at,3485_at,3676_at,389421_at,4050_at,4734_at,4879_at,4935_at,51186_at,5142_at,51599_at,5176_at,5243_at,5321_at,54478_at,55228_at,55510_at,55531_at,5580_at,57194_at,57464_at,5746_at,6275_at,63898_at,6482_at,6775_at,684_at,6876_at,7852_at,79668_at,83871_at,84141_at,8910_at,9071_at,9415_at,label
3.89,6.82,4.69,6.85,13.09,12.44,8.66,5.42,3.68,3.97,6.75,10.78,12.14,4.74,4.23,3.37,7.50,5.12,7.67,4.86,11.03,3.69,4.84,10.46,3.91,5.43,5.25,6.54,4.69,4.49,7.95,4.16,4.05,12.27,10.07,7.58,4.97,3.67,7.21,10.30,3.76,3.70,4.80,4.87,5.83,6.38,4.27,10.15,7.92,7.51,6.54,9.55,11.33,4.26,4.56,10.27,7.86,9.85,4.20,6.63,1.00
3.73,9.89,4.59,4.23,11.46,12.91,11.37,5.05,4.99,4.28,3.59,13.47,10.91,5.42,4.11,3.46,6.55,4.68,7.31,14.05,4.40,7.72,9.55,5.28,4.30,5.22,8.70,6.75,3.83,4.34,8.82,6.34,5.34,11.71,4.76,5.84,6.22,3.92,3.59,10.82,4.00,3.61,3.91,6.95,4.67,5.16,3.94,14.32,7.08,5.16,5.58,5.76,10.72,5.43,4.56,10.95,8.37,9.48,4.35,8.90,0.00
3.89,3.81,4.75,6.80,10.08,8.46,11.60,5.99,3.64,4.18,3.94,10.50,13.42,7.20,4.14,3.38,7.31,9.46,5.81,11.39,5.74,4.23,5.65,9.92,11.28,8.61,8.99,7.51,7.99,4.49,8.92,3.61,3.68,11.73,10.26,6.47,5.97,3.72,9.53,9.67,5.62,3.64,3.80,8.03,4.51,6.43,4.08,9.29,4.45,6.33,4.89,4.08,7.56,4.00,5.89,11.81,5.77,11.25,4.13,6.71,1.00
4.11,3.92,5.15,4.80,5.01,10.04,4.37,5.71,4.15,11.39,4.92,7.14,10.39,5.59,3.92,3.60,7.42,4.26,9.45,12.47,6.04,3.92,3.58,3.81,4.43,11.32,11.19,3.73,11.82,4.60,7.76,4.05,3.82,11.14,4.19,8.25,11.22,3.93,4.28,9.68,9.88,3.84,3.75,6.23,4.95,6.08,4.49,9.13,7.83,4.54,5.15,10.39,10.27,5.83,7.49,11.80,4.07,4.54,4.07,8.59,1.00
3.90,4.04,4.48,6.33,11.12,9.84,11.11,6.59,3.85,6.68,3.82,11.28,12.15,4.60,3.73,3.28,6.59,4.49,7.36,5.19,6.94,4.27,3.39,3.60,9.80,7.33,4.94,7.21,3.75,4.72,8.20,4.07,4.21,12.06,4.52,7.06,4.53,7.42,3.40,9.36,6.35,3.71,3.91,6.23,8.44,8.28,4.05,7.38,7.38,4.56,10.68,3.99,7.32,4.12,6.63,11.39,9.53,12.33,4.29,6.02,0.00
4.04,4.14,10.94,5.44,4.40,3.89,4.48,6.05,3.90,4.41,4.13,3.48,9.81,4.08,4.02,3.55,9.49,4.16,5.44,4.11,6.25,4.03,3.78,3.67,4.27,7.17,4.77,11.05,7.87,5.48,7.32,4.20,4.04,7.25,5.30,8.22,12.39,5.60,3.56,4.82,4.17,3.79,5.72,7.91,4.65,5.36,4.33,12.40,4.96,8.21,5.44,9.84,5.57,11.68,5.84,4.79,4.19,10.05,4.46,6.34,1.00
3.88,4.86,7.63,7.19,5.80,7.00,6.65,5.71,4.36,4.54,6.92,6.22,12.27,4.60,3.75,3.91,6.34,8.83,6.92,6.52,6.43,3.61,7.75,4.28,4.54,6.00,7.08,3.66,3.66,4.29,7.46,4.19,3.90,6.36,6.01,9.06,5.10,3.83,3.82,9.44,4.11,3.67,3.78,10.09,4.85,4.96,4.16,10.81,7.53,7.34,5.87,7.17,5.28,4.35,7.83,5.49,4.86,11.90,4.11,5.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.86,7.96,4.29,6.47,9.57,8.87,8.11,6.84,3.88,3.83,4.41,3.51,13.77,4.27,3.81,3.42,6.58,4.21,8.84,6.75,10.01,4.02,8.24,3.86,6.44,5.76,9.25,3.81,3.79,4.59,8.19,4.00,3.93,10.44,4.10,9.85,4.56,4.11,3.29,10.89,4.00,4.08,3.84,9.75,4.46,7.14,4.38,5.95,7.45,8.76,7.04,9.96,7.33,4.31,4.32,9.63,8.09,9.09,4.42,5.26,0.00
4.75,6.60,5.05,9.13,10.36,12.61,8.73,7.66,3.69,4.10,3.69,12.93,12.83,4.48,4.02,3.51,7.32,10.49,7.41,12.70,7.55,3.64,5.26,12.10,12.95,6.35,4.92,6.05,3.91,4.24,8.67,4.09,4.16,8.09,8.06,7.34,4.86,3.86,5.96,10.96,9.51,3.91,3.83,5.64,4.61,5.62,4.23,8.29,5.86,6.46,6.01,5.39,11.97,4.97,5.06,10.75,8.78,11.09,4.08,8.94,1.00
