1004_at,10439_at,10855_at,11098_at,13_at,1728_at,202374_at,22835_at,2919_at,3676_at,389421_at,4734_at,4879_at,51186_at,5176_at,5321_at,57194_at,6876_at,83871_at,9071_at,label
3.89,6.82,6.85,13.09,3.68,12.14,3.37,7.67,3.91,6.54,4.69,7.95,4.16,12.27,4.97,7.21,5.83,11.33,10.27,4.20,1.00
3.73,9.89,4.23,11.46,4.99,10.91,3.46,7.31,4.30,6.75,3.83,8.82,6.34,11.71,6.22,3.59,4.67,10.72,10.95,4.35,0.00
3.89,3.81,6.80,10.08,3.64,13.42,3.38,5.81,11.28,7.51,7.99,8.92,3.61,11.73,5.97,9.53,4.51,7.56,11.81,4.13,1.00
4.11,3.92,4.80,5.01,4.15,10.39,3.60,9.45,4.43,3.73,11.82,7.76,4.05,11.14,11.22,4.28,4.95,10.27,11.80,4.07,1.00
3.90,4.04,6.33,11.12,3.85,12.15,3.28,7.36,9.80,7.21,3.75,8.20,4.07,12.06,4.53,3.40,8.44,7.32,11.39,4.29,0.00
4.04,4.14,5.44,4.40,3.90,9.81,3.55,5.44,4.27,11.05,7.87,7.32,4.20,7.25,12.39,3.56,4.65,5.57,4.79,4.46,1.00
3.88,4.86,7.19,5.80,4.36,12.27,3.91,6.92,4.54,3.66,3.66,7.46,4.19,6.36,5.10,3.82,4.85,5.28,5.49,4.11,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.86,7.96,6.47,9.57,3.88,13.77,3.42,8.84,6.44,3.81,3.79,8.19,4.00,10.44,4.56,3.29,4.46,7.33,9.63,4.42,0.00
4.75,6.60,9.13,10.36,3.69,12.83,3.51,7.41,12.95,6.05,3.91,8.67,4.09,8.09,4.86,5.96,4.61,11.97,10.75,4.08,1.00
3.97,4.04,6.26,12.70,6.48,10.84,3.25,8.19,5.06,3.86,9.11,7.99,11.92,11.49,6.81,4.17,4.27,13.77,4.37,4.20,0.00
3.87,3.88,5.95,11.76,3.88,13.25,4.35,8.15,5.06,6.84,3.82,8.14,3.57,11.87,4.61,11.25,4.56,5.29,10.83,4.17,1.00
4.08,4.22,5.14,4.54,6.17,12.65,3.79,7.54,4.50,3.71,10.73,7.34,5.10,9.77,12.75,3.89,7.69,11.67,8.09,4.51,1.00
7.49,4.94,6.02,8.39,3.74,13.54,3.40,8.70,5.63,3.90,3.58,6.66,3.94,12.09,4.29,7.65,5.35,4.21,11.30,4.27,0.00
4.36,4.03,7.72,10.66,3.76,10.72,3.79,8.25,3.78,5.61,4.00,7.70,4.39,12.30,4.15,8.76,7.71,9.89,11.10,3.93,1.00
4.39,5.03,6.82,8.36,3.76,11.82,4.70,7.67,12.00,3.80,3.58,8.88,3.89,11.24,4.50,9.25,5.01,4.72,8.39,8.37,0.00
6.23,6.24,5.10,10.98,3.60,10.44,3.52,7.75,6.56,7.52,5.65,8.22,3.86,12.47,4.50,5.34,4.49,9.96,9.54,4.44,0.00
4.73,5.63,5.28,10.37,3.96,12.83,3.39,8.46,4.18,8.50,8.58,7.42,4.07,11.75,11.30,7.85,4.62,7.26,11.18,4.20,1.00
3.87,4.67,8.31,9.20,3.87,12.51,3.76,4.80,5.69,3.71,3.64,6.29,4.19,9.71,7.98,3.79,4.73,4.76,4.19,4.05,1.00
3.81,4.43,7.07,10.65,3.95,12.70,3.72,5.70,4.48,3.86,4.18,6.84,4.32,6.55,5.65,3.30,4.53,4.96,4.39,4.22,1.00
3.87,3.99,5.63,13.47,3.70,11.12,2.95,5.01,4.58,3.74,3.51,8.58,4.09,12.09,4.53,7.03,4.32,6.62,4.37,3.93,1.00
3.89,7.63,6.89,12.11,4.15,10.58,3.34,8.63,7.59,3.74,3.48,7.23,5.07,11.76,4.12,6.37,6.32,4.60,4.37,3.93,0.00
3.93,4.07,5.67,9.64,4.17,8.81,3.33,7.60,5.53,3.94,7.72,8.10,4.39,11.75,8.37,3.48,4.21,6.48,10.65,4.21,0.00
7.84,4.18,7.40,9.96,4.08,9.57,3.51,6.46,8.44,3.83,10.11,5.05,6.24,12.34,4.04,8.60,4.35,12.76,10.77,6.03,0.00
8.52,3.69,7.77,10.60,8.26,11.06,3.60,10.29,10.83,8.17,6.74,7.85,3.95,11.96,3.61,4.74,4.87,7.29,10.50,6.64,0.00
3.84,4.20,4.34,8.39,3.75,9.41,3.32,4.82,4.15,6.72,4.29,8.35,3.82,11.15,4.40,11.23,4.58,4.68,4.33,4.05,1.00
3.97,8.97,5.43,5.99,3.75,9.68,4.00,9.99,3.87,3.67,5.40,7.29,4.29,12.98,5.46,3.90,4.29,4.93,10.09,6.65,0.00
4.11,4.17,5.78,4.58,3.76,5.82,3.68,7.88,4.63,8.34,4.13,6.82,3.76,4.28,9.15,3.66,4.49,4.49,7.89,4.12,1.00
3.83,4.88,7.81,11.60,3.62,12.92,4.46,8.19,7.83,3.68,3.44,10.42,4.17,11.26,4.34,4.13,9.27,11.01,11.38,4.66,1.00
3.76,4.24,9.16,8.83,3.92,11.92,3.19,5.74,10.76,3.96,6.91,7.43,3.94,10.89,4.66,8.47,4.31,4.61,9.06,4.18,1.00
4.11,4.14,5.13,4.89,3.83,6.13,3.67,7.49,4.23,8.68,6.61,6.03,4.10,3.81,4.76,4.14,4.70,5.16,4.14,4.50,0.00
4.15,4.35,4.70,4.84,4.25,6.04,3.42,8.16,4.46,8.98,10.43,6.20,3.95,4.32,4.37,3.76,4.84,5.63,4.30,4.48,0.00
6.10,4.19,5.91,9.72,4.29,10.15,3.53,8.05,12.15,3.97,6.41,7.24,4.92,11.45,4.79,4.36,7.31,10.81,11.15,4.74,0.00
10.33,4.01,6.22,8.58,6.60,10.88,4.25,9.07,13.10,3.64,3.81,7.94,3.80,11.70,5.81,3.72,5.09,12.87,11.49,7.18,0.00
3.98,3.84,6.57,4.36,3.92,7.02,3.31,8.02,6.08,9.84,6.60,8.61,3.89,3.70,4.09,8.09,4.60,4.63,10.91,7.03,1.00
3.92,5.93,6.33,8.50,7.44,12.72,3.43,7.14,8.16,3.90,4.09,7.47,4.32,10.76,7.97,6.40,4.51,5.09,10.82,4.33,1.00
3.92,4.02,5.03,7.73,3.86,13.05,3.76,8.23,5.49,3.92,3.78,6.23,4.74,12.74,13.22,3.43,4.61,4.96,11.06,4.23,1.00
4.83,8.21,6.01,9.88,3.78,10.08,3.39,8.20,6.34,3.55,9.67,5.04,4.36,12.13,5.32,4.99,4.43,11.68,10.17,5.24,0.00
