1004_at,10855_at,13_at,1728_at,202374_at,22835_at,4734_at,4879_at,5176_at,9071_at,label
3.89,6.85,3.68,12.14,3.37,7.67,7.95,4.16,4.97,4.20,1.00
3.73,4.23,4.99,10.91,3.46,7.31,8.82,6.34,6.22,4.35,0.00
3.89,6.80,3.64,13.42,3.38,5.81,8.92,3.61,5.97,4.13,1.00
4.11,4.80,4.15,10.39,3.60,9.45,7.76,4.05,11.22,4.07,1.00
3.90,6.33,3.85,12.15,3.28,7.36,8.20,4.07,4.53,4.29,0.00
4.04,5.44,3.90,9.81,3.55,5.44,7.32,4.20,12.39,4.46,1.00
3.88,7.19,4.36,12.27,3.91,6.92,7.46,4.19,5.10,4.11,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.86,6.47,3.88,13.77,3.42,8.84,8.19,4.00,4.56,4.42,0.00
4.75,9.13,3.69,12.83,3.51,7.41,8.67,4.09,4.86,4.08,1.00
3.97,6.26,6.48,10.84,3.25,8.19,7.99,11.92,6.81,4.20,0.00
3.87,5.95,3.88,13.25,4.35,8.15,8.14,3.57,4.61,4.17,1.00
4.08,5.14,6.17,12.65,3.79,7.54,7.34,5.10,12.75,4.51,1.00
7.49,6.02,3.74,13.54,3.40,8.70,6.66,3.94,4.29,4.27,0.00
4.36,7.72,3.76,10.72,3.79,8.25,7.70,4.39,4.15,3.93,1.00
4.39,6.82,3.76,11.82,4.70,7.67,8.88,3.89,4.50,8.37,0.00
6.23,5.10,3.60,10.44,3.52,7.75,8.22,3.86,4.50,4.44,0.00
4.73,5.28,3.96,12.83,3.39,8.46,7.42,4.07,11.30,4.20,1.00
3.87,8.31,3.87,12.51,3.76,4.80,6.29,4.19,7.98,4.05,1.00
3.81,7.07,3.95,12.70,3.72,5.70,6.84,4.32,5.65,4.22,1.00
3.87,5.63,3.70,11.12,2.95,5.01,8.58,4.09,4.53,3.93,1.00
3.89,6.89,4.15,10.58,3.34,8.63,7.23,5.07,4.12,3.93,0.00
3.93,5.67,4.17,8.81,3.33,7.60,8.10,4.39,8.37,4.21,0.00
7.84,7.40,4.08,9.57,3.51,6.46,5.05,6.24,4.04,6.03,0.00
8.52,7.77,8.26,11.06,3.60,10.29,7.85,3.95,3.61,6.64,0.00
3.84,4.34,3.75,9.41,3.32,4.82,8.35,3.82,4.40,4.05,1.00
3.97,5.43,3.75,9.68,4.00,9.99,7.29,4.29,5.46,6.65,0.00
4.11,5.78,3.76,5.82,3.68,7.88,6.82,3.76,9.15,4.12,1.00
3.83,7.81,3.62,12.92,4.46,8.19,10.42,4.17,4.34,4.66,1.00
3.76,9.16,3.92,11.92,3.19,5.74,7.43,3.94,4.66,4.18,1.00
4.11,5.13,3.83,6.13,3.67,7.49,6.03,4.10,4.76,4.50,0.00
4.15,4.70,4.25,6.04,3.42,8.16,6.20,3.95,4.37,4.48,0.00
6.10,5.91,4.29,10.15,3.53,8.05,7.24,4.92,4.79,4.74,0.00
