10873_at,1303_at,1312_at,1545_at,23530_at,2534_at,26040_at,26278_at,284702_at,4071_at,4072_at,56474_at,57407_at,5918_at,8303_at,8910_at,9404_at,9603_at,9849_at,9886_at,label
7.19,4.34,10.06,5.02,7.85,4.56,7.01,7.45,9.36,4.03,11.53,7.81,9.63,3.90,3.95,11.37,7.20,4.57,8.54,6.10,1.00
7.84,7.46,8.71,4.30,10.05,7.58,4.07,10.20,7.15,6.84,4.65,8.40,9.39,6.38,5.72,10.55,5.66,5.17,6.89,3.70,1.00
5.20,4.65,8.49,4.33,10.94,7.17,4.35,10.58,10.26,4.19,4.10,8.26,9.17,4.27,6.26,4.51,6.82,3.59,4.09,6.99,1.00
6.71,8.71,8.07,4.29,8.72,9.36,5.46,10.07,6.00,13.38,4.31,7.83,9.63,5.85,4.80,6.30,7.38,6.04,6.27,4.79,0.00
5.38,6.28,8.68,4.47,7.91,6.52,4.16,10.55,8.08,11.26,4.54,8.76,10.32,3.99,5.62,9.48,5.95,7.66,6.63,9.46,0.00
7.77,4.81,8.85,7.69,7.41,4.51,5.14,9.87,6.71,12.71,7.50,7.91,9.13,7.45,4.51,11.19,5.52,5.42,7.86,6.87,1.00
7.47,5.27,8.71,5.04,8.96,5.55,7.35,9.53,8.40,4.12,3.88,8.42,10.40,4.26,5.69,11.14,5.99,4.82,7.47,6.95,1.00
5.88,4.49,8.79,4.01,10.49,9.78,4.36,9.83,9.45,3.96,3.78,3.81,9.22,4.32,6.55,4.52,10.79,3.72,8.08,3.94,1.00
6.04,4.27,8.18,4.04,10.60,7.95,7.24,9.93,7.39,4.05,4.02,7.32,4.82,4.09,4.62,10.05,9.76,8.17,7.41,3.96,1.00
6.41,4.41,8.56,4.20,9.68,5.50,4.18,8.48,8.73,4.33,3.85,8.13,9.13,4.21,6.36,12.29,6.65,5.62,3.59,4.20,0.00
5.08,4.44,8.41,6.11,6.96,5.25,4.23,12.21,7.75,4.42,4.15,7.93,8.85,4.07,5.40,9.35,5.48,7.17,8.39,8.76,1.00
4.78,4.27,8.30,11.05,9.17,10.49,8.20,10.44,8.70,3.99,4.55,7.83,9.67,4.32,6.62,10.73,10.91,6.14,8.33,3.74,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.66,4.48,8.02,4.10,9.20,7.27,6.57,8.21,10.24,4.07,4.08,8.59,9.91,4.15,5.85,10.01,11.30,4.17,8.51,3.71,0.00
4.41,8.12,9.97,9.62,5.51,5.57,6.60,8.02,8.93,9.25,11.66,7.42,10.78,9.34,5.82,9.09,4.61,4.36,7.13,3.97,0.00
4.93,4.27,9.73,4.10,8.58,4.12,4.34,7.71,6.78,12.31,12.66,8.68,4.99,4.22,5.29,10.46,5.16,7.45,9.11,9.93,1.00
8.24,6.64,10.88,9.22,4.05,4.06,5.66,5.66,5.57,12.33,12.72,8.11,9.98,4.07,4.49,7.32,5.51,8.27,7.85,4.42,1.00
9.33,8.61,8.35,10.48,7.99,8.56,4.25,8.06,7.50,12.07,8.59,7.73,7.96,6.58,6.14,10.86,10.46,8.02,6.49,5.59,0.00
7.86,4.56,8.30,6.34,9.57,7.69,4.98,8.76,7.47,9.27,6.31,7.81,9.88,6.82,4.96,10.61,10.09,8.74,6.94,7.06,1.00
5.23,5.81,8.97,7.76,6.16,3.98,5.05,8.05,8.35,7.20,12.19,8.66,10.30,4.46,5.78,7.16,6.23,4.75,6.43,4.86,0.00
9.73,4.66,9.06,7.50,8.72,4.26,4.19,7.05,8.77,12.64,12.91,7.53,10.56,13.64,4.68,11.67,6.79,9.31,8.11,3.53,1.00
7.60,6.80,8.46,4.44,9.28,7.08,6.63,10.62,9.53,9.72,4.12,8.05,4.66,4.17,4.90,10.85,5.00,5.89,6.66,8.15,1.00
8.24,4.13,8.49,5.83,9.98,5.46,3.99,10.09,10.18,4.19,3.68,7.74,9.73,4.09,5.46,4.31,9.85,5.69,8.43,4.25,1.00
9.15,5.11,8.38,4.25,9.09,8.84,4.42,10.55,7.96,4.04,5.50,9.00,10.73,4.27,4.74,9.20,5.43,6.55,8.17,9.21,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.05,7.39,7.32,10.45,9.34,7.35,6.70,8.96,7.52,12.13,12.36,7.68,10.48,5.32,6.08,9.42,6.06,6.86,8.10,5.88,0.00
5.68,6.52,10.21,8.06,9.07,6.02,5.71,8.77,7.80,8.97,12.95,6.63,9.24,7.51,5.41,11.73,5.54,6.12,6.51,5.18,0.00
7.30,10.09,8.71,4.42,8.96,8.48,8.79,11.59,8.72,10.18,3.93,6.67,4.97,4.16,4.22,11.76,6.11,4.23,5.89,8.39,0.00
6.30,4.26,7.57,5.28,7.48,6.85,4.28,8.58,8.11,3.98,8.72,8.34,10.33,6.45,5.65,8.96,5.14,5.62,8.74,7.62,1.00
5.38,4.77,8.13,4.32,9.04,6.97,8.58,5.38,7.84,4.40,3.43,9.00,9.82,3.86,6.37,10.62,11.89,6.05,8.35,3.90,1.00
6.04,4.31,8.84,3.96,8.57,8.66,7.08,8.94,9.70,3.97,4.06,8.86,4.77,4.26,5.67,9.77,10.85,5.18,7.77,3.65,0.00
6.61,7.37,9.03,4.40,7.46,5.53,4.25,8.74,7.76,10.54,11.37,7.94,10.04,5.72,6.17,8.86,5.83,8.25,6.61,3.90,0.00
6.14,7.97,8.74,4.28,8.38,7.89,5.21,10.68,8.27,12.99,3.74,9.72,9.42,4.99,4.66,10.43,10.82,7.64,6.50,7.04,0.00
8.16,6.63,8.83,9.03,7.72,7.09,6.10,9.00,7.64,11.43,4.11,7.26,8.87,8.00,5.21,11.83,6.91,8.77,7.70,6.39,1.00
7.11,4.45,9.40,3.96,9.92,9.17,4.17,7.72,7.76,4.19,4.52,7.72,10.15,4.05,6.11,4.80,9.25,6.80,8.14,4.77,1.00
6.62,4.94,7.62,10.14,8.69,7.41,6.28,9.90,7.97,7.12,10.68,8.23,9.85,4.19,5.92,10.33,4.99,8.67,6.25,8.06,1.00
5.50,4.87,7.95,3.96,9.95,8.57,7.57,10.19,5.99,6.61,4.41,7.49,9.42,4.21,5.79,11.03,7.72,6.26,7.17,7.32,1.00
6.79,4.49,7.80,4.13,6.95,4.60,4.17,9.17,7.78,12.57,6.44,8.08,10.17,4.24,6.01,9.75,5.92,9.02,7.88,10.30,1.00
10.33,11.72,8.38,6.24,4.24,4.73,4.01,9.30,7.09,6.62,4.07,9.30,9.95,5.95,7.30,10.57,6.62,3.55,7.91,4.80,0.00
8.27,5.04,8.13,7.08,8.40,6.50,5.96,10.22,6.66,12.68,3.71,7.69,7.37,4.08,5.70,11.55,8.46,8.53,6.55,4.37,0.00
5.91,6.82,8.66,11.30,9.06,7.25,4.72,10.00,8.95,10.27,4.04,7.70,4.96,7.36,5.85,10.71,5.53,3.67,5.78,7.22,0.00
7.04,9.66,8.05,8.70,9.00,7.94,7.38,8.74,7.41,10.36,5.05,7.14,9.03,8.58,6.19,11.43,8.38,7.32,6.47,6.65,0.00
4.64,10.06,8.74,10.72,9.57,6.94,6.63,8.95,7.60,9.62,4.01,6.47,10.08,4.20,5.32,11.37,7.54,6.93,7.35,8.61,0.00
5.10,6.29,9.12,8.85,9.23,5.35,4.19,6.70,8.05,4.10,11.28,7.00,10.50,4.52,5.75,10.90,5.00,4.47,7.38,4.26,0.00
6.14,9.09,8.36,12.72,9.18,5.76,10.45,8.97,9.38,11.54,10.85,7.95,9.85,12.96,6.60,7.66,6.29,7.63,7.37,7.19,0.00
5.89,6.22,9.70,4.57,7.76,4.95,4.81,7.75,9.21,12.85,12.00,7.37,9.81,9.11,6.27,11.32,5.35,6.69,7.55,5.82,0.00
