100505715_at,100506965_at,10129_at,10202_at,10643_at,10974_at,1303_at,1380_at,1545_at,170712_at,1917_at,2207_at,2533_at,2534_at,2627_at,283120_at,3488_at,387914_at,3915_at,53335_at,54742_at,56271_at,56605_at,5672_at,57007_at,5728_at,57407_at,58480_at,5918_at,64092_at,6446_at,793_at,79652_at,81618_at,84267_at,8910_at,90141_at,9603_at,9886_at,9966_at,label
5.69,8.23,6.32,10.36,9.91,11.68,4.34,4.40,5.02,3.55,9.00,4.80,3.68,4.56,8.11,4.70,3.94,3.56,9.92,6.63,4.20,8.61,6.57,4.72,3.85,8.72,9.63,10.14,3.90,3.66,4.69,4.59,3.74,8.14,10.09,11.37,8.96,4.57,6.10,5.92,1.00
7.02,7.38,3.96,4.78,10.25,9.62,7.46,3.73,4.30,3.97,11.67,4.96,3.74,7.58,6.74,4.64,4.03,3.72,9.01,5.75,4.56,4.16,5.96,7.93,4.07,9.06,9.39,4.27,6.38,3.93,11.26,4.97,3.81,9.53,8.38,10.55,7.92,5.17,3.70,4.07,1.00
5.71,7.48,4.45,4.90,9.97,4.66,4.65,4.10,4.33,3.89,7.67,4.81,3.81,7.17,4.45,4.34,4.06,3.61,9.90,10.63,4.02,4.12,8.52,5.06,3.96,9.99,9.17,4.32,4.27,3.88,7.28,3.78,3.84,9.32,5.22,4.51,7.48,3.59,6.99,4.37,1.00
5.69,5.18,4.13,5.39,10.44,7.50,8.71,3.76,4.29,3.62,4.34,4.53,3.87,9.36,5.11,4.62,5.70,8.21,10.65,7.93,7.44,3.90,5.72,5.41,3.74,8.20,9.63,4.13,5.85,6.51,12.32,3.78,4.01,7.52,8.56,6.30,8.99,6.04,4.79,5.59,0.00
6.82,4.39,3.90,5.49,10.87,4.53,6.28,3.87,4.47,9.89,8.66,4.77,3.64,6.52,6.39,4.69,4.63,3.65,11.00,4.54,3.94,3.93,6.22,9.11,4.15,4.52,10.32,4.84,3.99,3.74,10.28,3.72,4.20,9.07,4.82,9.48,7.37,7.66,9.46,4.17,0.00
6.72,6.26,3.90,5.71,10.26,4.75,4.81,3.64,7.69,3.50,7.91,5.29,5.31,4.51,6.80,6.99,4.23,3.37,10.71,4.60,4.67,4.44,5.79,4.88,8.63,8.34,9.13,7.86,7.45,3.96,9.37,3.61,3.82,8.69,9.61,11.19,8.74,5.42,6.87,6.16,1.00
7.12,6.95,3.69,5.67,10.94,4.45,5.27,3.51,5.04,3.63,5.25,5.21,3.75,5.55,4.00,3.88,4.59,5.23,9.64,4.65,4.42,10.70,5.88,5.73,4.76,8.29,10.40,4.91,4.26,3.81,9.26,3.63,3.84,11.18,8.43,11.14,8.06,4.82,6.95,4.18,1.00
8.10,7.67,4.07,4.48,9.34,4.20,4.49,3.86,4.01,3.84,4.71,4.90,9.20,9.78,3.80,10.24,4.11,9.72,4.70,4.53,3.92,8.52,4.84,4.48,6.95,11.17,9.22,10.00,4.32,11.34,4.60,3.77,7.16,10.01,5.42,4.52,7.39,3.72,3.94,4.53,1.00
5.86,8.05,3.98,9.91,9.92,4.02,4.27,4.23,4.04,4.05,4.31,5.51,3.82,7.95,4.25,4.39,3.96,3.43,8.09,5.74,3.99,4.40,5.98,5.15,6.47,9.87,4.82,4.47,4.09,3.94,12.99,3.80,4.50,8.61,7.78,10.05,8.17,8.17,3.96,4.55,1.00
6.20,7.13,3.90,10.30,10.67,4.21,4.41,3.88,4.20,3.75,10.27,5.14,3.96,5.50,3.98,5.74,4.04,3.43,9.22,4.60,4.15,3.85,5.24,5.21,3.89,7.63,9.13,4.95,4.21,3.70,4.50,3.54,4.26,10.10,4.88,12.29,9.49,5.62,4.20,4.56,0.00
8.84,3.58,3.93,7.63,10.71,4.35,4.44,3.89,6.11,3.50,10.61,5.04,3.73,5.25,8.75,5.90,3.96,3.52,10.95,5.37,3.98,4.21,6.13,5.03,4.21,7.82,8.85,5.50,4.07,3.74,5.51,4.05,4.00,8.65,9.95,9.35,7.59,7.17,8.76,4.46,1.00
5.96,7.05,3.81,4.58,10.61,4.66,4.27,10.61,11.05,3.81,9.69,5.32,3.66,10.49,3.84,4.32,4.02,3.59,9.17,5.96,4.04,6.53,8.96,4.41,9.34,10.05,9.67,4.03,4.32,10.37,5.67,3.75,6.31,8.42,9.13,10.73,8.15,6.14,3.74,4.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.66,8.08,4.30,4.57,10.81,3.95,4.48,5.11,4.10,3.71,4.88,4.64,3.75,7.27,4.51,4.40,4.03,4.11,8.25,10.17,3.96,4.19,7.12,5.08,4.63,8.84,9.91,3.89,4.15,6.91,5.14,3.91,4.02,5.54,5.26,10.01,7.75,4.17,3.71,4.43,0.00
7.47,3.67,4.09,13.39,10.52,5.60,8.12,3.99,9.62,9.05,12.08,4.76,3.90,5.57,5.50,6.92,10.24,5.76,11.12,4.56,6.12,4.34,6.07,5.05,4.69,6.80,10.78,5.14,9.34,3.99,7.26,3.73,3.91,9.21,4.79,9.09,9.45,4.36,3.97,4.21,0.00
