10103_at,1123_at,117177_at,1846_at,23283_at,23362_at,2731_at,56952_at,79633_at,79772_at,label
6.09,10.23,5.55,5.93,8.14,8.54,7.84,8.98,5.31,6.73,1.00
5.78,12.54,4.57,6.18,8.30,8.81,4.94,9.13,6.63,5.28,1.00
5.44,5.83,5.61,8.50,9.59,10.51,10.85,8.63,4.00,4.60,1.00
7.24,5.77,7.66,5.69,8.36,9.79,9.25,4.06,4.50,10.02,1.00
7.03,8.30,6.36,10.09,7.97,6.31,4.84,5.92,7.09,5.39,0.00
6.51,10.39,5.22,8.65,7.75,7.64,5.74,8.67,4.90,4.78,0.00
5.48,8.34,4.87,3.94,7.99,7.85,7.73,5.75,4.01,4.88,0.00
5.47,5.03,5.35,4.70,9.56,4.46,4.80,5.38,4.11,4.71,1.00
5.96,8.91,7.83,7.60,8.63,4.68,11.56,4.57,4.19,4.78,0.00
8.83,4.93,7.66,8.88,7.27,6.67,9.06,4.07,3.77,3.85,0.00
5.28,9.60,6.37,4.56,8.64,4.20,9.44,3.94,9.64,8.16,1.00
5.98,5.90,6.42,7.30,8.45,4.64,10.01,7.65,3.86,9.63,1.00
6.45,10.21,4.89,6.39,8.30,9.06,6.92,8.80,3.72,7.70,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.72,5.38,8.16,4.16,8.94,7.17,4.45,3.96,3.89,5.48,0.00
6.08,5.65,8.48,4.28,9.38,4.43,4.84,4.78,4.58,5.05,1.00
5.91,5.03,7.18,6.41,8.97,4.95,10.28,11.28,3.74,4.33,1.00
5.85,5.87,5.07,10.05,7.21,7.20,7.67,3.87,4.43,8.14,0.00
9.71,5.15,7.47,11.22,8.76,6.26,6.38,11.35,4.07,4.12,1.00
10.47,7.29,6.87,9.84,7.18,7.06,4.89,10.09,3.81,3.95,1.00
6.78,10.00,5.62,7.44,8.19,8.31,4.61,9.18,7.62,7.47,0.00
9.14,6.38,7.86,9.50,8.35,8.23,6.71,9.40,5.12,8.67,1.00
7.68,10.16,5.33,6.50,8.71,7.67,5.59,3.69,4.12,5.64,0.00
12.60,8.20,6.00,8.85,8.31,8.02,4.41,10.58,4.80,7.81,1.00
9.65,6.02,7.89,4.22,8.73,4.59,6.05,8.96,3.61,4.68,1.00
5.49,9.81,5.12,5.30,9.01,8.82,8.68,6.68,6.58,5.10,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.45,7.65,5.63,12.26,9.01,6.81,7.15,4.65,4.77,7.03,0.00
11.60,6.84,6.21,11.31,7.67,9.71,4.51,9.74,4.03,5.35,0.00
5.73,9.64,5.66,5.18,7.62,7.53,5.07,7.05,4.34,6.65,0.00
5.66,11.11,4.84,6.86,7.44,10.39,4.57,8.00,8.81,5.57,0.00
5.08,8.42,5.78,4.78,5.16,6.02,7.49,11.54,4.83,5.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.23,5.53,7.01,4.66,7.34,6.39,5.31,4.32,3.75,7.97,0.00
5.55,5.32,5.34,9.22,8.79,4.46,4.74,4.13,4.24,9.98,1.00
5.94,8.56,6.55,8.31,8.91,7.96,4.60,4.96,7.30,7.00,0.00
5.67,9.22,6.65,10.31,8.18,5.46,6.84,8.89,6.01,7.47,1.00
