144501_at,23283_at,26751_at,27445_at,3487_at,55086_at,5711_at,64073_at,79633_at,84189_at,label
6.87,8.14,7.20,7.08,6.86,4.72,4.13,3.89,5.31,4.19,1.00
5.87,8.30,7.33,9.42,8.03,4.16,8.78,3.98,6.63,3.73,1.00
4.82,9.59,9.72,3.90,8.70,3.61,3.97,3.86,4.00,4.05,1.00
9.82,8.36,9.00,3.73,4.18,6.61,8.95,11.27,4.50,3.85,1.00
7.59,7.97,6.85,5.37,10.80,3.53,8.14,11.72,7.09,4.59,0.00
11.06,7.75,8.70,10.11,5.71,4.18,9.10,11.05,4.90,3.89,0.00
4.93,7.99,8.84,3.80,5.35,4.85,9.28,4.16,4.01,4.17,0.00
4.74,9.56,8.87,3.58,6.20,4.14,8.59,3.79,4.11,3.92,1.00
5.15,8.63,8.89,3.80,4.16,7.73,8.59,3.72,4.19,3.87,0.00
9.57,7.27,10.49,4.11,4.40,3.98,9.53,10.13,3.77,3.94,0.00
5.38,8.64,8.74,4.58,5.57,3.80,8.87,3.53,9.64,3.92,1.00
4.57,8.45,9.14,3.71,4.72,8.45,8.59,4.02,3.86,3.77,1.00
10.15,8.30,8.38,4.33,6.11,7.35,8.83,3.99,3.72,3.87,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.58,8.94,6.86,6.09,4.28,8.57,8.97,4.15,3.89,3.86,0.00
5.12,9.38,8.19,3.97,4.55,4.09,8.73,3.69,4.58,4.13,1.00
5.11,8.97,11.28,3.63,8.28,5.75,9.18,8.65,3.74,3.88,1.00
5.85,7.21,7.10,6.91,4.75,7.94,8.63,3.73,4.43,5.97,0.00
9.47,8.76,12.20,4.26,9.48,4.14,9.26,11.99,4.07,7.95,1.00
9.90,7.18,10.36,4.67,8.51,5.56,9.40,6.71,3.81,8.33,1.00
10.01,8.19,8.57,4.69,11.17,6.36,9.38,12.31,7.62,3.92,0.00
8.35,8.35,11.17,5.15,7.02,5.63,8.20,10.75,5.12,3.79,1.00
9.13,8.71,10.47,6.24,8.35,7.82,9.43,10.90,4.12,8.97,0.00
9.80,8.31,10.82,4.31,7.19,4.89,8.04,12.32,4.80,3.99,1.00
4.82,8.73,12.18,3.73,7.25,4.54,8.76,7.49,3.61,3.88,1.00
8.08,9.01,8.54,4.29,9.51,3.95,8.61,3.87,6.58,12.87,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.44,9.01,9.77,6.15,6.17,8.53,8.60,4.00,4.77,4.02,0.00
9.65,7.67,10.64,3.87,9.20,5.98,9.24,11.76,4.03,3.92,0.00
5.64,7.62,8.90,5.34,9.91,4.28,9.72,4.94,4.34,3.93,0.00
5.00,7.44,9.83,4.74,8.54,7.41,8.88,4.49,8.81,4.35,0.00
4.29,5.16,8.89,7.20,7.26,3.67,8.40,3.86,4.83,9.06,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.92,7.34,8.13,3.92,4.02,7.74,8.06,3.82,3.75,4.08,0.00
4.73,8.79,8.74,3.76,4.49,6.67,8.40,3.34,4.24,3.73,1.00
7.58,8.91,8.49,4.48,4.77,7.54,8.61,4.63,7.30,3.95,0.00
10.73,8.18,8.21,5.02,8.95,4.07,9.02,8.84,6.01,3.98,1.00
4.95,8.09,9.18,3.69,7.12,4.21,8.22,3.79,4.03,6.69,0.00
9.94,8.29,10.96,4.75,7.16,4.94,9.11,10.57,3.95,4.33,1.00
