144501_at,22882_at,23283_at,26751_at,27445_at,3487_at,3861_at,55086_at,5644_at,56952_at,5711_at,64073_at,79633_at,84189_at,875_at,label
6.87,7.73,8.14,7.20,7.08,6.86,4.57,4.72,4.03,8.98,4.13,3.89,5.31,4.19,6.81,1.00
5.87,7.15,8.30,7.33,9.42,8.03,8.46,4.16,3.85,9.13,8.78,3.98,6.63,3.73,8.46,1.00
4.82,10.83,9.59,9.72,3.90,8.70,3.87,3.61,3.99,8.63,3.97,3.86,4.00,4.05,6.55,1.00
9.82,8.54,8.36,9.00,3.73,4.18,4.50,6.61,4.20,4.06,8.95,11.27,4.50,3.85,8.41,1.00
7.59,5.55,7.97,6.85,5.37,10.80,11.94,3.53,3.95,5.92,8.14,11.72,7.09,4.59,5.47,0.00
11.06,5.26,7.75,8.70,10.11,5.71,3.76,4.18,4.09,8.67,9.10,11.05,4.90,3.89,6.91,0.00
4.93,4.71,7.99,8.84,3.80,5.35,4.29,4.85,3.76,5.75,9.28,4.16,4.01,4.17,10.59,0.00
4.74,8.30,9.56,8.87,3.58,6.20,4.18,4.14,4.11,5.38,8.59,3.79,4.11,3.92,4.33,1.00
5.15,8.28,8.63,8.89,3.80,4.16,3.71,7.73,4.19,4.57,8.59,3.72,4.19,3.87,4.35,0.00
9.57,10.44,7.27,10.49,4.11,4.40,4.41,3.98,4.83,4.07,9.53,10.13,3.77,3.94,6.32,0.00
5.38,5.06,8.64,8.74,4.58,5.57,4.06,3.80,4.20,3.94,8.87,3.53,9.64,3.92,9.11,1.00
4.57,7.60,8.45,9.14,3.71,4.72,4.09,8.45,4.41,7.65,8.59,4.02,3.86,3.77,4.68,1.00
10.15,7.94,8.30,8.38,4.33,6.11,3.86,7.35,4.09,8.80,8.83,3.99,3.72,3.87,8.29,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.58,10.01,8.94,6.86,6.09,4.28,4.34,8.57,4.02,3.96,8.97,4.15,3.89,3.86,4.31,0.00
5.12,9.60,9.38,8.19,3.97,4.55,4.29,4.09,4.07,4.78,8.73,3.69,4.58,4.13,7.09,1.00
5.11,5.27,8.97,11.28,3.63,8.28,3.70,5.75,6.02,11.28,9.18,8.65,3.74,3.88,7.99,1.00
5.85,6.78,7.21,7.10,6.91,4.75,5.60,7.94,3.98,3.87,8.63,3.73,4.43,5.97,7.24,0.00
9.47,6.73,8.76,12.20,4.26,9.48,5.16,4.14,3.94,11.35,9.26,11.99,4.07,7.95,7.29,1.00
9.90,7.83,7.18,10.36,4.67,8.51,8.69,5.56,4.56,10.09,9.40,6.71,3.81,8.33,7.99,1.00
10.01,6.71,8.19,8.57,4.69,11.17,9.05,6.36,4.09,9.18,9.38,12.31,7.62,3.92,5.04,0.00
8.35,8.54,8.35,11.17,5.15,7.02,4.83,5.63,4.57,9.40,8.20,10.75,5.12,3.79,8.14,1.00
9.13,8.10,8.71,10.47,6.24,8.35,4.70,7.82,4.08,3.69,9.43,10.90,4.12,8.97,7.00,0.00
9.80,8.55,8.31,10.82,4.31,7.19,3.70,4.89,4.02,10.58,8.04,12.32,4.80,3.99,6.75,1.00
4.82,6.05,8.73,12.18,3.73,7.25,4.00,4.54,4.06,8.96,8.76,7.49,3.61,3.88,7.35,1.00
8.08,6.03,9.01,8.54,4.29,9.51,3.73,3.95,4.25,6.68,8.61,3.87,6.58,12.87,9.32,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.44,5.07,9.01,9.77,6.15,6.17,4.12,8.53,4.11,4.65,8.60,4.00,4.77,4.02,6.90,0.00
9.65,8.16,7.67,10.64,3.87,9.20,6.08,5.98,6.63,9.74,9.24,11.76,4.03,3.92,7.99,0.00
5.64,7.98,7.62,8.90,5.34,9.91,5.23,4.28,4.05,7.05,9.72,4.94,4.34,3.93,6.23,0.00
5.00,6.39,7.44,9.83,4.74,8.54,4.15,7.41,4.29,8.00,8.88,4.49,8.81,4.35,7.51,0.00
4.29,4.93,5.16,8.89,7.20,7.26,3.76,3.67,4.16,11.54,8.40,3.86,4.83,9.06,10.31,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.92,10.11,7.34,8.13,3.92,4.02,4.19,7.74,4.70,4.32,8.06,3.82,3.75,4.08,4.38,0.00
4.73,6.14,8.79,8.74,3.76,4.49,3.73,6.67,4.25,4.13,8.40,3.34,4.24,3.73,8.91,1.00
7.58,5.67,8.91,8.49,4.48,4.77,4.05,7.54,4.21,4.96,8.61,4.63,7.30,3.95,7.14,0.00
10.73,6.80,8.18,8.21,5.02,8.95,5.23,4.07,3.90,8.89,9.02,8.84,6.01,3.98,5.03,1.00
4.95,5.27,8.09,9.18,3.69,7.12,4.38,4.21,4.16,9.61,8.22,3.79,4.03,6.69,10.03,0.00
9.94,9.18,8.29,10.96,4.75,7.16,11.52,4.94,4.18,4.55,9.11,10.57,3.95,4.33,7.34,1.00
6.34,6.80,8.70,8.33,5.00,6.67,4.09,5.80,4.23,8.64,8.21,4.96,4.87,3.93,9.20,1.00
8.76,5.08,7.77,7.47,7.26,6.53,4.11,6.87,3.94,6.41,8.75,3.76,5.37,3.65,6.49,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.97,9.77,8.62,8.12,3.58,5.80,4.15,3.72,4.38,5.77,8.12,3.43,3.77,3.93,8.86,1.00
8.47,8.78,8.14,10.07,6.36,6.39,5.20,4.15,4.30,6.20,8.97,4.10,4.16,7.57,9.80,0.00
7.30,7.73,8.57,6.62,5.37,4.14,13.57,7.97,3.98,4.55,8.41,3.98,6.57,6.74,7.20,1.00
5.89,7.31,7.59,11.56,6.22,8.53,13.52,7.99,4.18,3.86,8.87,11.35,4.54,7.84,8.06,1.00
8.50,8.85,7.92,10.06,4.88,4.41,8.17,5.27,4.05,4.02,9.54,9.62,3.66,6.30,8.61,1.00
10.39,8.31,7.79,11.92,6.75,10.14,4.32,4.89,3.84,8.00,9.80,10.66,3.88,6.57,7.71,1.00
11.34,7.63,8.33,10.24,3.66,7.13,3.91,4.06,4.00,9.73,9.05,10.72,6.56,8.27,9.32,1.00
11.27,7.83,7.61,10.68,4.30,5.59,4.11,6.11,4.13,10.63,9.76,11.75,6.83,3.87,7.90,1.00
5.91,6.58,7.97,9.31,4.28,4.20,5.04,7.93,4.21,4.64,9.19,10.53,4.00,3.96,4.08,0.00
10.28,9.23,8.05,12.70,4.56,7.82,5.03,4.23,4.28,10.79,8.61,10.73,3.99,3.95,8.91,1.00
9.42,7.11,8.54,10.87,3.89,4.36,3.92,3.28,4.41,4.62,8.74,9.49,3.90,3.82,8.34,1.00
10.28,8.50,8.03,10.84,5.63,3.89,3.89,7.72,4.02,4.37,8.61,11.95,5.98,3.85,8.72,1.00
5.17,8.73,8.60,9.30,6.08,4.55,3.63,5.12,4.14,4.00,9.00,10.21,8.19,4.01,10.20,1.00
10.05,6.82,7.97,11.36,3.82,4.16,3.81,3.62,4.11,3.88,9.13,10.67,3.70,4.09,4.05,0.00
8.70,8.12,6.23,10.82,3.92,4.69,4.03,4.34,4.39,4.42,9.44,6.19,3.63,3.98,8.11,0.00
6.15,5.70,8.25,7.83,4.05,4.10,4.34,7.45,3.96,4.55,9.18,3.81,3.99,3.94,9.69,0.00
9.85,6.81,8.56,8.22,7.97,7.35,3.95,3.63,3.89,9.80,9.32,3.92,4.57,3.75,9.61,0.00
6.45,7.46,8.33,12.62,7.33,6.76,4.40,4.95,4.43,8.70,9.09,12.56,4.22,9.86,4.49,1.00
10.22,8.40,6.73,11.46,3.94,7.58,4.62,5.53,4.32,7.84,8.88,11.25,3.81,3.91,5.88,1.00
5.22,5.50,8.26,8.33,3.93,10.88,4.21,6.37,4.03,10.71,9.16,3.57,6.89,4.02,7.59,0.00
7.68,6.88,7.13,7.40,6.34,10.63,6.18,5.95,4.18,8.65,8.35,4.02,4.22,4.06,6.57,0.00
5.25,6.67,7.95,9.59,3.98,10.55,4.64,5.48,3.79,9.69,8.48,3.33,8.19,3.89,8.72,1.00
5.65,6.45,8.45,7.33,5.05,8.21,5.02,7.43,4.37,10.21,8.93,11.17,6.89,6.41,4.41,1.00
8.89,6.90,8.66,8.37,4.01,11.39,13.46,3.70,4.16,7.70,8.99,11.56,7.23,8.41,4.37,1.00
5.82,5.79,7.54,9.69,3.89,11.48,4.14,5.15,4.11,9.74,9.21,3.63,6.65,4.55,6.93,0.00
4.94,6.45,8.23,8.36,8.90,6.59,4.11,8.19,3.78,3.73,7.91,3.77,3.93,4.12,7.07,0.00
