23283_at,26751_at,27445_at,5711_at,79633_at,label
8.14,7.20,7.08,4.13,5.31,1.00
8.30,7.33,9.42,8.78,6.63,1.00
9.59,9.72,3.90,3.97,4.00,1.00
8.36,9.00,3.73,8.95,4.50,1.00
7.97,6.85,5.37,8.14,7.09,0.00
7.75,8.70,10.11,9.10,4.90,0.00
7.99,8.84,3.80,9.28,4.01,0.00
9.56,8.87,3.58,8.59,4.11,1.00
8.63,8.89,3.80,8.59,4.19,0.00
7.27,10.49,4.11,9.53,3.77,0.00
8.64,8.74,4.58,8.87,9.64,1.00
8.45,9.14,3.71,8.59,3.86,1.00
8.30,8.38,4.33,8.83,3.72,0.00
0.00,0.00,0.00,0.00,0.00,0.00
8.94,6.86,6.09,8.97,3.89,0.00
9.38,8.19,3.97,8.73,4.58,1.00
8.97,11.28,3.63,9.18,3.74,1.00
7.21,7.10,6.91,8.63,4.43,0.00
8.76,12.20,4.26,9.26,4.07,1.00
7.18,10.36,4.67,9.40,3.81,1.00
8.19,8.57,4.69,9.38,7.62,0.00
8.35,11.17,5.15,8.20,5.12,1.00
8.71,10.47,6.24,9.43,4.12,0.00
8.31,10.82,4.31,8.04,4.80,1.00
8.73,12.18,3.73,8.76,3.61,1.00
9.01,8.54,4.29,8.61,6.58,1.00
0.00,0.00,0.00,0.00,0.00,0.00
9.01,9.77,6.15,8.60,4.77,0.00
7.67,10.64,3.87,9.24,4.03,0.00
7.62,8.90,5.34,9.72,4.34,0.00
7.44,9.83,4.74,8.88,8.81,0.00
5.16,8.89,7.20,8.40,4.83,0.00
0.00,0.00,0.00,0.00,0.00,0.00
7.34,8.13,3.92,8.06,3.75,0.00
8.79,8.74,3.76,8.40,4.24,1.00
8.91,8.49,4.48,8.61,7.30,0.00
8.18,8.21,5.02,9.02,6.01,1.00
8.09,9.18,3.69,8.22,4.03,0.00
8.29,10.96,4.75,9.11,3.95,1.00
8.70,8.33,5.00,8.21,4.87,1.00
7.77,7.47,7.26,8.75,5.37,0.00
0.00,0.00,0.00,0.00,0.00,0.00
8.62,8.12,3.58,8.12,3.77,1.00
8.14,10.07,6.36,8.97,4.16,0.00
8.57,6.62,5.37,8.41,6.57,1.00
7.59,11.56,6.22,8.87,4.54,1.00
7.92,10.06,4.88,9.54,3.66,1.00
7.79,11.92,6.75,9.80,3.88,1.00
8.33,10.24,3.66,9.05,6.56,1.00
7.61,10.68,4.30,9.76,6.83,1.00
7.97,9.31,4.28,9.19,4.00,0.00
8.05,12.70,4.56,8.61,3.99,1.00
8.54,10.87,3.89,8.74,3.90,1.00
8.03,10.84,5.63,8.61,5.98,1.00
8.60,9.30,6.08,9.00,8.19,1.00
7.97,11.36,3.82,9.13,3.70,0.00
6.23,10.82,3.92,9.44,3.63,0.00
8.25,7.83,4.05,9.18,3.99,0.00
8.56,8.22,7.97,9.32,4.57,0.00
8.33,12.62,7.33,9.09,4.22,1.00
6.73,11.46,3.94,8.88,3.81,1.00
8.26,8.33,3.93,9.16,6.89,0.00
7.13,7.40,6.34,8.35,4.22,0.00
7.95,9.59,3.98,8.48,8.19,1.00
8.45,7.33,5.05,8.93,6.89,1.00
8.66,8.37,4.01,8.99,7.23,1.00
7.54,9.69,3.89,9.21,6.65,0.00
8.23,8.36,8.90,7.91,3.93,0.00
8.75,6.35,4.44,7.81,5.11,0.00
8.60,11.92,4.68,8.53,3.87,1.00
8.40,7.89,7.01,8.61,4.10,0.00
8.12,10.89,4.08,8.99,6.81,0.00
8.48,11.77,5.78,9.10,4.70,1.00
8.42,7.46,9.10,9.89,5.90,0.00
7.72,7.04,3.88,9.31,4.51,1.00
9.74,8.76,9.29,3.85,4.62,1.00
8.53,7.18,7.28,7.45,3.78,0.00
7.75,5.50,9.59,9.40,6.05,0.00
8.10,5.01,3.81,8.57,6.10,1.00
7.90,11.60,4.32,8.37,4.27,1.00
7.94,9.58,4.05,8.19,4.03,0.00
9.20,10.78,3.88,8.74,4.07,1.00
7.53,8.32,6.88,8.48,3.56,0.00
8.27,9.72,3.63,9.02,3.81,0.00
8.62,11.99,5.62,8.99,5.58,1.00
8.63,9.72,3.66,8.80,4.42,1.00
8.53,9.26,3.78,8.62,4.02,0.00
8.02,11.08,8.21,9.04,3.95,0.00
8.22,8.29,4.28,9.01,5.59,1.00
8.55,9.58,3.66,9.34,7.16,1.00
8.10,6.47,3.71,8.92,4.13,0.00
9.52,7.67,4.80,8.44,6.41,0.00
8.74,8.65,6.07,8.62,5.35,0.00
7.74,10.82,5.55,8.67,3.53,0.00
8.13,11.24,6.38,8.92,4.56,0.00
8.57,9.17,3.88,8.79,4.58,1.00
7.06,9.84,4.44,9.68,5.00,1.00
8.38,5.20,7.04,9.22,4.22,1.00
8.57,4.92,3.90,9.60,6.46,0.00
7.95,10.56,5.21,9.68,4.41,1.00
8.64,10.02,3.80,8.91,4.05,0.00
8.57,6.92,4.99,9.19,5.30,1.00
8.49,8.43,6.01,8.87,4.47,0.00
8.76,4.31,4.12,9.61,4.14,0.00
8.74,9.73,7.77,9.65,4.29,0.00
7.16,5.27,4.42,9.31,3.96,0.00
7.81,12.10,3.81,9.00,4.02,0.00
8.35,9.59,6.64,7.98,3.45,0.00
8.65,7.03,3.66,8.39,4.02,0.00
8.32,10.90,4.05,8.83,4.21,0.00
8.68,12.15,6.41,9.05,3.75,1.00
8.20,11.53,5.98,10.06,4.22,0.00
9.34,10.01,3.81,8.66,3.96,1.00
8.11,9.64,5.31,8.33,4.36,1.00
8.20,7.61,3.61,9.51,5.11,0.00
8.93,8.63,7.23,8.98,4.99,0.00
7.77,10.93,4.70,8.97,4.95,1.00
7.71,10.45,3.74,8.30,10.62,1.00
8.41,9.69,3.76,8.05,3.80,0.00
8.97,8.97,3.86,9.12,4.04,0.00
8.71,10.76,4.32,9.42,3.95,0.00
6.73,11.31,4.50,9.77,6.74,0.00
9.36,9.83,3.85,8.66,4.18,1.00
9.53,9.68,3.71,8.41,4.01,1.00
7.74,7.26,7.79,9.29,5.05,0.00
8.77,9.62,8.58,8.60,4.07,0.00
8.73,9.21,7.48,8.16,4.61,0.00
6.65,11.07,4.70,8.48,3.45,0.00
6.97,10.11,4.25,9.01,5.62,1.00
8.55,7.28,9.06,8.57,5.10,0.00
8.68,7.81,5.14,8.96,7.68,1.00
8.27,5.56,4.45,8.84,5.18,0.00
8.44,11.12,6.00,8.97,4.29,1.00
8.75,6.03,5.03,8.03,8.46,1.00
7.88,9.13,4.09,9.26,6.66,1.00
8.53,11.49,4.64,8.73,4.17,1.00
8.80,6.64,8.39,9.29,5.60,0.00
8.56,7.96,4.75,9.09,6.75,0.00
7.84,9.61,7.16,9.42,9.27,1.00
6.80,11.08,6.71,9.80,6.57,1.00
8.88,8.01,3.75,9.01,6.05,0.00
7.90,5.64,5.57,8.59,5.82,0.00
8.61,10.73,8.30,8.70,4.88,0.00
8.91,12.35,3.60,9.52,3.68,1.00
9.35,9.12,3.77,8.53,4.23,1.00
8.35,9.72,4.09,9.10,5.32,1.00
8.62,13.37,4.58,8.20,6.71,1.00
8.41,9.12,5.75,9.16,7.66,0.00
7.76,9.44,3.90,8.93,3.95,0.00
8.41,5.58,4.09,8.69,6.63,0.00
7.26,8.79,3.72,8.89,4.39,0.00
6.41,11.51,4.01,7.74,5.04,1.00
6.77,7.41,3.89,8.19,8.35,1.00
8.49,9.95,3.83,8.32,4.33,0.00
7.97,11.11,3.85,8.32,4.32,0.00
8.40,4.31,4.10,8.74,4.08,0.00
7.99,11.38,5.49,8.95,4.12,1.00
7.81,11.53,4.59,9.34,5.82,1.00
9.34,9.78,6.01,8.36,4.72,1.00
8.29,7.84,3.59,9.22,3.91,1.00
7.95,8.15,4.53,9.35,4.39,0.00
8.38,5.76,3.77,8.66,3.92,0.00
9.46,9.21,12.66,8.67,5.67,0.00
8.31,11.13,5.99,8.73,4.10,1.00
8.25,7.24,7.44,9.40,5.52,0.00
7.92,8.38,4.96,9.04,4.08,0.00
8.07,10.90,3.93,8.85,3.97,1.00
7.75,11.51,4.22,8.44,3.92,1.00
8.14,8.74,8.41,6.51,4.15,0.00
6.75,9.22,5.78,8.57,5.08,0.00
7.74,10.37,4.27,9.09,5.60,1.00
0.00,0.00,0.00,0.00,0.00,0.00
7.71,3.73,6.42,8.28,3.96,0.00
7.76,9.65,3.95,8.89,3.87,1.00
8.73,7.89,4.72,9.03,4.02,0.00
7.76,11.66,4.01,8.60,4.12,1.00
8.58,6.55,5.14,8.47,7.92,0.00
8.03,8.97,6.24,8.67,8.74,1.00
9.15,7.50,11.81,8.33,3.51,0.00
8.37,8.79,4.01,8.56,3.83,0.00
7.74,9.09,7.74,7.46,5.29,0.00
8.73,8.01,11.72,8.80,3.97,0.00
7.87,6.57,4.89,7.82,7.12,1.00
8.53,9.28,3.94,8.52,6.65,1.00
8.19,6.07,8.54,9.45,7.49,0.00
8.47,10.72,4.19,8.87,6.06,1.00
7.15,11.45,4.86,7.74,3.94,0.00
8.48,7.53,3.56,8.56,4.11,1.00
8.32,8.62,4.38,8.99,3.95,1.00
7.20,7.63,4.03,8.47,4.27,0.00
8.09,8.89,8.67,8.37,6.45,0.00
8.55,10.97,6.19,8.44,3.76,1.00
8.00,9.43,5.30,8.87,3.72,0.00
7.74,11.59,4.15,8.08,3.93,1.00
8.87,5.74,4.82,8.79,4.31,0.00
6.87,12.74,4.68,9.15,3.84,0.00
8.39,9.29,4.99,8.66,4.49,0.00
8.24,9.56,5.23,9.38,7.97,0.00
7.80,8.56,3.57,8.91,7.74,0.00
8.52,8.30,3.93,9.24,5.82,0.00
7.94,10.76,3.95,9.36,3.84,1.00
7.57,11.30,4.27,9.47,6.57,1.00
6.53,8.82,5.88,8.64,8.96,1.00
8.71,9.83,4.47,9.30,3.70,1.00
8.72,9.19,3.79,7.44,3.89,0.00
8.32,8.47,5.78,9.34,6.32,1.00
8.26,9.67,3.82,9.11,5.18,1.00
7.62,7.31,5.85,8.48,7.16,0.00
9.04,9.83,5.57,8.63,5.75,0.00
8.19,7.48,4.45,5.10,4.07,0.00
8.12,9.36,4.44,7.86,4.66,1.00
7.98,9.06,4.77,8.82,3.77,0.00
8.15,8.95,9.99,8.44,3.71,0.00
8.92,9.07,4.16,9.10,4.85,1.00
8.15,9.62,5.89,8.61,5.11,1.00
8.72,11.95,5.87,10.10,3.84,0.00
