10103_at,10788_at,116039_at,144501_at,148641_at,154141_at,1759_at,1846_at,200150_at,22882_at,23089_at,23283_at,23767_at,26751_at,2731_at,27346_at,27445_at,285148_at,285735_at,301_at,3248_at,329_at,3487_at,3861_at,3958_at,400798_at,4118_at,50810_at,50865_at,5274_at,5327_at,54749_at,55086_at,55353_at,554202_at,55655_at,5577_at,55959_at,5644_at,56952_at,56975_at,5711_at,57162_at,64073_at,64084_at,65982_at,6624_at,79633_at,79746_at,79772_at,79781_at,81558_at,83592_at,84189_at,84525_at,84677_at,85236_at,875_at,89944_at,9770_at,label
6.09,7.78,6.43,6.87,3.82,5.27,5.08,5.93,3.62,7.73,5.35,8.14,4.16,7.20,7.84,9.36,7.08,10.51,3.89,12.94,3.97,10.77,6.86,4.57,13.21,5.24,4.36,9.72,9.95,9.26,8.54,9.34,4.72,11.66,5.21,4.09,8.81,3.60,4.03,8.98,9.99,4.13,7.28,3.89,3.69,7.83,10.62,5.31,4.56,6.73,3.88,7.54,4.08,4.19,4.11,4.08,11.54,6.81,4.97,7.16,1.00
5.78,4.69,7.23,5.87,3.95,7.00,6.30,6.18,3.76,7.15,8.48,8.30,4.53,7.33,4.94,8.41,9.42,9.60,4.03,12.48,3.93,12.23,8.03,8.46,12.12,4.31,4.65,9.66,9.96,6.28,3.68,10.81,4.16,11.99,4.83,4.30,6.29,10.71,3.85,9.13,10.34,8.78,6.53,3.98,4.08,8.69,9.81,6.63,4.21,5.28,3.94,6.72,3.83,3.73,4.16,4.12,10.31,8.46,4.80,4.40,1.00
5.44,10.67,3.87,4.82,4.16,7.06,6.25,8.50,3.63,10.83,4.57,9.59,6.15,9.72,10.85,10.92,3.90,9.27,3.88,4.09,4.26,9.86,8.70,3.87,4.39,4.62,4.48,10.42,8.51,4.90,3.49,9.31,3.61,12.33,5.10,4.15,4.73,3.88,3.99,8.63,8.43,3.97,8.05,3.86,3.99,9.05,7.76,4.00,4.77,4.60,4.05,10.06,4.24,4.05,3.94,4.01,11.28,6.55,5.54,9.29,1.00
7.24,4.68,3.91,9.82,7.18,4.85,9.26,5.69,3.55,8.54,9.02,8.36,5.29,9.00,9.25,9.32,3.73,11.07,3.69,12.15,7.54,11.20,4.18,4.50,10.29,4.52,4.56,8.43,9.05,4.68,5.63,10.70,6.61,12.60,5.75,4.32,7.35,6.41,4.20,4.06,8.27,8.95,7.33,11.27,4.68,6.76,9.06,4.50,4.65,10.02,3.82,6.03,5.15,3.85,4.09,3.67,9.66,8.41,6.30,8.46,1.00
7.03,4.69,7.57,7.59,6.93,6.69,6.16,10.09,3.46,5.55,5.41,7.97,8.29,6.85,4.84,9.85,5.37,9.14,3.83,13.76,3.90,11.33,10.80,11.94,11.41,4.13,4.61,9.85,10.32,5.18,12.92,7.30,3.53,10.94,8.96,5.97,8.36,6.90,3.95,5.92,8.26,8.14,6.10,11.72,3.89,7.58,9.01,7.09,6.37,5.39,3.68,6.98,4.04,4.59,4.10,4.17,11.99,5.47,7.41,4.03,0.00
6.51,4.59,3.78,11.06,3.85,6.77,9.17,8.65,3.50,5.26,5.51,7.75,6.59,8.70,5.74,9.75,10.11,9.63,4.03,12.88,4.02,11.66,5.71,3.76,12.42,4.05,4.51,9.45,10.03,6.55,11.89,9.66,4.18,11.12,5.36,4.44,8.78,7.40,4.09,8.67,8.49,9.10,5.89,11.05,6.54,3.76,9.40,4.90,4.01,4.78,3.78,7.32,4.02,3.89,4.22,3.80,12.65,6.91,6.46,8.08,0.00
5.48,5.15,8.60,4.93,4.09,5.40,7.78,3.94,3.64,4.71,4.54,7.99,9.79,8.84,7.73,10.26,3.80,4.64,3.93,5.89,4.01,11.23,5.35,4.29,5.05,5.25,4.44,10.06,11.04,5.40,3.80,4.64,4.85,11.93,5.16,9.12,8.99,4.04,3.76,5.75,6.59,9.28,8.68,4.16,3.75,8.71,8.36,4.01,4.32,4.88,3.83,7.81,4.24,4.17,4.16,4.21,12.26,10.59,7.33,4.28,0.00
5.47,9.05,5.78,4.74,8.73,8.60,6.35,4.70,3.62,8.30,4.29,9.56,4.47,8.87,4.80,10.27,3.58,9.40,3.72,7.56,3.89,9.93,6.20,4.18,4.07,4.29,11.68,10.15,3.54,4.71,3.67,10.02,4.14,3.99,5.25,4.25,7.57,3.73,4.11,5.38,3.91,8.59,7.40,3.79,3.95,8.64,4.75,4.11,4.30,4.71,3.95,10.94,4.30,3.92,3.99,4.24,9.59,4.33,5.36,4.09,1.00
5.96,10.94,5.15,5.15,3.98,7.56,6.14,7.60,3.77,8.28,9.18,8.63,4.11,8.89,11.56,10.85,3.80,8.39,4.27,4.37,6.97,9.60,4.16,3.71,13.61,4.20,4.58,4.10,8.76,7.90,3.64,4.75,7.73,4.06,5.27,9.18,8.41,5.64,4.19,4.57,3.70,8.59,9.19,3.72,4.32,4.62,5.15,4.19,4.44,4.78,3.83,11.00,4.12,3.87,4.41,11.08,12.35,4.35,3.96,5.08,0.00
8.83,7.63,7.22,9.57,4.31,5.28,5.57,8.88,3.57,10.44,8.91,7.27,4.37,10.49,9.06,9.96,4.11,10.56,3.83,6.89,5.43,10.05,4.40,4.41,8.54,4.37,8.49,6.90,9.79,4.68,3.55,6.09,3.98,9.94,5.43,8.89,5.47,4.81,4.83,4.07,4.87,9.53,6.56,10.13,4.10,4.54,4.35,3.77,8.07,3.85,3.80,6.59,4.55,3.94,3.93,8.43,12.18,6.32,8.32,6.79,0.00
5.28,4.83,11.27,5.38,3.87,5.51,6.62,4.56,3.79,5.06,11.25,8.64,4.84,8.74,9.44,10.05,4.58,10.88,3.99,13.99,4.03,11.55,5.57,4.06,7.53,4.11,4.51,10.09,8.91,8.22,4.02,4.32,3.80,12.46,6.20,3.89,8.67,7.11,4.20,3.94,7.82,8.87,7.25,3.53,3.96,4.00,9.34,9.64,4.50,8.16,3.85,7.84,7.91,3.92,4.19,3.90,11.46,9.11,8.71,6.37,1.00
5.98,10.04,5.73,4.57,8.20,8.02,5.15,7.30,3.51,7.60,8.42,8.45,5.94,9.14,10.01,10.11,3.71,10.71,4.01,4.90,4.04,10.39,4.72,4.09,11.31,5.21,8.48,7.42,4.26,5.69,3.76,9.17,8.45,4.22,5.32,4.08,3.70,6.40,4.41,7.65,4.43,8.59,10.35,4.02,3.75,4.59,9.22,3.86,5.37,9.63,3.80,9.85,4.60,3.77,6.95,3.82,12.33,4.68,5.30,9.59,1.00
6.45,4.38,5.60,10.15,3.89,7.25,8.75,6.39,3.43,7.94,9.70,8.30,4.14,8.38,6.92,10.66,4.33,10.70,3.82,12.26,3.86,9.61,6.11,3.86,12.06,4.51,4.54,9.71,11.30,5.21,8.44,11.22,7.35,12.67,4.96,4.29,8.26,5.40,4.09,8.80,9.44,8.83,7.09,3.99,4.27,4.13,9.17,3.72,6.92,7.70,4.41,7.93,5.26,3.87,8.09,3.93,10.84,8.29,5.03,4.03,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.72,7.07,7.16,4.58,3.99,3.92,5.39,4.16,3.47,10.01,9.76,8.94,3.87,6.86,4.45,10.59,6.09,10.41,3.73,4.14,6.45,10.39,4.28,4.34,4.84,5.35,4.39,7.87,6.74,8.54,3.60,4.73,8.57,4.16,4.96,9.71,13.28,3.48,4.02,3.96,4.03,8.97,10.72,4.15,4.26,4.79,5.07,3.89,4.94,5.48,3.79,9.64,4.42,3.86,4.20,4.08,9.57,4.31,4.15,10.20,0.00
6.08,4.85,5.03,5.12,4.13,4.79,6.12,4.28,3.74,9.60,10.52,9.38,4.38,8.19,4.84,10.19,3.97,10.27,3.93,3.86,4.29,10.61,4.55,4.29,5.65,8.61,4.59,4.26,3.76,7.61,3.53,4.60,4.09,4.22,5.47,4.58,13.03,3.64,4.07,4.78,3.92,8.73,10.05,3.69,3.97,4.37,4.78,4.58,4.14,5.05,3.75,10.08,4.64,4.13,4.27,3.85,7.90,7.09,5.79,9.76,1.00
5.91,11.30,6.05,5.11,4.04,7.67,6.24,6.41,4.45,5.27,10.23,8.97,11.56,11.28,10.28,12.19,3.63,9.76,3.79,9.43,10.45,10.76,8.28,3.70,13.94,4.21,4.51,7.20,10.21,5.56,3.79,4.57,5.75,12.16,4.93,9.82,4.06,7.20,6.02,11.28,6.64,9.18,10.04,8.65,5.62,4.35,7.87,3.74,8.75,4.33,3.77,10.44,7.40,3.88,4.27,3.96,11.82,7.99,8.71,4.89,1.00
5.85,5.54,4.36,5.85,3.88,6.95,4.71,10.05,3.57,6.78,9.66,7.21,9.58,7.10,7.67,9.73,6.91,9.45,10.93,12.25,4.74,12.47,4.75,5.60,13.98,3.93,4.44,8.79,9.85,6.74,11.06,9.44,7.94,12.45,4.99,4.37,11.54,4.00,3.98,3.87,7.99,8.63,8.49,3.73,3.84,4.25,7.30,4.43,5.63,8.14,3.69,7.25,4.96,5.97,4.04,5.42,11.52,7.24,4.83,4.88,0.00
9.71,4.75,8.49,9.47,5.78,7.50,5.75,11.22,3.44,6.73,6.00,8.76,7.20,12.20,6.38,9.89,4.26,10.80,4.16,12.23,6.82,11.01,9.48,5.16,13.16,4.68,5.54,10.23,10.04,4.87,5.07,4.37,4.14,11.05,6.51,4.34,5.77,5.85,3.94,11.35,4.85,9.26,6.06,11.99,4.03,7.80,9.39,4.07,8.33,4.12,4.01,8.58,4.35,7.95,4.07,4.24,13.56,7.29,5.00,4.17,1.00
