154141_at,200150_at,23283_at,27445_at,3397_at,3487_at,400798_at,50865_at,55086_at,751071_at,79633_at,label
5.27,3.62,8.14,7.08,13.02,6.86,5.24,9.95,4.72,6.77,5.31,1.00
7.00,3.76,8.30,9.42,12.34,8.03,4.31,9.96,4.16,5.85,6.63,1.00
7.06,3.63,9.59,3.90,5.40,8.70,4.62,8.51,3.61,6.35,4.00,1.00
4.85,3.55,8.36,3.73,13.05,4.18,4.52,9.05,6.61,5.47,4.50,1.00
6.69,3.46,7.97,5.37,12.43,10.80,4.13,10.32,3.53,5.59,7.09,0.00
6.77,3.50,7.75,10.11,13.45,5.71,4.05,10.03,4.18,4.88,4.90,0.00
5.40,3.64,7.99,3.80,11.14,5.35,5.25,11.04,4.85,6.10,4.01,0.00
8.60,3.62,9.56,3.58,10.96,6.20,4.29,3.54,4.14,5.75,4.11,1.00
7.56,3.77,8.63,3.80,6.67,4.16,4.20,8.76,7.73,5.34,4.19,0.00
5.28,3.57,7.27,4.11,9.96,4.40,4.37,9.79,3.98,7.15,3.77,0.00
5.51,3.79,8.64,4.58,12.40,5.57,4.11,8.91,3.80,6.29,9.64,1.00
8.02,3.51,8.45,3.71,5.66,4.72,5.21,4.26,8.45,6.23,3.86,1.00
7.25,3.43,8.30,4.33,11.91,6.11,4.51,11.30,7.35,5.55,3.72,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.92,3.47,8.94,6.09,8.71,4.28,5.35,6.74,8.57,7.41,3.89,0.00
4.79,3.74,9.38,3.97,8.26,4.55,8.61,3.76,4.09,7.90,4.58,1.00
7.67,4.45,8.97,3.63,12.13,8.28,4.21,10.21,5.75,5.72,3.74,1.00
6.95,3.57,7.21,6.91,10.18,4.75,3.93,9.85,7.94,6.01,4.43,0.00
7.50,3.44,8.76,4.26,12.37,9.48,4.68,10.04,4.14,4.55,4.07,1.00
9.11,3.47,7.18,4.67,12.81,8.51,3.66,10.85,5.56,5.10,3.81,1.00
6.64,3.55,8.19,4.69,12.78,11.17,4.00,11.65,6.36,5.52,7.62,0.00
9.02,4.45,8.35,5.15,12.23,7.02,4.23,7.68,5.63,5.18,5.12,1.00
6.94,3.66,8.71,6.24,12.86,8.35,5.45,10.77,7.82,5.53,4.12,0.00
8.58,3.50,8.31,4.31,12.24,7.19,5.59,9.24,4.89,6.13,4.80,1.00
7.74,3.53,8.73,3.73,11.48,7.25,4.53,10.02,4.54,5.36,3.61,1.00
7.19,3.83,9.01,4.29,12.58,9.51,4.38,9.51,3.95,5.31,6.58,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.68,3.66,9.01,6.15,12.19,6.17,4.61,10.96,8.53,5.94,4.77,0.00
6.84,3.79,7.67,3.87,10.70,9.20,4.22,10.49,5.98,6.19,4.03,0.00
7.18,3.49,7.62,5.34,11.86,9.91,3.84,9.15,4.28,5.22,4.34,0.00
6.02,3.51,7.44,4.74,8.38,8.54,4.07,10.22,7.41,4.92,8.81,0.00
7.77,3.71,5.16,7.20,10.50,7.26,4.35,12.31,3.67,7.45,4.83,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.15,3.74,7.34,3.92,4.16,4.02,5.56,6.04,7.74,5.68,3.75,0.00
8.45,3.79,8.79,3.76,11.15,4.49,4.57,9.57,6.67,4.60,4.24,1.00
7.02,3.94,8.91,4.48,9.37,4.77,4.41,11.05,7.54,6.45,7.30,0.00
8.13,3.64,8.18,5.02,10.92,8.95,5.61,10.25,4.07,5.62,6.01,1.00
8.58,3.47,8.09,3.69,9.59,7.12,3.78,13.16,4.21,5.95,4.03,0.00
7.57,3.76,8.29,4.75,13.01,7.16,4.57,9.91,4.94,6.03,3.95,1.00
6.59,3.78,8.70,5.00,13.98,6.67,4.42,10.82,5.80,7.20,4.87,1.00
6.55,3.63,7.77,7.26,12.58,6.53,4.15,10.28,6.87,5.14,5.37,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.08,3.57,8.62,3.58,6.50,5.80,5.28,4.51,3.72,5.33,3.77,1.00
5.12,3.55,8.14,6.36,13.64,6.39,4.19,10.93,4.15,6.78,4.16,0.00
8.03,3.45,8.57,5.37,12.14,4.14,3.88,10.71,7.97,5.81,6.57,1.00
9.89,3.49,7.59,6.22,14.36,8.53,4.63,10.92,7.99,5.54,4.54,1.00
7.99,3.51,7.92,4.88,13.23,4.41,3.95,9.60,5.27,5.64,3.66,1.00
9.78,4.63,7.79,6.75,13.14,10.14,4.31,10.25,4.89,4.86,3.88,1.00
6.34,3.44,8.33,3.66,12.81,7.13,4.26,9.52,4.06,4.84,6.56,1.00
7.04,4.56,7.61,4.30,12.01,5.59,4.22,10.40,6.11,5.91,6.83,1.00
6.75,3.61,7.97,4.28,12.27,4.20,4.04,10.34,7.93,6.27,4.00,0.00
9.56,3.73,8.05,4.56,13.63,7.82,4.09,10.68,4.23,4.87,3.99,1.00
