1000_at,10253_at,10553_at,10974_at,1843_at,1906_at,1958_at,26136_at,347733_at,3759_at,4255_at,51477_at,55638_at,558_at,5638_at,6275_at,6446_at,6515_at,6867_at,8612_at,label
10.02,7.58,7.79,4.07,8.94,6.44,9.18,4.91,3.82,7.09,8.19,5.34,7.84,9.96,7.44,11.11,8.26,7.51,8.59,3.97,0.00
5.10,8.12,7.56,11.68,6.52,6.48,6.26,9.38,7.88,4.23,4.66,9.92,9.33,4.99,7.29,5.82,4.69,4.29,7.56,6.21,1.00
7.59,9.16,4.80,4.66,8.67,4.95,5.13,4.63,3.89,10.63,7.87,7.04,4.39,5.08,5.19,9.65,7.28,6.61,8.43,4.19,1.00
10.37,6.98,8.58,4.67,8.45,8.19,4.75,10.76,3.97,4.07,9.02,5.01,7.36,9.57,8.72,5.70,9.30,6.72,8.20,4.23,0.00
10.73,9.74,8.32,8.75,8.32,6.68,7.94,10.04,3.80,5.23,5.72,5.63,4.42,10.77,8.76,6.08,10.16,7.71,8.23,7.75,1.00
8.60,8.52,3.80,4.33,6.78,4.57,8.75,4.33,9.47,8.53,4.26,5.04,8.43,9.10,7.74,11.30,9.47,7.33,8.31,6.69,0.00
11.10,8.09,7.45,4.53,9.25,9.03,7.53,4.70,5.80,4.20,5.20,5.39,9.18,9.67,8.24,14.32,10.28,7.39,8.55,9.97,0.00
3.84,4.15,6.44,4.35,7.07,4.59,8.26,4.39,11.82,4.12,9.33,11.15,4.26,6.34,4.77,13.16,11.90,7.47,8.62,5.60,0.00
8.30,12.41,4.45,4.18,5.19,4.58,7.36,9.09,5.20,6.02,8.16,10.98,4.31,6.81,7.81,9.13,4.44,10.69,6.84,4.43,1.00
8.57,11.43,8.72,4.42,6.18,4.33,7.18,8.82,6.28,5.57,8.04,7.83,5.69,9.33,7.60,12.53,11.09,7.84,8.19,9.95,1.00
4.61,4.87,9.55,10.70,6.19,9.81,7.52,10.55,3.62,4.28,8.02,8.79,9.66,4.72,8.20,10.81,4.99,4.45,9.20,7.66,0.00
9.80,8.53,9.09,9.48,10.55,4.68,7.61,10.02,4.13,7.22,4.74,8.96,4.38,9.42,8.39,10.14,12.04,7.69,7.90,7.61,1.00
9.71,7.32,8.66,4.40,8.16,5.15,6.62,9.02,4.02,4.95,7.96,5.52,6.68,10.93,8.93,9.00,8.86,9.62,8.70,4.62,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.13,4.18,4.80,3.95,4.95,5.09,5.72,9.76,11.30,5.01,8.27,6.00,8.38,4.85,4.34,7.58,5.14,4.97,9.39,5.02,0.00
4.50,4.77,6.51,4.85,4.89,4.69,6.72,8.80,8.32,4.80,7.83,5.25,7.39,4.98,4.70,7.56,7.21,5.30,8.80,3.98,0.00
4.32,7.46,10.11,5.60,8.18,7.31,8.19,8.78,3.82,4.23,8.09,10.39,9.58,4.51,7.99,5.95,7.26,4.52,8.74,9.42,0.00
5.12,5.14,7.10,12.51,7.46,5.63,7.32,10.12,3.76,3.84,7.86,6.44,10.25,5.01,6.75,8.60,5.32,4.21,7.46,7.26,0.00
9.50,8.97,9.01,7.40,7.32,8.10,8.59,6.22,4.07,4.46,8.22,9.77,4.58,9.25,7.61,8.29,10.84,5.16,9.61,8.73,0.00
6.53,6.61,9.97,9.64,7.69,9.88,9.05,10.26,3.43,9.27,8.11,9.04,8.19,7.81,8.68,8.48,11.81,4.49,7.00,10.05,1.00
9.78,7.61,9.86,10.01,9.23,7.18,8.94,9.93,6.41,3.81,7.37,5.66,5.70,10.14,8.46,10.30,9.67,7.45,9.56,6.93,0.00
5.32,7.44,9.77,4.64,6.32,8.54,6.63,10.65,4.24,4.38,6.67,8.61,6.44,9.22,9.56,7.79,7.08,4.69,9.70,9.61,1.00
4.70,4.04,7.11,12.50,9.15,7.67,7.51,9.13,3.86,4.57,9.17,8.04,9.39,4.54,7.29,9.62,5.03,4.99,7.52,6.52,0.00
9.75,8.90,6.47,4.87,6.63,6.07,7.76,4.71,9.87,8.89,4.82,6.74,5.70,9.42,7.18,6.63,7.85,7.23,9.56,7.16,0.00
10.16,11.94,3.91,4.03,6.07,4.75,7.09,4.51,10.58,4.45,4.11,8.38,4.33,9.11,8.75,13.39,10.93,5.91,7.66,4.94,1.00
4.42,9.11,10.02,9.70,4.76,6.96,8.00,10.18,4.04,7.10,9.55,6.70,4.60,5.26,8.38,14.75,9.18,4.34,8.14,10.33,1.00
4.66,9.86,10.67,4.67,4.88,5.14,6.17,9.11,4.30,8.00,9.22,6.07,6.40,5.16,6.60,13.61,5.90,4.64,7.82,10.14,1.00
3.81,4.28,8.50,4.16,5.91,4.64,7.53,8.48,3.79,4.32,4.51,6.68,4.19,4.94,8.35,6.05,7.51,4.66,6.93,4.75,0.00
8.72,11.10,9.71,4.06,6.75,4.23,7.97,9.88,8.93,4.37,5.37,9.67,4.55,4.83,8.26,10.15,13.22,9.95,9.05,9.15,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.42,10.66,7.34,4.28,7.97,4.64,7.08,9.15,4.27,4.32,6.31,8.88,4.33,4.94,8.11,5.55,12.19,7.13,10.23,7.73,1.00
4.59,8.69,9.63,8.08,6.56,5.56,8.34,9.07,3.79,4.06,7.99,5.69,4.34,9.06,3.91,6.46,8.92,4.18,7.72,9.87,0.00
8.53,9.16,7.51,4.43,8.41,8.56,8.83,10.64,6.38,4.17,8.73,11.32,5.05,4.78,6.67,8.45,6.60,5.11,7.51,6.67,0.00
9.85,9.35,9.21,11.42,8.59,9.65,8.76,10.70,5.27,9.75,8.46,7.86,7.50,9.92,8.29,12.08,8.86,4.74,9.28,8.02,0.00
9.35,6.99,8.28,4.48,6.68,7.70,8.01,6.43,9.60,4.86,6.40,6.39,6.25,8.39,7.30,8.52,9.91,6.70,8.44,7.15,0.00
10.64,11.00,7.24,10.91,6.65,8.51,5.72,4.65,7.71,8.55,4.49,7.29,6.45,9.12,6.92,10.13,9.02,9.55,9.89,8.77,1.00
4.51,3.61,7.47,4.37,4.88,4.64,7.21,9.48,8.81,4.74,8.43,6.04,9.27,5.07,5.34,6.21,6.90,5.16,7.55,4.41,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.19,8.54,10.31,10.96,4.91,7.86,6.24,8.74,3.93,3.64,8.87,11.08,7.65,5.43,7.86,11.41,8.14,4.48,7.83,5.36,1.00
4.44,3.94,8.18,4.42,5.34,5.26,8.03,4.19,3.97,4.17,8.48,5.68,5.11,5.04,4.55,7.89,9.35,7.16,9.42,4.57,0.00
