10253_at,10974_at,11167_at,1832_at,1843_at,222235_at,26071_at,26136_at,26157_at,347733_at,4050_at,51477_at,54749_at,558_at,6446_at,6662_at,6867_at,7042_at,79772_at,92747_at,label
7.58,4.07,11.90,4.13,8.94,8.51,8.06,4.91,4.28,3.82,4.36,5.34,9.34,9.96,8.26,8.87,8.59,6.18,6.73,3.86,0.00
8.12,11.68,4.98,10.62,6.52,3.86,9.05,9.38,3.86,7.88,4.39,9.92,9.95,4.99,4.69,8.21,7.56,4.08,4.72,4.25,1.00
9.16,4.66,4.30,4.16,8.67,3.93,3.89,4.63,8.69,3.89,4.93,7.04,9.31,5.08,7.28,3.73,8.43,4.19,4.60,4.20,1.00
6.98,4.67,12.41,5.34,8.45,4.73,9.39,10.76,4.67,3.97,5.17,5.01,11.93,9.57,9.30,6.38,8.20,9.05,5.56,3.96,0.00
9.74,8.75,11.28,7.53,8.32,3.67,9.84,10.04,4.09,3.80,4.25,5.63,4.31,10.77,10.16,10.16,8.23,5.07,7.65,3.89,1.00
8.52,4.33,10.32,5.25,6.78,3.76,8.44,4.33,8.37,9.47,4.78,5.04,11.13,9.10,9.47,8.37,8.31,6.64,7.71,3.93,0.00
8.09,4.53,12.91,10.24,9.25,4.25,8.78,4.70,4.43,5.80,4.34,5.39,9.66,9.67,10.28,8.55,8.55,6.97,4.78,4.03,0.00
4.15,4.35,10.83,9.89,7.07,4.00,9.11,4.39,5.36,11.82,4.81,11.15,9.72,6.34,11.90,11.00,8.62,3.81,4.54,4.19,0.00
12.41,4.18,10.04,4.36,5.19,3.74,9.00,9.09,8.03,5.20,4.60,10.98,4.64,6.81,4.44,7.47,6.84,4.21,4.88,4.01,1.00
11.43,4.42,6.58,7.81,6.18,3.88,9.09,8.82,5.48,6.28,4.38,7.83,8.96,9.33,11.09,3.79,8.19,4.12,6.05,3.90,1.00
4.87,10.70,7.00,11.80,6.19,3.69,8.01,10.55,4.93,3.62,4.29,8.79,6.09,4.72,4.99,5.82,9.20,5.49,3.85,5.86,0.00
8.53,9.48,11.90,11.05,10.55,7.75,8.96,10.02,7.10,4.13,4.66,8.96,4.12,9.42,12.04,9.02,7.90,4.88,5.80,3.71,1.00
7.32,4.40,12.68,5.51,8.16,4.35,8.15,9.02,4.25,4.02,4.15,5.52,11.22,10.93,8.86,8.26,8.70,8.48,7.70,3.94,0.00
