1000_at,10243_at,10253_at,10371_at,10628_at,10656_at,10974_at,11001_at,11167_at,112616_at,123_at,1832_at,1843_at,1958_at,2069_at,222235_at,22943_at,26071_at,26136_at,26157_at,286343_at,28638_at,29940_at,347733_at,3887_at,4050_at,4255_at,51477_at,54742_at,54749_at,55529_at,55638_at,558_at,56884_at,57633_at,590_at,6446_at,6515_at,664_at,6662_at,6867_at,7042_at,79192_at,79772_at,79888_at,8581_at,8612_at,90135_at,92747_at,9955_at,label
10.02,7.46,7.58,7.89,8.38,9.16,4.07,4.26,11.90,10.69,5.00,4.13,8.94,9.18,3.59,8.51,4.63,8.06,4.91,4.28,9.03,4.00,9.97,3.82,4.97,4.36,8.19,5.34,5.22,9.34,7.44,7.84,9.96,9.21,3.88,12.67,8.26,7.51,12.29,8.87,8.59,6.18,4.03,6.73,7.93,3.75,3.97,11.13,3.86,5.11,0.00
5.10,8.83,8.12,4.09,11.35,5.50,11.68,8.87,4.98,8.62,6.65,10.62,6.52,6.26,3.50,3.86,10.93,9.05,9.38,3.86,4.81,3.84,7.25,7.88,4.55,4.39,4.66,9.92,4.20,9.95,8.48,9.33,4.99,3.77,4.52,4.72,4.69,4.29,10.45,8.21,7.56,4.08,3.52,4.72,7.40,3.91,6.21,10.40,4.25,3.40,1.00
7.59,7.64,9.16,7.86,8.79,6.59,4.66,10.34,4.30,11.99,10.44,4.16,8.67,5.13,4.05,3.93,8.13,3.89,4.63,8.69,4.21,4.23,4.44,3.89,4.71,4.93,7.87,7.04,4.02,9.31,7.88,4.39,5.08,3.69,3.75,4.03,7.28,6.61,9.82,3.73,8.43,4.19,9.48,4.60,9.72,4.19,4.19,8.96,4.20,4.51,1.00
10.37,6.86,6.98,5.38,7.72,8.74,4.67,4.34,12.41,10.07,10.67,5.34,8.45,4.75,10.56,4.73,4.32,9.39,10.76,4.67,4.84,3.91,9.67,3.97,4.96,5.17,9.02,5.01,4.02,11.93,7.86,7.36,9.57,3.45,3.89,4.16,9.30,6.72,11.47,6.38,8.20,9.05,3.62,5.56,10.77,4.09,4.23,9.03,3.96,4.29,0.00
10.73,7.95,9.74,9.28,11.14,8.52,8.75,4.34,11.28,10.64,4.19,7.53,8.32,7.94,7.09,3.67,11.14,9.84,10.04,4.09,8.21,8.28,10.53,3.80,4.74,4.25,5.72,5.63,4.39,4.31,8.06,4.42,10.77,3.68,3.75,8.76,10.16,7.71,12.17,10.16,8.23,5.07,3.47,7.65,9.65,4.00,7.75,10.52,3.89,10.44,1.00
8.60,6.58,8.52,5.50,6.02,5.89,4.33,4.13,10.32,6.13,9.12,5.25,6.78,8.75,7.26,3.76,5.00,8.44,4.33,8.37,7.44,10.45,10.84,9.47,8.19,4.78,4.26,5.04,4.01,11.13,9.98,8.43,9.10,3.77,3.65,4.24,9.47,7.33,10.66,8.37,8.31,6.64,3.39,7.71,7.05,3.82,6.69,10.46,3.93,5.24,0.00
11.10,6.31,8.09,5.23,9.45,6.03,4.53,4.38,12.91,8.52,4.64,10.24,9.25,7.53,3.51,4.25,14.05,8.78,4.70,4.43,6.10,3.97,9.31,5.80,8.41,4.34,5.20,5.39,3.94,9.66,9.01,9.18,9.67,7.54,5.48,8.72,10.28,7.39,10.24,8.55,8.55,6.97,5.50,4.78,8.97,4.07,9.97,5.62,4.03,11.55,0.00
3.84,7.47,4.15,3.87,5.17,4.78,4.35,4.57,10.83,10.59,9.31,9.89,7.07,8.26,3.80,4.00,9.30,9.11,4.39,5.36,9.99,3.80,9.68,11.82,4.26,4.81,9.33,11.15,4.21,9.72,7.85,4.26,6.34,3.76,3.79,3.82,11.90,7.47,11.81,11.00,8.62,3.81,3.86,4.54,8.99,4.16,5.60,10.61,4.19,8.46,0.00
8.30,8.10,12.41,7.59,7.13,4.18,4.18,5.48,10.04,10.33,8.99,4.36,5.19,7.36,3.76,3.74,12.47,9.00,9.09,8.03,6.33,3.91,8.70,5.20,4.78,4.60,8.16,10.98,4.07,4.64,8.17,4.31,6.81,3.67,3.70,6.37,4.44,10.69,11.97,7.47,6.84,4.21,3.82,4.88,9.69,4.21,4.43,5.62,4.01,4.38,1.00
8.57,7.27,11.43,7.33,8.18,8.20,4.42,4.44,6.58,11.43,12.19,7.81,6.18,7.18,3.64,3.88,11.59,9.09,8.82,5.48,4.25,3.91,4.99,6.28,6.36,4.38,8.04,7.83,7.97,8.96,7.77,5.69,9.33,3.78,3.98,7.34,11.09,7.84,11.30,3.79,8.19,4.12,4.04,6.05,9.54,4.28,9.95,10.00,3.90,8.46,1.00
