100652898_at,11012_at,1475_at,2195_at,25797_at,25907_at,3221_at,79695_at,83648_at,92737_at,label
8.57,4.79,9.44,11.77,8.44,8.71,4.32,5.43,8.31,8.77,1.00
6.93,4.75,3.92,11.97,3.66,4.23,5.10,5.45,5.51,4.04,1.00
9.24,4.81,4.38,12.41,3.52,6.09,4.56,5.41,4.65,3.93,1.00
5.68,4.57,3.64,9.54,4.39,9.06,6.41,4.87,5.77,4.30,0.00
11.07,4.48,3.82,12.50,3.70,10.19,4.62,6.47,10.11,10.70,0.00
11.42,4.53,3.59,11.44,8.95,10.33,4.79,5.36,5.19,9.33,0.00
8.72,4.68,3.94,11.74,11.28,9.43,7.22,6.74,4.52,6.94,0.00
12.47,4.69,6.93,10.80,6.31,7.24,7.03,4.68,4.63,7.00,0.00
11.86,4.71,3.82,12.24,9.67,5.58,6.30,9.84,5.32,3.81,1.00
10.30,5.00,11.05,5.35,3.75,4.29,7.10,6.62,5.78,3.69,0.00
8.81,4.63,4.64,11.17,4.64,8.30,6.27,5.54,6.46,10.47,0.00
7.93,4.67,4.25,4.62,3.86,4.27,8.44,5.75,9.98,4.59,0.00
12.28,4.83,4.41,10.34,3.79,6.48,5.99,5.02,4.42,4.17,1.00
11.91,4.79,4.34,11.10,5.80,6.01,5.34,6.28,4.43,3.74,1.00
12.46,4.90,7.91,10.75,8.60,7.47,4.86,9.06,7.64,5.70,1.00
12.61,7.87,12.47,11.34,5.35,4.84,5.08,8.05,5.83,4.68,1.00
12.29,5.30,8.35,9.27,9.86,7.71,4.64,8.06,4.82,8.77,1.00
7.96,4.73,3.75,11.29,3.94,10.27,4.57,5.09,10.26,7.60,0.00
8.77,6.64,3.80,11.63,6.65,6.75,4.83,9.51,4.79,4.46,1.00
10.95,5.59,3.86,11.16,3.55,4.92,7.61,4.08,4.71,4.25,0.00
11.29,4.77,4.18,12.49,4.05,12.05,6.98,6.67,5.75,7.45,0.00
10.90,5.28,5.93,12.97,8.17,6.88,4.91,9.24,4.54,4.09,1.00
12.36,4.58,3.97,11.84,9.55,8.98,7.34,8.44,4.38,11.90,1.00
11.66,4.94,5.52,13.36,9.02,4.66,4.88,7.91,4.83,3.84,1.00
11.93,10.54,4.18,11.39,3.89,8.66,4.75,4.19,4.93,9.61,1.00
11.56,9.72,4.83,9.75,4.26,8.60,5.00,8.70,7.37,3.99,0.00
12.23,9.76,4.10,5.20,3.52,4.50,5.26,5.49,5.31,4.17,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.62,5.54,8.31,12.98,3.61,7.18,5.36,4.58,5.42,4.95,1.00
11.28,5.16,3.69,5.70,3.95,5.33,9.31,4.06,4.30,3.79,0.00
12.64,4.85,9.05,6.89,7.15,7.66,6.66,6.51,5.54,4.89,0.00
10.96,4.86,4.01,9.59,7.86,12.14,6.81,4.99,5.69,9.14,0.00
12.43,6.49,11.89,8.96,3.52,5.15,6.68,7.70,4.13,4.38,1.00
13.23,4.77,3.87,4.98,11.09,5.35,5.75,5.26,5.16,4.16,0.00
11.45,8.58,12.93,12.87,5.22,4.56,5.08,8.27,5.06,3.92,1.00
10.77,4.94,11.94,11.23,3.59,4.43,4.52,11.25,6.85,4.32,1.00
10.83,4.70,5.59,11.03,5.77,4.31,4.86,9.81,6.87,6.70,1.00
11.98,4.79,5.61,11.10,8.17,4.61,4.94,10.22,7.36,4.18,0.00
10.51,4.56,3.86,11.15,3.39,7.16,5.01,8.32,5.02,6.19,1.00
10.76,5.25,5.37,10.51,3.45,5.41,6.53,10.02,5.35,4.65,1.00
9.66,5.14,8.56,11.81,3.94,6.14,4.89,9.47,7.19,4.07,1.00
6.61,5.48,4.13,10.58,9.90,9.41,6.97,4.24,5.93,4.02,0.00
10.91,7.67,5.99,5.59,5.02,7.56,5.06,4.51,4.56,9.11,0.00
13.00,4.51,6.34,11.16,5.58,10.66,3.86,6.08,8.09,4.74,0.00
12.74,5.11,11.05,13.06,3.98,11.00,6.62,4.26,7.28,9.66,0.00
