100652898_at,11012_at,1475_at,2195_at,25797_at,25907_at,26509_at,2878_at,3221_at,4016_at,4072_at,4131_at,445_at,5307_at,55769_at,7076_at,79695_at,83648_at,92737_at,9536_at,label
8.57,4.79,9.44,11.77,8.44,8.71,10.93,3.79,4.32,7.42,12.37,8.53,8.60,7.44,6.35,10.30,5.43,8.31,8.77,8.80,1.00
6.93,4.75,3.92,11.97,3.66,4.23,4.36,4.40,5.10,3.51,4.10,9.46,8.32,4.18,8.04,8.12,5.45,5.51,4.04,4.92,1.00
9.24,4.81,4.38,12.41,3.52,6.09,11.86,8.03,4.56,3.27,3.91,10.59,9.60,4.58,7.71,11.54,5.41,4.65,3.93,4.88,1.00
5.68,4.57,3.64,9.54,4.39,9.06,10.89,6.58,6.41,8.88,6.71,10.15,6.84,6.35,7.59,11.25,4.87,5.77,4.30,6.87,0.00
11.07,4.48,3.82,12.50,3.70,10.19,11.84,4.69,4.62,6.51,4.31,10.48,7.09,6.12,7.84,12.12,6.47,10.11,10.70,7.31,0.00
11.42,4.53,3.59,11.44,8.95,10.33,12.37,4.00,4.79,11.32,4.54,11.58,5.23,7.43,8.87,12.46,5.36,5.19,9.33,5.46,0.00
8.72,4.68,3.94,11.74,11.28,9.43,10.64,4.09,7.22,3.35,4.17,9.28,5.58,4.17,5.54,11.94,6.74,4.52,6.94,7.15,0.00
12.47,4.69,6.93,10.80,6.31,7.24,8.35,4.62,7.03,11.20,3.88,9.88,7.14,4.47,8.14,13.38,4.68,4.63,7.00,4.94,0.00
11.86,4.71,3.82,12.24,9.67,5.58,12.58,6.90,6.30,7.54,10.65,10.87,7.01,4.16,4.85,10.73,9.84,5.32,3.81,5.20,1.00
10.30,5.00,11.05,5.35,3.75,4.29,4.84,4.47,7.10,3.42,4.55,4.53,5.31,4.52,7.77,11.13,6.62,5.78,3.69,5.10,0.00
8.81,4.63,4.64,11.17,4.64,8.30,12.42,6.02,6.27,11.02,5.52,11.80,11.09,6.80,9.14,11.83,5.54,6.46,10.47,8.15,0.00
7.93,4.67,4.25,4.62,3.86,4.27,4.19,4.04,8.44,3.65,4.08,4.55,6.02,8.06,8.54,4.48,5.75,9.98,4.59,4.86,0.00
12.28,4.83,4.41,10.34,3.79,6.48,11.57,5.82,5.99,6.72,11.66,6.48,12.93,7.99,8.26,9.97,5.02,4.42,4.17,10.61,1.00
