10643_at,11012_at,114569_at,1293_at,146857_at,3248_at,389376_at,6003_at,7306_at,9770_at,label
9.79,4.79,11.65,4.84,6.59,4.08,3.78,3.46,3.84,4.13,1.00
9.97,4.75,4.24,4.16,4.28,4.26,3.75,3.51,3.93,9.29,1.00
10.25,4.81,11.55,5.86,7.02,7.54,3.70,3.50,4.12,8.46,1.00
10.00,4.57,8.63,9.11,4.25,4.10,3.67,3.69,3.79,6.30,0.00
10.44,4.48,4.69,4.34,6.67,3.90,3.61,3.34,5.56,4.03,0.00
10.87,4.53,4.17,7.12,3.40,4.02,3.56,3.36,6.99,8.08,0.00
11.71,4.68,4.01,4.66,3.61,4.67,3.78,3.36,9.51,4.33,0.00
10.94,4.69,4.23,5.04,3.69,6.02,3.64,3.41,3.99,4.78,0.00
9.85,4.71,12.57,4.68,6.46,3.97,3.73,3.45,4.21,8.69,1.00
10.61,5.00,4.21,4.09,4.44,4.04,3.96,3.85,3.88,9.59,0.00
10.44,4.63,4.92,13.19,4.88,3.86,3.67,3.33,3.89,4.03,0.00
10.81,4.67,4.30,4.21,3.90,6.45,3.83,11.07,3.55,10.20,0.00
10.52,4.83,11.16,4.77,5.63,3.85,4.28,3.42,3.57,8.88,1.00
11.14,4.79,12.66,4.00,3.69,10.45,6.61,3.59,3.93,4.89,1.00
11.20,4.90,12.94,4.51,3.72,6.82,4.20,3.48,4.04,4.17,1.00
11.37,7.87,11.58,4.34,5.64,5.54,3.93,3.55,3.91,3.88,1.00
9.14,5.30,12.51,4.89,7.29,6.50,3.68,3.34,4.01,3.97,1.00
8.95,4.73,4.25,5.22,5.68,4.13,3.48,3.40,4.46,4.06,0.00
11.30,6.64,12.61,4.19,5.75,5.35,11.01,3.35,3.91,4.15,1.00
4.25,5.59,12.01,4.20,3.53,4.35,3.78,3.46,10.17,4.14,0.00
10.57,4.77,3.92,13.77,3.60,4.00,3.56,3.34,6.76,4.89,0.00
10.43,5.28,12.13,4.05,3.60,4.50,4.09,3.41,3.87,3.91,1.00
10.85,4.58,11.54,4.24,3.59,4.20,3.68,3.36,4.05,9.16,1.00
10.81,4.94,12.26,3.86,3.51,12.45,3.70,3.28,3.69,4.07,1.00
9.32,10.54,12.92,3.98,7.79,3.85,3.99,3.33,4.11,4.57,1.00
10.96,9.72,12.29,4.09,3.45,3.85,4.36,3.43,3.65,4.38,0.00
11.65,9.76,10.43,5.16,6.18,4.57,3.80,3.43,7.59,4.20,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.80,5.54,12.72,5.01,3.72,5.34,7.25,3.39,3.69,4.08,1.00
4.21,5.16,12.47,4.21,3.55,3.85,3.82,3.46,4.75,4.14,0.00
8.11,4.85,4.01,3.95,3.57,4.03,3.62,3.40,4.66,5.63,0.00
10.94,4.86,4.02,10.27,3.47,3.99,3.69,3.33,4.06,3.85,0.00
10.04,6.49,12.07,4.20,6.39,4.66,3.58,3.47,9.42,3.97,1.00
4.11,4.77,4.18,5.84,3.31,3.94,3.75,3.50,4.04,4.38,0.00
11.53,8.58,12.40,3.81,6.00,8.29,3.82,3.35,4.25,4.13,1.00
10.98,4.94,12.32,4.13,8.13,9.68,12.53,3.43,3.80,7.35,1.00
10.77,4.70,12.69,4.07,7.52,9.18,9.79,3.29,3.91,4.23,1.00
4.85,4.79,13.02,4.21,8.28,4.63,11.12,3.41,4.14,6.21,0.00
10.77,4.56,12.48,3.83,5.29,9.32,11.25,3.39,3.93,7.90,1.00
11.61,5.25,13.38,9.01,4.83,5.47,3.76,3.47,4.33,4.13,1.00
10.68,5.14,11.53,5.12,3.50,3.84,4.00,3.46,3.97,5.85,1.00
10.86,5.48,12.59,4.44,3.65,4.04,9.25,3.59,3.99,6.10,0.00
10.60,7.67,12.10,4.19,6.98,3.86,4.95,3.43,3.92,3.87,0.00
8.17,4.51,4.24,12.89,3.63,3.98,3.61,3.50,3.82,4.45,0.00
8.33,5.11,4.32,13.84,3.73,3.83,3.54,3.53,3.82,4.40,0.00
11.19,4.42,6.68,12.96,3.82,7.33,3.57,3.58,10.42,4.60,0.00
11.87,4.41,4.56,4.13,3.65,3.92,3.62,3.40,3.67,5.26,0.00
9.95,4.93,4.82,4.47,3.40,7.28,3.84,3.53,13.62,4.59,0.00
10.21,4.50,3.72,12.72,3.63,4.14,3.72,3.62,3.81,3.79,0.00
11.15,5.31,11.85,4.11,7.71,10.86,3.68,3.63,3.95,3.99,1.00
11.01,10.67,13.24,3.97,3.73,8.17,9.56,3.51,4.24,4.22,0.00
11.38,4.95,13.52,3.97,8.15,8.96,3.65,3.46,3.78,4.89,1.00
12.16,5.60,12.39,4.35,3.70,4.13,8.17,3.40,4.15,7.79,1.00
7.55,6.34,12.39,4.53,3.69,8.61,12.05,3.29,3.99,6.95,1.00
11.23,4.08,3.76,3.74,3.62,3.99,3.62,3.38,3.83,5.22,0.00
10.52,4.42,12.20,3.85,3.61,4.88,3.51,3.32,6.45,4.06,1.00
11.09,4.85,11.41,4.12,5.73,8.39,3.86,3.65,4.01,4.07,1.00
11.47,4.54,8.62,13.09,3.81,9.68,4.17,3.49,6.04,6.58,0.00
10.69,4.68,4.30,3.91,8.45,3.99,3.63,4.11,3.91,9.99,1.00
10.54,4.65,4.50,7.18,3.51,5.00,3.74,3.58,13.58,4.51,0.00
9.39,4.54,4.47,11.78,5.45,3.94,3.80,3.73,4.02,4.22,0.00
11.00,5.17,3.93,4.55,3.59,3.94,3.84,11.94,3.74,12.37,0.00
10.72,5.35,12.53,4.46,3.53,9.89,3.71,3.31,4.06,6.43,1.00
9.05,4.27,4.15,3.99,3.71,4.05,3.81,3.59,4.01,7.03,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.44,5.05,11.59,4.12,3.43,5.50,3.67,3.30,4.38,5.09,1.00
11.08,5.34,11.05,4.32,3.81,4.29,3.75,3.39,4.28,4.37,1.00
10.28,4.38,12.05,3.73,3.57,5.21,3.41,3.48,6.48,4.02,1.00
10.93,6.03,11.30,5.07,3.64,5.37,3.75,3.31,4.12,4.95,1.00
10.22,5.41,12.03,4.10,3.72,4.06,3.49,3.46,4.43,3.81,1.00
10.70,4.67,5.14,8.53,3.46,4.14,3.85,3.39,3.99,4.32,0.00
9.60,4.65,4.02,3.90,5.41,4.40,3.86,3.55,3.94,4.23,0.00
8.83,8.18,12.79,4.21,4.86,7.32,7.14,3.46,4.22,3.87,1.00
10.22,6.53,12.13,4.08,3.68,4.31,3.55,3.30,4.07,4.56,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
11.18,5.29,3.91,4.37,3.81,4.19,3.64,12.18,4.01,10.53,0.00
10.36,10.58,12.92,3.94,3.53,6.41,6.60,3.61,3.85,3.81,0.00
4.13,4.42,13.05,3.84,5.43,10.67,3.60,3.41,4.01,4.01,1.00
6.11,5.04,11.61,4.18,7.15,13.51,8.96,3.32,10.64,4.03,0.00
9.48,4.56,11.75,4.15,6.98,4.01,3.55,3.39,4.12,4.52,1.00
11.50,4.59,4.08,3.79,5.53,4.14,4.11,3.90,3.84,10.01,1.00
10.71,4.88,4.18,3.84,3.67,3.87,3.59,3.65,12.99,4.85,0.00
10.34,4.63,4.20,7.03,3.47,5.40,3.84,3.42,12.93,5.11,0.00
9.53,5.40,10.90,4.19,3.79,4.05,4.04,3.44,4.40,4.47,1.00
11.15,4.04,4.06,4.47,3.99,4.35,3.66,3.31,3.73,7.14,1.00
12.14,4.57,4.36,9.88,3.49,3.94,3.56,3.51,4.46,5.26,0.00
11.45,5.07,3.94,4.17,5.44,4.06,3.80,3.34,3.76,11.82,1.00
8.96,4.55,4.20,4.16,5.47,6.19,3.95,5.28,3.71,8.70,0.00
8.20,4.87,3.95,4.60,3.51,3.99,3.64,3.52,9.72,8.06,0.00
7.41,4.51,4.08,7.96,3.92,10.83,3.66,3.76,4.17,10.01,1.00
5.01,4.75,3.91,4.11,7.25,4.01,3.88,3.69,3.90,10.55,1.00
10.71,5.08,10.50,6.23,4.33,4.76,3.80,3.32,3.90,4.45,0.00
11.23,4.53,4.37,10.12,3.57,4.01,3.57,3.43,4.31,3.70,0.00
10.65,4.70,9.15,4.16,3.39,8.72,3.58,3.47,7.79,5.53,1.00
9.56,4.80,10.68,3.94,6.59,4.79,3.69,3.53,3.74,6.52,1.00
12.17,4.66,7.70,4.12,6.49,4.17,3.62,3.46,3.99,4.30,1.00
9.97,5.06,12.33,4.31,4.38,8.08,6.05,3.48,4.14,4.32,1.00
11.39,5.03,4.80,4.32,4.45,4.77,3.55,8.10,6.77,3.96,0.00
11.96,4.78,12.71,4.11,8.09,3.82,3.70,3.24,3.97,4.21,1.00
7.86,4.61,12.18,4.27,6.14,6.49,3.94,3.38,3.84,3.90,1.00
11.85,4.47,11.43,3.83,7.73,4.50,3.92,3.39,3.98,3.94,1.00
10.82,4.47,12.96,4.18,6.62,9.71,12.46,3.40,3.83,6.11,1.00
11.77,4.71,4.10,4.11,4.91,3.89,3.30,3.36,3.72,7.47,1.00
10.62,8.51,12.64,4.34,5.33,5.78,3.76,11.37,6.63,4.28,0.00
10.02,4.99,13.02,3.92,6.23,9.89,3.83,3.21,7.00,5.14,1.00
10.28,10.16,8.32,4.30,3.93,4.04,3.63,3.46,4.45,4.91,0.00
11.40,4.87,4.89,3.99,7.57,4.12,3.56,3.47,4.01,4.04,1.00
11.61,4.72,6.70,4.18,4.39,4.00,3.91,3.48,4.19,4.07,0.00
10.32,5.28,8.36,4.60,7.32,4.64,3.79,3.55,3.94,7.68,1.00
11.03,4.63,12.61,4.51,4.11,3.93,4.23,3.57,4.02,3.98,1.00
10.75,4.11,13.32,3.62,7.34,7.78,13.29,3.38,3.97,4.08,1.00
9.77,4.72,12.62,4.30,7.69,7.71,3.62,3.38,6.55,4.02,1.00
10.28,4.60,3.96,4.30,4.18,3.91,3.48,3.29,4.22,4.33,0.00
6.86,4.60,11.46,5.01,5.41,4.02,3.67,3.47,7.85,4.32,0.00
11.50,4.49,3.96,4.18,3.59,4.04,3.65,3.51,4.00,5.24,0.00
11.82,4.83,3.85,6.80,3.93,3.84,3.65,3.26,11.70,6.06,0.00
10.19,4.65,4.10,4.15,3.76,12.47,4.17,4.86,3.68,8.20,1.00
11.47,5.04,12.58,3.95,6.09,3.83,3.54,3.43,4.03,4.07,1.00
10.15,4.94,11.81,5.09,3.52,4.40,3.80,3.76,3.87,4.07,1.00
11.95,11.11,12.48,3.94,4.20,8.82,4.77,3.66,4.24,4.25,1.00
3.95,4.65,4.63,3.99,5.76,4.04,3.98,3.46,3.60,11.50,0.00
10.72,4.32,3.98,3.94,4.07,4.04,3.70,3.90,3.84,11.18,1.00
11.15,5.51,4.36,4.65,3.75,4.06,4.07,11.26,3.97,10.76,0.00
10.55,8.64,12.03,8.69,6.21,7.34,5.53,3.57,3.74,4.13,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
11.28,4.93,4.31,4.86,3.69,4.84,3.86,3.34,5.58,4.40,0.00
11.11,5.50,12.23,4.55,3.87,8.38,6.96,7.21,3.92,4.79,0.00
11.75,5.25,11.88,4.87,4.52,4.12,7.21,3.49,4.54,4.10,0.00
10.91,4.41,4.52,4.91,4.42,4.10,3.85,9.82,3.83,9.98,0.00
11.11,4.69,12.18,4.35,3.56,4.09,3.65,3.52,3.50,4.02,0.00
11.39,5.24,12.50,4.02,6.13,5.10,3.78,3.25,3.85,7.04,1.00
11.59,4.99,4.21,3.87,6.91,4.47,3.98,3.42,3.96,9.85,1.00
11.29,4.62,6.82,4.84,4.20,4.81,3.48,3.24,7.86,4.38,0.00
11.54,4.45,4.50,4.07,3.87,4.31,3.77,3.69,3.95,4.29,0.00
10.96,4.71,11.35,4.18,3.71,3.95,3.42,3.61,4.24,4.12,1.00
7.77,4.90,12.24,4.20,7.34,12.66,3.69,3.36,4.30,8.74,1.00
11.68,4.73,3.87,4.84,3.54,5.70,3.42,3.34,13.27,4.64,0.00
9.77,5.22,11.47,4.38,4.51,4.51,3.66,3.58,5.04,4.04,1.00
10.07,5.93,10.72,4.82,3.90,3.81,3.83,3.53,3.84,4.06,0.00
10.19,9.39,11.47,4.60,3.50,6.05,3.82,3.43,3.84,4.01,1.00
10.87,4.73,3.88,13.22,3.61,3.92,3.94,3.49,5.74,5.53,0.00
10.59,4.68,4.09,4.11,3.48,4.03,3.97,3.56,4.02,11.80,1.00
9.96,4.65,4.01,7.38,3.65,5.53,4.93,3.38,9.92,3.88,0.00
10.49,4.74,5.25,4.30,3.72,6.02,3.62,3.28,14.17,4.41,0.00
