10643_at,11012_at,114327_at,114569_at,1293_at,146857_at,29113_at,3248_at,3624_at,389376_at,4016_at,4038_at,4312_at,53827_at,55353_at,5891_at,6003_at,7306_at,84958_at,9770_at,label
9.79,4.79,6.60,11.65,4.84,6.59,4.58,4.08,10.93,3.78,7.42,7.36,13.45,11.02,12.01,6.98,3.46,3.84,6.11,4.13,1.00
9.97,4.75,6.55,4.24,4.16,4.28,4.99,4.26,4.11,3.75,3.51,4.93,3.88,10.65,12.33,8.07,3.51,3.93,7.34,9.29,1.00
10.25,4.81,7.67,11.55,5.86,7.02,5.00,7.54,7.38,3.70,3.27,8.49,7.83,10.04,12.60,5.42,3.50,4.12,4.85,8.46,1.00
10.00,4.57,7.26,8.63,9.11,4.25,4.85,4.10,9.36,3.67,8.88,6.84,6.20,10.74,12.46,8.62,3.69,3.79,4.93,6.30,0.00
10.44,4.48,7.31,4.69,4.34,6.67,4.99,3.90,6.61,3.61,6.51,4.15,14.09,10.73,10.94,7.42,3.34,5.56,4.95,4.03,0.00
10.87,4.53,8.33,4.17,7.12,3.40,4.92,4.02,4.01,3.56,11.32,5.68,9.14,11.58,11.12,7.18,3.36,6.99,3.87,8.08,0.00
11.71,4.68,7.07,4.01,4.66,3.61,4.67,4.67,5.68,3.78,3.35,6.13,13.57,10.77,12.40,11.59,3.36,9.51,4.00,4.33,0.00
10.94,4.69,7.17,4.23,5.04,3.69,4.97,6.02,4.15,3.64,11.20,8.25,12.47,7.30,10.98,7.59,3.41,3.99,4.99,4.78,0.00
9.85,4.71,8.67,12.57,4.68,6.46,5.08,3.97,9.18,3.73,7.54,8.34,3.28,9.41,12.81,8.27,3.45,4.21,4.43,8.69,1.00
10.61,5.00,7.10,4.21,4.09,4.44,5.48,4.04,3.72,3.96,3.42,4.25,3.52,10.18,4.22,5.08,3.85,3.88,5.29,9.59,0.00
10.44,4.63,8.23,4.92,13.19,4.88,5.04,3.86,11.99,3.67,11.02,7.99,3.28,10.66,12.67,9.97,3.33,3.89,4.81,4.03,0.00
10.81,4.67,7.44,4.30,4.21,3.90,4.90,6.45,4.27,3.83,3.65,5.17,3.77,8.97,4.16,5.72,11.07,3.55,6.73,10.20,0.00
10.52,4.83,6.80,11.16,4.77,5.63,4.91,3.85,7.87,4.28,6.72,4.92,3.32,11.65,11.47,5.43,3.42,3.57,5.50,8.88,1.00
11.14,4.79,7.05,12.66,4.00,3.69,4.85,10.45,3.94,6.61,3.89,7.05,9.59,8.45,12.16,4.75,3.59,3.93,6.33,4.89,1.00
11.20,4.90,7.35,12.94,4.51,3.72,7.43,6.82,8.96,4.20,7.54,5.02,3.74,12.05,11.05,7.25,3.48,4.04,7.80,4.17,1.00
11.37,7.87,7.26,11.58,4.34,5.64,5.03,5.54,9.13,3.93,5.12,5.75,9.95,12.08,12.18,6.89,3.55,3.91,8.65,3.88,1.00
9.14,5.30,7.20,12.51,4.89,7.29,5.27,6.50,9.11,3.68,7.55,4.74,3.46,12.74,12.29,5.95,3.34,4.01,6.73,3.97,1.00
8.95,4.73,7.47,4.25,5.22,5.68,5.06,4.13,5.46,3.48,11.92,4.31,11.80,10.04,10.49,9.66,3.40,4.46,5.24,4.06,0.00
11.30,6.64,7.07,12.61,4.19,5.75,5.23,5.35,8.18,11.01,3.70,4.57,6.72,11.89,11.52,8.22,3.35,3.91,6.27,4.15,1.00
4.25,5.59,7.99,12.01,4.20,3.53,5.26,4.35,4.05,3.78,6.71,4.49,3.46,4.44,12.18,6.13,3.46,10.17,5.82,4.14,0.00
10.57,4.77,8.42,3.92,13.77,3.60,5.20,4.00,7.29,3.56,11.92,6.45,7.66,9.07,11.92,7.17,3.34,6.76,4.54,4.89,0.00
10.43,5.28,5.88,12.13,4.05,3.60,5.20,4.50,3.90,4.09,3.59,7.26,3.56,7.97,11.64,5.78,3.41,3.87,6.95,3.91,1.00
10.85,4.58,7.01,11.54,4.24,3.59,4.88,4.20,8.51,3.68,8.49,8.03,3.51,9.57,12.77,5.93,3.36,4.05,4.59,9.16,1.00
10.81,4.94,8.79,12.26,3.86,3.51,4.88,12.45,3.95,3.70,6.15,4.13,3.46,11.60,12.05,6.77,3.28,3.69,8.43,4.07,1.00
9.32,10.54,7.02,12.92,3.98,7.79,4.98,3.85,5.92,3.99,3.29,4.95,4.40,9.56,10.92,8.28,3.33,4.11,4.11,4.57,1.00
10.96,9.72,6.93,12.29,4.09,3.45,9.87,3.85,5.78,4.36,6.38,5.07,7.33,12.09,12.05,9.28,3.43,3.65,7.33,4.38,0.00
11.65,9.76,7.72,10.43,5.16,6.18,4.97,4.57,4.16,3.80,8.80,5.02,9.81,6.05,11.88,5.04,3.43,7.59,4.76,4.20,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.80,5.54,6.31,12.72,5.01,3.72,5.50,5.34,9.07,7.25,9.83,5.03,4.01,11.31,12.70,6.06,3.39,3.69,8.05,4.08,1.00
4.21,5.16,7.67,12.47,4.21,3.55,5.45,3.85,4.12,3.82,8.77,4.54,3.37,9.26,12.66,7.00,3.46,4.75,7.67,4.14,0.00
8.11,4.85,7.63,4.01,3.95,3.57,4.97,4.03,4.17,3.62,3.76,5.39,3.52,7.95,12.35,6.09,3.40,4.66,4.93,5.63,0.00
10.94,4.86,8.20,4.02,10.27,3.47,4.88,3.99,8.91,3.69,10.44,6.27,14.24,10.52,12.14,12.52,3.33,4.06,4.15,3.85,0.00
10.04,6.49,7.60,12.07,4.20,6.39,5.05,4.66,3.94,3.58,3.33,6.37,8.22,8.58,12.25,6.53,3.47,9.42,7.54,3.97,1.00
4.11,4.77,7.68,4.18,5.84,3.31,5.47,3.94,4.09,3.75,5.15,5.88,3.91,6.39,12.25,11.57,3.50,4.04,8.58,4.38,0.00
11.53,8.58,8.34,12.40,3.81,6.00,5.60,8.29,6.09,3.82,4.65,8.27,5.93,12.55,11.82,9.01,3.35,4.25,7.80,4.13,1.00
