10098_at,10643_at,11012_at,114327_at,114569_at,1293_at,146857_at,1543_at,1573_at,25797_at,2878_at,29113_at,3248_at,3624_at,389376_at,4016_at,4038_at,4312_at,53827_at,55353_at,55819_at,57535_at,5891_at,59277_at,6003_at,654433_at,7306_at,83988_at,84958_at,9770_at,label
8.01,9.79,4.79,6.60,11.65,4.84,6.59,6.65,6.14,8.44,3.79,4.58,4.08,10.93,3.78,7.42,7.36,13.45,11.02,12.01,9.64,4.32,6.98,8.73,3.46,9.15,3.84,4.02,6.11,4.13,1.00
4.80,9.97,4.75,6.55,4.24,4.16,4.28,4.93,3.84,3.66,4.40,4.99,4.26,4.11,3.75,3.51,4.93,3.88,10.65,12.33,10.30,4.44,8.07,3.64,3.51,4.33,3.93,6.86,7.34,9.29,1.00
5.32,10.25,4.81,7.67,11.55,5.86,7.02,5.00,4.76,3.52,8.03,5.00,7.54,7.38,3.70,3.27,8.49,7.83,10.04,12.60,9.52,5.28,5.42,8.17,3.50,4.19,4.12,6.38,4.85,8.46,1.00
8.71,10.00,4.57,7.26,8.63,9.11,4.25,4.99,4.24,4.39,6.58,4.85,4.10,9.36,3.67,8.88,6.84,6.20,10.74,12.46,9.20,4.53,8.62,7.37,3.69,4.47,3.79,4.01,4.93,6.30,0.00
10.25,10.44,4.48,7.31,4.69,4.34,6.67,4.78,4.16,3.70,4.69,4.99,3.90,6.61,3.61,6.51,4.15,14.09,10.73,10.94,8.98,4.18,7.42,10.89,3.34,4.86,5.56,4.12,4.95,4.03,0.00
8.69,10.87,4.53,8.33,4.17,7.12,3.40,4.92,3.71,8.95,4.00,4.92,4.02,4.01,3.56,11.32,5.68,9.14,11.58,11.12,10.35,5.23,7.18,7.27,3.36,4.05,6.99,4.07,3.87,8.08,0.00
4.68,11.71,4.68,7.07,4.01,4.66,3.61,6.27,5.48,11.28,4.09,4.67,4.67,5.68,3.78,3.35,6.13,13.57,10.77,12.40,9.93,4.10,11.59,5.82,3.36,4.36,9.51,7.05,4.00,4.33,0.00
7.73,10.94,4.69,7.17,4.23,5.04,3.69,5.61,5.39,6.31,4.62,4.97,6.02,4.15,3.64,11.20,8.25,12.47,7.30,10.98,8.28,4.22,7.59,7.34,3.41,8.12,3.99,3.71,4.99,4.78,0.00
7.32,9.85,4.71,8.67,12.57,4.68,6.46,5.69,6.27,9.67,6.90,5.08,3.97,9.18,3.73,7.54,8.34,3.28,9.41,12.81,7.91,5.14,8.27,10.17,3.45,4.34,4.21,4.54,4.43,8.69,1.00
4.77,10.61,5.00,7.10,4.21,4.09,4.44,5.28,4.43,3.75,4.47,5.48,4.04,3.72,3.96,3.42,4.25,3.52,10.18,4.22,4.28,4.22,5.08,3.60,3.85,6.18,3.88,8.53,5.29,9.59,0.00
8.36,10.44,4.63,8.23,4.92,13.19,4.88,4.84,4.15,4.64,6.02,5.04,3.86,11.99,3.67,11.02,7.99,3.28,10.66,12.67,8.61,4.57,9.97,4.32,3.33,3.89,3.89,3.92,4.81,4.03,0.00
4.90,10.81,4.67,7.44,4.30,4.21,3.90,5.01,3.81,3.86,4.04,4.90,6.45,4.27,3.83,3.65,5.17,3.77,8.97,4.16,7.95,6.53,5.72,3.76,11.07,8.47,3.55,3.53,6.73,10.20,0.00
7.13,10.52,4.83,6.80,11.16,4.77,5.63,6.76,5.62,3.79,5.82,4.91,3.85,7.87,4.28,6.72,4.92,3.32,11.65,11.47,9.10,4.65,5.43,11.48,3.42,7.07,3.57,3.40,5.50,8.88,1.00
7.77,11.14,4.79,7.05,12.66,4.00,3.69,9.83,4.81,5.80,10.74,4.85,10.45,3.94,6.61,3.89,7.05,9.59,8.45,12.16,7.98,4.23,4.75,9.75,3.59,7.54,3.93,3.91,6.33,4.89,1.00
