1293_at,2697_at,4016_at,4312_at,55819_at,5891_at,6003_at,80323_at,84958_at,label
4.84,10.43,7.42,13.45,9.64,6.98,3.46,7.46,6.11,1
4.16,12.14,3.51,3.88,10.3,8.07,3.51,4.23,7.34,1
5.86,3.72,3.27,7.83,9.52,5.42,3.5,5.43,4.85,1
9.11,9.29,8.88,6.2,9.2,8.62,3.69,6.81,4.93,0
4.34,12.06,6.51,14.09,8.98,7.42,3.34,5.48,4.95,0
7.12,11.16,11.32,9.14,10.35,7.18,3.36,3.53,3.87,0
4.66,3.65,3.35,13.57,9.93,11.59,3.36,4.41,4,0
5.04,11.44,11.2,12.47,8.28,7.59,3.41,3.73,4.99,0
4.68,10.71,7.54,3.28,7.91,8.27,3.45,6.41,4.43,1
4.09,3.64,3.42,3.52,4.28,5.08,3.85,3.87,5.29,0
13.19,12.11,11.02,3.28,8.61,9.97,3.33,4.87,4.81,0
4.21,3.77,3.65,3.77,7.95,5.72,11.07,3.99,6.73,0
4.77,3.29,6.72,3.32,9.1,5.43,3.42,3.84,5.5,1
4,9.93,3.89,9.59,7.98,4.75,3.59,7.52,6.33,1
4.51,3.84,7.54,3.74,7.88,7.25,3.48,4.62,7.8,1
4.34,9.07,5.12,9.95,8.42,6.89,3.55,5.51,8.65,1
4.89,5.3,7.55,3.46,9.06,5.95,3.34,3.75,6.73,1
5.22,11.43,11.92,11.8,8.75,9.66,3.4,7.74,5.24,0
4.19,12.53,3.7,6.72,8.54,8.22,3.35,7.44,6.27,1
4.2,3.75,6.71,3.46,9.86,6.13,3.46,3.98,5.82,0
13.77,12.6,11.92,7.66,9.44,7.17,3.34,3.81,4.54,0
4.05,3.98,3.59,3.56,9.15,5.78,3.41,6.07,6.95,1
4.24,3.77,8.49,3.51,11.86,5.93,3.36,8.73,4.59,1
3.86,10.9,6.15,3.46,9.42,6.77,3.28,3.81,8.43,1
3.98,3.49,3.29,4.4,8.99,8.28,3.33,8.8,4.11,1
4.09,10.68,6.38,7.33,7.25,9.28,3.43,4.49,7.33,0
5.16,9.3,8.8,9.81,7.92,5.04,3.43,3.91,4.76,0
5.01,11.68,9.83,4.01,9.37,6.06,3.39,7.63,8.05,1
4.21,4.44,8.77,3.37,4.34,7,3.46,3.95,7.67,0
3.95,4.35,3.76,3.52,9.77,6.09,3.4,4.08,4.93,0
10.27,3.7,10.44,14.24,8.29,12.52,3.33,4.11,4.15,0
4.2,7.51,3.33,8.22,8.81,6.53,3.47,4.59,7.54,1
5.84,3.74,5.15,3.91,9.69,11.57,3.5,3.8,8.58,0
3.81,9.95,4.65,5.93,8.32,9.01,3.35,6.04,7.8,1
4.13,9.52,5.37,9.9,9.65,6.52,3.43,6.78,8.72,1
4.07,11.25,9.78,3.79,9.08,6.56,3.29,7.03,7.93,1
4.21,7.75,5.87,9.95,9.01,6.17,3.41,7.82,6.86,0
3.83,10.25,5.23,4.51,8.4,7.55,3.39,7,6.01,1
9.01,6.25,7.17,3.39,9.31,7.74,3.47,3.84,7.37,1
5.12,3.46,3.84,4.08,7.85,5.53,3.46,4.09,6.27,1
4.44,3.31,7.68,3.98,9.21,5.8,3.59,4.31,6.74,0
4.19,3.65,5.09,8.95,6.94,6.95,3.43,3.86,6.88,0
12.89,11.15,10.22,8.88,8.26,7.8,3.5,6.51,4.28,0
13.84,12.52,11.69,3.65,8.76,10.94,3.53,4.22,4.71,0
12.96,12.09,10.74,11.78,9.59,7.03,3.58,4.12,4.72,0
4.13,3.65,3.27,7.19,9.81,9.29,3.4,3.94,3.86,0
4.47,4.07,5.47,3.91,10.57,8.33,3.53,4.28,5.8,0
12.72,6.4,9.47,4.87,8.55,8.91,3.62,4.31,4.98,0
4.11,8.35,3.69,3.52,4.34,6.05,3.63,5.63,8.76,1
3.97,3.79,7.47,3.24,8.07,5.42,3.51,5.76,6.65,0
3.97,3.53,4.75,5.89,4.96,7.38,3.46,4.88,8.86,1
4.35,9.6,6.22,3.82,9.14,9.27,3.4,4.14,7.95,1
4.53,3.62,8.93,3.37,9.5,5.99,3.29,8.19,7.92,1
3.74,7.59,10.38,3.58,9.37,5.6,3.38,4.24,4.78,0
3.85,13.26,8.21,3.54,9.17,6.74,3.32,6.07,7.56,1
4.12,10.59,3.51,3.58,9.32,7.98,3.65,7.49,5.03,1
13.09,9.55,8.29,10.97,9.44,8.54,3.49,4.54,4.32,0
3.91,3.64,3.47,3.75,8.69,4.12,4.11,4.09,8.72,1
7.18,3.93,3.5,5.21,10.59,8.01,3.58,3.92,4.47,0
11.78,3.88,5.49,3.57,10.1,5.04,3.73,4.67,4.93,0
4.55,3.97,3.59,3.81,4.7,5.71,11.94,3.77,5.17,0
4.46,3.87,5.57,3.6,9.66,6.66,3.31,7.92,7.41,1
3.99,13.28,6.54,3.42,8.68,6.96,3.59,3.92,4.88,0
4.12,12.91,5.18,6.39,9.85,6.51,3.3,3.79,6.91,1
4.32,11.25,3.5,10.96,8.1,5.81,3.39,3.79,5.87,1
3.73,11.07,4.88,3.63,8.66,7.19,3.48,3.93,8.56,1
5.07,10.04,7.35,6.94,9.31,7.46,3.31,4.19,7.29,1
4.1,13.12,3.58,4.3,9.75,6.16,3.46,4.11,9.09,1
8.53,3.38,7.64,5.22,9.44,12.06,3.39,4.2,4.37,0
3.9,3.94,3.16,3.26,7.88,4.93,3.55,3.68,5.06,0
4.21,3.61,3.58,3.6,8.53,5.76,3.46,7.03,8.06,1
