100652850_at,330_at,388692_at,4013_at,4255_at,51226_at,51260_at,5152_at,51566_at,5447_at,54495_at,55106_at,56122_at,57291_at,5935_at,647946_at,7068_at,90141_at,90488_at,9609_at,label
7.87,6.17,6.05,6.17,8.19,9.27,10.32,3.49,8.08,7.68,8.93,8.00,7.53,9.63,7.68,7.57,5.62,8.72,10.68,4.86,0.00
8.24,4.08,5.61,5.62,4.66,6.13,9.48,5.43,8.99,8.32,9.69,4.63,4.68,10.89,8.74,6.45,7.36,8.96,9.64,5.72,1.00
7.77,4.62,6.36,6.28,3.76,7.98,9.67,3.79,9.28,7.15,9.62,7.64,6.99,10.25,8.05,3.31,6.87,9.29,11.84,4.98,0.00
6.18,9.23,5.69,5.27,4.47,6.76,9.96,7.28,8.61,7.82,8.68,7.55,4.41,9.61,8.05,5.61,6.16,8.49,9.50,5.29,1.00
6.63,5.34,6.64,5.43,4.66,8.08,10.64,3.45,7.91,8.17,9.92,8.23,4.15,11.00,8.56,3.54,4.75,7.92,10.10,5.69,1.00
7.55,3.63,4.93,5.55,7.87,5.88,5.53,3.78,8.03,6.50,9.28,4.43,3.75,11.06,9.40,3.69,5.11,7.48,10.68,4.29,1.00
7.41,4.98,5.33,9.91,6.65,7.14,10.36,4.02,9.61,6.68,10.40,8.79,5.32,8.92,9.14,3.66,5.06,8.99,11.06,5.68,1.00
10.04,7.04,7.34,7.62,4.26,8.21,9.55,3.62,9.51,6.87,9.30,8.18,3.56,9.98,8.18,6.04,8.84,8.14,10.72,5.16,0.00
7.51,6.63,6.35,4.84,4.16,8.76,9.16,3.62,8.32,6.39,10.17,7.13,3.78,10.78,8.13,3.39,5.87,7.64,10.65,5.41,1.00
8.80,5.15,6.17,7.51,3.74,8.76,9.42,4.86,4.07,7.09,3.89,7.30,6.76,10.13,8.99,3.88,6.80,8.56,9.69,6.21,0.00
6.34,3.84,6.67,5.29,8.16,4.99,10.28,3.96,9.02,8.26,9.77,4.23,4.18,10.26,8.47,5.65,4.88,8.93,10.11,5.72,1.00
6.89,4.53,7.45,7.59,8.04,8.52,9.73,6.72,7.44,7.50,8.83,7.82,4.63,11.01,8.99,4.17,6.66,8.69,10.36,6.03,1.00
7.46,4.58,4.94,8.75,9.67,6.08,9.40,6.91,8.82,8.06,9.49,7.42,6.82,9.99,8.59,5.65,4.91,8.06,10.44,5.20,0.00
8.87,8.22,4.64,6.18,9.37,7.32,9.28,3.27,8.96,8.02,9.43,9.45,4.59,7.25,8.07,5.93,5.54,8.65,11.46,5.47,0.00
