100652850_at,3823_at,388692_at,51226_at,51260_at,5447_at,54495_at,5935_at,90141_at,9609_at,label
7.87,3.90,6.05,9.27,10.32,7.68,8.93,7.68,8.72,4.86,0.00
8.24,3.30,5.61,6.13,9.48,8.32,9.69,8.74,8.96,5.72,1.00
7.77,3.49,6.36,7.98,9.67,7.15,9.62,8.05,9.29,4.98,0.00
6.18,3.62,5.69,6.76,9.96,7.82,8.68,8.05,8.49,5.29,1.00
6.63,3.55,6.64,8.08,10.64,8.17,9.92,8.56,7.92,5.69,1.00
7.55,3.46,4.93,5.88,5.53,6.50,9.28,9.40,7.48,4.29,1.00
7.41,3.46,5.33,7.14,10.36,6.68,10.40,9.14,8.99,5.68,1.00
10.04,6.61,7.34,8.21,9.55,6.87,9.30,8.18,8.14,5.16,0.00
7.51,3.57,6.35,8.76,9.16,6.39,10.17,8.13,7.64,5.41,1.00
8.80,3.38,6.17,8.76,9.42,7.09,3.89,8.99,8.56,6.21,0.00
6.34,3.28,6.67,4.99,10.28,8.26,9.77,8.47,8.93,5.72,1.00
6.89,3.77,7.45,8.52,9.73,7.50,8.83,8.99,8.69,6.03,1.00
7.46,3.51,4.94,6.08,9.40,8.06,9.49,8.59,8.06,5.20,0.00
8.87,3.60,4.64,7.32,9.28,8.02,9.43,8.07,8.65,5.47,0.00
9.20,3.63,6.57,4.85,9.16,6.56,10.23,9.20,7.39,4.34,1.00
7.76,3.66,8.40,8.38,9.71,6.96,10.07,9.45,8.17,8.66,1.00
5.19,4.41,5.91,5.81,9.58,9.24,8.32,8.04,9.49,6.58,0.00
7.78,3.70,7.08,5.26,9.38,10.58,8.14,8.14,10.24,4.88,0.00
6.69,3.23,5.84,5.72,10.13,8.25,9.71,9.12,7.59,4.30,1.00
8.66,3.62,7.67,7.79,9.26,7.35,10.11,8.42,8.39,5.29,1.00
9.32,3.33,6.82,5.69,9.95,7.13,9.48,8.35,8.15,4.65,0.00
9.14,4.17,7.36,9.78,8.38,7.17,10.33,8.55,7.78,5.06,0.00
7.21,7.84,9.19,5.17,9.65,7.42,9.83,8.87,7.75,4.68,1.00
