100652850_at,10161_at,10974_at,1823_at,200844_at,355_at,3823_at,388692_at,51226_at,51260_at,5447_at,54495_at,55106_at,5588_at,57291_at,576_at,5935_at,7068_at,90141_at,9609_at,label
7.87,4.36,4.07,3.62,3.39,8.04,3.90,6.05,9.27,10.32,7.68,8.93,8.00,4.16,9.63,5.42,7.68,5.62,8.72,4.86,0.00
8.24,4.32,11.68,3.61,5.94,7.32,3.30,5.61,6.13,9.48,8.32,9.69,4.63,4.26,10.89,6.10,8.74,7.36,8.96,5.72,1.00
7.77,5.56,4.19,3.77,3.55,7.87,3.49,6.36,7.98,9.67,7.15,9.62,7.64,5.37,10.25,6.03,8.05,6.87,9.29,4.98,0.00
6.18,6.05,9.74,3.81,5.32,7.22,3.62,5.69,6.76,9.96,7.82,8.68,7.55,6.10,9.61,6.16,8.05,6.16,8.49,5.29,1.00
6.63,5.24,9.62,3.97,4.17,6.15,3.55,6.64,8.08,10.64,8.17,9.92,8.23,6.91,11.00,6.46,8.56,4.75,7.92,5.69,1.00
7.55,8.14,4.66,4.01,4.51,5.13,3.46,4.93,5.88,5.53,6.50,9.28,4.43,7.70,11.06,5.63,9.40,5.11,7.48,4.29,1.00
7.41,5.06,7.50,3.66,4.31,8.82,3.46,5.33,7.14,10.36,6.68,10.40,8.79,4.04,8.92,4.92,9.14,5.06,8.99,5.68,1.00
10.04,4.43,4.33,3.67,5.35,8.38,6.61,7.34,8.21,9.55,6.87,9.30,8.18,4.08,9.98,5.60,8.18,8.84,8.14,5.16,0.00
7.51,7.50,4.26,3.40,5.15,7.29,3.57,6.35,8.76,9.16,6.39,10.17,7.13,4.05,10.78,6.83,8.13,5.87,7.64,5.41,1.00
8.80,9.63,8.15,3.93,7.83,6.39,3.38,6.17,8.76,9.42,7.09,3.89,7.30,6.24,10.13,5.06,8.99,6.80,8.56,6.21,0.00
6.34,3.59,4.18,5.74,3.61,7.54,3.28,6.67,4.99,10.28,8.26,9.77,4.23,4.33,10.26,6.77,8.47,4.88,8.93,5.72,1.00
6.89,7.47,4.42,3.64,4.48,7.62,3.77,7.45,8.52,9.73,7.50,8.83,7.82,5.60,11.01,5.84,8.99,6.66,8.69,6.03,1.00
7.46,7.53,4.45,3.50,3.61,8.61,3.51,4.94,6.08,9.40,8.06,9.49,7.42,4.16,9.99,5.16,8.59,4.91,8.06,5.20,0.00
8.87,5.87,4.42,3.58,6.57,10.78,3.60,4.64,7.32,9.28,8.02,9.43,9.45,4.76,7.25,5.16,8.07,5.54,8.65,5.47,0.00
9.20,3.51,4.20,3.84,3.46,6.60,3.63,6.57,4.85,9.16,6.56,10.23,7.05,9.26,8.31,7.83,9.20,5.18,7.39,4.34,1.00
7.76,3.97,4.02,3.81,5.76,8.93,3.66,8.40,8.38,9.71,6.96,10.07,4.94,5.84,11.27,5.05,9.45,4.86,8.17,8.66,1.00
5.19,4.22,4.21,3.83,3.69,8.99,4.41,5.91,5.81,9.58,9.24,8.32,4.55,4.50,10.55,7.59,8.04,5.16,9.49,6.58,0.00
