100652850_at,10161_at,10974_at,116496_at,154_at,1823_at,1960_at,200844_at,2294_at,355_at,3823_at,388692_at,4016_at,49854_at,51226_at,51260_at,5447_at,54495_at,55106_at,55619_at,5588_at,5698_at,57291_at,576_at,5935_at,7068_at,90141_at,90523_at,91607_at,9609_at,label
7.87,4.36,4.07,9.68,8.44,3.62,4.15,3.39,4.05,8.04,3.90,6.05,8.91,8.53,9.27,10.32,7.68,8.93,8.00,7.66,4.16,5.54,9.63,5.42,7.68,5.62,8.72,4.19,9.07,4.86,0.00
8.24,4.32,11.68,7.17,8.70,3.61,4.02,5.94,3.97,7.32,3.30,5.61,6.85,8.10,6.13,9.48,8.32,9.69,4.63,3.92,4.26,4.95,10.89,6.10,8.74,7.36,8.96,3.79,7.26,5.72,1.00
7.77,5.56,4.19,9.38,6.47,3.77,4.83,3.55,6.06,7.87,3.49,6.36,12.33,10.14,7.98,9.67,7.15,9.62,7.64,7.91,5.37,8.96,10.25,6.03,8.05,6.87,9.29,3.77,8.37,4.98,0.00
6.18,6.05,9.74,9.19,11.17,3.81,3.87,5.32,3.95,7.22,3.62,5.69,7.42,7.65,6.76,9.96,7.82,8.68,7.55,4.96,6.10,10.24,9.61,6.16,8.05,6.16,8.49,4.28,4.79,5.29,1.00
6.63,5.24,9.62,8.24,5.28,3.97,5.77,4.17,4.00,6.15,3.55,6.64,3.60,8.97,8.08,10.64,8.17,9.92,8.23,3.97,6.91,9.26,11.00,6.46,8.56,4.75,7.92,3.90,8.84,5.69,1.00
7.55,8.14,4.66,3.78,4.72,4.01,3.64,4.51,4.26,5.13,3.46,4.93,3.51,8.94,5.88,5.53,6.50,9.28,4.43,10.79,7.70,10.54,11.06,5.63,9.40,5.11,7.48,5.10,9.36,4.29,1.00
7.41,5.06,7.50,10.02,11.10,3.66,3.76,4.31,6.27,8.82,3.46,5.33,6.51,9.35,7.14,10.36,6.68,10.40,8.79,8.00,4.04,8.22,8.92,4.92,9.14,5.06,8.99,3.74,8.98,5.68,1.00
10.04,4.43,4.33,10.39,5.02,3.67,4.18,5.35,4.44,8.38,6.61,7.34,10.99,8.63,8.21,9.55,6.87,9.30,8.18,8.37,4.08,11.22,9.98,5.60,8.18,8.84,8.14,3.95,8.94,5.16,0.00
7.51,7.50,4.26,10.44,5.41,3.40,7.20,5.15,4.00,7.29,3.57,6.35,3.35,8.08,8.76,9.16,6.39,10.17,7.13,7.49,4.05,7.77,10.78,6.83,8.13,5.87,7.64,5.35,3.34,5.41,1.00
8.80,9.63,8.15,10.11,9.38,3.93,3.68,7.83,6.02,6.39,3.38,6.17,7.13,8.78,8.76,9.42,7.09,3.89,7.30,3.78,6.24,9.43,10.13,5.06,8.99,6.80,8.56,3.73,6.64,6.21,0.00
6.34,3.59,4.18,5.94,4.72,5.74,5.07,3.61,4.07,7.54,3.28,6.67,3.34,8.91,4.99,10.28,8.26,9.77,4.23,4.30,4.33,11.33,10.26,6.77,8.47,4.88,8.93,4.80,3.49,5.72,1.00
6.89,7.47,4.42,9.20,6.74,3.64,8.43,4.48,6.04,7.62,3.77,7.45,3.10,7.76,8.52,9.73,7.50,8.83,7.82,4.80,5.60,8.58,11.01,5.84,8.99,6.66,8.69,3.52,6.90,6.03,1.00
7.46,7.53,4.45,10.46,5.06,3.50,5.70,3.61,4.04,8.61,3.51,4.94,11.20,8.69,6.08,9.40,8.06,9.49,7.42,4.02,4.16,8.32,9.99,5.16,8.59,4.91,8.06,4.28,9.09,5.20,0.00
8.87,5.87,4.42,11.29,10.91,3.58,4.11,6.57,4.24,10.78,3.60,4.64,7.54,8.58,7.32,9.28,8.02,9.43,9.45,6.76,4.76,10.79,7.25,5.16,8.07,5.54,8.65,3.85,9.08,5.47,0.00
9.20,3.51,4.20,9.03,4.96,3.84,3.80,3.46,4.00,6.60,3.63,6.57,3.69,9.92,4.85,9.16,6.56,10.23,7.05,9.16,9.26,11.13,8.31,7.83,9.20,5.18,7.39,3.87,9.74,4.34,1.00
7.76,3.97,4.02,9.75,5.34,3.81,4.07,5.76,4.17,8.93,3.66,8.40,3.35,9.70,8.38,9.71,6.96,10.07,4.94,8.18,5.84,10.22,11.27,5.05,9.45,4.86,8.17,3.95,3.57,8.66,1.00
5.19,4.22,4.21,3.90,5.36,3.83,4.09,3.69,5.11,8.99,4.41,5.91,3.50,7.37,5.81,9.58,9.24,8.32,4.55,4.09,4.50,8.42,10.55,7.59,8.04,5.16,9.49,4.34,3.91,6.58,0.00
7.78,4.23,10.70,3.89,5.14,4.04,3.60,4.75,4.08,4.41,3.70,7.08,5.57,9.21,5.26,9.38,10.58,8.14,5.68,3.73,4.37,7.97,9.73,5.69,8.14,7.94,10.24,4.42,7.17,4.88,0.00
