355_at,51226_at,51260_at,5447_at,54495_at,55106_at,5935_at,90488_at,9609_at,label
8.04,9.27,10.32,7.68,8.93,8.00,7.68,10.68,4.86,0.00
7.32,6.13,9.48,8.32,9.69,4.63,8.74,9.64,5.72,1.00
7.87,7.98,9.67,7.15,9.62,7.64,8.05,11.84,4.98,0.00
7.22,6.76,9.96,7.82,8.68,7.55,8.05,9.50,5.29,1.00
6.15,8.08,10.64,8.17,9.92,8.23,8.56,10.10,5.69,1.00
5.13,5.88,5.53,6.50,9.28,4.43,9.40,10.68,4.29,1.00
8.82,7.14,10.36,6.68,10.40,8.79,9.14,11.06,5.68,1.00
8.38,8.21,9.55,6.87,9.30,8.18,8.18,10.72,5.16,0.00
7.29,8.76,9.16,6.39,10.17,7.13,8.13,10.65,5.41,1.00
6.39,8.76,9.42,7.09,3.89,7.30,8.99,9.69,6.21,0.00
7.54,4.99,10.28,8.26,9.77,4.23,8.47,10.11,5.72,1.00
7.62,8.52,9.73,7.50,8.83,7.82,8.99,10.36,6.03,1.00
8.61,6.08,9.40,8.06,9.49,7.42,8.59,10.44,5.20,0.00
10.78,7.32,9.28,8.02,9.43,9.45,8.07,11.46,5.47,0.00
6.60,4.85,9.16,6.56,10.23,7.05,9.20,10.16,4.34,1.00
8.93,8.38,9.71,6.96,10.07,4.94,9.45,9.43,8.66,1.00
8.99,5.81,9.58,9.24,8.32,4.55,8.04,10.09,6.58,0.00
4.41,5.26,9.38,10.58,8.14,5.68,8.14,10.43,4.88,0.00
9.82,5.72,10.13,8.25,9.71,4.69,9.12,10.44,4.30,1.00
7.06,7.79,9.26,7.35,10.11,7.89,8.42,11.38,5.29,1.00
10.78,5.69,9.95,7.13,9.48,8.29,8.35,10.94,4.65,0.00
9.42,9.78,8.38,7.17,10.33,8.06,8.55,11.72,5.06,0.00
4.90,5.17,9.65,7.42,9.83,4.24,8.87,10.30,4.68,1.00
5.42,5.13,7.34,7.06,9.00,4.70,9.11,9.68,5.00,1.00
3.88,4.51,9.58,8.66,8.78,4.31,9.30,10.24,4.48,0.00
8.08,7.58,9.71,8.64,10.10,7.61,8.81,10.06,6.61,1.00
8.31,7.47,10.18,8.38,8.99,7.51,8.13,8.76,4.84,0.00
4.30,5.32,10.14,8.77,8.29,4.55,8.18,9.91,4.50,0.00
9.32,5.45,9.70,9.78,8.02,4.21,7.74,11.06,5.02,0.00
7.05,6.03,9.97,7.41,8.28,4.44,7.87,9.54,4.86,0.00
8.68,7.87,9.23,8.28,8.83,7.59,7.66,9.38,5.41,0.00
5.85,5.63,9.25,7.37,10.41,4.55,8.46,10.16,4.61,0.00
5.59,6.20,9.53,8.10,8.77,5.06,7.79,10.32,4.64,0.00
7.48,5.37,10.29,8.21,8.39,4.63,8.98,8.03,4.37,0.00
6.94,8.09,9.42,7.33,9.50,4.35,8.68,9.79,5.79,0.00
10.33,5.20,4.59,7.60,9.25,4.77,8.30,7.53,4.72,1.00
4.45,5.14,8.86,6.84,9.73,6.56,8.73,9.71,4.07,1.00
5.14,5.99,10.00,8.47,8.45,4.24,8.76,9.27,4.41,0.00
5.14,5.53,9.90,8.18,8.14,4.43,8.49,8.91,4.85,0.00
5.33,8.46,9.42,8.65,8.56,7.98,7.07,11.33,5.86,0.00
9.89,10.02,9.59,7.33,9.77,8.89,8.51,10.95,5.50,0.00
8.66,7.29,9.40,7.19,8.39,8.28,8.44,10.50,5.32,0.00
7.02,6.08,9.39,6.67,9.13,7.04,8.31,11.01,4.66,1.00
9.49,10.51,9.57,7.95,9.87,8.37,8.60,10.95,6.03,1.00
8.03,5.31,9.77,7.67,9.98,8.37,8.37,10.51,5.03,1.00
8.55,7.75,9.31,6.98,4.74,6.15,7.65,9.62,4.89,0.00
5.43,5.93,10.44,8.44,8.64,4.65,8.47,10.55,5.15,0.00
5.68,6.15,9.00,7.13,9.64,5.06,9.21,10.48,5.69,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8.69,7.25,9.46,7.51,9.64,9.19,9.17,9.90,4.22,1.00
9.84,7.24,7.54,8.36,8.62,4.19,8.14,9.56,5.15,0.00
10.64,6.41,10.04,7.45,9.22,6.45,8.55,9.68,4.64,0.00
10.41,7.67,9.93,7.37,9.42,5.39,8.12,9.14,4.45,0.00
8.16,7.11,9.98,7.57,10.60,8.59,7.75,10.32,4.48,1.00
7.72,5.36,8.98,7.23,10.72,6.39,8.22,8.89,4.74,1.00
6.51,8.78,10.35,7.24,9.66,8.42,8.33,10.98,4.85,0.00
10.06,7.61,10.18,7.21,9.79,8.81,8.30,10.66,5.29,0.00
7.38,7.46,8.74,8.43,4.91,6.74,9.00,9.79,4.74,0.00
4.21,8.73,7.75,9.61,6.90,6.93,7.63,10.66,5.47,0.00
4.74,5.02,10.34,8.08,8.59,8.54,8.91,10.88,5.45,1.00
9.05,5.74,9.83,8.43,9.97,4.59,9.01,10.96,5.67,0.00
7.50,5.17,10.22,8.36,9.16,8.33,8.45,10.76,5.33,0.00
6.81,9.26,8.96,9.16,9.66,8.54,8.74,10.68,5.50,1.00
6.61,5.73,10.26,8.71,9.26,7.98,8.58,10.39,5.30,0.00
4.79,5.80,9.31,7.65,9.37,8.20,8.52,10.81,4.59,1.00
7.36,7.22,9.52,7.58,9.73,6.16,7.91,10.69,4.85,0.00
10.25,7.32,9.29,6.17,11.63,6.09,8.90,10.67,4.71,1.00
8.68,8.11,9.76,8.40,10.22,8.20,7.14,11.12,5.66,0.00
8.94,8.74,9.87,7.96,8.87,5.37,8.48,9.73,5.68,0.00
5.85,5.26,10.18,9.84,8.43,4.18,8.47,10.18,4.39,0.00
8.75,5.35,6.86,8.73,7.87,4.36,7.91,10.38,5.79,0.00
8.54,7.48,9.77,9.33,8.61,8.26,8.13,10.42,4.56,0.00
8.94,7.91,8.64,7.81,8.09,7.39,6.89,10.91,5.61,0.00
7.75,5.42,9.62,8.88,4.43,4.02,7.85,10.38,5.30,0.00
6.38,7.10,10.86,7.20,10.48,5.14,8.07,10.04,4.31,0.00
9.70,5.89,9.71,7.63,10.09,7.95,8.88,10.00,4.72,0.00
7.78,5.99,10.19,7.92,9.29,8.42,8.34,10.50,4.91,0.00
8.22,5.42,9.85,8.12,8.82,3.94,8.86,9.30,6.04,1.00
9.18,5.66,10.08,7.11,8.96,4.77,7.48,11.19,5.17,0.00
7.56,6.59,8.60,7.21,8.84,8.19,7.49,9.65,4.07,1.00
10.09,5.22,9.87,8.63,9.80,6.30,8.11,10.02,4.61,0.00
5.08,5.26,9.04,8.94,9.23,7.88,9.50,10.80,7.96,1.00
9.80,5.09,9.77,8.03,8.90,8.60,8.31,10.17,6.28,1.00
6.49,7.00,9.39,6.33,9.09,7.65,6.41,10.36,4.76,0.00
9.64,7.19,10.49,6.28,9.52,8.10,8.32,10.30,4.50,1.00
8.06,6.34,9.68,7.48,8.59,5.08,9.26,9.90,5.27,0.00
6.82,5.18,10.12,7.55,9.70,8.83,8.48,11.12,4.63,1.00
4.13,8.60,5.97,9.13,9.23,7.68,9.37,10.39,4.78,1.00
