10758_at,146857_at,160335_at,175_at,2152_at,26157_at,29940_at,5090_at,5793_at,58526_at,label
8.22,3.58,6.84,8.56,10.91,4.43,11.12,7.68,8.70,6.49,1.00
7.16,4.02,7.61,7.25,7.40,4.15,8.20,9.24,7.51,7.74,0.00
8.60,4.28,4.11,7.09,4.50,8.69,4.44,8.73,8.72,8.89,1.00
8.15,4.25,5.23,6.73,9.23,4.67,9.67,9.76,6.62,7.33,0.00
6.86,6.67,4.33,6.34,12.61,3.67,10.01,8.78,8.78,6.95,0.00
7.04,8.37,4.90,8.71,9.43,8.37,10.84,7.80,8.83,7.79,1.00
6.28,3.40,5.96,8.83,8.49,4.43,9.31,9.84,5.76,5.41,0.00
8.32,3.56,8.35,8.93,6.00,5.48,4.99,7.77,7.95,7.98,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.11,3.90,4.79,8.00,4.66,4.21,5.11,8.27,4.34,7.54,0.00
8.77,3.41,6.85,10.62,5.08,3.76,6.14,9.62,7.75,7.67,0.00
8.57,3.47,4.61,6.37,4.54,4.16,8.55,8.84,7.66,7.72,1.00
8.48,5.60,6.41,7.73,12.75,8.90,9.94,6.60,7.15,8.43,1.00
7.74,3.63,3.89,8.48,6.59,4.39,8.14,7.70,7.42,6.62,1.00
8.13,7.29,6.72,7.78,11.25,3.95,11.20,6.82,4.33,8.77,1.00
8.06,5.68,5.32,8.09,12.66,4.16,9.66,9.69,8.83,8.49,0.00
7.83,3.60,4.21,8.63,7.86,5.28,10.10,8.80,8.03,7.40,0.00
9.02,3.50,8.33,7.74,4.68,6.09,7.90,7.92,7.17,7.17,1.00
4.29,5.98,5.26,7.59,4.12,6.16,7.11,9.28,4.37,5.31,0.00
4.47,3.52,5.63,7.59,4.38,4.32,6.84,8.01,7.01,9.30,0.00
8.78,3.69,8.28,9.28,5.53,4.40,4.86,7.63,6.64,8.17,0.00
9.91,3.64,7.04,9.10,5.46,4.77,4.91,5.93,8.41,8.28,1.00
5.99,3.71,4.59,8.94,6.74,6.00,10.76,8.14,7.14,8.11,0.00
5.89,4.16,7.10,8.23,3.96,4.07,11.36,10.05,6.24,8.05,1.00
8.05,3.72,5.73,8.35,7.71,7.56,4.56,8.08,7.75,8.16,1.00
9.96,3.55,6.35,6.75,5.87,4.00,4.76,5.38,8.66,7.24,1.00
5.55,3.57,4.27,8.52,11.94,3.76,7.46,7.82,7.86,6.69,0.00
7.55,3.69,5.63,8.66,11.56,5.76,11.36,7.88,7.61,5.62,1.00
8.30,4.23,4.40,6.83,7.97,7.05,10.52,8.37,9.10,6.43,1.00
9.04,3.63,4.75,8.24,8.79,5.29,7.78,6.36,7.66,7.19,1.00
7.77,3.87,6.02,8.81,6.24,6.52,8.94,8.85,5.62,7.68,0.00
7.58,7.15,5.21,7.78,7.72,4.08,9.49,8.12,4.30,7.11,1.00
7.64,8.13,6.76,7.80,9.47,6.41,6.79,8.66,4.61,8.24,0.00
7.27,4.21,5.25,8.40,12.07,4.38,10.70,7.98,7.57,7.23,1.00
6.16,3.67,4.91,7.70,10.15,5.55,10.07,8.82,8.63,7.44,0.00
6.60,3.75,8.36,8.50,5.73,3.81,9.54,8.47,7.88,8.00,0.00
5.10,3.46,7.14,8.27,4.23,3.98,7.61,7.87,6.59,9.00,0.00
7.42,3.63,5.39,9.03,9.66,4.46,11.46,9.21,8.35,7.25,0.00
7.63,3.72,9.24,9.37,5.43,6.83,7.36,6.65,6.51,7.98,1.00
7.49,7.07,4.15,7.15,9.53,4.00,11.09,8.69,7.49,7.51,1.00
8.20,3.74,5.12,7.63,9.89,6.69,5.86,6.99,5.86,6.89,0.00
9.28,3.96,9.89,8.72,9.02,8.24,6.95,8.78,8.38,7.36,1.00
8.84,3.67,8.25,8.57,6.39,5.28,8.02,7.95,8.49,9.22,1.00
8.38,7.82,7.08,7.84,6.36,5.57,4.09,7.18,6.68,10.22,0.00
8.71,8.15,8.39,7.30,11.38,5.79,8.50,7.10,4.91,8.10,1.00
8.32,5.04,4.37,8.89,4.18,9.87,7.59,8.66,6.64,7.53,1.00
7.67,3.70,4.60,7.98,10.55,3.87,5.18,5.74,6.76,5.86,0.00
8.33,3.69,6.81,6.87,7.06,9.08,3.90,7.21,7.24,9.16,1.00
