10758_at,146857_at,160335_at,175_at,1827_at,1847_at,2152_at,23635_at,26157_at,29940_at,3728_at,4756_at,5090_at,54532_at,57619_at,57630_at,5793_at,58526_at,644246_at,83729_at,label
8.22,3.58,6.84,8.56,9.56,6.16,10.91,5.00,4.43,11.12,5.26,5.08,7.68,5.24,4.90,8.05,8.70,6.49,5.57,4.30,1.00
7.16,4.02,7.61,7.25,7.36,8.92,7.40,8.07,4.15,8.20,4.95,7.29,9.24,6.65,4.93,7.62,7.51,7.74,5.16,4.13,0.00
8.60,4.28,4.11,7.09,6.16,5.08,4.50,11.67,8.69,4.44,9.42,4.78,8.73,4.67,9.65,7.29,8.72,8.89,6.89,3.91,1.00
8.15,4.25,5.23,6.73,8.19,6.81,9.23,6.83,4.67,9.67,4.32,6.80,9.76,6.36,7.18,8.25,6.62,7.33,5.14,4.67,0.00
6.86,6.67,4.33,6.34,7.34,10.43,12.61,6.61,3.67,10.01,8.11,5.85,8.78,7.81,6.59,8.38,8.78,6.95,6.13,3.66,0.00
7.04,8.37,4.90,8.71,7.61,8.41,9.43,8.72,8.37,10.84,7.62,7.64,7.80,6.79,7.12,7.63,8.83,7.79,7.57,10.98,1.00
6.28,3.40,5.96,8.83,9.06,7.22,8.49,8.36,4.43,9.31,9.23,5.43,9.84,7.16,7.85,8.41,5.76,5.41,7.19,3.91,0.00
8.32,3.56,8.35,8.93,9.27,8.43,6.00,7.69,5.48,4.99,5.73,4.98,7.77,8.81,6.65,6.83,7.95,7.98,6.85,3.92,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.11,3.90,4.79,8.00,5.99,6.88,4.66,10.82,4.21,5.11,5.16,6.46,8.27,8.36,4.45,3.88,4.34,7.54,8.20,4.16,0.00
8.77,3.41,6.85,10.62,6.79,6.00,5.08,7.86,3.76,6.14,10.39,7.19,9.62,7.70,9.43,8.28,7.75,7.67,6.89,3.61,0.00
8.57,3.47,4.61,6.37,9.41,6.77,4.54,9.26,4.16,8.55,7.32,4.88,8.84,7.03,7.18,6.84,7.66,7.72,5.99,3.90,1.00
8.48,5.60,6.41,7.73,6.52,10.03,12.75,6.20,8.90,9.94,10.89,5.32,6.60,7.48,8.31,7.98,7.15,8.43,5.90,4.20,1.00
7.74,3.63,3.89,8.48,6.70,5.33,6.59,4.04,4.39,8.14,9.01,5.45,7.70,6.56,4.43,7.59,7.42,6.62,7.42,9.59,1.00
8.13,7.29,6.72,7.78,8.49,9.41,11.25,7.94,3.95,11.20,11.28,4.71,6.82,7.24,8.87,6.61,4.33,8.77,6.46,3.71,1.00
8.06,5.68,5.32,8.09,7.01,8.06,12.66,8.01,4.16,9.66,8.84,5.52,9.69,6.88,7.58,8.02,8.83,8.49,6.33,3.81,0.00
7.83,3.60,4.21,8.63,7.66,7.54,7.86,9.10,5.28,10.10,5.34,7.67,8.80,6.63,6.44,7.39,8.03,7.40,6.38,6.57,0.00
9.02,3.50,8.33,7.74,7.16,6.77,4.68,8.88,6.09,7.90,11.04,7.48,7.92,6.50,7.91,8.10,7.17,7.17,5.98,3.79,1.00
4.29,5.98,5.26,7.59,4.58,8.84,4.12,11.09,6.16,7.11,9.15,4.99,9.28,6.49,4.58,7.48,4.37,5.31,6.32,4.00,0.00
4.47,3.52,5.63,7.59,6.49,6.21,4.38,7.42,4.32,6.84,6.97,7.73,8.01,7.14,8.81,7.17,7.01,9.30,7.49,4.84,0.00
8.78,3.69,8.28,9.28,11.75,10.19,5.53,7.42,4.40,4.86,5.52,5.85,7.63,10.27,4.35,7.21,6.64,8.17,5.75,4.06,0.00
9.91,3.64,7.04,9.10,10.03,5.41,5.46,6.34,4.77,4.91,6.36,7.36,5.93,7.71,5.67,6.73,8.41,8.28,6.80,4.00,1.00
5.99,3.71,4.59,8.94,10.00,5.51,6.74,9.84,6.00,10.76,5.25,9.32,8.14,9.28,7.57,9.44,7.14,8.11,8.26,8.14,0.00
5.89,4.16,7.10,8.23,5.43,4.58,3.96,8.85,4.07,11.36,8.06,8.28,10.05,4.63,4.92,6.14,6.24,8.05,10.88,3.77,1.00
8.05,3.72,5.73,8.35,8.41,5.56,7.71,6.67,7.56,4.56,9.01,7.32,8.08,6.80,8.19,9.75,7.75,8.16,7.89,4.01,1.00
9.96,3.55,6.35,6.75,8.53,6.37,5.87,8.30,4.00,4.76,11.26,7.50,5.38,7.21,7.75,6.53,8.66,7.24,4.28,4.18,1.00
5.55,3.57,4.27,8.52,6.11,6.24,11.94,7.61,3.76,7.46,6.73,7.81,7.82,6.61,9.01,7.36,7.86,6.69,6.94,5.77,0.00
7.55,3.69,5.63,8.66,8.74,8.15,11.56,6.60,5.76,11.36,7.17,5.92,7.88,7.34,8.51,7.07,7.61,5.62,6.54,6.02,1.00
8.30,4.23,4.40,6.83,7.30,8.54,7.97,5.63,7.05,10.52,5.75,6.19,8.37,7.51,4.31,7.82,9.10,6.43,8.18,4.20,1.00
9.04,3.63,4.75,8.24,6.74,7.23,8.79,5.02,5.29,7.78,6.18,7.02,6.36,7.19,6.71,7.07,7.66,7.19,6.90,4.09,1.00
7.77,3.87,6.02,8.81,10.15,6.06,6.24,7.29,6.52,8.94,8.02,8.13,8.85,6.29,8.25,8.55,5.62,7.68,5.46,3.97,0.00
