100124700_at,100652898_at,10810_at,146857_at,147381_at,147495_at,1604_at,1759_at,1827_at,1847_at,256691_at,29940_at,375033_at,5090_at,54532_at,57639_at,64108_at,8870_at,9603_at,9760_at,label
3.71,11.88,9.32,3.58,3.97,9.10,6.40,6.30,9.56,6.16,3.78,11.12,3.59,7.68,5.24,5.30,4.73,5.05,3.96,6.30,1.00
4.48,13.02,10.00,4.02,3.93,4.14,8.12,8.91,7.36,8.92,3.71,8.20,3.85,9.24,6.65,4.29,4.19,9.55,5.17,5.04,0.00
3.37,6.93,4.38,4.28,4.45,7.86,4.60,6.25,6.16,5.08,3.66,4.44,3.80,8.73,4.67,5.84,6.71,7.72,3.59,5.02,1.00
3.68,5.68,5.50,4.25,3.92,3.86,8.74,7.95,8.19,6.81,9.16,9.67,3.98,9.76,6.36,4.09,4.26,12.21,8.15,5.38,0.00
3.90,11.07,9.44,6.67,3.96,3.91,9.87,6.16,7.34,10.43,5.30,10.01,8.70,8.78,7.81,3.97,4.29,9.75,6.04,6.84,0.00
3.45,12.17,9.14,8.37,3.97,3.91,9.03,7.89,7.61,8.41,5.18,10.84,3.73,7.80,6.79,5.30,10.08,10.70,5.87,4.56,1.00
7.13,11.42,7.87,3.40,4.28,3.87,9.52,9.17,9.06,7.22,7.23,9.31,4.84,9.84,7.16,4.94,4.47,10.86,7.66,8.12,0.00
4.57,10.65,8.63,3.56,3.82,4.12,10.37,9.65,9.27,8.43,3.95,4.99,3.70,7.77,8.81,4.51,5.13,12.38,6.84,3.67,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.85,7.93,6.88,3.90,3.85,3.84,8.64,5.39,5.99,6.88,3.46,5.11,3.83,8.27,8.36,5.36,4.67,5.07,4.17,5.85,0.00
7.41,10.52,9.37,3.41,8.12,4.88,7.60,5.58,6.79,6.00,3.57,6.14,3.95,9.62,7.70,5.03,3.80,9.60,4.41,3.50,0.00
6.53,12.00,8.91,3.47,4.10,4.74,8.25,6.43,9.41,6.77,3.65,8.55,3.75,8.84,7.03,5.23,3.76,11.85,5.47,3.69,1.00
3.28,11.07,7.22,5.60,4.03,4.69,10.87,6.44,6.52,10.03,3.92,9.94,4.81,6.60,7.48,5.71,8.32,11.15,7.56,4.26,1.00
3.45,9.62,9.11,3.63,4.09,4.76,6.86,5.55,6.70,5.33,3.57,8.14,3.80,7.70,6.56,8.79,4.33,11.45,7.45,3.62,1.00
4.26,12.29,4.86,7.29,4.33,4.57,10.41,9.44,8.49,9.41,5.57,11.20,3.91,6.82,7.24,4.68,6.62,12.75,9.63,3.64,1.00
3.34,7.96,7.26,5.68,3.77,4.21,11.00,6.60,7.01,8.06,7.28,9.66,8.14,9.69,6.88,6.04,4.76,11.01,8.02,5.12,0.00
4.35,11.29,9.12,3.60,3.84,5.30,4.42,9.20,7.66,7.54,5.90,10.10,3.89,8.80,6.63,5.46,5.80,5.90,6.50,4.91,0.00
3.46,10.29,6.23,3.50,10.33,3.84,8.53,8.30,7.16,6.77,3.51,7.90,3.59,7.92,6.50,4.60,3.93,11.59,5.89,8.30,1.00
3.78,9.57,7.37,5.98,4.40,4.04,8.80,5.00,4.58,8.84,3.83,7.11,4.01,9.28,6.49,5.27,7.00,8.01,7.24,3.63,0.00
8.28,10.01,11.39,3.52,4.04,13.21,8.48,8.22,6.49,6.21,3.56,6.84,3.93,8.01,7.14,4.90,3.98,5.22,6.55,3.72,0.00
4.00,11.61,8.77,3.69,4.14,9.47,8.70,5.92,11.75,10.19,4.17,4.86,3.51,7.63,10.27,5.06,4.41,12.35,5.83,3.86,0.00
3.66,10.04,10.75,3.64,3.95,4.35,10.22,5.32,10.03,5.41,3.86,4.91,3.76,5.93,7.71,4.42,6.23,11.67,6.14,3.44,1.00
3.79,8.76,8.45,3.71,4.07,7.35,8.06,8.54,10.00,5.51,8.30,10.76,3.65,8.14,9.28,4.78,4.26,4.73,4.23,5.26,0.00
3.68,8.46,9.40,4.16,6.01,6.15,7.71,6.91,5.43,4.58,8.25,11.36,3.76,10.05,4.63,4.09,3.85,8.38,5.62,9.33,1.00
3.76,8.62,4.95,3.72,4.16,4.30,12.90,6.55,8.41,5.56,3.57,4.56,4.31,8.08,6.80,4.34,7.17,12.35,8.23,3.69,1.00
5.95,11.28,5.62,3.55,4.00,4.17,8.39,9.37,8.53,6.37,3.61,4.76,4.68,5.38,7.21,4.54,4.52,11.32,4.01,3.80,1.00
3.47,12.64,8.82,3.57,3.81,4.14,10.19,8.60,6.11,6.24,3.53,7.46,4.00,7.82,6.61,4.23,4.17,5.42,4.98,3.75,0.00
3.22,10.62,4.67,3.69,4.12,3.92,8.78,5.73,8.74,8.15,4.05,11.36,4.29,7.88,7.34,6.19,6.26,11.94,8.77,3.34,1.00
3.66,10.46,8.45,4.23,3.69,3.99,8.12,7.35,7.30,8.54,4.08,10.52,4.47,8.37,7.51,3.91,5.86,13.40,7.06,5.44,1.00
4.76,8.63,5.67,3.63,4.03,5.84,7.79,5.22,6.74,7.23,3.95,7.78,3.62,6.36,7.19,5.17,3.88,12.83,7.11,4.02,1.00
6.86,12.74,9.29,3.87,4.19,7.66,10.52,9.11,10.15,6.06,3.53,8.94,3.99,8.85,6.29,4.79,8.44,9.90,6.69,3.86,0.00
3.75,7.92,4.89,7.15,4.32,4.14,10.40,7.64,6.52,8.13,3.70,9.49,4.72,8.12,6.14,4.32,4.72,12.05,6.19,4.08,1.00
3.41,10.77,5.67,8.13,3.88,9.02,11.75,5.27,5.65,8.67,5.66,6.79,4.39,8.66,8.77,5.11,4.88,11.99,5.35,3.45,0.00
3.70,12.22,4.73,4.21,4.17,4.25,11.45,8.98,9.87,10.52,3.97,10.70,5.59,7.98,8.33,4.84,4.34,12.79,8.62,3.64,1.00
3.65,7.94,8.71,3.67,4.04,4.11,9.74,8.51,7.38,10.05,7.12,10.07,9.07,8.82,7.78,4.74,4.15,10.94,8.23,3.85,0.00
6.66,11.19,8.84,3.75,4.11,9.73,9.28,9.26,5.77,4.64,3.60,9.54,3.95,8.47,5.33,4.18,4.42,7.48,7.14,5.26,0.00
3.37,13.74,8.61,3.46,4.64,4.38,10.00,5.37,5.88,5.16,3.75,7.61,3.82,7.87,9.47,4.65,4.46,9.12,5.62,3.89,0.00
3.40,13.00,9.40,3.63,3.76,4.29,9.58,6.38,8.61,8.01,6.74,11.46,8.52,9.21,7.13,4.65,4.19,11.06,5.65,4.57,0.00
3.89,9.22,8.86,3.72,3.82,5.13,8.50,7.21,11.13,6.37,4.00,7.36,3.99,6.65,9.73,5.59,7.25,12.25,8.01,3.83,1.00
8.00,13.13,10.01,7.07,4.06,4.86,11.30,8.21,8.76,6.30,3.91,11.09,4.90,8.69,8.56,5.34,6.31,12.69,5.94,4.38,1.00
4.12,8.04,4.83,3.74,6.86,8.18,13.10,5.56,7.41,8.98,8.96,5.86,8.78,6.99,6.43,4.95,6.97,12.18,6.36,5.05,0.00
3.54,11.99,6.54,3.96,4.71,4.09,9.95,5.43,10.02,7.05,4.11,6.95,3.78,8.78,9.19,4.79,8.99,12.55,7.10,3.84,1.00
3.53,10.68,8.78,3.67,4.03,3.95,10.13,5.53,10.23,8.41,3.58,8.02,3.89,7.95,8.07,4.48,8.75,11.78,8.17,3.76,1.00
3.61,7.58,5.45,7.82,4.21,4.13,9.56,8.21,7.09,9.00,3.63,4.09,3.96,7.18,7.03,4.35,3.91,10.49,5.12,3.63,0.00
3.45,9.65,5.81,8.15,4.08,4.11,10.41,5.70,7.31,11.15,7.75,8.50,3.86,7.10,7.79,4.75,9.09,10.25,8.96,3.68,1.00
