100124700_at,100652898_at,10810_at,1281_at,146857_at,147381_at,147495_at,1604_at,1759_at,1827_at,1847_at,203413_at,256691_at,25797_at,29940_at,3216_at,375033_at,3759_at,401074_at,5090_at,54097_at,54532_at,57639_at,5793_at,64108_at,644246_at,8870_at,9540_at,9603_at,9760_at,label
3.71,11.88,9.32,13.28,3.58,3.97,9.10,6.40,6.30,9.56,6.16,3.65,3.78,3.47,11.12,7.28,3.59,4.35,4.33,7.68,6.62,5.24,5.30,8.70,4.73,5.57,5.05,10.15,3.96,6.30,1.00
4.48,13.02,10.00,4.26,4.02,3.93,4.14,8.12,8.91,7.36,8.92,3.54,3.71,3.77,8.20,8.95,3.85,4.82,8.08,9.24,4.09,6.65,4.29,7.51,4.19,5.16,9.55,9.04,5.17,5.04,0.00
3.37,6.93,4.38,4.03,4.28,4.45,7.86,4.60,6.25,6.16,5.08,3.53,3.66,3.66,4.44,3.96,3.80,10.63,7.96,8.73,3.51,4.67,5.84,8.72,6.71,6.89,7.72,7.09,3.59,5.02,1.00
3.68,5.68,5.50,3.69,4.25,3.92,3.86,8.74,7.95,8.19,6.81,3.70,9.16,4.39,9.67,8.33,3.98,4.07,7.97,9.76,3.82,6.36,4.09,6.62,4.26,5.14,12.21,5.99,8.15,5.38,0.00
3.90,11.07,9.44,6.41,6.67,3.96,3.91,9.87,6.16,7.34,10.43,3.52,5.30,3.70,10.01,4.00,8.70,10.23,7.99,8.78,3.41,7.81,3.97,8.78,4.29,6.13,9.75,7.01,6.04,6.84,0.00
3.45,12.17,9.14,6.24,8.37,3.97,3.91,9.03,7.89,7.61,8.41,8.76,5.18,3.34,10.84,5.40,3.73,8.53,4.93,7.80,8.29,6.79,5.30,8.83,10.08,7.57,10.70,8.25,5.87,4.56,1.00
7.13,11.42,7.87,12.54,3.40,4.28,3.87,9.52,9.17,9.06,7.22,3.45,7.23,8.95,9.31,9.34,4.84,4.20,4.06,9.84,3.74,7.16,4.94,5.76,4.47,7.19,10.86,10.11,7.66,8.12,0.00
4.57,10.65,8.63,3.63,3.56,3.82,4.12,10.37,9.65,9.27,8.43,7.42,3.95,7.28,4.99,7.42,3.70,5.57,9.29,7.77,4.13,8.81,4.51,7.95,5.13,6.85,12.38,9.95,6.84,3.67,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.85,7.93,6.88,3.86,3.90,3.85,3.84,8.64,5.39,5.99,6.88,3.46,3.46,3.86,5.11,4.04,3.83,5.01,4.09,8.27,3.68,8.36,5.36,4.34,4.67,8.20,5.07,5.57,4.17,5.85,0.00
7.41,10.52,9.37,3.78,3.41,8.12,4.88,7.60,5.58,6.79,6.00,3.40,3.57,3.29,6.14,6.50,3.95,3.84,4.01,9.62,10.16,7.70,5.03,7.75,3.80,6.89,9.60,6.97,4.41,3.50,0.00
6.53,12.00,8.91,10.78,3.47,4.10,4.74,8.25,6.43,9.41,6.77,3.68,3.65,6.68,8.55,8.94,3.75,4.46,8.46,8.84,3.85,7.03,5.23,7.66,3.76,5.99,11.85,7.23,5.47,3.69,1.00
3.28,11.07,7.22,4.29,5.60,4.03,4.69,10.87,6.44,6.52,10.03,4.90,3.92,4.90,9.94,6.30,4.81,4.45,4.07,6.60,4.08,7.48,5.71,7.15,8.32,5.90,11.15,8.09,7.56,4.26,1.00
3.45,9.62,9.11,3.75,3.63,4.09,4.76,6.86,5.55,6.70,5.33,3.60,3.57,5.45,8.14,4.54,3.80,4.01,4.13,7.70,10.14,6.56,8.79,7.42,4.33,7.42,11.45,9.85,7.45,3.62,1.00
4.26,12.29,4.86,5.06,7.29,4.33,4.57,10.41,9.44,8.49,9.41,3.70,5.57,9.86,11.20,3.75,3.91,3.61,6.57,6.82,6.74,7.24,4.68,4.33,6.62,6.46,12.75,7.86,9.63,3.64,1.00
3.34,7.96,7.26,4.03,5.68,3.77,4.21,11.00,6.60,7.01,8.06,3.27,7.28,3.94,9.66,6.54,8.14,4.68,4.40,9.69,3.68,6.88,6.04,8.83,4.76,6.33,11.01,8.89,8.02,5.12,0.00
4.35,11.29,9.12,6.44,3.60,3.84,5.30,4.42,9.20,7.66,7.54,3.76,5.90,4.05,10.10,6.50,3.89,8.89,4.01,8.80,3.95,6.63,5.46,8.03,5.80,6.38,5.90,8.18,6.50,4.91,0.00
3.46,10.29,6.23,13.09,3.50,10.33,3.84,8.53,8.30,7.16,6.77,3.34,3.51,3.52,7.90,3.78,3.59,4.45,6.60,7.92,3.72,6.50,4.60,7.17,3.93,5.98,11.59,9.00,5.89,8.30,1.00
3.78,9.57,7.37,3.92,5.98,4.40,4.04,8.80,5.00,4.58,8.84,3.53,3.83,3.68,7.11,4.62,4.01,4.17,4.32,9.28,3.61,6.49,5.27,4.37,7.00,6.32,8.01,8.02,7.24,3.63,0.00
8.28,10.01,11.39,7.40,3.52,4.04,13.21,8.48,8.22,6.49,6.21,3.45,3.56,10.16,6.84,6.30,3.93,4.32,4.71,8.01,3.59,7.14,4.90,7.01,3.98,7.49,5.22,4.18,6.55,3.72,0.00
4.00,11.61,8.77,3.95,3.69,4.14,9.47,8.70,5.92,11.75,10.19,3.46,4.17,11.52,4.86,6.81,3.51,4.37,3.84,7.63,3.45,10.27,5.06,6.64,4.41,5.75,12.35,6.63,5.83,3.86,0.00
3.66,10.04,10.75,3.69,3.64,3.95,4.35,10.22,5.32,10.03,5.41,3.52,3.86,12.16,4.91,6.23,3.76,4.32,4.76,5.93,3.66,7.71,4.42,8.41,6.23,6.80,11.67,5.18,6.14,3.44,1.00
3.79,8.76,8.45,14.11,3.71,4.07,7.35,8.06,8.54,10.00,5.51,3.94,8.30,4.93,10.76,6.82,3.65,7.80,4.19,8.14,3.69,9.28,4.78,7.14,4.26,8.26,4.73,7.08,4.23,5.26,0.00
3.68,8.46,9.40,12.60,4.16,6.01,6.15,7.71,6.91,5.43,4.58,3.51,8.25,4.89,11.36,6.00,3.76,4.54,8.80,10.05,3.62,4.63,4.09,6.24,3.85,10.88,8.38,8.55,5.62,9.33,1.00
3.76,8.62,4.95,9.85,3.72,4.16,4.30,12.90,6.55,8.41,5.56,8.51,3.57,3.61,4.56,10.62,4.31,3.64,4.16,8.08,4.40,6.80,4.34,7.75,7.17,7.89,12.35,7.32,8.23,3.69,1.00
5.95,11.28,5.62,3.76,3.55,4.00,4.17,8.39,9.37,8.53,6.37,3.42,3.61,3.95,4.76,3.96,4.68,4.11,8.01,5.38,7.55,7.21,4.54,8.66,4.52,4.28,11.32,6.19,4.01,3.80,1.00
3.47,12.64,8.82,3.74,3.57,3.81,4.14,10.19,8.60,6.11,6.24,3.44,3.53,7.15,7.46,3.86,4.00,4.05,5.40,7.82,3.97,6.61,4.23,7.86,4.17,6.94,5.42,9.55,4.98,3.75,0.00
3.22,10.62,4.67,3.79,3.69,4.12,3.92,8.78,5.73,8.74,8.15,3.52,4.05,10.46,11.36,4.06,4.29,5.83,5.83,7.88,3.68,7.34,6.19,7.61,6.26,6.54,11.94,8.09,8.77,3.34,1.00
3.66,10.46,8.45,3.91,4.23,3.69,3.99,8.12,7.35,7.30,8.54,7.96,4.08,9.57,10.52,7.14,4.47,4.36,6.11,8.37,3.98,7.51,3.91,9.10,5.86,8.18,13.40,8.59,7.06,5.44,1.00
4.76,8.63,5.67,3.93,3.63,4.03,5.84,7.79,5.22,6.74,7.23,9.51,3.95,3.61,7.78,3.76,3.62,4.67,4.13,6.36,3.75,7.19,5.17,7.66,3.88,6.90,12.83,5.99,7.11,4.02,1.00
6.86,12.74,9.29,4.02,3.87,4.19,7.66,10.52,9.11,10.15,6.06,3.83,3.53,3.77,8.94,5.08,3.99,4.27,5.23,8.85,4.02,6.29,4.79,5.62,8.44,5.46,9.90,8.05,6.69,3.86,0.00
3.75,7.92,4.89,10.97,7.15,4.32,4.14,10.40,7.64,6.52,8.13,10.53,3.70,11.73,9.49,10.02,4.72,6.59,7.98,8.12,5.23,6.14,4.32,4.30,4.72,5.98,12.05,8.72,6.19,4.08,1.00
