100124700_at,100652898_at,1009_at,10810_at,1281_at,146857_at,147381_at,147495_at,1604_at,1759_at,1827_at,1847_at,203413_at,2037_at,2152_at,256691_at,2571_at,25797_at,284702_at,29091_at,2919_at,29940_at,3216_at,375033_at,3759_at,3872_at,401074_at,5090_at,54097_at,54532_at,55786_at,57639_at,5793_at,64108_at,644246_at,8870_at,8910_at,9540_at,9603_at,9760_at,label
3.71,11.88,10.13,9.32,13.28,3.58,3.97,9.10,6.40,6.30,9.56,6.16,3.65,9.96,10.91,3.78,6.35,3.47,6.33,8.10,3.91,11.12,7.28,3.59,4.35,5.59,4.33,7.68,6.62,5.24,7.25,5.30,8.70,4.73,5.57,5.05,9.85,10.15,3.96,6.30,1.00
4.48,13.02,4.05,10.00,4.26,4.02,3.93,4.14,8.12,8.91,7.36,8.92,3.54,9.89,7.40,3.71,7.19,3.77,7.15,3.50,4.43,8.20,8.95,3.85,4.82,4.86,8.08,9.24,4.09,6.65,6.44,4.29,7.51,4.19,5.16,9.55,10.55,9.04,5.17,5.04,0.00
3.37,6.93,3.99,4.38,4.03,4.28,4.45,7.86,4.60,6.25,6.16,5.08,3.53,10.87,4.50,3.66,4.51,3.66,10.26,3.80,4.57,4.44,3.96,3.80,10.63,3.80,7.96,8.73,3.51,4.67,8.07,5.84,8.72,6.71,6.89,7.72,4.51,7.09,3.59,5.02,1.00
3.68,5.68,4.49,5.50,3.69,4.25,3.92,3.86,8.74,7.95,8.19,6.81,3.70,10.68,9.23,9.16,5.67,4.39,7.61,6.05,7.66,9.67,8.33,3.98,4.07,4.06,7.97,9.76,3.82,6.36,5.48,4.09,6.62,4.26,5.14,12.21,11.74,5.99,8.15,5.38,0.00
3.90,11.07,10.08,9.44,6.41,6.67,3.96,3.91,9.87,6.16,7.34,10.43,3.52,10.34,12.61,5.30,5.52,3.70,6.00,9.69,11.29,10.01,4.00,8.70,10.23,7.57,7.99,8.78,3.41,7.81,5.12,3.97,8.78,4.29,6.13,9.75,6.30,7.01,6.04,6.84,0.00
3.45,12.17,9.17,9.14,6.24,8.37,3.97,3.91,9.03,7.89,7.61,8.41,8.76,9.39,9.43,5.18,6.13,3.34,7.60,5.18,4.03,10.84,5.40,3.73,8.53,4.36,4.93,7.80,8.29,6.79,6.37,5.30,8.83,10.08,7.57,10.70,11.72,8.25,5.87,4.56,1.00
7.13,11.42,10.03,7.87,12.54,3.40,4.28,3.87,9.52,9.17,9.06,7.22,3.45,8.38,8.49,7.23,7.20,8.95,8.08,4.66,4.30,9.31,9.34,4.84,4.20,4.25,4.06,9.84,3.74,7.16,3.45,4.94,5.76,4.47,7.19,10.86,9.48,10.11,7.66,8.12,0.00
4.57,10.65,4.21,8.63,3.63,3.56,3.82,4.12,10.37,9.65,9.27,8.43,7.42,9.66,6.00,3.95,5.79,7.28,8.31,4.79,9.24,4.99,7.42,3.70,5.57,3.90,9.29,7.77,4.13,8.81,4.54,4.51,7.95,5.13,6.85,12.38,10.24,9.95,6.84,3.67,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.85,7.93,4.12,6.88,3.86,3.90,3.85,3.84,8.64,5.39,5.99,6.88,3.46,9.12,4.66,3.46,4.52,3.86,10.24,3.98,4.47,5.11,4.04,3.83,5.01,4.05,4.09,8.27,3.68,8.36,3.76,5.36,4.34,4.67,8.20,5.07,10.01,5.57,4.17,5.85,0.00
7.41,10.52,4.41,9.37,3.78,3.41,8.12,4.88,7.60,5.58,6.79,6.00,3.40,4.50,5.08,3.57,4.32,3.29,9.56,4.39,4.17,6.14,6.50,3.95,3.84,4.13,4.01,9.62,10.16,7.70,7.17,5.03,7.75,3.80,6.89,9.60,6.69,6.97,4.41,3.50,0.00
6.53,12.00,10.10,8.91,10.78,3.47,4.10,4.74,8.25,6.43,9.41,6.77,3.68,8.68,4.54,3.65,4.70,6.68,8.06,4.16,12.95,8.55,8.94,3.75,4.46,4.12,8.46,8.84,3.85,7.03,7.13,5.23,7.66,3.76,5.99,11.85,11.09,7.23,5.47,3.69,1.00
3.28,11.07,8.68,7.22,4.29,5.60,4.03,4.69,10.87,6.44,6.52,10.03,4.90,8.12,12.75,3.92,4.85,4.90,6.10,4.31,10.67,9.94,6.30,4.81,4.45,13.46,4.07,6.60,4.08,7.48,3.56,5.71,7.15,8.32,5.90,11.15,9.62,8.09,7.56,4.26,1.00
