147495_at,26157_at,29940_at,375033_at,57639_at,8910_at,label
9.10,4.43,11.12,3.59,5.30,9.85,1.00
4.14,4.15,8.20,3.85,4.29,10.55,0.00
7.86,8.69,4.44,3.80,5.84,4.51,1.00
3.86,4.67,9.67,3.98,4.09,11.74,0.00
3.91,3.67,10.01,8.70,3.97,6.30,0.00
3.91,8.37,10.84,3.73,5.30,11.72,1.00
3.87,4.43,9.31,4.84,4.94,9.48,0.00
4.12,5.48,4.99,3.70,4.51,10.24,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.84,4.21,5.11,3.83,5.36,10.01,0.00
4.88,3.76,6.14,3.95,5.03,6.69,0.00
4.74,4.16,8.55,3.75,5.23,11.09,1.00
4.69,8.90,9.94,4.81,5.71,9.62,1.00
4.76,4.39,8.14,3.80,8.79,10.46,1.00
4.57,3.95,11.20,3.91,4.68,9.10,1.00
4.21,4.16,9.66,8.14,6.04,10.86,0.00
5.30,5.28,10.10,3.89,5.46,11.62,0.00
3.84,6.09,7.90,3.59,4.60,10.85,1.00
4.04,6.16,7.11,4.01,5.27,9.09,0.00
13.21,4.32,6.84,3.93,4.90,9.20,0.00
9.47,4.40,4.86,3.51,5.06,11.46,0.00
4.35,4.77,4.91,3.76,4.42,10.04,1.00
7.35,6.00,10.76,3.65,4.78,11.76,0.00
6.15,4.07,11.36,3.76,4.09,8.96,1.00
4.30,7.56,4.56,4.31,4.34,4.42,1.00
4.17,4.00,4.76,4.68,4.54,3.76,1.00
4.14,3.76,7.46,4.00,4.23,9.20,0.00
3.92,5.76,11.36,4.29,6.19,11.83,1.00
3.99,7.05,10.52,4.47,3.91,9.69,1.00
5.84,5.29,7.78,3.62,5.17,9.21,1.00
7.66,6.52,8.94,3.99,4.79,11.32,0.00
4.14,4.08,9.49,4.72,4.32,10.47,1.00
9.02,6.41,6.79,4.39,5.11,11.94,0.00
4.25,4.38,10.70,5.59,4.84,4.71,1.00
4.11,5.55,10.07,9.07,4.74,10.11,0.00
9.73,3.81,9.54,3.95,4.18,9.81,0.00
4.38,3.98,7.61,3.82,4.65,10.52,0.00
4.29,4.46,11.46,8.52,4.65,10.88,0.00
5.13,6.83,7.36,3.99,5.59,10.92,1.00
4.86,4.00,11.09,4.90,5.34,10.82,1.00
8.18,6.69,5.86,8.78,4.95,4.08,0.00
4.09,8.24,6.95,3.78,4.79,11.40,1.00
3.95,5.28,8.02,3.89,4.48,10.28,1.00
4.13,5.57,4.09,3.96,4.35,10.12,0.00
4.11,5.79,8.50,3.86,4.75,10.93,1.00
4.00,9.87,7.59,3.68,6.64,6.95,1.00
3.69,3.87,5.18,3.78,4.57,12.19,0.00
7.73,9.08,3.90,4.97,6.26,4.12,1.00
4.55,3.91,8.37,4.08,10.31,10.39,1.00
4.15,5.86,9.21,4.49,4.68,9.69,0.00
4.28,4.40,8.90,3.67,4.74,10.05,0.00
4.03,5.09,5.30,3.87,8.28,9.81,1.00
6.70,6.67,5.38,3.80,5.26,10.71,0.00
3.94,4.73,7.43,7.61,4.69,10.09,0.00
3.94,7.87,7.79,4.18,4.81,4.78,1.00
4.79,3.75,8.66,4.90,4.43,10.61,0.00
3.92,4.39,11.06,4.08,4.50,12.25,0.00
3.85,7.56,10.35,3.75,4.88,11.04,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.26,6.65,8.14,3.82,5.34,11.71,0.00
4.18,3.85,9.94,3.54,8.87,11.17,1.00
4.03,4.64,4.67,3.71,5.13,11.45,1.00
0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.00,4.30,8.99,3.77,7.41,11.31,0.00
6.68,5.93,7.68,4.10,4.10,10.30,0.00
4.03,10.96,6.58,4.14,7.65,3.82,1.00
4.30,4.32,7.46,3.76,4.36,9.41,0.00
5.19,3.96,8.37,3.42,4.76,12.12,0.00
4.80,4.78,11.06,3.86,5.44,10.74,1.00
4.27,5.05,9.29,5.53,5.07,11.00,0.00
5.68,3.93,9.36,3.63,4.85,11.68,1.00
3.97,6.45,10.84,4.65,4.87,10.24,1.00
4.00,7.53,11.56,5.56,6.49,8.91,1.00
3.90,3.94,9.71,3.84,4.46,10.33,1.00
4.02,4.55,5.42,4.10,4.31,11.56,0.00
4.12,3.50,5.81,3.79,9.54,10.63,1.00
3.94,4.78,5.26,3.93,4.38,9.75,0.00
4.22,4.19,10.95,7.14,4.81,12.01,0.00
4.19,4.61,8.56,4.13,5.14,9.86,1.00
4.42,5.02,10.91,6.05,6.65,11.92,1.00
4.27,3.97,7.55,3.76,4.57,11.33,0.00
4.08,4.20,5.36,4.10,4.82,11.23,0.00
3.87,8.78,6.11,8.15,5.49,4.58,1.00
5.51,4.52,5.01,4.95,5.02,5.61,0.00
4.24,10.13,5.94,5.53,4.81,5.20,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.00
3.90,4.93,10.48,5.11,4.65,8.35,1.00
