10457_at,114818_at,133_at,154141_at,1824_at,23220_at,284406_at,286343_at,3169_at,481_at,51191_at,51299_at,55536_at,55757_at,57020_at,5909_at,79887_at,81831_at,84958_at,90161_at,label
9.18,8.37,10.99,5.27,4.16,5.86,8.90,9.03,6.07,9.70,3.91,9.21,11.02,7.52,6.25,5.42,7.19,4.46,6.22,4.03,0.00
3.93,8.27,11.32,5.95,4.33,5.35,8.47,4.85,9.26,9.36,6.63,8.04,11.00,7.13,6.61,5.14,10.53,10.81,4.33,3.92,0.00
3.77,4.49,4.53,7.06,4.13,6.57,9.35,4.21,4.27,8.62,10.38,5.04,11.20,3.68,5.96,4.87,4.30,10.81,7.34,4.17,1.00
4.29,8.26,10.25,4.85,6.99,6.46,4.26,7.59,6.10,11.78,4.93,4.57,3.72,7.46,7.33,6.48,4.67,10.47,4.85,4.13,1.00
8.77,5.37,8.74,6.77,3.98,4.80,4.49,6.10,4.82,11.31,7.12,7.09,10.45,8.17,8.66,5.12,4.47,8.65,3.87,3.82,0.00
11.62,7.95,6.62,8.28,3.95,4.91,7.30,5.71,5.02,10.91,8.19,7.25,7.91,7.89,8.30,5.22,4.16,10.81,4.00,3.95,0.00
9.74,7.54,8.74,6.64,4.46,5.43,7.67,4.25,4.47,10.69,6.90,7.43,9.73,7.86,8.23,5.10,4.43,10.13,4.85,8.20,0.00
4.31,8.91,8.47,7.51,3.96,5.74,8.25,4.56,4.29,7.42,4.74,10.11,10.12,6.30,8.48,9.11,4.52,7.33,4.99,4.51,0.00
8.56,4.31,4.99,7.56,4.15,6.79,7.34,4.51,3.80,5.65,6.36,4.41,10.84,7.60,8.36,5.20,4.02,8.05,6.97,3.95,1.00
7.46,8.18,9.13,7.63,4.39,7.62,8.78,6.00,7.29,10.35,4.57,4.22,3.85,6.61,7.84,6.05,10.57,4.80,4.38,4.52,0.00
9.29,6.02,9.87,5.28,9.53,10.92,5.90,7.81,11.78,11.97,4.10,4.02,6.22,7.49,5.69,9.47,6.56,7.24,7.44,4.22,1.00
4.05,5.57,12.79,5.51,10.64,7.70,4.73,4.74,10.46,6.31,5.34,4.00,9.48,7.39,8.12,5.24,4.37,10.49,5.41,3.99,1.00
6.54,9.39,4.46,8.02,5.53,10.60,6.67,5.02,3.92,10.24,9.47,9.93,10.52,7.65,8.07,5.30,5.45,9.71,5.29,3.63,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.01,5.24,7.27,9.11,8.64,7.42,5.92,7.77,12.18,11.93,5.16,4.15,10.27,7.04,5.29,8.39,5.54,9.36,7.13,8.98,1.00
4.55,7.87,9.77,8.65,6.41,10.92,4.41,7.23,10.27,11.76,8.77,3.93,10.31,7.38,7.75,5.86,11.07,10.35,6.57,4.35,1.00
4.91,4.69,11.30,7.67,7.42,10.81,5.39,4.84,10.71,12.15,7.02,4.25,7.86,7.37,7.23,5.95,8.61,9.59,6.33,9.66,1.00
12.41,9.14,11.42,6.95,4.29,5.71,8.52,5.93,4.32,11.31,6.02,9.87,6.75,8.20,8.13,5.49,6.07,10.02,4.54,4.51,0.00
6.58,6.37,10.32,7.50,8.35,10.07,6.36,5.24,5.73,9.31,7.85,4.12,9.53,7.23,8.40,7.09,7.01,9.86,7.80,3.84,1.00
9.12,7.57,11.39,7.79,8.17,9.32,4.49,6.49,9.08,12.51,9.49,4.22,10.78,6.97,5.92,5.77,8.51,9.63,8.65,8.42,1.00
9.59,5.04,10.09,9.11,9.83,8.53,6.62,9.00,8.92,12.18,8.71,4.06,8.77,7.78,7.90,6.24,10.86,10.55,6.73,9.62,1.00
5.93,7.93,7.08,9.02,8.97,10.22,4.47,9.38,10.74,13.16,7.93,4.17,10.16,6.70,6.38,7.53,11.17,11.11,6.27,10.26,1.00
8.08,5.05,7.17,6.94,7.17,6.05,8.48,10.45,12.19,11.98,4.91,4.56,9.39,7.81,7.72,6.17,7.28,4.97,5.82,3.95,0.00
11.85,7.27,11.35,5.07,4.11,5.75,7.78,8.47,4.29,9.63,5.78,8.43,9.06,8.18,8.73,5.19,5.17,10.41,4.54,4.21,0.00
4.15,5.11,4.90,7.74,9.33,9.42,4.90,7.13,10.05,12.06,8.44,4.21,10.69,7.95,8.40,5.61,10.38,10.31,6.95,9.98,1.00
4.10,9.31,4.80,7.54,8.61,5.50,7.86,4.76,5.28,10.32,5.07,5.00,9.99,7.16,5.27,6.88,4.15,11.02,4.59,3.93,1.00
6.38,9.76,4.73,4.48,4.01,9.58,9.23,4.68,3.98,4.62,4.55,4.64,10.12,7.10,7.55,5.05,4.78,9.31,6.98,3.65,0.00
4.47,8.39,10.38,6.26,8.44,10.02,4.57,9.96,4.55,11.68,4.37,4.65,10.62,8.45,6.16,6.32,8.46,10.67,7.80,8.33,0.00
12.57,9.01,5.72,9.68,5.20,5.83,4.44,4.81,4.32,11.39,7.47,5.39,9.77,7.81,6.48,5.65,7.19,10.00,5.32,8.98,0.00
4.01,8.61,9.25,6.84,7.27,10.09,7.48,5.31,9.15,11.36,6.72,4.07,10.85,6.82,7.18,5.49,10.51,12.68,7.33,10.61,0.00
6.40,8.73,8.79,6.20,7.04,7.86,8.78,6.37,3.83,11.71,10.89,5.83,9.68,6.95,8.46,7.24,8.71,8.64,4.76,4.04,0.00
9.05,8.80,9.41,8.28,5.27,5.32,9.48,7.73,6.31,11.59,10.33,4.12,10.54,7.39,8.47,5.00,8.98,10.81,5.21,3.82,0.00
5.90,8.55,6.23,7.18,5.17,5.03,7.65,6.21,8.04,12.49,8.17,9.84,10.46,6.75,7.97,5.43,5.81,10.14,4.51,7.94,0.00
6.23,8.71,4.15,7.02,4.24,4.11,4.74,6.67,5.20,11.00,5.67,4.79,10.84,7.20,7.81,5.05,4.34,10.73,4.15,3.89,0.00
9.81,9.07,12.55,8.13,4.80,6.95,7.65,4.71,5.59,10.80,10.07,8.00,10.23,7.90,8.15,5.25,4.51,11.11,4.28,3.62,1.00
9.22,4.28,9.11,7.57,8.73,8.67,5.67,5.31,10.43,10.75,9.87,5.18,8.90,6.54,4.45,6.39,9.60,10.89,7.54,9.30,1.00
12.91,6.87,10.64,7.90,5.36,7.60,7.36,5.94,4.01,8.40,8.87,5.64,10.21,6.97,6.67,7.83,4.58,8.77,4.41,8.17,1.00
8.37,9.21,11.83,6.55,4.10,4.72,7.84,9.10,4.05,10.19,8.53,9.30,10.90,7.27,4.65,6.40,5.29,10.61,4.69,3.67,0.00
6.84,8.87,11.31,7.19,5.24,5.94,8.03,7.49,3.91,11.67,10.84,10.43,9.56,8.89,8.60,4.80,6.89,5.73,5.01,4.04,0.00
6.15,7.91,11.87,7.36,4.11,6.38,6.47,9.37,6.31,11.18,8.30,9.12,10.80,8.04,8.04,6.19,4.34,10.51,5.75,5.82,0.00
7.26,3.97,8.11,5.12,9.50,10.85,8.43,10.42,6.09,12.68,7.32,10.77,9.99,7.93,7.86,5.21,7.83,10.69,5.11,3.95,0.00
11.99,9.03,11.12,9.89,6.40,9.94,6.45,5.60,10.61,9.03,7.17,10.98,10.63,5.81,7.06,7.09,11.89,8.37,7.80,8.45,1.00
7.40,7.47,10.09,7.99,9.08,11.32,4.30,10.22,11.30,12.27,7.39,6.10,9.82,7.05,7.45,7.56,4.58,8.80,7.08,9.03,1.00
9.31,6.86,9.20,9.78,8.75,10.52,6.66,6.79,11.95,13.29,5.21,4.04,7.81,6.83,9.21,6.87,8.69,9.75,8.72,10.80,1.00
9.58,8.55,11.61,6.34,7.97,9.28,6.65,8.82,11.08,12.96,9.25,4.19,9.82,7.51,9.40,8.34,5.55,10.38,7.93,11.36,1.00
3.94,8.79,10.12,5.29,6.18,5.87,5.54,7.04,9.95,12.20,7.71,4.17,9.86,8.91,8.21,5.15,4.88,11.21,5.54,10.32,0.00
4.19,7.75,5.51,8.33,8.29,7.11,6.32,7.60,10.57,12.44,6.39,4.20,10.30,6.61,8.90,5.24,5.96,11.00,6.86,10.31,0.00
11.64,6.96,8.34,9.56,7.93,10.27,6.68,6.24,7.54,10.74,10.99,3.79,11.10,8.71,5.97,6.04,12.12,7.08,7.37,8.39,1.00
5.19,9.34,10.55,6.27,8.16,6.16,6.96,4.62,7.32,11.41,4.62,6.11,10.71,8.07,6.76,5.58,4.72,10.02,6.27,3.63,1.00
6.06,8.82,7.69,6.39,7.55,7.22,4.52,4.95,6.09,12.12,5.17,7.34,10.69,7.70,8.50,7.36,4.28,5.86,6.49,3.96,0.00
10.70,6.74,9.27,5.26,4.37,6.00,9.39,6.07,4.23,13.29,7.19,4.46,5.46,7.44,7.75,6.19,9.67,10.29,6.88,3.86,0.00
4.67,4.91,5.61,9.50,4.41,4.66,8.45,5.97,3.92,7.37,8.94,8.30,10.07,7.14,7.23,5.10,4.38,8.17,5.56,3.77,0.00
4.84,8.50,9.04,6.67,7.41,7.69,7.70,6.18,11.26,13.14,4.28,4.17,10.39,7.92,4.28,7.88,6.57,7.33,4.81,9.81,0.00
4.97,7.56,9.60,6.28,6.45,4.30,6.84,5.73,6.06,10.43,6.95,5.14,11.87,7.28,6.41,4.98,6.91,10.13,5.45,9.29,0.00
4.20,6.44,8.98,9.15,9.80,10.55,4.57,8.47,8.98,12.07,7.84,4.16,9.16,6.10,6.84,5.58,11.01,10.33,8.42,3.75,1.00
7.68,7.80,11.61,5.87,3.99,6.31,8.04,7.48,4.40,10.28,4.70,4.06,9.68,8.35,8.72,4.95,5.12,9.56,4.28,3.87,0.00
10.93,7.74,12.15,7.08,4.01,5.64,7.15,8.31,7.63,10.92,7.22,8.67,10.07,8.10,8.12,4.88,5.23,8.73,4.72,4.11,0.00
12.54,9.20,6.01,7.70,4.58,6.97,4.91,4.97,5.18,11.60,8.91,9.45,9.60,6.94,7.29,8.55,4.35,9.86,5.80,8.23,0.00
13.23,9.22,8.06,7.62,4.14,7.25,7.21,6.71,4.74,9.73,8.84,8.49,9.26,7.53,7.97,5.68,4.65,10.28,4.71,4.14,0.00
4.15,7.90,9.09,7.58,7.54,7.31,6.58,8.23,9.62,11.61,7.97,3.88,10.10,7.13,6.98,7.20,10.30,10.90,6.59,9.70,0.00
11.94,8.15,9.83,7.50,4.09,5.76,6.89,7.42,5.60,11.41,9.04,5.25,9.16,7.28,8.02,5.43,4.12,11.35,4.45,4.13,0.00
3.75,7.09,7.74,9.69,7.70,10.50,4.21,6.63,8.92,12.79,4.19,4.07,9.91,6.08,7.32,6.39,12.18,4.75,7.92,3.64,1.00
7.83,6.90,12.87,8.51,5.03,4.88,8.60,8.01,5.77,10.76,8.08,6.36,10.27,7.53,7.63,5.15,8.55,11.05,4.82,4.09,0.00
8.78,5.87,9.30,5.77,6.54,9.37,4.59,6.03,11.29,12.11,6.31,4.01,9.92,6.81,5.57,9.40,10.96,5.25,5.03,3.99,1.00
10.04,8.76,11.52,6.38,4.18,6.55,4.49,9.47,6.10,12.62,7.18,6.90,10.38,6.98,5.18,8.64,9.50,4.64,4.32,3.95,0.00
4.32,4.66,12.17,7.92,4.00,6.31,4.51,4.43,3.81,9.62,6.74,4.59,8.45,7.61,7.97,5.15,10.29,10.23,4.07,6.29,0.00
3.93,4.83,5.11,4.67,4.52,8.17,8.84,3.92,4.33,7.72,8.69,9.32,10.44,6.24,7.92,4.98,5.05,9.57,5.15,3.98,0.00
3.53,6.04,12.16,10.52,6.93,4.88,7.09,6.28,5.97,10.69,9.16,5.13,3.62,7.50,8.46,4.95,10.39,11.22,4.46,8.96,0.00
6.47,8.78,4.24,8.84,4.32,11.25,7.61,4.46,4.07,10.38,10.91,4.34,10.81,6.74,8.57,4.94,4.57,10.43,8.72,3.64,1.00
4.13,4.36,3.91,8.84,4.04,4.38,5.09,4.43,4.03,5.00,10.46,4.53,9.84,8.04,9.68,5.31,4.57,9.32,4.93,9.47,0.00
3.76,4.40,7.70,7.48,4.03,8.59,9.15,4.15,3.94,7.09,9.82,11.46,10.77,3.78,8.55,5.05,4.31,5.23,6.81,8.31,0.00
4.63,9.48,5.32,3.95,5.52,4.63,7.90,6.73,3.81,11.55,4.43,4.86,3.43,7.44,8.22,6.64,5.94,10.51,4.87,8.51,0.00
9.44,5.36,10.71,5.72,4.02,5.67,7.73,6.01,4.61,6.39,6.83,5.14,10.12,7.74,5.82,4.92,4.75,8.40,5.16,4.02,1.00
6.39,8.44,8.86,7.37,3.91,5.83,7.56,6.98,4.11,11.62,8.46,9.77,10.88,8.03,7.67,4.81,5.51,8.97,5.14,4.35,0.00
4.67,4.30,6.74,8.45,4.50,5.11,8.52,4.14,3.98,7.92,8.10,4.24,11.07,8.55,8.34,5.03,4.55,9.09,9.15,3.63,0.00
