10631_at,1525_at,2064_at,23657_at,286319_at,54206_at,55757_at,8490_at,84958_at,8622_at,label
3.67,7.05,6.59,9.55,4.39,10.87,7.52,5.30,6.22,4.13,0.00
9.22,5.07,7.54,6.72,4.30,10.67,7.13,4.40,4.33,3.88,0.00
3.68,4.77,6.15,6.03,10.55,4.48,3.68,4.74,7.34,4.10,1.00
3.61,8.00,6.30,8.70,10.72,8.92,7.46,5.11,4.85,4.07,1.00
6.29,4.83,7.05,8.89,11.30,10.97,8.17,10.65,3.87,3.92,0.00
3.74,5.65,6.99,10.69,10.12,9.80,7.89,8.94,4.00,8.05,0.00
3.64,4.78,6.79,9.10,10.10,11.39,7.86,4.56,4.85,3.83,0.00
3.89,5.57,6.14,9.16,4.15,9.21,6.30,4.62,4.99,4.63,0.00
3.57,6.03,6.11,9.52,6.05,4.50,7.60,4.98,6.97,4.11,1.00
3.94,4.30,7.08,6.61,4.19,8.55,6.61,5.19,4.38,4.06,0.00
3.87,7.98,12.99,6.86,9.89,9.76,7.49,4.49,7.44,6.20,1.00
4.04,9.03,7.59,10.97,8.63,7.70,7.39,5.43,5.41,4.06,1.00
3.68,4.42,5.96,7.69,5.88,8.55,7.65,5.36,5.29,4.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.53,8.43,11.78,5.90,8.80,8.40,7.04,4.63,7.13,3.85,1.00
3.63,8.67,6.86,9.32,9.35,10.44,7.38,4.38,6.57,4.16,1.00
3.80,10.06,7.19,8.71,7.82,9.30,7.37,4.97,6.33,4.36,1.00
3.53,4.34,6.34,9.57,4.82,10.56,8.20,5.83,4.54,3.87,0.00
4.34,9.24,6.99,8.78,8.86,12.15,7.23,4.62,7.80,4.16,1.00
4.43,8.51,7.04,7.51,7.10,10.01,6.97,4.27,8.65,4.01,1.00
3.66,8.33,7.90,8.50,9.93,10.94,7.78,4.38,6.73,4.06,1.00
3.66,8.74,11.79,10.73,8.55,9.91,6.70,5.07,6.27,4.19,1.00
3.75,6.59,7.90,5.87,10.96,9.53,7.81,6.05,5.82,4.18,0.00
9.22,5.86,7.11,8.85,5.15,9.46,8.18,5.16,4.54,3.95,0.00
3.75,10.53,7.24,8.05,8.80,9.03,7.95,4.90,6.95,4.18,1.00
3.59,4.87,7.84,8.49,9.88,7.55,7.16,4.93,4.59,4.44,1.00
