10631_at,133_at,1525_at,2064_at,2124_at,23220_at,23657_at,286319_at,286343_at,3123_at,4086_at,5157_at,54206_at,55757_at,5644_at,84141_at,8490_at,84958_at,8622_at,8743_at,label
3.67,10.99,7.05,6.59,3.66,5.86,9.55,4.39,9.03,6.07,8.43,5.23,10.87,7.52,4.03,10.62,5.30,6.22,4.13,3.90,0.00
9.22,11.32,5.07,7.54,4.05,5.35,6.72,4.30,4.85,5.35,8.45,8.10,10.67,7.13,3.95,8.69,4.40,4.33,3.88,4.10,0.00
3.68,4.53,4.77,6.15,9.33,6.57,6.03,10.55,4.21,10.45,10.43,3.91,4.48,3.68,3.99,4.32,4.74,7.34,4.10,5.04,1.00
3.61,10.25,8.00,6.30,3.70,6.46,8.70,10.72,7.59,5.81,8.17,4.31,8.92,7.46,4.20,8.33,5.11,4.85,4.07,11.94,1.00
6.29,8.74,4.83,7.05,3.92,4.80,8.89,11.30,6.10,5.84,8.70,6.87,10.97,8.17,4.09,8.37,10.65,3.87,3.92,4.79,0.00
3.74,6.62,5.65,6.99,5.21,4.91,10.69,10.12,5.71,8.92,7.86,7.20,9.80,7.89,3.92,5.77,8.94,4.00,8.05,3.82,0.00
3.64,8.74,4.78,6.79,3.69,5.43,9.10,10.10,4.25,12.11,8.00,5.03,11.39,7.86,3.94,6.18,4.56,4.85,3.83,3.78,0.00
3.89,8.47,5.57,6.14,4.67,5.74,9.16,4.15,4.56,5.91,9.35,6.02,9.21,6.30,4.00,4.80,4.62,4.99,4.63,3.87,0.00
3.57,4.99,6.03,6.11,8.80,6.79,9.52,6.05,4.51,12.50,4.14,4.22,4.50,7.60,4.19,4.19,4.98,6.97,4.11,4.15,1.00
3.94,9.13,4.30,7.08,3.45,7.62,6.61,4.19,6.00,6.47,9.41,10.99,8.55,6.61,4.20,5.07,5.19,4.38,4.06,3.74,0.00
3.87,9.87,7.98,12.99,3.99,10.92,6.86,9.89,7.81,6.04,9.51,5.48,9.76,7.49,4.83,4.86,4.49,7.44,6.20,4.80,1.00
4.04,12.79,9.03,7.59,3.81,7.70,10.97,8.63,4.74,6.00,8.65,5.88,7.70,7.39,4.20,3.84,5.43,5.41,4.06,3.89,1.00
3.68,4.46,4.42,5.96,10.67,10.60,7.69,5.88,5.02,13.17,9.05,4.52,8.55,7.65,4.41,4.40,5.36,5.29,4.00,6.27,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.53,7.27,8.43,11.78,3.52,7.42,5.90,8.80,7.77,7.82,9.22,6.11,8.40,7.04,3.97,4.43,4.63,7.13,3.85,6.30,1.00
3.63,9.77,8.67,6.86,4.35,10.92,9.32,9.35,7.23,6.06,8.71,6.06,10.44,7.38,5.52,7.24,4.38,6.57,4.16,8.59,1.00
3.80,11.30,10.06,7.19,3.71,10.81,8.71,7.82,4.84,5.48,6.79,5.56,9.30,7.37,6.02,4.16,4.97,6.33,4.36,3.80,1.00
3.53,11.42,4.34,6.34,5.05,5.71,9.57,4.82,5.93,13.46,8.31,4.39,10.56,8.20,3.98,7.56,5.83,4.54,3.87,3.98,0.00
4.34,10.32,9.24,6.99,3.72,10.07,8.78,8.86,5.24,5.78,7.93,6.48,12.15,7.23,3.94,7.88,4.62,7.80,4.16,3.96,1.00
4.43,11.39,8.51,7.04,3.89,9.32,7.51,7.10,6.49,10.18,8.52,4.45,10.01,6.97,4.47,5.97,4.27,8.65,4.01,12.00,1.00
3.66,10.09,8.33,7.90,4.21,8.53,8.50,9.93,9.00,5.64,8.23,4.67,10.94,7.78,4.56,7.94,4.38,6.73,4.06,8.75,1.00
3.66,7.08,8.74,11.79,3.90,10.22,10.73,8.55,9.38,11.74,7.79,5.87,9.91,6.70,4.57,4.18,5.07,6.27,4.19,7.73,1.00
3.75,7.17,6.59,7.90,3.81,6.05,5.87,10.96,10.45,6.17,9.05,6.54,9.53,7.81,4.08,4.41,6.05,5.82,4.18,4.02,0.00
9.22,11.35,5.86,7.11,6.79,5.75,8.85,5.15,8.47,6.15,9.13,4.34,9.46,8.18,3.99,8.82,5.16,4.54,3.95,3.96,0.00
