100506965_at,10631_at,10653_at,133_at,1525_at,154141_at,2064_at,2124_at,217_at,2195_at,23220_at,23657_at,25890_at,27324_at,286319_at,286343_at,3123_at,3598_at,400043_at,4086_at,5157_at,54206_at,55510_at,5552_at,55536_at,55757_at,5644_at,57020_at,64123_at,64798_at,7058_at,7345_at,81831_at,84141_at,8490_at,84958_at,8622_at,8743_at,92745_at,969_at,label
6.41,3.67,4.49,10.99,7.05,5.27,6.59,3.66,5.17,11.12,5.86,9.55,6.12,3.45,4.39,9.03,6.07,12.26,5.23,8.43,5.23,10.87,3.59,11.18,11.02,7.52,4.03,6.25,3.44,6.09,4.88,12.39,4.46,10.62,5.30,6.22,4.13,3.90,4.42,3.60,0.00
7.38,9.22,7.56,11.32,5.07,5.95,7.54,4.05,10.37,10.70,5.35,6.72,5.24,3.56,4.30,4.85,5.35,7.90,10.16,8.45,8.10,10.67,3.75,4.94,11.00,7.13,3.95,6.61,3.66,5.11,5.44,12.83,10.81,8.69,4.40,4.33,3.88,4.10,9.39,3.75,0.00
7.48,3.68,4.27,4.53,4.77,7.06,6.15,9.33,5.63,11.97,6.57,6.03,4.27,3.70,10.55,4.21,10.45,4.27,4.98,10.43,3.91,4.48,3.60,5.72,11.20,3.68,3.99,5.96,3.48,5.30,4.39,11.64,10.81,4.32,4.74,7.34,4.10,5.04,8.27,3.72,1.00
8.19,3.61,11.16,10.25,8.00,4.85,6.30,3.70,11.32,12.41,6.46,8.70,4.75,4.18,10.72,7.59,5.81,3.98,4.83,8.17,4.31,8.92,8.04,3.56,3.72,7.46,4.20,7.33,3.69,6.24,4.73,9.63,10.47,8.33,5.11,4.85,4.07,11.94,4.38,3.76,1.00
4.39,6.29,3.88,8.74,4.83,6.77,7.05,3.92,4.92,11.44,4.80,8.89,8.99,3.56,11.30,6.10,5.84,11.94,4.71,8.70,6.87,10.97,3.61,11.59,10.45,8.17,4.09,8.66,3.30,7.01,10.99,12.87,8.65,8.37,10.65,3.87,3.92,4.79,4.50,3.68,0.00
5.78,3.74,4.25,6.62,5.65,8.28,6.99,5.21,5.17,11.74,4.91,10.69,4.04,3.45,10.12,5.71,8.92,4.70,6.45,7.86,7.20,9.80,3.64,8.07,7.91,7.89,3.92,8.30,3.43,4.64,14.29,4.80,10.81,5.77,8.94,4.00,8.05,3.82,4.12,3.52,0.00
7.35,3.64,3.80,8.74,4.78,6.64,6.79,3.69,9.12,10.87,5.43,9.10,5.63,3.41,10.10,4.25,12.11,13.76,8.34,8.00,5.03,11.39,3.87,6.67,9.73,7.86,3.94,8.23,6.52,7.55,5.60,4.77,10.13,6.18,4.56,4.85,3.83,3.78,4.09,3.74,0.00
6.95,3.89,3.77,8.47,5.57,7.51,6.14,4.67,10.40,10.80,5.74,9.16,6.18,9.11,4.15,4.56,5.91,4.26,6.45,9.35,6.02,9.21,3.65,4.07,10.12,6.30,4.00,8.48,3.42,4.75,5.02,12.60,7.33,4.80,4.62,4.99,4.63,3.87,8.07,3.64,0.00
8.05,3.57,8.69,4.99,6.03,7.56,6.11,8.80,5.94,5.02,6.79,9.52,4.34,3.66,6.05,4.51,12.50,3.86,6.49,4.14,4.22,4.50,3.79,12.36,10.84,7.60,4.19,8.36,3.48,9.78,4.92,11.88,8.05,4.19,4.98,6.97,4.11,4.15,10.72,3.55,1.00
7.13,3.94,3.96,9.13,4.30,7.63,7.08,3.45,9.88,5.33,7.62,6.61,4.00,3.46,4.19,6.00,6.47,6.36,5.05,9.41,10.99,8.55,3.76,6.04,3.85,6.61,4.20,7.84,3.41,5.92,5.23,5.45,4.80,5.07,5.19,4.38,4.06,3.74,4.49,3.61,0.00
3.68,3.87,11.98,9.87,7.98,5.28,12.99,3.99,12.02,11.30,10.92,6.86,4.04,6.65,9.89,7.81,6.04,4.10,4.30,9.51,5.48,9.76,3.67,4.53,6.22,7.49,4.83,5.69,3.67,6.68,5.19,6.46,7.24,4.86,4.49,7.44,6.20,4.80,3.90,3.49,1.00
3.58,4.04,9.94,12.79,9.03,5.51,7.59,3.81,9.35,12.43,7.70,10.97,4.83,3.38,8.63,4.74,6.00,3.70,5.03,8.65,5.88,7.70,3.57,3.75,9.48,7.39,4.20,8.12,3.37,4.84,5.03,12.57,10.49,3.84,5.43,5.41,4.06,3.89,4.13,7.49,1.00
7.05,3.68,5.70,4.46,4.42,8.02,5.96,10.67,6.93,5.35,10.60,7.69,5.01,3.55,5.88,5.02,13.17,3.77,4.76,9.05,4.52,8.55,3.88,13.35,10.52,7.65,4.41,8.07,3.62,5.25,4.61,9.33,9.71,4.40,5.36,5.29,4.00,6.27,7.72,10.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.16,3.53,11.95,7.27,8.43,9.11,11.78,3.52,12.21,10.78,7.42,5.90,4.21,11.24,8.80,7.77,7.82,3.69,6.36,9.22,6.11,8.40,3.63,3.55,10.27,7.04,3.97,5.29,3.27,9.83,4.75,5.87,9.36,4.43,4.63,7.13,3.85,6.30,4.09,3.38,1.00
4.04,3.63,12.77,9.77,8.67,8.65,6.86,4.35,9.25,11.69,10.92,9.32,5.02,3.51,9.35,7.23,6.06,4.64,6.55,8.71,6.06,10.44,3.84,11.20,10.31,7.38,5.52,7.75,3.39,5.47,5.36,6.44,10.35,7.24,4.38,6.57,4.16,8.59,8.97,4.37,1.00
