1525_at,23657_at,5029_at,55757_at,84958_at,90161_at,9732_at,label
7.05,9.55,4.27,7.52,6.22,4.03,7.51,0.00
5.07,6.72,4.57,7.13,4.33,3.92,7.17,0.00
4.77,6.03,4.46,3.68,7.34,4.17,5.37,1.00
8.00,8.70,4.79,7.46,4.85,4.13,8.85,1.00
4.83,8.89,4.17,8.17,3.87,3.82,6.78,0.00
5.65,10.69,3.77,7.89,4.00,3.95,8.59,0.00
4.78,9.10,4.21,7.86,4.85,8.20,9.11,0.00
5.57,9.16,4.10,6.30,4.99,4.51,7.59,0.00
6.03,9.52,4.33,7.60,6.97,3.95,5.00,1.00
4.30,6.61,4.10,6.61,4.38,4.52,6.44,0.00
7.98,6.86,7.88,7.49,7.44,4.22,7.10,1.00
9.03,10.97,3.96,7.39,5.41,3.99,6.45,1.00
4.42,7.69,4.43,7.65,5.29,3.63,5.29,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.43,5.90,8.41,7.04,7.13,8.98,6.08,1.00
8.67,9.32,8.64,7.38,6.57,4.35,7.90,1.00
10.06,8.71,7.38,7.37,6.33,9.66,4.37,1.00
4.34,9.57,4.37,8.20,4.54,4.51,9.92,0.00
9.24,8.78,7.15,7.23,7.80,3.84,6.99,1.00
8.51,7.51,7.83,6.97,8.65,8.42,4.27,1.00
8.33,8.50,6.92,7.78,6.73,9.62,5.47,1.00
8.74,10.73,4.47,6.70,6.27,10.26,4.57,1.00
6.59,5.87,6.22,7.81,5.82,3.95,4.90,0.00
5.86,8.85,4.26,8.18,4.54,4.21,9.92,0.00
10.53,8.05,4.42,7.95,6.95,9.98,4.20,1.00
4.87,8.49,4.33,7.16,4.59,3.93,7.44,1.00
4.74,6.81,4.40,7.10,6.98,3.65,7.42,0.00
7.55,8.34,4.47,8.45,7.80,8.33,8.63,0.00
6.49,8.34,4.52,7.81,5.32,8.98,8.91,0.00
7.97,5.64,5.94,6.82,7.33,10.61,7.87,0.00
9.88,7.22,4.74,6.95,4.76,4.04,10.22,0.00
4.91,7.65,7.63,7.39,5.21,3.82,10.16,0.00
6.29,6.71,4.14,6.75,4.51,7.94,8.45,0.00
4.27,7.39,4.56,7.20,4.15,3.89,10.65,0.00
8.55,8.75,4.48,7.90,4.28,3.62,4.76,1.00
5.93,8.71,6.61,6.54,7.54,9.30,4.42,1.00
7.28,8.23,4.36,6.97,4.41,8.17,7.78,1.00
6.80,9.81,4.23,7.27,4.69,3.67,7.41,0.00
7.00,8.72,3.97,8.89,5.01,4.04,7.47,0.00
6.96,11.69,4.29,8.04,5.75,5.82,6.45,0.00
8.70,6.58,5.04,7.93,5.11,3.95,8.67,0.00
7.92,9.90,6.22,5.81,7.80,8.45,4.65,1.00
9.32,7.17,6.89,7.05,7.08,9.03,4.22,1.00
8.27,8.44,6.82,6.83,8.72,10.80,7.52,1.00
9.15,8.32,7.02,7.51,7.93,11.36,4.56,1.00
7.97,11.33,5.12,8.91,5.54,10.32,9.45,0.00
6.66,8.22,6.00,6.61,6.86,10.31,3.96,0.00
8.73,8.28,4.50,8.71,7.37,8.39,4.35,1.00
9.13,9.69,5.39,8.07,6.27,3.63,9.24,1.00
8.32,8.83,4.87,7.70,6.49,3.96,8.84,0.00
8.06,9.28,5.50,7.44,6.88,3.86,7.78,0.00
4.56,7.81,5.62,7.14,5.56,3.77,4.36,0.00
10.54,7.82,4.39,7.92,4.81,9.81,9.45,0.00
4.53,9.53,6.02,7.28,5.45,9.29,10.60,0.00
7.59,10.44,7.95,6.10,8.42,3.75,3.95,1.00
4.09,8.46,4.13,8.35,4.28,3.87,8.03,0.00
5.85,10.26,4.13,8.10,4.72,4.11,8.24,0.00
6.23,8.28,4.24,6.94,5.80,8.23,9.64,0.00
4.83,9.96,4.00,7.53,4.71,4.14,8.99,0.00
7.52,7.71,6.31,7.13,6.59,9.70,5.38,0.00
5.32,9.74,4.26,7.28,4.45,4.13,5.76,0.00
7.78,11.31,5.01,6.08,7.92,3.64,6.60,1.00
5.74,9.89,4.35,7.53,4.82,4.09,5.72,0.00
7.84,9.11,5.44,6.81,5.03,3.99,7.52,1.00
6.31,11.64,4.72,6.98,4.32,3.95,9.65,0.00
4.61,8.04,4.22,7.61,4.07,6.29,7.08,0.00
4.87,4.74,4.46,6.24,5.15,3.98,5.45,0.00
4.37,9.00,3.90,7.50,4.46,8.96,5.40,0.00
4.28,10.70,4.05,6.74,8.72,3.64,6.21,1.00
6.88,10.36,4.23,8.04,4.93,9.47,6.66,0.00
4.12,6.81,4.18,3.78,6.81,8.31,4.91,0.00
8.66,6.69,4.33,7.44,4.87,8.51,7.73,0.00
6.58,8.43,4.62,7.74,5.16,4.02,8.66,1.00
7.51,6.78,3.95,8.03,5.14,4.35,6.77,0.00
4.42,7.25,5.44,8.55,9.15,3.63,4.23,0.00
8.19,9.33,4.78,8.44,4.39,3.90,4.52,0.00
8.06,9.26,5.36,6.61,8.39,6.82,9.53,1.00
8.32,8.68,6.24,8.08,6.91,8.67,6.76,1.00
7.70,11.29,6.55,7.68,5.87,9.35,4.26,1.00
7.69,8.86,4.45,7.89,8.56,9.18,4.54,1.00
8.22,10.64,4.35,7.14,9.09,8.42,4.61,1.00
8.55,10.05,5.43,7.11,8.43,9.11,4.49,1.00
5.90,11.33,4.90,7.57,4.65,4.01,5.85,1.00
7.26,9.48,5.12,7.03,4.89,6.02,4.70,0.00
4.76,8.57,4.50,7.46,4.37,3.51,9.25,0.00
6.19,9.43,4.60,6.77,5.06,4.19,9.21,1.00
8.28,10.09,4.48,7.64,8.14,9.87,6.19,0.00
9.12,7.83,4.97,7.92,8.06,4.00,6.95,1.00
6.28,10.59,6.21,7.06,7.80,10.66,4.38,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.69,7.44,4.99,6.88,5.73,3.69,4.30,0.00
6.00,7.23,4.36,8.98,4.95,3.81,7.51,0.00
7.47,7.41,8.34,7.52,8.20,6.04,4.51,1.00
9.01,6.76,7.17,6.34,8.08,9.81,7.52,1.00
8.70,7.25,7.07,7.73,6.84,5.46,4.90,1.00
6.89,9.19,4.30,7.44,5.59,8.94,4.30,0.00
7.45,9.50,4.20,7.48,4.85,7.51,8.07,0.00
10.18,9.54,4.76,6.25,8.08,7.35,5.44,1.00
4.37,8.25,4.69,7.31,4.91,5.37,5.80,0.00
6.97,10.78,3.91,5.15,4.57,5.33,8.59,1.00
7.24,8.31,4.43,7.74,5.12,3.89,8.50,0.00
5.04,8.38,4.45,4.10,9.18,4.06,4.81,1.00
4.18,9.00,8.84,8.27,8.33,3.91,4.56,1.00
9.75,10.98,6.45,6.79,4.33,3.74,6.80,1.00
8.64,11.55,6.18,8.73,8.80,8.45,5.20,1.00
8.61,10.61,8.34,7.00,7.45,9.74,5.21,1.00
7.70,6.91,7.74,6.92,7.82,8.64,7.66,1.00
9.65,7.93,5.27,7.92,7.23,7.51,5.11,1.00
6.33,9.67,4.42,7.51,6.28,3.93,8.69,0.00
9.85,10.04,6.66,6.22,4.52,4.59,11.03,1.00
6.98,11.08,5.44,8.15,7.34,10.57,6.95,1.00
7.45,10.34,4.19,7.10,4.26,4.03,8.54,0.00
9.43,8.79,4.52,7.37,4.78,3.96,7.49,0.00
9.77,7.92,5.03,6.98,5.13,4.16,5.95,1.00
8.36,11.12,9.00,8.00,6.92,9.54,6.79,1.00
8.24,7.82,7.87,7.34,8.01,10.26,6.94,1.00
8.17,9.11,7.47,7.34,8.09,9.84,6.23,1.00
8.06,11.12,4.66,7.65,4.69,10.49,8.66,0.00
8.71,9.89,4.29,6.99,4.49,8.24,5.31,0.00
8.51,8.20,7.05,7.65,6.74,3.72,4.62,1.00
7.22,8.79,4.43,7.59,8.08,4.04,7.57,1.00
7.54,10.01,7.16,7.94,5.41,3.75,7.80,1.00
9.14,10.70,5.31,7.61,7.14,3.84,4.46,1.00
4.60,7.02,4.84,7.65,5.30,3.88,4.45,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.96,9.97,5.75,6.91,7.49,3.85,8.48,1.00
9.12,8.81,4.62,7.35,9.18,11.23,10.09,0.00
5.46,9.83,4.46,7.66,5.40,3.92,7.00,0.00
4.31,6.86,4.67,6.41,6.42,3.99,4.49,0.00
7.94,11.00,7.10,6.98,7.58,8.45,3.84,1.00
9.50,7.49,4.77,8.47,4.09,5.78,8.94,1.00
4.07,7.52,5.63,7.33,5.30,3.55,7.31,0.00
7.34,11.59,5.24,8.00,4.65,5.98,7.45,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.77,9.34,8.68,7.12,8.73,8.62,6.87,1.00
4.95,8.85,4.17,4.06,9.17,4.30,4.38,1.00
10.12,8.72,7.06,7.84,7.45,9.20,4.65,1.00
5.48,7.99,4.62,8.14,4.19,4.28,9.41,0.00
7.15,10.00,7.60,6.97,6.95,6.21,4.45,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.30,8.08,9.32,7.06,8.19,3.93,5.65,1.00
7.59,6.60,8.41,7.84,7.72,4.13,7.90,1.00
5.64,9.07,4.41,7.22,4.70,6.42,10.88,0.00
6.69,9.30,4.09,7.13,5.10,3.92,8.60,0.00
7.25,8.71,4.64,7.97,4.49,5.87,9.16,0.00
7.93,11.64,4.85,7.80,7.15,3.93,8.09,1.00
5.00,10.30,4.27,8.28,9.86,3.78,7.94,1.00
5.50,8.70,3.84,7.66,4.82,7.76,6.91,0.00
6.88,5.60,4.02,7.25,4.34,7.53,9.81,0.00
8.74,6.64,4.17,7.58,5.09,3.85,8.93,0.00
7.79,9.68,6.06,7.54,8.85,6.12,5.60,1.00
8.00,5.54,4.31,7.66,5.06,8.42,7.11,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.83,11.13,4.70,8.18,9.88,7.72,8.31,0.00
4.31,6.82,4.57,5.77,8.68,3.89,3.90,1.00
5.68,7.01,4.62,6.58,7.96,4.01,4.98,1.00
7.40,10.43,4.21,7.56,4.67,10.48,8.47,0.00
6.82,8.20,4.01,7.36,3.99,4.67,10.45,0.00
9.24,6.78,5.00,8.52,5.28,3.85,4.76,1.00
8.77,9.98,4.92,8.59,10.58,3.85,5.62,1.00
7.23,7.26,4.76,8.31,5.75,3.66,8.18,0.00
7.13,8.30,4.25,6.66,5.58,7.68,7.26,0.00
4.69,10.27,4.06,8.86,4.19,4.45,7.69,0.00
8.66,11.86,6.58,6.37,7.65,9.40,3.90,1.00
9.30,8.97,9.95,8.01,7.23,3.70,4.15,1.00
9.63,7.13,4.00,8.44,4.29,3.98,4.76,1.00
8.18,9.84,8.09,6.57,8.93,8.69,4.16,1.00
4.42,5.03,4.59,7.50,5.05,4.12,6.37,0.00
4.52,8.49,3.96,7.14,3.88,9.17,9.71,0.00
5.77,7.94,4.12,8.61,5.32,4.18,7.65,0.00
6.80,5.09,6.97,6.50,8.44,4.08,4.27,1.00
5.33,7.55,4.23,7.86,4.13,4.03,10.79,0.00
7.75,10.85,4.13,6.02,4.64,3.59,7.39,1.00
4.49,11.31,4.02,8.07,3.98,3.76,9.70,0.00
4.25,8.64,3.84,8.11,4.58,3.74,9.85,0.00
7.88,6.35,4.15,7.99,4.07,6.95,9.85,0.00
5.59,10.94,4.28,6.99,3.99,4.03,6.58,1.00
9.96,8.18,4.28,8.32,4.52,8.10,9.83,0.00
6.49,8.23,7.44,7.08,8.00,4.10,7.08,1.00
