10396_at,221711_at,23048_at,2571_at,26278_at,3625_at,399474_at,5118_at,7134_at,95681_at,label
3.58,4.13,8.55,5.98,8.59,6.14,6.20,5.46,4.16,9.60,0.00
8.01,7.67,10.30,4.51,10.58,4.51,5.87,6.42,3.68,8.46,1.00
3.68,4.71,8.92,5.67,10.27,10.88,8.11,5.64,3.46,8.89,0.00
3.69,3.83,8.75,4.15,9.73,4.77,7.22,10.90,3.24,8.94,1.00
4.08,4.02,10.03,5.52,10.07,4.37,5.73,4.85,4.79,8.25,0.00
3.66,3.71,8.25,5.97,11.16,4.35,4.05,9.88,3.60,8.98,0.00
4.34,4.10,9.36,6.85,9.67,4.62,7.71,11.60,7.70,9.27,1.00
4.98,4.85,12.36,4.46,9.83,4.70,5.89,6.25,3.88,9.60,1.00
6.60,4.07,9.75,4.14,9.93,4.74,5.07,5.55,3.55,9.35,1.00
5.21,3.87,7.94,4.48,8.10,5.03,5.70,6.25,5.85,7.58,0.00
3.61,3.69,8.90,10.52,12.21,4.41,8.05,5.10,9.41,4.89,1.00
3.67,4.55,8.08,4.29,10.55,4.38,6.73,9.16,3.82,8.16,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.86,5.92,7.70,4.52,8.21,4.69,6.28,5.74,3.95,9.85,0.00
6.40,4.27,6.78,4.31,9.65,4.76,6.97,4.81,4.03,10.20,0.00
3.70,3.60,8.50,8.53,9.89,5.01,4.74,7.13,3.66,9.64,0.00
4.11,3.92,9.37,5.25,9.54,9.49,8.09,6.67,4.57,8.04,0.00
3.74,3.70,8.25,7.11,6.76,7.62,7.45,4.43,3.85,7.59,0.00
3.61,4.23,9.07,5.19,9.70,7.81,9.17,10.96,3.61,9.01,0.00
3.71,5.34,9.04,4.35,7.66,9.10,6.28,4.45,4.81,8.90,0.00
3.64,3.96,9.62,4.73,8.76,5.23,4.93,5.74,4.81,9.45,0.00
4.34,4.00,9.46,4.27,8.05,11.93,4.58,6.82,3.97,8.88,0.00
3.85,3.99,8.07,4.71,10.19,5.37,4.73,8.35,3.39,10.20,0.00
4.54,6.53,9.69,4.18,10.62,4.24,4.42,11.12,4.74,9.15,1.00
4.26,9.25,9.70,9.73,10.09,4.22,6.79,5.45,3.77,9.24,1.00
3.95,4.11,6.55,8.55,8.10,9.97,5.19,5.61,3.68,7.64,1.00
7.85,3.90,8.83,5.23,10.55,5.96,5.52,5.51,3.97,9.09,0.00
4.50,3.89,8.45,7.75,9.15,5.08,4.77,5.41,4.23,8.68,0.00
5.07,4.56,9.14,4.32,9.61,8.02,8.51,8.07,6.39,9.45,0.00
8.18,3.90,11.09,4.22,5.38,4.32,5.79,5.39,4.10,9.98,1.00
3.69,5.56,9.78,6.53,9.76,4.87,7.02,5.67,6.22,8.02,0.00
7.48,3.78,4.63,8.04,9.97,4.78,4.64,5.97,8.38,4.76,1.00
8.20,4.17,11.27,4.52,8.94,5.12,6.02,4.77,4.95,9.25,0.00
