10194_at,10396_at,11031_at,11343_at,1543_at,221711_at,23048_at,23231_at,2571_at,26278_at,2995_at,3625_at,399474_at,5055_at,51083_at,5118_at,55466_at,57162_at,7134_at,95681_at,label
6.66,3.58,9.60,9.44,6.65,4.13,8.55,7.63,5.98,8.59,5.18,6.14,6.20,12.66,6.35,5.46,7.94,6.29,4.16,9.60,0.00
8.79,8.01,3.97,4.80,4.93,7.67,10.30,7.61,4.51,10.58,10.44,4.51,5.87,3.65,3.81,6.42,4.68,8.05,3.68,8.46,1.00
7.10,3.68,4.96,10.65,4.99,4.71,8.92,9.71,5.67,10.27,10.93,10.88,8.11,4.01,4.55,5.64,4.80,6.33,3.46,8.89,0.00
8.01,3.69,10.47,10.31,5.15,3.83,8.75,5.76,4.15,9.73,8.32,4.77,7.22,8.71,3.93,10.90,4.49,7.69,3.24,8.94,1.00
6.18,4.08,9.05,9.73,4.78,4.02,10.03,4.38,5.52,10.07,5.43,4.37,5.73,7.60,3.97,4.85,4.31,6.10,4.79,8.25,0.00
8.77,3.66,8.47,8.28,6.27,3.71,8.25,9.59,5.97,11.16,9.69,4.35,4.05,8.84,4.40,9.88,4.64,8.08,3.60,8.98,0.00
7.61,4.34,8.05,4.83,5.53,4.10,9.36,4.78,6.85,9.67,4.65,4.62,7.71,3.70,4.57,11.60,4.51,8.68,7.70,9.27,1.00
9.30,4.98,4.18,5.13,5.68,4.85,12.36,4.16,4.46,9.83,8.63,4.70,5.89,3.45,3.85,6.25,4.65,7.40,3.88,9.60,1.00
8.48,6.60,7.11,4.99,4.93,4.07,9.75,6.43,4.14,9.93,10.59,4.74,5.07,3.92,4.36,5.55,4.66,9.19,3.55,9.35,1.00
7.14,5.21,9.74,11.07,5.36,3.87,7.94,10.49,4.48,8.10,3.84,5.03,5.70,3.71,6.09,6.25,7.18,9.26,5.85,7.58,0.00
7.49,3.61,9.19,5.11,5.10,3.69,8.90,7.07,10.52,12.21,4.80,4.41,8.05,4.54,4.24,5.10,4.38,7.25,9.41,4.89,1.00
8.11,3.67,10.18,10.39,4.84,4.55,8.08,9.99,4.29,10.55,5.86,4.38,6.73,3.79,4.62,9.16,7.55,7.09,3.82,8.16,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.05,7.86,4.37,7.31,5.01,5.92,7.70,11.39,4.52,8.21,9.63,4.69,6.28,3.85,3.98,5.74,4.65,10.72,3.95,9.85,0.00
7.43,6.40,4.18,7.86,4.97,4.27,6.78,11.43,4.31,9.65,7.96,4.76,6.97,3.81,3.90,4.81,4.76,10.05,4.03,10.20,0.00
9.30,3.70,4.09,8.62,7.70,3.60,8.50,8.00,8.53,9.89,10.37,5.01,4.74,4.40,4.37,7.13,8.87,8.49,3.66,9.64,0.00
6.66,4.11,9.78,10.24,5.74,3.92,9.37,10.92,5.25,9.54,9.17,9.49,8.09,3.62,4.54,6.67,4.57,7.63,4.57,8.04,0.00
6.01,3.74,10.21,5.88,8.38,3.70,8.25,8.10,7.11,6.76,4.96,7.62,7.45,6.79,7.35,4.43,7.67,8.12,3.85,7.59,0.00
8.44,3.61,11.10,9.91,6.27,4.23,9.07,7.56,5.19,9.70,8.80,7.81,9.17,4.95,3.78,10.96,4.67,7.51,3.61,9.01,0.00
4.57,3.71,10.28,9.02,8.73,5.34,9.04,9.40,4.35,7.66,5.23,9.10,6.28,8.61,8.13,4.45,8.14,6.48,4.81,8.90,0.00
8.74,3.64,10.18,6.84,8.89,3.96,9.62,5.90,4.73,8.76,4.31,5.23,4.93,3.72,7.86,5.74,8.43,5.99,4.81,9.45,0.00
8.20,4.34,4.25,10.06,5.76,4.00,9.46,4.79,4.27,8.05,4.13,11.93,4.58,3.61,6.73,6.82,7.64,3.51,3.97,8.88,0.00
7.49,3.85,11.53,7.84,5.35,3.99,8.07,8.71,4.71,10.19,9.93,5.37,4.73,4.34,4.56,8.35,5.67,5.99,3.39,10.20,0.00
8.78,4.54,7.93,4.53,6.79,6.53,9.69,10.49,4.18,10.62,4.30,4.24,4.42,3.53,11.02,11.12,4.19,10.31,4.74,9.15,1.00
8.80,4.26,5.09,8.32,4.66,9.25,9.70,4.48,9.73,10.09,11.33,4.22,6.79,3.33,6.95,5.45,4.78,7.13,3.77,9.24,1.00
7.56,3.95,6.20,8.64,5.12,4.11,6.55,10.05,8.55,8.10,4.74,9.97,5.19,3.63,4.33,5.61,8.53,8.27,3.68,7.64,1.00
9.73,7.85,6.31,5.38,4.85,3.90,8.83,4.28,5.23,10.55,4.38,5.96,5.52,3.96,10.08,5.51,4.48,9.68,3.97,9.09,0.00
7.77,4.50,4.33,11.24,6.44,3.89,8.45,9.14,7.75,9.15,4.21,5.08,4.77,9.84,10.54,5.41,5.70,5.88,4.23,8.68,0.00
9.75,5.07,9.54,8.59,6.60,4.56,9.14,8.74,4.32,9.61,4.39,8.02,8.51,4.10,3.80,8.07,6.59,7.51,6.39,9.45,0.00
8.31,8.18,4.61,6.03,5.12,3.90,11.09,12.08,4.22,5.38,10.39,4.32,5.79,3.76,4.21,5.39,4.82,11.32,4.10,9.98,1.00
4.15,3.69,10.48,10.64,6.09,5.56,9.78,9.31,6.53,9.76,4.50,4.87,7.02,3.62,11.12,5.67,8.04,7.61,6.22,8.02,0.00
8.81,7.48,4.24,9.35,5.40,3.78,4.63,10.46,8.04,9.97,4.07,4.78,4.64,4.89,3.79,5.97,9.51,7.57,8.38,4.76,1.00
7.52,8.20,4.31,8.32,5.63,4.17,11.27,10.84,4.52,8.94,4.69,5.12,6.02,3.89,4.28,4.77,4.59,10.10,4.95,9.25,0.00
8.38,3.97,8.67,7.95,7.41,4.05,8.61,9.53,7.17,6.61,4.93,4.59,5.44,5.44,5.92,6.35,4.69,5.62,4.02,9.17,0.00
5.96,3.55,9.27,7.83,7.64,3.92,9.47,7.85,5.78,8.74,4.65,11.57,4.75,6.17,9.66,7.12,7.18,6.34,5.69,8.65,0.00
9.04,5.39,12.23,9.20,5.10,9.43,8.55,6.20,4.39,10.14,10.20,4.33,5.45,3.60,8.89,5.25,4.45,7.06,3.88,8.18,1.00
7.73,4.18,7.79,5.05,5.86,4.33,8.75,10.42,5.48,8.93,4.30,4.68,5.49,3.51,10.44,6.17,4.47,5.05,4.68,8.17,0.00
6.56,3.54,10.01,10.72,5.24,4.02,8.43,4.75,4.84,10.68,6.66,4.48,6.29,13.06,3.55,9.91,4.76,6.30,3.64,9.66,0.00
6.57,3.80,8.05,5.52,7.36,6.10,8.17,7.37,8.19,7.94,4.15,6.81,4.47,3.91,11.14,5.46,7.58,6.45,4.33,8.46,0.00
