100_at,23531_at,2487_at,3569_at,441168_at,50964_at,7134_at,7291_at,9473_at,95681_at,label
8.72,11.61,4.12,9.70,8.31,3.57,4.16,8.62,5.50,9.60,0.00
10.73,10.40,3.75,4.28,4.17,3.96,3.68,3.07,5.23,8.46,1.00
7.99,10.24,3.55,9.54,5.53,4.12,3.46,3.59,4.49,8.89,0.00
6.71,10.57,3.97,9.63,6.62,3.77,3.24,8.97,8.71,8.94,1.00
7.61,8.40,3.74,7.61,6.87,3.63,4.79,8.66,4.91,8.25,0.00
7.68,8.13,3.98,6.55,4.16,3.89,3.60,9.23,5.25,8.98,0.00
8.11,8.40,3.81,4.14,3.88,3.89,7.70,12.10,5.09,9.27,1.00
12.42,10.55,3.71,4.51,3.96,3.83,3.88,3.51,4.50,9.60,1.00
9.89,8.99,3.61,4.36,6.58,3.72,3.55,3.10,5.52,9.35,1.00
5.50,9.14,3.76,4.71,4.01,3.86,5.85,3.66,4.38,7.58,0.00
7.99,8.36,3.70,4.58,4.17,4.03,9.41,3.06,4.47,4.89,1.00
6.65,9.54,3.84,8.55,6.47,3.75,3.82,8.98,7.47,8.16,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.57,10.60,3.81,4.48,6.33,3.79,3.95,3.16,4.47,9.85,0.00
8.87,10.00,3.88,4.11,4.27,4.36,4.03,3.83,4.55,10.20,0.00
6.99,8.37,3.85,4.54,5.98,3.80,3.66,9.86,4.28,9.64,0.00
8.83,9.79,3.79,7.52,4.98,4.02,4.57,3.67,4.90,8.04,0.00
10.75,7.88,3.81,8.76,8.23,3.75,3.85,6.44,5.27,7.59,0.00
6.20,9.52,3.71,12.49,5.63,4.18,3.61,10.75,6.15,9.01,0.00
8.59,10.55,3.87,9.95,6.77,4.01,4.81,7.08,5.47,8.90,0.00
7.10,10.17,3.88,4.99,4.12,4.70,4.81,3.08,4.38,9.45,0.00
5.00,7.87,3.86,4.47,4.07,3.51,3.97,8.89,4.70,8.88,0.00
7.61,10.12,4.20,8.00,6.09,3.89,3.39,10.90,5.02,10.20,0.00
7.39,10.76,4.27,4.27,4.76,3.78,4.74,8.82,4.35,9.15,1.00
9.27,8.76,3.75,4.06,4.57,3.96,3.77,3.83,6.86,9.24,1.00
11.56,9.07,3.78,4.63,3.83,4.08,3.68,3.51,4.45,7.64,1.00
7.09,9.32,3.78,4.84,3.82,3.75,3.97,3.32,4.51,9.09,0.00
8.05,5.52,3.77,4.50,4.26,3.69,4.23,5.31,6.59,8.68,0.00
6.81,9.98,4.16,8.57,4.47,3.88,6.39,9.62,4.39,9.45,0.00
8.05,10.64,3.78,4.59,4.51,4.06,4.10,3.36,6.21,9.98,1.00
8.17,10.84,3.71,8.30,3.99,3.68,6.22,3.35,5.03,8.02,0.00
8.05,9.09,3.84,4.68,3.98,3.61,8.38,3.26,4.32,4.76,1.00
8.53,10.41,3.83,4.53,7.63,3.92,4.95,3.52,7.13,9.25,0.00
4.29,10.50,3.62,4.94,4.12,3.69,4.02,3.42,4.37,9.17,0.00
10.54,9.78,3.88,5.46,3.95,3.70,5.69,3.07,4.03,8.65,0.00
10.50,9.07,3.78,4.17,4.05,4.20,3.88,3.32,8.84,8.18,1.00
8.15,9.79,5.34,4.69,4.24,3.97,4.68,3.28,5.96,8.17,0.00
6.42,9.93,3.71,5.65,7.91,3.92,3.64,9.71,4.45,9.66,0.00
7.35,6.22,3.70,5.42,3.84,4.03,4.33,6.32,4.28,8.46,0.00
7.57,7.66,5.57,4.51,4.82,8.36,8.26,3.29,4.43,4.49,1.00
8.84,8.80,3.68,4.61,3.72,4.59,9.43,3.33,4.41,7.99,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.57,10.16,3.93,9.97,4.64,3.93,3.92,8.94,5.92,8.57,0.00
9.13,10.99,3.76,4.73,4.23,3.74,3.67,3.39,8.10,8.56,1.00
8.64,11.07,3.81,8.62,4.22,9.66,3.97,10.47,4.52,9.22,1.00
8.43,9.11,9.06,4.61,7.77,3.89,6.59,3.48,6.20,8.68,0.00
7.00,10.19,3.54,4.45,3.76,3.96,5.57,3.23,4.37,8.07,0.00
5.58,10.47,3.65,6.42,6.19,3.87,3.79,4.17,4.99,7.61,0.00
6.73,10.09,3.87,9.76,7.00,7.34,4.02,3.15,4.34,9.13,0.00
8.89,8.54,3.60,5.23,7.62,3.85,3.85,3.44,7.03,8.60,0.00
6.27,9.80,3.74,5.45,4.04,3.95,4.66,3.38,5.80,8.19,0.00
7.92,11.41,3.63,8.45,6.20,3.89,3.93,3.14,6.46,8.51,0.00
6.58,9.10,3.80,4.93,4.05,3.68,11.18,3.07,4.25,8.33,0.00
9.59,10.32,4.50,9.75,5.69,3.80,6.82,7.96,6.30,8.97,1.00
8.08,9.18,4.06,6.56,4.13,3.80,4.05,3.41,4.42,7.87,0.00
7.40,9.01,3.62,4.32,3.92,3.58,6.48,4.20,4.67,6.96,0.00
7.71,8.50,3.89,5.80,5.18,3.93,8.56,3.75,4.38,8.56,0.00
4.24,10.85,3.92,8.37,4.11,4.05,6.10,3.10,4.77,6.40,0.00
7.18,8.94,3.75,4.85,4.05,3.98,5.68,3.31,4.57,7.11,0.00
7.88,9.94,3.77,4.41,4.18,4.00,3.67,3.70,6.33,4.30,1.00
10.82,8.91,3.72,4.59,3.75,3.94,3.91,4.72,4.45,8.05,1.00
7.50,9.38,3.65,8.13,4.01,3.84,4.05,7.95,5.42,9.20,0.00
8.28,9.19,3.77,4.99,4.00,3.80,5.90,3.28,4.34,7.81,1.00
6.45,9.43,5.49,7.62,5.32,3.78,4.14,10.31,4.86,8.87,0.00
7.38,8.16,3.74,4.93,4.39,3.89,3.51,3.23,7.36,8.70,1.00
6.42,8.98,3.72,9.39,5.42,3.90,3.82,8.58,4.47,7.84,0.00
8.98,10.65,3.73,4.19,4.36,3.79,3.84,3.27,4.69,8.43,1.00
4.43,9.17,3.47,4.96,5.15,3.65,6.71,7.05,7.22,8.88,1.00
10.28,9.92,3.89,4.67,10.12,5.44,3.75,7.32,5.21,10.09,1.00
7.35,13.15,8.15,4.41,3.83,3.68,3.97,12.00,4.42,8.79,1.00
7.32,8.85,4.87,4.95,8.00,3.75,3.41,10.46,6.13,9.19,0.00
6.74,8.66,4.06,4.48,4.02,3.93,8.97,9.42,4.52,7.75,1.00
8.35,12.13,3.87,4.45,4.11,3.79,3.64,3.93,4.54,7.92,0.00
7.74,10.10,3.85,7.70,3.88,3.93,4.26,3.21,4.18,8.45,0.00
7.91,9.60,4.78,4.47,3.95,7.06,4.29,3.06,5.84,9.77,1.00
12.89,11.19,3.83,4.41,3.90,3.82,4.44,5.03,4.58,9.12,1.00
9.26,10.11,3.78,8.07,9.00,3.70,3.48,3.29,9.50,7.34,1.00
8.00,9.56,3.72,4.83,4.31,3.85,3.96,6.26,8.16,8.59,0.00
11.06,7.62,3.66,4.48,4.30,3.84,4.05,3.28,5.01,9.20,0.00
10.61,9.93,3.70,4.51,4.18,3.98,3.70,3.13,5.94,9.78,1.00
10.03,10.14,3.74,4.51,4.11,4.35,3.88,3.70,5.73,8.40,1.00
10.85,9.91,3.83,4.56,10.91,4.32,4.04,3.47,7.45,8.31,1.00
8.04,9.06,3.71,5.09,8.89,4.29,10.71,8.81,4.57,8.52,1.00
11.15,8.96,3.85,4.54,4.13,4.05,3.54,9.06,8.15,9.09,1.00
8.48,10.46,3.89,4.74,4.20,3.91,3.96,3.35,4.74,7.66,1.00
10.46,8.74,3.69,4.52,4.31,3.81,3.70,8.12,7.02,8.33,1.00
7.59,8.16,3.81,4.49,4.03,3.92,4.02,5.93,4.40,8.18,0.00
8.88,9.34,3.77,4.83,4.38,4.05,3.91,2.94,4.92,9.44,0.00
7.97,10.88,7.16,6.19,3.99,3.90,4.71,11.23,4.71,9.51,1.00
7.21,8.42,3.81,4.91,6.53,4.07,3.46,3.35,7.91,8.24,0.00
8.92,8.64,5.62,4.50,3.99,4.41,7.84,5.91,8.31,9.27,1.00
