100_at,11031_at,1543_at,1832_at,23531_at,2487_at,25984_at,3226_at,3569_at,3872_at,4109_at,441168_at,50964_at,7079_at,7134_at,7291_at,85027_at,85480_at,9473_at,95681_at,label
8.72,9.60,6.65,11.38,11.61,4.12,8.82,4.82,9.70,9.86,4.05,8.31,3.57,7.27,4.16,8.62,7.97,3.63,5.50,9.60,0.00
10.73,3.97,4.93,4.16,10.40,3.75,3.80,4.93,4.28,3.80,3.75,4.17,3.96,3.99,3.68,3.07,5.36,3.89,5.23,8.46,1.00
7.99,4.96,4.99,5.34,10.24,3.55,3.97,6.66,9.54,4.06,3.88,5.53,4.12,4.28,3.46,3.59,9.47,3.75,4.49,8.89,0.00
6.71,10.47,5.15,7.53,10.57,3.97,4.53,4.56,9.63,4.39,3.87,6.62,3.77,3.71,3.24,8.97,9.75,5.64,8.71,8.94,1.00
7.61,9.05,4.78,11.47,8.40,3.74,3.85,5.66,7.61,7.57,3.88,6.87,3.63,4.33,4.79,8.66,6.67,6.14,4.91,8.25,0.00
7.68,8.47,6.27,9.75,8.13,3.98,3.64,10.13,6.55,3.95,4.98,4.16,3.89,3.86,3.60,9.23,6.57,3.90,5.25,8.98,0.00
8.11,8.05,5.53,4.36,8.40,3.81,3.57,10.30,4.14,3.95,3.92,3.88,3.89,3.80,7.70,12.10,7.46,3.75,5.09,9.27,1.00
12.42,4.18,5.68,4.73,10.55,3.71,3.67,4.99,4.51,4.07,4.20,3.96,3.83,3.69,3.88,3.51,9.25,6.66,4.50,9.60,1.00
9.89,7.11,4.93,4.60,8.99,3.61,3.67,5.12,4.36,3.77,9.28,6.58,3.72,3.83,3.55,3.10,4.82,3.77,5.52,9.35,1.00
5.50,9.74,5.36,12.37,9.14,3.76,8.63,9.49,4.71,4.31,4.13,4.01,3.86,8.04,5.85,3.66,5.72,3.51,4.38,7.58,0.00
7.99,9.19,5.10,11.69,8.36,3.70,4.46,9.21,4.58,3.87,4.10,4.17,4.03,4.06,9.41,3.06,7.29,3.77,4.47,4.89,1.00
6.65,10.18,4.84,5.51,9.54,3.84,4.08,4.93,8.55,4.23,3.89,6.47,3.75,8.37,3.82,8.98,7.42,3.66,7.47,8.16,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.57,4.37,5.01,4.29,10.60,3.81,3.93,4.71,4.48,4.05,4.17,6.33,3.79,3.77,3.95,3.16,4.66,3.78,4.47,9.85,0.00
8.87,4.18,4.97,5.00,10.00,3.88,3.57,5.17,4.11,4.03,4.17,4.27,4.36,4.21,4.03,3.83,5.14,3.71,4.55,10.20,0.00
6.99,4.09,7.70,4.30,8.37,3.85,3.59,8.91,4.54,4.05,4.25,5.98,3.80,4.26,3.66,9.86,9.94,3.53,4.28,9.64,0.00
8.83,9.78,5.74,9.62,9.79,3.79,3.99,9.17,7.52,4.00,3.93,4.98,4.02,6.98,4.57,3.67,5.73,4.44,4.90,8.04,0.00
10.75,10.21,8.38,13.04,7.88,3.81,5.43,6.97,8.76,12.68,4.15,8.23,3.75,4.18,3.85,6.44,6.29,4.42,5.27,7.59,0.00
6.20,11.10,6.27,9.78,9.52,3.71,3.75,10.68,12.49,4.07,3.73,5.63,4.18,4.45,3.61,10.75,10.38,6.33,6.15,9.01,0.00
8.59,10.28,8.73,12.48,10.55,3.87,6.04,7.99,9.95,11.03,4.78,6.77,4.01,8.50,4.81,7.08,7.13,5.15,5.47,8.90,0.00
7.10,10.18,8.89,5.31,10.17,3.88,4.10,8.51,4.99,4.14,3.94,4.12,4.70,6.48,4.81,3.08,8.52,5.38,4.38,9.45,0.00
5.00,4.25,5.76,12.01,7.87,3.86,3.89,5.39,4.47,4.21,4.15,4.07,3.51,4.01,3.97,8.89,7.39,3.64,4.70,8.88,0.00
7.61,11.53,5.35,5.09,10.12,4.20,4.99,8.36,8.00,4.23,4.34,6.09,3.89,8.34,3.39,10.90,9.95,5.94,5.02,10.20,0.00
7.39,7.93,6.79,4.37,10.76,4.27,3.99,4.94,4.27,4.04,4.20,4.76,3.78,3.99,4.74,8.82,8.56,9.26,4.35,9.15,1.00
9.27,5.09,4.66,4.58,8.76,3.75,3.57,4.39,4.06,3.97,3.90,4.57,3.96,3.70,3.77,3.83,8.17,5.81,6.86,9.24,1.00
11.56,6.20,5.12,12.39,9.07,3.78,9.34,4.67,4.63,4.23,3.92,3.83,4.08,6.07,3.68,3.51,8.49,3.71,4.45,7.64,1.00
7.09,6.31,4.85,11.59,9.32,3.78,3.55,6.42,4.84,4.00,4.12,3.82,3.75,3.69,3.97,3.32,7.94,4.14,4.51,9.09,0.00
8.05,4.33,6.44,11.49,5.52,3.77,4.45,5.03,4.50,6.15,4.21,4.26,3.69,3.98,4.23,5.31,5.27,3.61,6.59,8.68,0.00
6.81,9.54,6.60,11.90,9.98,4.16,3.90,5.84,8.57,4.05,3.76,4.47,3.88,3.89,6.39,9.62,6.12,3.65,4.39,9.45,0.00
8.05,4.61,5.12,4.38,10.64,3.78,3.96,4.70,4.59,4.09,4.11,4.51,4.06,4.11,4.10,3.36,4.77,3.73,6.21,9.98,1.00
8.17,10.48,6.09,10.31,10.84,3.71,3.69,7.52,8.30,3.92,3.77,3.99,3.68,4.09,6.22,3.35,7.40,3.73,5.03,8.02,0.00
8.05,4.24,5.40,12.05,9.09,3.84,3.84,4.31,4.68,8.82,4.19,3.98,3.61,7.50,8.38,3.26,6.66,3.58,4.32,4.76,1.00
8.53,4.31,5.63,4.43,10.41,3.83,3.70,4.99,4.53,4.56,4.31,7.63,3.92,4.03,4.95,3.52,4.36,3.80,7.13,9.25,0.00
4.29,8.67,7.41,11.17,10.50,3.62,3.47,4.97,4.94,3.77,3.70,4.12,3.69,3.57,4.02,3.42,8.34,3.51,4.37,9.17,0.00
10.54,9.27,7.64,11.45,9.78,3.88,3.80,8.95,5.46,4.83,4.65,3.95,3.70,6.03,5.69,3.07,6.67,3.80,4.03,8.65,0.00
10.50,12.23,5.10,10.36,9.07,3.78,3.74,4.92,4.17,4.67,3.87,4.05,4.20,3.72,3.88,3.32,10.14,4.92,8.84,8.18,1.00
8.15,7.79,5.86,10.43,9.79,5.34,3.98,5.69,4.69,3.98,4.13,4.24,3.97,3.67,4.68,3.28,6.25,4.11,5.96,8.17,0.00
6.42,10.01,5.24,4.21,9.93,3.71,3.75,5.21,5.65,4.25,4.24,7.91,3.92,4.28,3.64,9.71,6.51,8.71,4.45,9.66,0.00
7.35,8.05,7.36,12.81,6.22,3.70,4.75,8.24,5.42,12.84,4.04,3.84,4.03,4.13,4.33,6.32,5.81,6.18,4.28,8.46,0.00
7.57,10.06,5.10,12.46,7.66,5.57,3.77,9.95,4.51,4.05,4.12,4.82,8.36,3.83,8.26,3.29,7.63,3.65,4.43,4.49,1.00
8.84,4.37,5.27,4.73,8.80,3.68,10.85,6.28,4.61,4.46,4.25,3.72,4.59,4.01,9.43,3.33,7.17,3.57,4.41,7.99,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.57,8.39,6.72,6.30,10.16,3.93,4.06,5.02,9.97,9.15,3.68,4.64,3.93,3.76,3.92,8.94,8.77,3.71,5.92,8.57,0.00
9.13,6.26,4.92,4.55,10.99,3.76,3.58,4.91,4.73,3.76,4.04,4.23,3.74,3.89,3.67,3.39,4.49,5.31,8.10,8.56,1.00
8.64,10.62,6.29,4.34,11.07,3.81,4.12,8.59,8.62,6.91,3.98,4.22,9.66,4.09,3.97,10.47,9.36,7.51,4.52,9.22,1.00
8.43,8.13,5.11,11.89,9.11,9.06,11.38,10.24,4.61,6.49,4.44,7.77,3.89,4.01,6.59,3.48,5.05,3.89,6.20,8.68,0.00
7.00,7.74,10.83,11.98,10.19,3.54,4.26,5.08,4.45,4.27,3.77,3.76,3.96,3.75,5.57,3.23,6.29,3.70,4.37,8.07,0.00
5.58,8.81,9.10,10.42,10.47,3.65,3.79,9.32,6.42,4.02,3.97,6.19,3.87,5.31,3.79,4.17,6.36,4.52,4.99,7.61,0.00
6.73,10.51,5.78,10.37,10.09,3.87,4.27,8.91,9.76,10.07,4.20,7.00,7.34,6.46,4.02,3.15,7.11,5.03,4.34,9.13,0.00
8.89,9.68,11.66,13.02,8.54,3.60,10.32,9.61,5.23,10.31,3.92,7.62,3.85,4.98,3.85,3.44,7.12,6.10,7.03,8.60,0.00
