100_at,10396_at,10455_at,10737_at,10974_at,11031_at,1543_at,1645_at,1832_at,217_at,23048_at,23531_at,2487_at,2571_at,25984_at,26575_at,29015_at,2995_at,3226_at,3398_at,3569_at,3625_at,387066_at,3872_at,4109_at,415_at,4256_at,440498_at,441168_at,4499_at,50964_at,55510_at,55536_at,56892_at,5696_at,5865_at,7079_at,7134_at,7291_at,730755_at,7378_at,7490_at,84561_at,85027_at,85480_at,894_at,8971_at,9473_at,95681_at,AFFX-HUMRGE/M10098_5_at,label
8.72,3.58,9.76,4.38,9.74,9.60,6.65,6.28,11.38,4.99,8.55,11.61,4.12,5.98,8.82,6.32,10.31,5.18,4.82,8.11,9.70,6.14,9.46,9.86,4.05,4.14,4.19,8.58,8.31,4.25,3.57,4.09,10.65,7.26,9.52,7.85,7.27,4.16,8.62,10.34,10.79,5.37,7.61,7.97,3.63,4.18,9.23,5.50,9.60,13.65,0.00
10.73,8.01,10.72,4.84,4.66,3.97,4.93,3.83,4.16,5.63,10.30,10.40,3.75,4.51,3.80,4.31,8.17,10.44,4.93,6.58,4.28,4.51,10.24,3.80,3.75,4.80,3.96,3.78,4.17,4.75,3.96,3.60,11.20,3.50,11.07,4.39,3.99,3.68,3.07,4.65,3.13,8.02,4.69,5.36,3.89,4.13,11.16,5.23,8.46,13.41,1.00
7.99,3.68,11.34,4.45,4.67,4.96,4.99,4.43,5.34,10.93,8.92,10.24,3.55,5.67,3.97,6.19,9.84,10.93,6.66,10.98,9.54,10.88,12.37,4.06,3.88,6.61,3.73,8.77,5.53,4.14,4.12,3.94,10.19,3.69,9.83,7.63,4.28,3.46,3.59,9.83,8.44,7.56,7.55,9.47,3.75,3.92,9.14,4.49,8.89,13.93,0.00
6.71,3.69,11.26,3.86,8.75,10.47,5.15,7.55,7.53,8.35,8.75,10.57,3.97,4.15,4.53,7.40,4.86,8.32,4.56,5.58,9.63,4.77,11.29,4.39,3.87,4.19,5.32,6.35,6.62,4.63,3.77,3.81,3.55,3.41,9.39,9.19,3.71,3.24,8.97,11.05,8.34,5.85,7.20,9.75,5.64,3.83,8.96,8.71,8.94,12.85,1.00
7.61,4.08,11.05,3.84,7.50,9.05,4.78,4.55,11.47,5.40,10.03,8.40,3.74,5.52,3.85,5.31,9.43,5.43,5.66,7.25,7.61,4.37,9.51,7.57,3.88,4.53,4.34,7.54,6.87,3.58,3.63,3.60,8.32,3.86,8.42,9.29,4.33,4.79,8.66,12.55,10.31,3.99,4.88,6.67,6.14,3.87,9.27,4.91,8.25,13.30,0.00
7.68,3.66,10.50,3.78,4.26,8.47,6.27,4.28,9.75,5.17,8.25,8.13,3.98,5.97,3.64,7.06,10.43,9.69,10.13,7.52,6.55,4.35,12.23,3.95,4.98,6.70,4.35,8.62,4.16,3.60,3.89,3.64,7.91,3.80,8.99,4.27,3.86,3.60,9.23,4.60,10.13,5.13,7.01,6.57,3.90,3.91,9.30,5.25,8.98,11.24,0.00
8.11,4.34,10.97,4.23,4.18,8.05,5.53,3.98,4.36,10.60,9.36,8.40,3.81,6.85,3.57,4.02,5.16,4.65,10.30,10.72,4.14,4.62,12.05,3.95,3.92,4.43,10.19,7.96,3.88,3.97,3.89,3.84,4.51,4.99,6.36,5.36,3.80,7.70,12.10,4.53,6.78,3.89,4.30,7.46,3.75,12.17,8.87,5.09,9.27,13.96,1.00
12.42,4.98,10.27,4.58,4.20,4.18,5.68,4.11,4.73,5.19,12.36,10.55,3.71,4.46,3.67,4.40,10.04,8.63,4.99,7.11,4.51,4.70,12.49,4.07,4.20,4.48,3.95,3.65,3.96,3.47,3.83,3.99,10.15,3.54,11.67,4.44,3.69,3.88,3.51,4.47,4.22,8.07,3.80,9.25,6.66,4.85,11.05,4.50,9.60,13.38,1.00
9.89,6.60,10.13,5.05,4.02,7.11,4.93,4.39,4.60,5.94,9.75,8.99,3.61,4.14,3.67,4.12,10.72,10.59,5.12,10.43,4.36,4.74,9.93,3.77,9.28,4.41,3.87,9.68,6.58,3.79,3.72,3.79,10.84,3.39,10.26,4.28,3.83,3.55,3.10,4.65,7.16,4.00,4.21,4.82,3.77,11.09,11.12,5.52,9.35,12.57,1.00
5.50,5.21,9.99,3.73,8.09,9.74,5.36,11.51,12.37,11.86,7.94,9.14,3.76,4.48,8.63,3.84,5.08,3.84,9.49,8.42,4.71,5.03,12.31,4.31,4.13,6.69,3.60,8.60,4.01,6.61,3.86,3.80,8.38,8.77,9.81,4.25,8.04,5.85,3.66,4.51,10.71,4.02,4.66,5.72,3.51,3.87,8.63,4.38,7.58,13.97,0.00
7.99,3.61,9.97,4.51,4.35,9.19,5.10,4.43,11.69,9.35,8.90,8.36,3.70,10.52,4.46,4.15,5.16,4.80,9.21,11.73,4.58,4.41,9.72,3.87,4.10,4.19,4.12,9.00,4.17,3.31,4.03,3.57,9.48,8.92,3.93,5.83,4.06,9.41,3.06,5.74,4.88,7.06,4.39,7.29,3.77,5.68,9.21,4.47,4.89,12.90,1.00
