10396_at,10653_at,10924_at,221711_at,53832_at,55510_at,85027_at,9473_at,95681_at,label
3.58,11.54,6.72,4.13,4.25,4.09,7.97,5.50,9.60,0.00
8.01,4.27,3.77,7.67,3.90,3.60,5.36,5.23,8.46,1.00
3.68,10.34,7.83,4.71,4.00,3.94,9.47,4.49,8.89,0.00
3.69,6.19,6.55,3.83,3.87,3.81,9.75,8.71,8.94,1.00
4.08,8.81,7.55,4.02,3.73,3.60,6.67,4.91,8.25,0.00
3.66,4.25,8.99,3.71,3.87,3.64,6.57,5.25,8.98,0.00
4.34,3.89,4.42,4.10,3.81,3.84,7.46,5.09,9.27,1.00
4.98,8.76,3.65,4.85,3.95,3.99,9.25,4.50,9.60,1.00
6.60,8.69,6.25,4.07,3.83,3.79,4.82,5.52,9.35,1.00
5.21,11.92,11.39,3.87,8.44,3.80,5.72,4.38,7.58,0.00
3.61,9.94,5.13,3.69,3.99,3.57,7.29,4.47,4.89,1.00
3.67,4.51,6.77,4.55,3.81,3.77,7.42,7.47,8.16,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.86,8.79,7.08,5.92,3.74,3.85,4.66,4.47,9.85,0.00
6.40,7.98,4.30,4.27,3.91,5.53,5.14,4.55,10.20,0.00
3.70,3.73,9.74,3.60,3.78,3.71,9.94,4.28,9.64,0.00
4.11,11.95,9.14,3.92,3.96,7.29,5.73,4.90,8.04,0.00
3.74,11.89,8.24,3.70,4.28,6.96,6.29,5.27,7.59,0.00
3.61,4.57,7.52,4.23,3.82,6.86,10.38,6.15,9.01,0.00
3.71,12.09,7.60,5.34,5.55,3.69,7.13,5.47,8.90,0.00
3.64,10.66,6.37,3.96,4.18,6.03,8.52,4.38,9.45,0.00
4.34,11.95,10.78,4.00,4.03,4.16,7.39,4.70,8.88,0.00
3.85,4.25,7.75,3.99,3.85,3.54,9.95,5.02,10.20,0.00
4.54,3.94,9.16,6.53,4.00,3.70,8.56,4.35,9.15,1.00
4.26,10.73,6.93,9.25,3.82,7.00,8.17,6.86,9.24,1.00
3.95,11.38,7.79,4.11,9.07,3.85,8.49,4.45,7.64,1.00
7.85,4.02,4.45,3.90,4.14,3.71,7.94,4.51,9.09,0.00
4.50,11.72,5.76,3.89,4.40,3.55,5.27,6.59,8.68,0.00
5.07,10.49,7.74,4.56,6.10,3.78,6.12,4.39,9.45,0.00
8.18,7.83,3.64,3.90,4.18,6.62,4.77,6.21,9.98,1.00
3.69,11.37,6.74,5.56,3.94,9.22,7.40,5.03,8.02,0.00
7.48,10.93,9.09,3.78,6.70,3.96,6.66,4.32,4.76,1.00
8.20,8.29,7.24,4.17,3.75,3.86,4.36,7.13,9.25,0.00
3.97,11.86,7.15,4.05,4.30,7.42,8.34,4.37,9.17,0.00
3.55,11.95,5.36,3.92,4.02,3.74,6.67,4.03,8.65,0.00
