10252_at,10628_at,112616_at,201161_at,22943_at,23764_at,29940_at,3995_at,4938_at,53827_at,5480_at,54941_at,55612_at,6383_at,645722_at,79772_at,84221_at,8635_at,91614_at,9781_at,label
6.38,8.38,10.69,9.23,4.63,8.63,9.97,8.92,4.56,10.43,11.03,3.60,7.54,10.39,4.10,6.73,8.30,8.92,7.87,5.96,0.00
6.63,11.14,10.64,4.56,11.14,12.89,10.53,6.61,4.49,10.56,9.48,5.17,8.12,8.54,5.74,7.65,7.98,8.21,8.85,7.50,1.00
7.38,6.02,6.13,8.33,5.00,9.39,10.84,8.62,10.57,11.15,10.90,6.97,7.49,11.06,4.83,7.71,7.33,8.14,7.26,7.66,0.00
5.40,9.45,8.52,8.48,14.05,9.45,9.31,9.49,5.00,11.58,10.73,3.80,7.18,9.71,5.64,4.78,8.37,9.84,8.72,7.51,0.00
4.99,5.17,10.59,8.71,9.30,8.36,9.68,8.74,7.00,9.64,10.77,4.34,8.08,4.33,8.56,4.54,7.73,9.58,6.73,7.42,0.00
11.98,7.13,10.33,11.73,12.47,10.06,8.70,6.50,5.60,7.68,4.88,6.38,5.35,10.90,9.34,4.88,4.89,8.37,6.06,4.31,1.00
6.62,8.18,11.43,7.26,11.59,10.31,4.99,8.61,6.14,11.60,9.54,7.92,8.39,8.66,6.87,6.05,7.59,8.34,10.72,7.98,1.00
5.48,5.31,9.81,11.29,12.07,8.61,9.30,8.15,8.03,10.09,8.79,3.88,8.40,4.20,5.68,4.92,4.54,8.68,9.21,6.63,1.00
5.85,10.43,5.60,10.06,4.48,7.43,8.75,8.42,8.55,7.30,4.77,4.40,5.33,9.73,4.05,6.60,8.63,8.51,9.00,7.12,0.00
8.37,10.26,6.11,4.02,6.52,9.94,4.09,7.54,8.07,10.27,9.97,3.93,7.09,4.21,3.90,3.85,7.20,11.55,6.39,6.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.53,9.22,7.67,9.95,4.35,5.50,5.11,10.09,8.00,8.97,4.87,3.95,4.90,4.06,4.41,5.48,6.58,8.23,4.16,4.07,0.00
4.96,8.97,7.35,11.52,4.88,5.35,5.31,9.29,7.04,8.58,4.60,4.73,4.98,4.45,4.30,5.05,7.41,9.46,4.51,4.78,0.00
5.82,9.51,6.16,6.46,6.75,9.23,7.45,7.22,6.85,11.65,10.53,3.86,8.14,4.04,4.53,4.04,8.57,9.86,5.46,3.87,0.00
6.84,11.55,8.07,6.13,8.35,6.36,6.14,7.10,4.19,4.62,10.19,6.71,4.87,8.58,5.02,4.78,5.93,10.37,4.07,7.41,0.00
7.80,6.84,8.42,10.36,12.70,10.85,8.55,7.22,4.58,12.11,9.90,3.95,6.76,7.80,4.07,5.88,8.17,8.83,7.60,7.22,0.00
9.26,10.87,11.00,3.84,9.86,12.73,5.02,8.34,5.75,10.53,8.46,8.27,4.98,11.71,6.78,8.14,7.13,10.25,7.46,8.33,1.00
5.44,9.04,8.25,5.99,12.29,10.73,10.35,9.31,5.38,9.28,10.97,3.87,5.26,10.06,4.79,8.51,8.09,8.67,9.43,6.40,0.00
9.51,8.18,9.90,10.72,12.60,9.23,8.25,6.64,4.76,10.49,9.52,5.18,7.92,4.28,7.09,6.96,7.51,9.27,6.82,5.45,1.00
5.91,10.42,7.12,3.95,4.91,6.85,4.47,6.28,4.06,4.44,11.54,5.30,4.81,7.49,4.43,5.64,7.97,9.57,4.01,5.73,0.00
7.90,10.16,12.24,8.29,11.71,10.55,8.76,7.05,8.39,11.06,11.65,5.49,10.65,4.01,4.55,7.81,5.84,9.69,4.50,3.70,1.00
5.66,9.01,10.87,8.73,10.21,9.98,10.10,7.86,4.82,9.07,10.06,3.79,5.27,9.19,5.66,7.98,6.94,8.79,7.72,7.16,0.00
11.40,8.49,10.24,11.23,12.40,9.99,7.90,7.93,4.40,9.17,8.56,5.31,6.50,9.84,9.74,5.10,8.01,8.68,8.06,6.04,1.00
5.63,9.58,11.07,4.06,4.58,7.94,7.11,7.22,7.32,10.03,4.55,4.00,5.24,4.04,4.69,8.02,8.28,10.95,4.30,5.47,0.00
9.87,10.57,11.10,11.09,4.33,9.52,4.77,5.58,9.52,9.62,9.78,4.03,11.58,4.43,4.06,7.68,6.82,10.36,10.37,3.88,1.00
8.15,9.56,8.55,11.04,4.32,8.35,5.27,5.36,7.76,9.54,10.49,5.56,11.85,4.31,4.15,7.57,6.97,9.78,11.44,4.53,1.00
6.29,9.67,8.98,10.20,6.80,7.13,6.84,6.53,4.24,4.69,9.09,7.85,9.82,8.43,6.40,4.81,7.97,10.56,8.81,8.16,0.00
7.46,11.54,8.69,9.54,4.68,8.60,4.78,6.55,8.69,11.60,10.97,4.38,8.60,4.12,7.15,4.54,6.58,9.94,10.06,7.56,1.00
9.71,8.83,10.89,4.15,8.62,10.43,4.86,7.62,3.98,9.94,8.86,9.85,5.05,5.59,7.03,7.03,8.28,9.52,6.39,9.53,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.29,9.69,11.66,8.19,9.23,10.07,9.29,7.35,6.70,12.09,9.43,4.44,10.00,5.42,4.16,5.35,7.70,9.35,5.55,4.06,0.00
9.33,11.23,9.83,7.18,4.49,9.45,7.21,8.21,9.37,6.05,10.99,3.77,4.91,8.90,4.38,8.06,7.95,10.90,6.94,7.64,0.00
4.84,5.53,8.92,9.72,8.34,9.46,10.61,6.69,5.13,9.59,10.46,4.04,6.51,10.56,4.19,6.65,6.68,7.21,8.18,7.83,0.00
5.26,7.38,9.68,9.05,8.60,8.51,11.36,7.97,3.92,7.56,10.61,6.01,5.39,5.25,7.44,5.00,8.14,9.68,8.11,7.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.73,9.83,10.01,10.79,4.75,9.58,4.56,7.46,8.22,11.31,9.41,7.72,8.68,8.06,4.28,4.22,9.08,11.59,4.18,7.88,1.00
5.93,11.85,6.55,9.73,4.09,6.94,6.92,9.95,10.90,6.81,4.18,3.96,4.64,4.09,4.57,7.97,4.49,10.25,7.36,4.73,0.00
8.32,9.70,10.49,9.93,13.17,9.79,7.65,7.74,7.91,12.06,9.62,4.63,10.48,9.28,4.98,9.43,6.37,9.09,5.22,4.25,1.00
7.56,11.84,8.83,4.13,9.57,5.58,4.76,7.55,4.47,9.26,9.09,5.95,6.43,10.39,5.18,4.48,7.80,10.25,3.66,5.60,0.00
8.68,9.19,10.51,9.23,4.30,6.76,4.97,4.81,6.62,10.69,4.66,8.16,4.93,4.42,4.04,9.98,7.96,13.09,9.22,7.59,1.00
6.96,10.76,10.33,9.31,4.31,10.07,7.46,9.11,4.42,7.95,11.40,7.83,5.07,7.05,4.83,4.59,7.68,10.07,7.60,7.35,0.00
6.40,8.89,11.32,10.10,13.14,11.81,9.60,6.18,3.93,10.52,9.16,5.53,9.25,5.21,6.46,7.00,7.40,9.28,8.63,3.84,1.00
7.53,12.41,10.41,9.74,4.48,9.82,9.77,6.54,7.17,11.62,7.26,5.25,7.14,4.16,4.21,4.26,7.57,11.98,7.03,9.46,1.00
9.28,8.75,10.39,8.48,7.37,12.99,5.26,7.59,5.74,9.83,8.91,9.98,7.38,8.80,6.94,7.18,8.03,9.49,8.28,9.65,1.00
5.14,4.81,10.97,11.36,4.65,9.29,5.88,8.03,4.53,6.39,9.65,5.00,7.77,4.16,4.91,4.03,7.74,8.78,8.33,5.34,0.00
5.04,7.95,9.52,8.43,11.74,11.14,10.68,8.50,6.18,10.07,10.25,4.45,7.34,7.82,5.28,9.40,6.23,8.58,7.78,6.81,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.25,9.31,5.23,9.89,8.08,10.54,9.98,10.09,11.02,11.76,11.30,3.83,5.61,11.20,4.76,5.40,6.80,7.77,9.08,6.13,0.00
4.93,11.98,8.97,9.26,9.12,9.99,10.60,9.21,7.81,11.54,11.24,4.38,5.19,9.25,5.38,5.06,5.52,8.15,6.63,6.97,0.00
6.85,8.84,8.61,7.47,7.55,9.19,8.93,7.08,8.55,8.22,9.82,4.33,8.03,9.25,4.28,4.21,8.28,9.46,6.13,9.22,0.00
6.01,10.19,10.86,9.82,8.11,9.69,7.78,8.80,6.42,11.76,6.92,4.13,6.02,9.87,4.49,7.08,8.13,8.63,8.12,7.78,0.00
