ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692
7.89,3.69,3.80,8.63,5.04,8.92,10.54,4.21,7.54,5.96,0.00
9.28,8.47,5.43,12.89,4.89,6.61,12.27,7.41,8.12,7.50,1.00
5.50,3.92,5.66,9.39,4.67,8.62,11.48,4.29,7.49,7.66,0.00
5.23,4.99,4.19,9.45,4.63,9.49,10.51,6.94,7.18,7.51,0.00
3.87,3.91,3.80,8.36,3.94,8.74,10.27,4.63,8.08,7.42,0.00
7.59,4.15,3.80,10.06,3.95,6.50,7.93,4.41,5.35,4.31,1.00
7.33,3.57,5.28,10.31,4.46,8.61,9.20,8.12,8.39,7.98,1.00
5.69,8.27,3.62,8.61,4.23,8.15,11.69,7.22,8.40,6.63,1.00
7.09,3.87,3.96,7.43,4.59,8.42,9.20,6.60,5.33,7.12,0.00
4.59,4.36,3.92,9.94,7.25,7.54,9.61,6.64,7.09,6.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.51,4.06,10.57,5.50,4.03,10.09,3.86,4.60,4.90,4.07,0.00
4.50,3.92,8.05,5.35,4.25,9.29,3.87,4.45,4.98,4.78,0.00
4.33,3.88,3.58,9.23,10.24,7.22,9.40,8.23,8.14,3.87,0.00
3.95,4.00,4.03,6.36,9.94,7.10,7.65,4.24,4.87,7.41,0.00
5.01,3.69,3.83,10.85,4.30,7.22,9.93,6.59,6.76,7.22,0.00
7.03,3.88,10.60,12.73,8.94,8.34,10.71,9.07,4.98,8.33,1.00
5.21,3.76,3.63,10.73,3.77,9.31,11.77,7.77,5.26,6.40,0.00
9.30,4.95,3.69,9.23,8.66,6.64,9.16,7.19,7.92,5.45,1.00
4.52,4.26,4.21,6.85,10.65,6.28,8.06,6.70,4.81,5.73,0.00
9.13,4.00,3.64,10.55,4.09,7.05,7.52,9.71,10.65,3.70,1.00
8.55,3.60,5.46,9.98,5.32,7.86,11.51,7.17,5.27,7.16,0.00
5.83,3.96,3.68,9.99,4.52,7.93,6.72,4.61,6.50,6.04,1.00
4.55,4.21,6.38,7.94,4.19,7.22,3.55,4.53,5.24,5.47,0.00
5.40,3.87,3.72,9.52,4.20,5.58,5.73,7.43,11.58,3.88,1.00
4.53,3.95,4.20,8.35,4.09,5.36,7.80,6.59,11.85,4.53,1.00
5.27,3.86,7.08,7.13,4.11,6.53,10.03,7.19,9.82,8.16,0.00
10.31,3.70,3.93,8.60,4.21,6.55,8.72,8.08,8.60,7.56,1.00
6.32,4.00,10.18,10.43,5.46,7.62,9.61,8.44,5.05,9.53,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.93,4.17,3.99,10.07,4.05,7.35,7.31,4.51,10.00,4.06,0.00
7.62,4.08,9.15,9.45,4.62,8.21,9.99,6.84,4.91,7.64,0.00
6.28,3.50,5.21,9.46,4.79,6.69,10.21,4.62,6.51,7.83,0.00
9.00,3.75,4.27,8.51,4.13,7.97,4.17,5.33,5.39,7.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.40,3.92,4.15,9.58,4.23,7.46,3.81,5.82,8.68,7.88,1.00
5.44,4.25,8.27,6.94,4.18,9.95,4.15,4.72,4.64,4.73,0.00
10.43,9.76,3.92,9.79,4.02,7.74,9.24,6.22,10.48,4.25,1.00
4.45,3.88,3.70,5.58,10.18,7.55,10.11,5.46,6.43,5.60,0.00
4.89,3.92,10.31,6.76,4.05,4.81,5.32,9.06,4.93,7.59,1.00
4.42,3.93,3.76,10.07,4.10,9.11,4.06,5.78,5.07,7.35,0.00
8.57,4.30,7.74,11.81,4.03,6.18,12.12,6.43,9.25,3.84,1.00
4.07,4.23,8.55,9.82,4.04,6.54,10.31,7.98,7.14,9.46,1.00
5.49,3.66,10.88,12.99,3.89,7.59,8.50,6.86,7.38,9.65,1.00
5.12,4.18,6.25,9.29,8.04,8.03,3.56,4.46,7.77,5.34,0.00
5.34,3.58,5.32,11.14,3.83,8.50,10.32,5.43,7.34,6.81,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.04,6.31,4.16,10.54,4.34,10.09,12.04,7.02,5.61,6.13,0.00
8.98,4.61,5.21,9.99,8.31,9.21,11.71,5.34,5.19,6.97,0.00
4.46,3.73,4.00,9.19,4.84,7.08,6.75,4.47,8.03,9.22,0.00
6.93,3.70,3.87,9.69,5.67,8.80,10.17,6.31,6.02,7.78,0.00
5.17,3.66,3.55,10.76,4.28,7.14,10.20,5.75,8.21,7.36,0.00
7.90,4.12,4.10,8.88,4.25,7.12,6.47,7.03,10.97,5.27,1.00
7.99,4.18,3.66,10.27,4.00,6.08,11.38,6.97,9.68,6.32,0.00
6.13,6.47,3.75,9.54,4.14,8.19,8.25,6.22,9.45,7.15,1.00
8.86,4.09,4.45,9.89,3.95,6.24,8.50,7.84,9.13,6.47,1.00
8.50,3.84,3.68,10.87,4.41,7.60,8.56,9.08,7.10,6.76,1.00
4.39,3.81,3.86,10.30,4.16,7.74,3.81,4.56,8.46,6.90,1.00
4.50,3.95,4.05,10.78,4.00,9.69,12.56,7.59,9.38,7.44,0.00
4.70,3.52,4.10,8.45,4.03,8.02,8.02,4.45,4.95,8.15,0.00
4.58,3.77,8.74,9.91,8.73,6.70,8.75,8.07,7.47,9.59,0.00
4.41,5.60,4.04,9.66,4.17,7.29,11.14,6.33,9.49,8.07,1.00
7.82,3.85,4.20,5.37,5.63,7.22,9.32,5.15,8.92,6.83,0.00
4.37,3.93,3.86,5.36,4.33,5.73,3.90,4.51,7.17,4.26,0.00
9.30,3.87,3.85,10.61,4.37,6.73,9.16,5.34,12.18,6.69,1.00
6.69,4.06,3.80,10.75,4.12,7.35,9.23,5.54,9.92,4.29,1.00
8.11,3.58,3.47,11.29,5.61,8.54,10.25,7.23,7.21,4.41,0.00
9.21,4.09,5.94,10.31,8.41,8.43,11.75,6.60,6.73,7.23,0.00
7.33,4.69,3.63,10.84,8.49,9.52,11.20,6.71,4.74,6.10,0.00
6.65,7.61,3.71,11.15,4.52,5.60,9.60,5.18,10.09,4.59,1.00
5.30,3.64,9.17,13.25,4.11,5.48,9.15,8.00,6.42,9.51,1.00
6.72,3.86,11.41,10.68,5.33,7.69,9.65,9.83,5.22,9.17,1.00
6.61,3.90,10.19,10.82,7.82,7.89,9.64,7.85,6.66,8.51,1.00
7.99,5.56,3.84,9.83,4.33,9.23,10.58,8.42,10.63,4.21,0.00
7.12,3.90,9.84,11.84,5.08,8.03,10.90,8.98,5.25,8.73,1.00
