10371_at,1117_at,1278_at,13_at,221692_at,23764_at,3488_at,3995_at,4103_at,5176_at,5352_at,5480_at,54947_at,55612_at,57451_at,590_at,6275_at,6662_at,84221_at,9781_at,label
7.89,5.69,12.72,3.69,3.80,8.63,5.04,8.92,4.11,5.71,10.54,11.03,4.21,7.54,9.53,12.67,11.11,8.87,8.30,5.96,0.00
9.28,4.38,9.47,8.47,5.43,12.89,4.89,6.61,3.68,6.66,12.27,9.48,7.41,8.12,9.45,8.76,6.08,10.16,7.98,7.50,1.00
5.50,7.05,8.16,3.92,5.66,9.39,4.67,8.62,11.75,7.13,11.48,10.90,4.29,7.49,9.95,4.24,11.30,8.37,7.33,7.66,0.00
5.23,4.54,13.34,4.99,4.19,9.45,4.63,9.49,3.89,6.22,10.51,10.73,6.94,7.18,7.50,8.72,14.32,8.55,8.37,7.51,0.00
3.87,8.48,4.08,3.91,3.80,8.36,3.94,8.74,3.88,8.47,10.27,10.77,4.63,8.08,4.10,3.82,13.16,11.00,7.73,7.42,0.00
7.59,4.47,9.24,4.15,3.80,10.06,3.95,6.50,3.77,11.22,7.93,4.88,4.41,5.35,4.18,6.37,9.13,7.47,4.89,4.31,1.00
7.33,4.70,3.93,3.57,5.28,10.31,4.46,8.61,12.20,6.32,9.20,9.54,8.12,8.39,5.10,7.34,12.53,3.79,7.59,7.98,1.00
5.69,4.69,4.11,8.27,3.62,8.61,4.23,8.15,3.95,5.66,11.69,8.79,7.22,8.40,4.08,6.16,13.75,7.97,4.54,6.63,1.00
7.09,4.09,10.94,3.87,3.96,7.43,4.59,8.42,3.70,11.29,9.20,4.77,6.60,5.33,10.45,9.06,8.41,8.94,8.63,7.12,0.00
4.59,4.52,3.96,4.36,3.92,9.94,7.25,7.54,3.81,5.10,9.61,9.97,6.64,7.09,4.48,3.50,10.81,5.82,7.20,6.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.51,4.96,4.18,4.06,10.57,5.50,4.03,10.09,4.02,6.26,3.86,4.87,4.60,4.90,4.36,3.82,7.58,3.85,6.58,4.07,0.00
4.50,5.56,4.11,3.92,8.05,5.35,4.25,9.29,4.33,6.23,3.87,4.60,4.45,4.98,4.24,4.08,7.56,4.09,7.41,4.78,0.00
4.33,5.08,3.84,3.88,3.58,9.23,10.24,7.22,3.98,4.56,9.40,10.53,8.23,8.14,4.50,3.73,5.95,8.61,8.57,3.87,0.00
3.95,4.31,4.11,4.00,4.03,6.36,9.94,7.10,3.98,4.51,7.65,10.19,4.24,4.87,7.76,3.56,8.60,7.95,5.93,7.41,0.00
5.01,7.12,12.23,3.69,3.83,10.85,4.30,7.22,3.94,4.86,9.93,9.90,6.59,6.76,10.01,3.98,8.29,8.23,8.17,7.22,0.00
7.03,4.98,11.01,3.88,10.60,12.73,8.94,8.34,3.96,4.61,10.71,8.46,9.07,4.98,4.01,11.88,12.78,4.55,7.13,8.33,1.00
