10371_at,1052_at,10628_at,1117_at,1278_at,13_at,158295_at,201161_at,221692_at,22943_at,23764_at,29940_at,3488_at,3995_at,4103_at,5176_at,5352_at,53827_at,5480_at,54947_at,55612_at,57451_at,590_at,6275_at,6662_at,7179_at,84221_at,91607_at,9781_at,9882_at,label
7.89,6.90,8.38,5.69,12.72,3.69,8.43,9.23,3.80,4.63,8.63,9.97,5.04,8.92,4.11,5.71,10.54,10.43,11.03,4.21,7.54,9.53,12.67,11.11,8.87,8.90,8.30,9.07,5.96,7.38,0.00
9.28,9.68,11.14,4.38,9.47,8.47,5.71,4.56,5.43,11.14,12.89,10.53,4.89,6.61,3.68,6.66,12.27,10.56,9.48,7.41,8.12,9.45,8.76,6.08,10.16,3.29,7.98,5.68,7.50,9.30,1.00
5.50,9.56,6.02,7.05,8.16,3.92,6.51,8.33,5.66,5.00,9.39,10.84,4.67,8.62,11.75,7.13,11.48,11.15,10.90,4.29,7.49,9.95,4.24,11.30,8.37,9.40,7.33,8.94,7.66,9.37,0.00
5.23,7.58,9.45,4.54,13.34,4.99,5.98,8.48,4.19,14.05,9.45,9.31,4.63,9.49,3.89,6.22,10.51,11.58,10.73,6.94,7.18,7.50,8.72,14.32,8.55,7.31,8.37,7.49,7.51,6.18,0.00
3.87,8.80,5.17,8.48,4.08,3.91,3.73,8.71,3.80,9.30,8.36,9.68,3.94,8.74,3.88,8.47,10.27,9.64,10.77,4.63,8.08,4.10,3.82,13.16,11.00,6.01,7.73,3.36,7.42,5.57,0.00
7.59,9.02,7.13,4.47,9.24,4.15,3.91,11.73,3.80,12.47,10.06,8.70,3.95,6.50,3.77,11.22,7.93,7.68,4.88,4.41,5.35,4.18,6.37,9.13,7.47,3.50,4.89,3.49,4.31,8.01,1.00
7.33,7.52,8.18,4.70,3.93,3.57,6.97,7.26,5.28,11.59,10.31,4.99,4.46,8.61,12.20,6.32,9.20,11.60,9.54,8.12,8.39,5.10,7.34,12.53,3.79,8.05,7.59,6.90,7.98,9.21,1.00
5.69,8.89,5.31,4.69,4.11,8.27,5.50,11.29,3.62,12.07,8.61,9.30,4.23,8.15,3.95,5.66,11.69,10.09,8.79,7.22,8.40,4.08,6.16,13.75,7.97,3.69,4.54,6.44,6.63,7.45,1.00
7.09,5.71,10.43,4.09,10.94,3.87,3.73,10.06,3.96,4.48,7.43,8.75,4.59,8.42,3.70,11.29,9.20,7.30,4.77,6.60,5.33,10.45,9.06,8.41,8.94,3.61,8.63,9.09,7.12,8.12,0.00
4.59,8.36,10.26,4.52,3.96,4.36,3.85,4.02,3.92,6.52,9.94,4.09,7.25,7.54,3.81,5.10,9.61,10.27,9.97,6.64,7.09,4.48,3.50,10.81,5.82,3.90,7.20,7.17,6.43,5.85,0.00
