10381_at,10659_at,157506_at,2064_at,26090_at,4602_at,5507_at,5744_at,79887_at,9603_at,label
10.56,4.31,7.07,6.59,8.32,6.81,8.62,3.85,7.19,6.13,0.00
10.51,4.46,6.26,6.12,9.46,4.60,7.45,4.35,4.56,3.96,0.00
9.64,4.29,6.03,7.56,9.43,8.10,5.65,8.52,9.08,8.80,0.00
7.67,10.24,6.58,6.15,7.21,13.15,4.25,4.13,4.30,3.59,1.00
10.44,4.41,6.72,6.59,8.96,4.95,6.30,8.08,4.67,8.15,0.00
8.87,4.14,9.28,6.21,8.98,5.25,8.03,6.16,4.52,6.46,1.00
8.55,4.29,7.52,5.81,9.44,5.35,8.53,5.10,6.29,5.87,0.00
11.15,4.28,5.63,7.05,9.61,5.73,7.44,4.90,4.47,7.66,0.00
10.10,5.45,8.84,6.99,8.71,5.05,4.36,5.40,4.16,7.14,0.00
7.81,4.20,8.16,6.49,7.60,5.12,8.14,8.78,8.39,7.40,0.00
10.08,4.38,8.21,6.78,9.68,4.44,6.55,6.21,4.52,8.33,0.00
6.38,4.31,10.70,7.97,9.82,9.30,4.36,5.77,12.27,4.71,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.93,4.99,6.55,6.04,7.02,10.83,4.33,4.20,5.27,6.21,1.00
9.71,4.41,6.49,11.78,9.10,9.44,7.61,3.94,5.54,4.41,1.00
11.58,4.35,8.10,6.64,9.17,6.48,9.47,4.32,10.58,5.47,0.00
8.01,4.06,8.36,6.86,9.41,5.82,6.73,9.42,11.07,7.56,0.00
8.26,4.33,7.36,6.99,8.42,6.04,4.94,6.76,7.01,8.27,0.00
7.69,4.14,9.21,7.04,8.74,6.54,5.52,9.69,8.51,7.76,0.00
10.07,4.27,9.36,6.23,9.15,6.71,5.32,4.80,4.48,8.74,0.00
6.28,4.62,7.52,7.24,9.09,11.84,4.49,3.99,10.38,7.61,0.00
8.99,5.02,6.31,7.03,7.83,5.94,4.30,3.92,4.68,5.89,0.00
6.57,9.30,6.33,5.98,7.56,12.40,4.15,3.86,4.49,5.69,1.00
9.79,4.11,10.69,8.73,9.56,12.43,4.41,3.88,8.46,6.53,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.76,7.28,6.20,6.55,9.07,5.83,4.50,3.81,4.51,6.14,0.00
10.62,4.14,7.08,6.86,9.58,5.31,10.50,4.65,4.24,6.86,0.00
7.64,4.95,7.33,7.31,8.88,7.25,7.69,4.35,10.51,7.97,0.00
9.63,5.20,7.07,7.13,8.66,5.85,5.97,3.98,8.98,7.98,0.00
8.01,4.52,6.53,6.25,7.42,5.53,5.12,10.49,5.81,10.16,0.00
9.73,8.94,6.63,6.01,7.52,10.17,4.31,5.66,4.21,6.03,1.00
11.51,5.67,6.08,6.10,7.12,10.35,4.49,3.95,4.24,6.05,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.91,4.19,8.89,7.23,9.13,8.86,4.10,3.94,11.34,8.23,0.00
8.37,4.11,7.51,6.86,8.49,6.11,6.24,5.63,4.48,8.62,1.00
10.19,5.96,7.68,6.70,9.56,4.38,4.52,3.94,7.98,7.18,0.00
9.14,4.21,6.59,7.71,9.40,4.46,5.04,4.42,8.25,8.25,0.00
5.79,9.78,9.45,5.81,7.71,12.88,3.86,3.92,4.32,4.64,1.00
10.99,4.46,7.35,7.42,8.94,7.36,5.86,4.05,8.17,4.98,0.00
9.18,7.32,5.37,6.64,8.06,4.38,5.48,4.07,4.51,8.77,0.00
7.64,4.48,7.09,6.37,10.21,4.07,5.62,3.81,11.91,6.71,0.00
9.56,4.27,8.62,6.97,8.50,4.67,7.66,3.96,4.64,9.02,1.00
10.12,4.23,6.58,7.50,9.06,4.66,4.65,3.86,10.89,3.55,0.00
8.61,4.20,6.32,6.21,9.73,4.96,7.51,6.36,5.29,8.53,0.00
