10381_at,26090_at,4683_at,5744_at,60681_at,6595_at,84870_at,9060_at,9446_at,9568_at,label
10.56,8.32,9.87,3.85,6.87,7.62,3.99,7.33,11.25,3.93,0.00
10.51,9.46,9.76,4.35,7.24,8.38,3.88,9.49,11.73,3.90,0.00
9.64,9.43,8.89,8.52,5.59,6.42,3.86,7.86,12.20,5.49,0.00
7.67,7.21,10.08,4.13,5.14,9.00,3.91,4.34,11.84,4.16,1.00
10.44,8.96,10.04,8.08,7.47,8.03,3.95,11.20,12.22,4.21,0.00
8.87,8.98,9.11,6.16,6.89,8.85,4.03,9.50,12.33,9.18,1.00
8.55,9.44,10.60,5.10,7.09,7.79,4.16,8.54,11.36,4.01,0.00
11.15,9.61,7.90,4.90,7.36,7.65,3.90,9.36,12.37,5.12,0.00
10.10,8.71,9.33,5.40,6.14,7.51,3.88,9.57,11.76,5.39,0.00
7.81,7.60,8.59,8.78,4.73,8.66,3.94,7.54,11.34,4.25,0.00
10.08,9.68,9.29,6.21,5.80,7.52,3.87,9.57,12.85,4.50,0.00
6.38,9.82,8.89,5.77,4.96,7.03,3.92,9.47,12.15,4.10,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.93,7.02,9.95,4.20,4.64,6.51,4.29,4.56,10.98,4.53,1.00
9.71,9.10,10.06,3.94,4.61,6.65,3.55,4.60,10.40,4.20,1.00
11.58,9.17,9.65,4.32,6.43,5.44,5.07,7.83,12.15,4.36,0.00
8.01,9.41,9.25,9.42,4.86,6.46,4.15,6.79,12.77,4.24,0.00
8.26,8.42,9.80,6.76,5.51,6.71,4.94,9.35,11.87,5.27,0.00
7.69,8.74,9.41,9.69,5.02,7.68,3.78,5.92,11.84,4.23,0.00
10.07,9.15,9.91,4.80,6.32,5.75,3.54,9.45,11.75,4.09,0.00
6.28,9.09,9.05,3.99,4.97,6.42,3.61,10.51,11.94,4.19,0.00
8.99,7.83,8.91,3.92,8.27,7.17,3.83,5.96,11.76,4.09,0.00
6.57,7.56,9.90,3.86,4.74,8.85,3.74,7.68,11.64,4.08,1.00
9.79,9.56,9.48,3.88,4.96,7.31,3.95,4.73,12.28,4.49,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.76,9.07,8.82,3.81,7.21,7.37,3.66,9.16,13.00,5.19,0.00
10.62,9.58,8.56,4.65,4.25,7.07,8.03,10.90,12.28,4.06,0.00
7.64,8.88,9.05,4.35,6.81,7.48,4.00,7.42,11.93,4.29,0.00
9.63,8.66,9.25,3.98,4.75,7.65,4.31,7.68,11.63,4.08,0.00
8.01,7.42,9.69,10.49,5.59,8.47,4.17,7.39,11.11,4.10,0.00
9.73,7.52,9.33,5.66,4.66,8.11,4.00,4.16,13.11,4.11,1.00
11.51,7.12,9.22,3.95,5.20,9.14,4.02,4.36,11.26,4.26,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.91,9.13,9.66,3.94,6.59,7.38,4.05,5.58,11.45,4.25,0.00
8.37,8.49,10.26,5.63,4.81,6.15,3.83,4.62,12.57,4.09,1.00
10.19,9.56,10.26,3.94,6.17,6.21,3.89,7.83,11.67,4.86,0.00
9.14,9.40,8.49,4.42,7.15,5.39,3.90,7.47,11.79,4.46,0.00
5.79,7.71,10.40,3.92,4.69,9.57,4.18,5.79,12.06,4.19,1.00
10.99,8.94,8.53,4.05,6.46,6.93,3.89,5.20,11.48,5.04,0.00
9.18,8.06,10.03,4.07,7.26,7.42,3.81,9.34,12.10,4.13,0.00
7.64,10.21,8.74,3.81,6.84,4.11,3.90,8.18,13.01,4.87,0.00
9.56,8.50,9.44,3.96,6.11,4.34,7.07,4.51,11.92,4.28,1.00
10.12,9.06,8.92,3.86,7.68,3.93,3.89,4.47,11.90,4.21,0.00
8.61,9.73,9.39,6.36,5.60,6.76,4.18,6.78,12.74,4.62,0.00
10.07,9.42,10.08,5.70,6.83,6.98,4.20,8.27,11.18,4.09,0.00
6.45,7.98,10.48,6.50,4.26,9.26,3.82,4.05,11.61,4.08,1.00
8.00,9.23,9.76,8.60,4.89,7.27,4.31,6.78,12.09,4.27,0.00
9.46,7.80,9.01,8.39,5.31,9.10,3.73,7.53,11.74,4.01,0.00
8.56,7.44,10.10,4.10,4.69,8.85,3.99,8.99,10.75,4.03,1.00
8.79,8.54,9.42,8.79,5.09,6.35,4.52,8.37,11.36,4.21,0.00
8.81,8.94,10.73,4.33,5.36,9.43,3.93,11.05,10.08,4.20,0.00
10.47,8.89,9.07,5.31,5.52,7.32,4.09,9.36,11.29,4.21,0.00
10.27,8.27,10.58,3.97,7.40,7.64,3.63,10.45,12.31,5.53,0.00
7.64,6.38,9.66,3.87,5.16,7.17,4.26,7.61,11.61,5.14,1.00
7.23,8.86,9.42,3.91,5.97,9.27,3.95,6.75,11.12,4.15,1.00
7.13,8.40,9.26,4.67,4.90,5.41,3.80,6.20,11.41,4.31,0.00
9.51,8.93,10.12,3.89,4.65,7.91,3.97,4.12,11.35,3.94,1.00
7.74,8.41,9.19,6.01,5.40,6.12,3.75,7.90,12.18,4.34,0.00
9.06,8.33,9.96,3.95,5.96,7.81,3.80,6.60,11.00,4.11,1.00
6.86,8.17,10.17,4.04,4.91,10.72,4.09,4.56,5.46,4.37,1.00
9.78,10.30,9.53,4.73,6.01,5.76,3.85,5.98,11.71,4.19,0.00
9.37,8.37,8.06,8.75,6.70,6.24,4.36,10.93,11.77,4.30,0.00
9.50,9.43,9.42,4.53,5.73,6.79,4.42,11.37,13.13,5.93,1.00
8.21,9.73,8.69,10.53,5.50,6.98,3.80,8.43,11.89,4.27,0.00
9.87,9.26,9.42,4.74,6.98,6.98,4.12,9.60,12.52,4.35,0.00
8.76,9.10,9.67,9.96,4.82,8.27,3.76,6.39,12.10,5.94,0.00
10.24,7.84,9.53,4.20,6.41,6.26,3.94,6.95,12.10,4.14,0.00
7.07,9.24,9.84,3.90,5.17,3.93,3.75,4.47,12.04,4.88,1.00
10.54,9.21,9.45,3.82,6.82,4.17,4.02,10.21,11.62,4.25,0.00
6.54,9.41,9.56,3.72,4.98,7.18,3.95,6.91,12.01,4.34,1.00
9.04,7.17,10.21,4.17,4.99,7.21,3.72,6.88,11.35,4.25,1.00
7.18,8.11,8.98,3.96,4.79,7.15,3.94,6.66,11.03,4.62,0.00
8.41,9.65,9.02,4.61,6.63,7.64,3.73,11.42,12.47,3.94,1.00
10.23,8.92,9.37,4.65,4.89,7.16,4.01,11.02,11.80,4.10,0.00
6.41,9.60,9.49,3.80,5.31,5.24,3.83,8.97,12.49,4.29,0.00
8.05,9.09,9.30,8.63,4.70,7.98,4.50,8.17,11.05,4.15,0.00
8.00,8.74,8.71,4.02,6.15,6.09,3.93,8.80,11.77,4.22,0.00
7.02,9.97,10.80,3.77,5.09,7.11,3.90,8.80,11.40,5.82,0.00
11.20,8.61,9.03,6.52,7.55,9.83,3.77,7.91,12.91,4.07,0.00
5.99,7.94,9.22,3.99,4.23,8.50,3.58,4.58,11.91,4.20,1.00
6.22,7.79,10.64,3.93,4.50,10.61,3.72,3.96,10.46,4.03,1.00
5.89,7.11,9.85,3.83,4.50,8.35,3.72,4.36,10.85,4.03,1.00
5.97,8.26,9.58,3.94,4.82,9.27,3.72,4.39,11.79,4.09,1.00
7.03,9.28,9.79,4.80,6.28,7.34,3.92,9.22,12.07,4.16,0.00
6.97,8.47,10.63,3.90,5.35,10.09,3.79,7.69,12.90,4.09,1.00
11.18,8.59,8.84,3.86,7.33,4.17,3.85,5.13,11.64,4.19,0.00
5.17,8.19,9.88,4.05,4.91,7.74,4.11,4.77,11.24,4.48,1.00
