10381_at,1809_at,196051_at,221303_at,2353_at,23670_at,26090_at,26157_at,29091_at,29968_at,306_at,3113_at,3117_at,388650_at,400566_at,4060_at,4100_at,445_at,4683_at,54504_at,54674_at,54847_at,5744_at,60681_at,6304_at,64798_at,6591_at,6595_at,666_at,7079_at,7503_at,80321_at,81611_at,84870_at,8572_at,9060_at,9411_at,9446_at,9568_at,9603_at,label
10.56,9.02,4.32,4.50,10.44,6.23,8.32,4.28,5.25,12.33,3.89,4.36,3.76,9.19,6.73,5.89,10.08,12.03,9.87,7.21,3.82,4.07,3.85,6.87,8.53,6.09,10.56,7.62,4.65,8.89,3.78,8.72,11.57,3.99,4.03,7.33,11.80,11.25,3.93,6.13,0.00
10.51,9.35,9.42,4.43,11.03,7.13,9.46,4.43,8.10,10.50,4.39,5.58,3.98,10.56,5.72,10.73,9.58,11.08,9.76,10.49,4.09,3.92,4.35,7.24,4.90,8.44,12.36,8.38,5.30,6.80,3.89,8.40,11.06,3.88,8.96,9.49,10.43,11.73,3.90,3.96,0.00
9.64,7.83,4.52,4.65,4.60,8.55,9.43,6.12,4.08,9.22,11.79,3.91,4.08,6.41,7.49,3.51,3.93,8.60,8.89,8.14,4.05,3.87,8.52,5.59,5.24,4.45,10.47,6.42,6.23,7.27,3.83,6.89,9.48,3.86,9.20,7.86,11.47,12.20,5.49,8.80,0.00
7.67,4.26,4.89,4.81,4.67,8.66,7.21,8.69,3.80,11.35,4.24,12.18,4.49,8.53,5.38,3.75,4.05,8.32,10.08,4.34,4.42,4.24,4.13,5.14,10.99,5.30,5.08,9.00,4.13,3.99,3.98,9.37,11.27,3.91,4.04,4.34,8.89,11.84,4.16,3.59,1.00
10.44,9.10,7.91,4.31,4.42,8.21,8.96,4.67,6.05,11.82,11.85,4.11,4.02,7.46,7.42,5.56,4.51,6.84,10.04,4.26,4.05,4.48,8.08,7.47,5.14,5.18,9.76,8.03,8.44,4.28,3.81,7.77,10.15,3.95,4.55,11.20,10.64,12.22,4.21,8.15,0.00
8.87,10.26,7.55,4.63,5.72,8.90,8.98,4.09,4.20,10.38,10.49,3.76,3.85,8.90,6.44,3.47,4.12,5.72,9.11,4.27,4.15,3.86,6.16,6.89,7.92,11.19,11.52,8.85,5.61,3.71,8.43,6.83,9.78,4.03,8.16,9.50,12.70,12.33,9.18,6.46,1.00
8.55,6.31,8.43,4.22,8.36,7.97,9.44,8.37,5.18,11.45,6.45,11.39,3.86,10.04,6.31,12.05,8.21,10.86,10.60,10.07,3.75,4.58,5.10,7.09,7.74,5.89,8.97,7.79,6.36,3.80,3.69,8.61,10.63,4.16,8.72,8.54,11.16,11.36,4.01,5.87,0.00
11.15,10.58,8.34,4.33,4.40,7.20,9.61,4.43,4.66,10.22,10.03,4.15,4.00,7.67,8.34,3.75,4.31,5.23,7.90,6.63,4.15,4.01,4.90,7.36,7.28,7.01,8.05,7.65,4.84,6.78,3.80,7.34,10.54,3.90,4.14,9.36,8.63,12.37,5.12,7.66,0.00
10.10,7.26,9.41,4.23,5.74,10.84,8.71,5.35,6.05,11.57,4.24,10.17,4.28,5.53,7.31,7.42,9.64,5.58,9.33,4.52,3.91,3.87,5.40,6.14,4.25,4.64,8.04,7.51,7.53,3.86,3.68,7.55,11.09,3.88,8.71,9.57,7.87,11.76,5.39,7.14,0.00
7.81,7.58,3.89,4.30,9.08,8.15,7.60,6.25,4.21,10.75,9.48,4.00,3.81,8.31,9.07,3.29,4.47,12.12,8.59,7.64,3.94,3.84,8.78,4.73,5.55,6.57,11.40,8.66,7.83,4.55,3.67,8.07,11.11,3.94,8.79,7.54,12.06,11.34,4.25,7.40,0.00
