116372_at,1266_at,1528_at,219285_at,22835_at,26751_at,340277_at,3598_at,4507_at,4600_at,5152_at,5266_at,55900_at,6304_at,64426_at,7162_at,7164_at,84302_at,8743_at,9353_at,label
8.43,11.43,10.65,5.05,7.44,9.99,7.59,7.57,8.66,6.23,7.28,8.84,7.12,5.24,7.01,10.10,9.03,7.72,5.29,7.33,0.00
3.80,9.86,8.45,5.12,9.03,9.72,9.55,4.27,7.81,7.37,3.78,4.20,9.72,10.99,8.37,4.51,4.90,5.25,5.04,7.06,1.00
3.91,10.45,4.41,4.89,9.45,8.84,4.52,3.73,7.77,5.02,3.96,4.09,9.22,10.15,7.54,8.11,4.66,8.73,4.06,10.55,1.00
5.67,10.25,9.15,4.15,8.51,9.62,8.06,4.26,6.62,4.67,6.91,4.28,9.29,5.15,8.05,10.83,5.83,4.38,3.87,9.63,1.00
4.03,3.88,4.13,6.72,9.15,8.87,5.76,4.31,5.61,10.98,6.03,3.99,9.89,10.77,8.71,4.33,5.08,4.79,10.18,4.57,1.00
3.74,4.07,9.44,8.59,5.44,8.89,4.92,3.86,6.41,5.01,3.91,4.38,5.08,4.38,8.50,4.38,5.88,4.62,4.15,4.37,1.00
4.11,11.75,4.29,4.50,9.83,7.50,8.84,6.36,6.80,5.19,7.46,4.50,8.31,4.18,7.80,11.23,11.43,4.67,3.74,4.81,0.00
3.99,8.00,11.18,7.77,8.64,9.14,8.72,3.77,7.26,10.45,3.99,4.38,9.06,4.23,7.11,10.55,5.00,4.44,6.27,4.29,0.00
4.30,8.51,11.13,3.81,9.11,11.96,4.25,3.69,6.29,8.83,4.30,6.24,9.81,8.55,7.29,11.55,11.86,4.78,6.30,5.04,0.00
8.48,11.03,10.48,6.18,8.15,7.10,6.77,6.94,6.36,4.77,4.05,4.25,8.68,5.60,7.21,9.76,6.47,4.34,3.98,7.29,0.00
9.75,10.16,9.21,3.83,8.70,6.51,4.67,3.98,7.29,5.18,7.07,5.75,9.06,4.25,6.74,10.71,11.95,8.05,4.35,4.85,0.00
5.46,11.19,11.52,7.34,7.81,8.57,6.05,5.40,7.42,7.00,3.49,4.14,8.45,8.71,6.91,10.71,6.09,4.73,8.15,6.82,0.00
4.39,11.29,11.89,3.91,8.67,10.47,5.42,3.91,7.18,4.82,4.54,4.23,9.76,8.45,7.29,10.24,10.66,4.39,4.02,5.37,0.00
6.37,11.08,10.59,4.90,7.95,9.17,7.30,3.85,8.38,6.86,4.71,4.13,8.15,8.08,6.81,9.87,6.86,5.31,4.09,6.53,0.00
4.10,4.40,9.56,5.92,6.79,9.17,4.54,3.66,4.30,4.53,4.05,4.05,9.39,8.26,8.61,4.48,5.12,9.43,7.52,4.08,1.00
4.08,7.44,11.11,7.45,5.70,11.95,8.52,4.20,7.81,5.40,4.22,4.48,9.02,5.84,8.40,7.81,9.98,8.63,7.87,4.60,1.00
8.62,10.78,10.91,6.39,8.63,10.58,8.39,5.13,7.93,4.70,7.13,8.99,8.69,8.65,7.78,10.32,10.62,9.29,8.68,6.34,0.00
4.22,4.12,6.92,8.59,4.82,8.94,4.98,3.76,5.00,6.17,3.93,4.41,4.23,7.66,6.66,4.70,4.83,6.67,9.38,4.13,1.00
7.46,10.47,10.35,6.20,5.00,8.30,7.00,4.30,8.15,4.62,7.52,9.87,7.22,8.14,8.20,10.75,10.26,8.81,8.45,5.62,0.00
4.08,10.40,9.48,3.99,9.99,8.89,8.71,3.89,5.78,9.96,7.86,4.05,10.04,4.36,7.77,6.57,5.23,7.72,3.90,10.39,1.00
4.05,4.14,9.38,4.29,7.88,8.09,8.57,4.12,4.68,7.75,7.47,4.28,8.63,8.29,8.72,4.94,5.46,4.79,5.94,4.67,1.00
4.21,10.19,11.63,4.25,5.74,11.62,9.64,4.07,7.75,5.53,3.79,12.75,8.18,10.05,8.15,9.64,10.73,9.06,4.81,4.02,0.00
4.94,10.32,11.98,7.10,6.15,8.84,6.86,4.00,8.12,4.81,7.20,4.11,8.84,6.57,9.06,10.07,9.86,4.85,8.24,7.31,1.00
4.49,9.43,9.93,5.18,8.05,9.60,7.24,4.68,7.16,5.44,4.15,9.24,9.25,4.49,6.40,9.12,9.99,4.10,7.59,4.87,0.00
5.19,9.88,9.78,5.10,7.53,9.51,6.24,4.12,6.56,4.66,6.34,8.07,8.15,4.58,6.73,9.49,9.67,4.25,4.75,6.46,0.00
3.93,4.44,9.75,6.02,8.02,8.74,6.70,3.87,4.30,9.49,3.70,3.96,9.03,11.38,8.71,9.30,4.89,4.30,7.73,4.50,1.00
4.33,10.70,11.22,7.16,8.10,8.21,8.64,12.80,7.81,8.05,3.89,8.36,8.38,3.76,7.54,11.27,7.28,8.42,6.41,9.51,1.00
3.89,4.37,10.04,7.94,7.28,9.18,4.62,4.14,4.28,8.76,4.76,4.07,8.03,10.06,8.99,9.78,5.30,6.12,9.23,4.52,1.00
4.00,10.26,9.70,4.10,8.23,7.25,7.62,4.18,7.35,9.80,9.28,4.18,8.99,4.03,6.27,4.56,5.87,4.91,5.39,4.81,0.00
5.43,10.42,9.01,6.94,7.98,7.47,9.16,9.92,8.26,5.94,3.88,4.85,7.85,4.86,6.67,11.31,5.97,5.50,3.88,4.97,0.00
7.50,9.77,7.40,8.27,8.36,7.26,6.81,12.75,3.91,9.71,5.67,4.49,9.69,6.84,7.29,10.81,6.32,6.59,4.31,7.12,1.00
4.52,7.97,7.47,4.16,7.96,7.12,6.02,7.82,8.53,5.25,3.95,5.86,7.81,5.74,8.26,10.05,10.32,7.85,4.54,4.68,0.00
7.84,10.53,8.66,7.84,8.12,10.07,8.68,4.05,7.16,4.97,7.91,6.30,9.10,5.65,7.75,10.08,12.24,4.52,7.94,5.71,0.00
3.92,10.92,10.39,4.67,7.04,9.68,6.80,4.07,8.17,5.31,6.40,10.32,6.21,7.82,7.45,5.53,9.16,4.55,4.05,4.86,0.00
7.96,8.70,11.43,7.60,8.20,11.92,7.41,3.72,4.25,8.05,6.75,4.12,8.93,4.34,8.29,11.64,8.56,4.41,8.83,6.19,0.00
4.12,9.07,10.13,8.28,4.95,7.56,7.47,4.46,8.23,7.29,4.01,4.89,7.74,4.46,6.19,11.91,9.95,7.32,7.44,4.96,0.00
3.95,10.08,9.97,4.18,7.26,12.28,8.38,4.21,8.21,6.49,5.01,7.24,8.71,4.58,8.13,8.56,9.31,5.95,9.32,4.31,0.00
7.48,11.36,11.30,9.04,6.18,11.30,7.01,4.30,8.70,6.12,5.14,9.55,8.49,3.92,7.46,11.56,12.40,4.26,11.77,4.35,0.00
8.53,11.46,11.08,4.34,7.86,11.09,9.65,4.15,7.95,4.80,7.90,4.39,9.23,5.49,7.33,8.05,11.28,4.67,4.52,5.84,0.00
4.07,9.43,10.04,5.12,7.45,8.57,7.79,3.83,4.50,9.77,3.29,4.13,8.65,7.22,7.40,9.37,7.48,8.63,4.17,4.70,0.00
3.98,9.15,8.80,5.77,5.14,12.62,7.38,3.86,8.59,5.12,7.44,4.72,10.37,9.86,8.26,10.37,9.46,8.98,4.67,4.27,1.00
7.75,11.60,10.26,7.06,7.88,8.33,5.40,6.31,7.73,5.04,3.90,3.99,8.91,6.54,7.33,10.91,8.20,8.70,3.86,9.23,0.00
4.15,11.52,9.56,7.51,7.02,7.33,6.86,8.64,7.57,4.94,4.21,3.94,8.78,8.67,6.57,11.21,6.33,4.92,4.31,7.59,1.00
4.07,9.74,9.59,6.09,7.27,8.36,5.57,11.69,7.53,6.90,3.75,4.70,4.61,7.92,7.12,9.17,6.93,4.86,4.54,5.39,0.00
10.26,11.71,9.86,7.45,7.52,8.61,5.46,7.31,7.97,10.65,3.52,4.14,8.41,5.67,6.95,9.45,5.25,6.76,6.23,4.92,0.00
4.82,9.27,8.63,5.46,7.10,4.86,4.66,6.78,7.24,5.20,4.63,10.23,7.48,5.80,7.68,12.01,11.01,8.26,10.58,5.59,0.00
4.20,12.24,9.53,4.21,7.74,10.03,8.09,3.45,7.06,7.03,3.64,4.24,7.34,4.34,9.29,11.41,10.51,4.92,9.53,8.69,0.00
3.97,5.65,4.18,6.24,8.29,5.76,9.88,3.97,8.11,6.31,3.95,4.46,9.69,7.73,8.76,4.19,5.12,4.56,4.08,4.10,1.00
4.71,10.92,10.29,5.04,6.75,11.77,9.97,3.75,4.26,5.17,3.61,4.21,8.03,9.77,8.85,11.00,9.41,8.41,8.87,4.47,1.00
4.04,3.76,9.69,7.65,8.23,8.99,7.47,3.96,4.44,5.38,4.02,4.49,8.91,5.61,7.33,4.58,7.62,4.27,10.82,4.48,1.00
4.30,11.71,10.71,4.11,8.15,7.04,6.22,4.94,7.56,4.96,4.42,4.87,7.80,4.14,6.88,9.37,11.89,4.57,3.88,5.13,0.00
4.09,10.39,11.69,5.24,4.98,12.26,9.85,3.80,7.69,4.54,3.46,5.91,8.83,4.03,7.98,8.46,8.99,9.13,6.20,4.15,1.00
7.76,11.29,9.89,4.16,8.99,8.76,8.67,3.86,6.64,4.37,3.80,3.84,9.94,12.35,8.73,5.46,5.20,9.66,4.03,7.54,1.00
8.67,10.16,9.59,5.16,8.75,7.18,7.72,6.01,8.28,6.08,3.83,4.30,9.05,3.91,7.02,6.24,6.70,7.93,3.89,4.81,0.00
6.45,11.78,9.36,6.31,8.12,7.97,7.30,10.73,7.59,7.34,3.49,4.85,8.37,4.81,8.62,6.62,7.92,6.57,4.35,4.57,0.00
4.15,7.71,9.40,5.14,9.32,9.58,5.21,4.05,4.87,10.63,3.93,4.36,10.07,7.46,7.45,4.57,5.31,4.44,5.45,4.79,0.00
3.77,9.59,9.96,6.28,8.52,10.78,8.83,3.86,4.51,5.24,5.79,3.85,8.86,12.31,9.49,6.56,4.91,4.57,4.49,4.12,1.00
3.94,8.72,5.75,10.51,6.41,6.53,7.21,4.41,7.34,10.64,4.06,4.17,9.22,4.63,8.97,4.61,4.88,5.07,7.56,4.48,1.00
3.93,4.30,9.33,5.71,7.60,9.72,5.11,3.73,7.45,5.81,5.76,3.99,9.17,10.92,8.45,10.84,4.89,4.69,7.68,4.51,1.00
3.94,4.67,8.97,9.04,5.23,9.12,4.66,4.29,7.72,4.99,4.12,5.03,8.01,7.11,7.32,4.65,5.31,4.76,4.62,4.29,1.00
4.33,10.37,10.89,8.01,6.77,11.08,8.57,4.46,7.40,7.84,5.95,9.79,8.45,5.93,7.49,11.00,9.59,8.94,9.23,4.43,0.00
4.04,3.53,10.21,7.16,5.44,7.67,5.19,4.11,7.22,6.04,4.01,4.36,9.18,7.98,7.64,8.39,5.52,4.64,4.08,4.48,1.00
4.03,7.74,10.83,8.98,6.72,8.39,7.07,3.75,8.40,5.53,3.82,4.20,9.51,6.15,8.40,7.91,8.82,4.82,5.32,5.14,1.00
6.47,7.68,9.59,4.50,5.37,10.82,8.51,4.19,7.86,4.91,4.79,5.36,7.06,4.58,7.54,11.37,11.71,8.46,6.16,4.39,0.00
4.10,6.08,9.14,7.62,8.51,10.05,7.81,3.94,8.01,7.69,3.84,4.17,10.10,11.37,7.83,4.70,5.33,7.27,7.87,4.34,1.00
3.66,10.11,9.24,4.01,4.50,9.08,7.70,5.92,4.29,4.73,7.27,4.27,9.44,5.13,7.49,10.80,8.32,7.08,3.83,6.92,1.00
8.25,11.21,9.77,6.08,7.47,10.02,6.74,11.93,7.07,5.02,4.59,4.12,9.32,5.34,7.40,9.52,6.06,8.77,3.64,11.34,1.00
3.77,5.20,9.38,6.51,6.69,9.17,7.62,4.34,7.48,5.25,3.69,4.35,9.73,7.31,7.56,6.91,7.98,8.35,4.69,4.39,1.00
10.61,12.34,7.48,6.50,4.53,9.84,9.06,3.73,6.29,4.57,8.88,7.88,9.37,3.91,7.68,6.31,11.20,6.63,8.25,10.96,1.00
4.91,9.19,11.03,5.80,8.40,10.02,4.93,4.42,7.29,4.49,4.14,6.01,9.71,5.06,8.18,11.46,11.75,7.68,8.69,4.56,0.00
4.16,9.82,9.56,6.60,6.97,8.72,7.72,7.42,5.87,6.09,4.87,13.66,9.18,6.55,7.63,10.30,10.02,8.20,5.93,5.44,0.00
4.11,4.22,8.04,8.37,5.05,8.20,6.94,4.25,7.23,5.06,4.12,4.17,7.25,5.33,8.23,4.84,4.62,4.14,5.09,4.38,1.00
4.08,7.21,9.27,4.23,4.85,9.73,6.15,3.47,4.32,5.46,4.27,12.29,9.75,6.33,9.08,9.17,9.92,5.30,8.39,4.61,0.00
3.98,12.66,10.17,5.90,6.72,5.27,7.51,9.20,8.15,7.47,3.74,4.11,8.28,6.92,8.13,10.76,7.99,7.29,4.80,4.85,0.00
5.45,10.33,10.61,6.11,8.64,4.35,4.81,3.91,4.11,6.24,5.43,3.81,9.38,4.19,7.04,3.80,5.33,9.04,6.39,7.52,1.00
4.05,4.27,9.91,10.41,7.97,10.25,5.47,3.84,6.66,5.67,3.65,4.60,9.72,9.72,8.54,7.54,6.00,4.66,6.23,4.95,1.00
4.67,10.79,9.49,4.34,8.06,5.44,8.33,12.80,4.26,4.79,4.55,4.13,9.17,8.61,7.73,9.76,7.38,4.66,3.92,8.02,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.84,6.79,12.04,5.33,8.20,7.03,4.95,3.81,8.05,5.37,5.25,4.32,7.68,4.37,7.39,5.01,5.70,4.64,4.86,4.47,0.00
4.17,6.63,9.52,7.02,7.70,9.64,8.65,3.88,7.64,6.14,4.22,4.14,10.57,8.24,6.37,9.19,8.86,9.26,4.00,4.73,1.00
5.75,11.76,9.29,6.62,8.77,10.45,7.86,4.10,7.14,10.08,8.01,3.98,9.32,8.77,8.99,9.94,7.04,4.69,3.98,7.36,1.00
3.94,9.56,11.37,3.88,7.22,9.18,9.55,4.04,4.08,4.86,6.43,4.25,8.66,9.93,8.83,8.54,9.87,8.54,4.21,4.19,1.00
7.16,11.10,8.87,4.08,10.45,10.76,5.44,3.83,6.03,9.57,4.80,4.57,8.99,6.06,6.21,9.29,10.80,4.44,5.05,4.16,0.00
9.19,11.94,9.58,6.83,8.57,8.85,7.95,10.59,7.06,4.93,3.62,4.23,9.89,8.70,6.26,11.66,11.56,6.64,4.75,5.39,0.00
4.27,3.97,8.20,7.41,8.48,9.83,5.05,4.03,7.94,6.77,4.54,4.34,9.38,10.14,8.81,4.51,4.72,4.82,7.64,4.39,1.00
3.75,6.37,9.98,7.11,6.47,9.68,5.42,3.70,7.80,9.97,4.02,4.19,9.16,11.70,8.21,5.57,6.79,8.25,8.16,4.43,1.00
4.10,9.35,10.75,4.09,7.27,10.20,5.09,3.82,6.25,5.08,6.70,5.80,7.48,7.84,7.59,8.19,12.20,4.40,4.19,4.96,0.00
6.62,9.84,10.04,4.08,8.16,9.70,6.33,3.73,7.54,4.91,3.77,6.48,9.01,8.72,6.87,8.25,6.01,8.48,7.67,9.89,1.00
5.77,9.99,11.82,4.65,8.59,6.21,8.21,4.39,7.02,8.74,4.03,4.63,8.70,5.35,7.10,11.22,10.25,9.04,4.64,4.42,0.00
4.01,12.13,12.47,8.38,7.68,11.12,7.11,4.16,8.63,6.28,3.99,4.06,8.40,5.20,9.02,10.30,8.34,5.03,5.71,5.16,0.00
4.78,10.07,12.59,5.97,8.63,6.99,5.33,4.22,6.74,4.87,4.55,9.34,10.22,6.65,8.36,8.39,10.94,8.17,4.32,6.78,0.00
7.17,10.00,10.86,5.07,7.80,10.20,6.84,3.95,6.91,6.75,4.95,4.16,8.38,4.56,6.69,10.31,9.39,4.22,5.20,6.09,0.00
5.67,11.00,9.79,6.26,8.39,9.13,5.80,6.29,4.31,6.18,3.71,4.35,8.81,6.26,7.54,8.32,5.89,8.60,4.87,7.25,1.00
8.43,10.11,11.02,6.68,8.19,9.13,7.17,12.76,4.06,7.65,6.81,4.02,9.29,5.44,6.93,10.61,10.29,8.38,9.33,7.92,1.00
6.55,11.40,9.03,5.07,7.20,7.96,8.81,4.12,6.95,5.49,4.61,8.35,8.52,5.66,7.36,11.54,8.00,4.91,3.84,8.40,0.00
3.82,10.70,10.13,4.01,5.21,9.61,8.26,5.67,7.20,8.61,4.32,4.33,9.22,4.16,8.46,9.65,5.28,8.22,7.63,4.28,1.00
6.46,10.95,10.31,3.95,8.18,10.73,6.08,4.61,4.50,4.81,5.82,4.77,8.40,7.46,6.98,11.10,9.94,7.73,4.09,6.96,0.00
6.04,8.88,9.77,5.86,8.62,8.55,6.60,6.08,4.67,7.88,3.43,8.26,9.39,4.71,6.73,11.15,10.81,8.39,5.45,8.76,0.00
3.98,6.63,9.79,6.96,8.38,9.12,4.83,4.18,8.45,4.90,5.45,4.16,10.26,9.15,7.32,7.59,6.69,5.87,7.62,4.36,1.00
4.54,6.92,11.06,3.96,4.85,13.37,11.42,4.31,7.61,5.33,3.70,5.27,9.09,7.84,7.87,8.72,9.45,4.33,10.65,4.22,1.00
4.39,11.96,9.93,3.84,7.82,9.76,8.49,3.75,7.72,5.16,4.97,4.25,8.83,7.42,7.54,10.30,10.70,7.58,3.69,4.30,0.00
5.30,11.87,9.86,4.01,7.73,9.25,7.92,3.78,8.00,4.82,4.44,4.16,9.02,6.45,7.09,10.10,10.39,7.43,3.75,4.55,0.00
4.50,6.68,8.27,6.41,7.31,9.91,9.15,4.15,7.56,9.08,3.92,4.13,8.05,11.37,8.49,4.98,6.40,9.07,8.89,4.68,1.00
4.49,4.24,9.83,5.42,8.70,5.58,7.40,4.02,7.60,8.54,4.33,4.27,4.80,4.70,8.05,4.50,4.99,5.01,3.78,4.89,0.00
4.23,9.20,9.83,6.37,5.07,12.21,8.92,4.05,10.58,4.86,5.24,4.07,8.51,8.52,8.44,10.41,10.58,6.98,5.39,4.53,1.00
6.04,10.48,10.78,4.64,8.07,7.38,5.39,4.72,4.57,5.23,3.66,4.22,9.03,6.25,6.36,11.65,9.34,4.74,9.03,8.28,0.00
