11167_at,116362_at,116372_at,1266_at,149111_at,1528_at,1604_at,219285_at,258010_at,27075_at,3082_at,51170_at,55740_at,55790_at,5950_at,6304_at,64426_at,6999_at,9353_at,9590_at,label
10.64,5.08,8.43,11.43,4.58,10.65,9.01,5.05,10.15,11.72,4.08,8.94,6.81,4.88,4.42,5.24,7.01,3.86,7.33,11.23,0.00
4.30,3.92,3.80,9.86,3.58,8.45,4.60,5.12,8.80,11.75,4.13,8.41,8.42,4.47,4.07,10.99,8.37,4.24,7.06,11.01,1.00
10.04,3.96,3.91,10.45,3.66,4.41,4.28,4.89,5.94,9.80,12.04,11.39,8.60,3.62,3.84,10.15,7.54,3.74,10.55,6.90,1.00
10.50,5.09,5.67,10.25,3.81,9.15,4.83,4.15,9.06,12.89,3.84,7.94,8.36,4.21,4.02,5.15,8.05,4.00,9.63,9.41,1.00
3.83,3.97,4.03,3.88,7.51,4.13,7.67,6.72,7.76,9.28,3.81,9.37,3.81,8.38,4.09,10.77,8.71,3.63,4.57,4.77,1.00
3.89,3.71,3.74,4.07,3.77,9.44,8.80,8.59,9.61,10.68,3.95,8.61,4.61,6.97,4.17,4.38,8.50,3.78,4.37,4.69,1.00
10.39,4.11,4.11,11.75,3.76,4.29,7.12,4.50,3.80,10.91,4.01,10.51,7.19,3.72,4.09,4.18,7.80,3.87,4.81,4.68,0.00
4.27,4.15,3.99,8.00,5.52,11.18,9.84,7.77,10.70,3.87,3.72,9.09,3.87,3.90,4.14,4.23,7.11,3.86,4.29,4.68,0.00
9.06,3.57,4.30,8.51,4.73,11.13,7.60,3.81,10.26,13.63,3.69,4.10,8.39,3.76,4.00,8.55,7.29,3.80,5.04,4.55,0.00
6.05,3.62,8.48,11.03,6.34,10.48,10.14,6.18,11.07,12.57,3.76,9.85,8.19,7.71,4.03,5.60,7.21,4.77,7.29,8.96,0.00
4.79,4.19,9.75,10.16,4.46,9.21,9.55,3.83,9.48,11.31,3.83,11.24,6.72,10.14,3.95,4.25,6.74,7.79,4.85,9.03,0.00
12.42,4.31,5.46,11.19,7.14,11.52,11.00,7.34,10.36,10.27,3.87,10.79,6.58,5.31,4.17,8.71,6.91,4.06,6.82,7.70,0.00
4.70,4.02,4.39,11.29,4.32,11.89,8.27,3.91,9.07,13.18,3.95,3.79,8.70,3.82,4.08,8.45,7.29,3.89,5.37,4.55,0.00
6.13,6.61,6.37,11.08,6.43,10.59,12.23,4.90,10.61,11.10,3.68,8.77,7.87,9.57,3.89,8.08,6.81,3.68,6.53,7.95,0.00
3.89,4.06,4.10,4.40,4.10,9.56,10.50,5.92,9.86,7.95,3.92,11.19,4.26,3.79,3.97,8.26,8.61,3.73,4.08,4.22,1.00
4.63,3.90,4.08,7.44,4.31,11.11,4.51,7.45,10.10,11.16,3.88,11.36,5.25,8.40,4.67,5.84,8.40,3.90,4.60,4.48,1.00
3.70,3.97,8.62,10.78,3.78,10.91,10.27,6.39,9.75,11.44,3.78,9.60,7.15,9.92,3.89,8.65,7.78,4.97,6.34,5.26,0.00
3.73,4.08,4.22,4.12,3.79,6.92,9.42,8.59,9.98,11.32,3.90,8.44,5.78,7.97,4.15,7.66,6.66,3.69,4.13,8.72,1.00
11.04,6.33,7.46,10.47,3.97,10.35,10.33,6.20,8.30,12.11,3.90,9.09,7.14,3.86,5.10,8.14,8.20,4.24,5.62,9.19,0.00
13.15,9.33,4.08,10.40,3.84,9.48,7.71,3.99,4.09,8.37,11.81,9.15,8.26,4.18,5.03,4.36,7.77,4.68,10.39,8.94,1.00
4.18,4.09,4.05,4.14,3.91,9.38,9.08,4.29,8.42,10.88,4.11,8.47,4.35,3.98,4.48,8.29,8.72,3.68,4.67,4.68,1.00
4.06,3.85,4.21,10.19,3.97,11.63,12.90,4.25,9.99,13.18,4.04,11.26,7.64,3.68,10.78,10.05,8.15,5.12,4.02,4.50,0.00
3.96,4.14,4.94,10.32,5.36,11.98,9.17,7.10,10.23,12.11,3.84,10.04,5.98,4.07,4.23,6.57,9.06,4.70,7.31,7.94,1.00
10.76,7.79,4.49,9.43,5.99,9.93,10.95,5.18,9.11,11.25,3.92,9.04,7.96,5.37,4.95,4.49,6.40,3.83,4.87,7.44,0.00
10.59,8.79,5.19,9.88,4.49,9.78,9.99,5.10,7.82,8.93,3.78,9.05,7.02,5.12,6.24,4.58,6.73,4.02,6.46,5.70,0.00
7.35,3.65,3.93,4.44,4.01,9.75,9.37,6.02,9.38,4.79,4.92,11.74,4.86,3.97,4.27,11.38,8.71,3.78,4.50,4.62,1.00
12.85,8.80,4.33,10.70,4.03,11.22,8.78,7.16,10.03,8.13,3.74,8.94,8.27,3.76,5.09,3.76,7.54,7.55,9.51,8.62,1.00
3.89,3.76,3.89,4.37,4.07,10.04,10.99,7.94,10.57,11.25,3.77,12.01,4.28,8.87,4.08,10.06,8.99,3.95,4.52,4.78,1.00
3.72,11.00,4.00,10.26,3.95,9.70,4.43,4.10,9.03,11.01,4.22,9.77,8.98,3.88,13.15,4.03,6.27,3.48,4.81,4.71,0.00
10.36,4.04,5.43,10.42,6.15,9.01,10.50,6.94,9.98,10.06,4.49,7.91,6.86,9.30,4.10,4.86,6.67,4.76,4.97,11.39,0.00
12.33,3.64,7.50,9.77,3.63,7.40,10.46,8.27,9.50,11.75,6.24,8.62,7.36,6.68,4.96,6.84,7.29,7.38,7.12,6.83,1.00
9.23,5.51,4.52,7.97,3.82,7.47,9.16,4.16,8.52,9.24,3.84,9.39,8.22,3.85,4.55,5.74,8.26,3.90,4.68,5.20,0.00
10.56,4.06,7.84,10.53,4.10,8.66,7.97,7.84,9.84,11.97,3.85,4.61,9.55,7.29,4.69,5.65,7.75,4.08,5.71,5.27,0.00
8.83,4.47,3.92,10.92,4.02,10.39,10.52,4.67,6.92,10.85,4.07,4.34,8.40,10.91,3.75,7.82,7.45,3.92,4.86,4.57,0.00
8.66,4.22,7.96,8.70,3.74,11.43,11.75,7.60,9.00,13.57,3.67,9.22,6.75,3.96,4.05,4.34,8.29,4.57,6.19,4.58,0.00
11.01,4.53,4.12,9.07,4.35,10.13,11.45,8.28,8.28,12.39,4.06,9.85,7.79,9.41,5.14,4.46,6.19,5.10,4.96,11.13,0.00
4.73,3.85,3.95,10.08,4.34,9.97,8.08,4.18,9.25,10.48,3.98,10.65,7.46,3.71,4.78,4.58,8.13,4.32,4.31,5.44,0.00
10.02,4.15,7.48,11.36,3.95,11.30,9.76,9.04,9.06,13.62,3.92,5.92,6.89,6.59,4.38,3.92,7.46,3.45,4.35,4.46,0.00
8.57,4.80,8.53,11.46,3.67,11.08,9.32,4.34,9.44,11.67,3.98,10.32,7.93,4.16,9.91,5.49,7.33,3.94,5.84,6.56,0.00
7.50,3.72,4.07,9.43,3.67,10.04,10.55,5.12,9.77,10.96,4.23,10.24,7.71,3.98,4.08,7.22,7.40,3.45,4.70,5.05,0.00
8.51,4.70,3.98,9.15,3.67,8.80,10.22,5.77,6.84,11.98,3.95,10.72,6.81,4.47,5.28,9.86,8.26,4.08,4.27,8.39,1.00
12.24,3.91,7.75,11.60,6.84,10.26,9.58,7.06,9.87,9.19,4.69,9.67,7.39,9.80,4.10,6.54,7.33,3.79,9.23,8.62,0.00
10.37,3.93,4.15,11.52,4.14,9.56,10.05,7.51,9.69,12.91,3.87,9.88,5.95,4.32,4.03,8.67,6.57,5.39,7.59,10.81,1.00
8.59,3.71,4.07,9.74,5.86,9.59,9.76,6.09,8.89,9.99,3.92,10.00,6.37,7.64,6.61,7.92,7.12,3.61,5.39,8.95,0.00
10.63,4.83,10.26,11.71,8.03,9.86,9.95,7.45,10.80,10.47,3.95,9.92,8.04,8.87,4.14,5.67,6.95,3.80,4.92,6.98,0.00
10.28,3.89,4.82,9.27,3.87,8.63,9.41,5.46,3.76,12.33,4.15,9.67,7.59,4.08,4.19,5.80,7.68,3.57,5.59,4.86,0.00
12.34,5.13,4.20,12.24,7.80,9.53,11.73,4.21,10.47,11.75,3.78,9.09,8.04,7.33,4.26,4.34,9.29,3.91,8.69,8.18,0.00
3.65,4.53,3.97,5.65,3.90,4.18,8.72,6.24,3.91,10.33,4.25,5.02,4.66,3.70,4.61,7.73,8.76,3.90,4.10,4.35,1.00
8.03,4.34,4.71,10.92,3.69,10.29,10.41,5.04,10.61,12.49,3.78,11.31,6.00,5.52,4.21,9.77,8.85,4.54,4.47,7.66,1.00
4.22,4.29,4.04,3.76,4.02,9.69,8.79,7.65,9.69,7.15,3.92,9.47,4.10,3.64,4.45,5.61,7.33,7.19,4.48,4.63,1.00
11.44,5.14,4.30,11.71,3.81,10.71,8.49,4.11,8.06,9.47,3.89,9.92,7.11,6.41,4.15,4.14,6.88,4.26,5.13,9.72,0.00
4.14,4.02,4.09,10.39,4.01,11.69,11.22,5.24,10.87,13.72,11.01,11.75,4.61,6.62,4.34,4.03,7.98,3.92,4.15,4.67,1.00
9.09,3.85,7.76,11.29,3.74,9.89,4.23,4.16,7.00,10.78,3.83,8.86,9.52,3.69,4.44,12.35,8.73,3.82,7.54,11.07,1.00
9.83,7.85,8.67,10.16,8.83,9.59,9.29,5.16,10.26,10.79,3.84,10.76,7.09,6.92,4.02,3.91,7.02,4.07,4.81,9.91,0.00
10.19,5.09,6.45,11.78,8.42,9.36,10.54,6.31,9.03,9.21,4.13,9.71,9.04,8.62,5.56,4.81,8.62,5.58,4.57,11.32,0.00
4.08,3.64,4.15,7.71,3.91,9.40,9.91,5.14,4.00,8.63,4.14,7.98,7.18,4.24,4.37,7.46,7.45,4.07,4.79,9.02,0.00
8.24,3.92,3.77,9.59,4.16,9.96,7.59,6.28,10.42,10.59,3.99,10.07,7.26,4.63,4.04,12.31,9.49,3.95,4.12,5.03,1.00
3.83,3.99,3.94,8.72,4.49,5.75,9.66,10.51,9.32,3.83,5.21,8.71,3.91,9.72,4.08,4.63,8.97,6.11,4.48,4.86,1.00
3.86,3.95,3.93,4.30,3.87,9.33,10.72,5.71,10.07,10.33,8.89,11.32,6.23,4.23,3.94,10.92,8.45,6.92,4.51,4.84,1.00
3.71,3.92,3.94,4.67,4.21,8.97,10.67,9.04,10.79,11.22,4.02,5.68,4.17,3.92,4.58,7.11,7.32,4.09,4.29,4.40,1.00
8.30,4.48,4.33,10.37,3.72,10.89,11.56,8.01,10.00,12.48,3.70,8.95,6.85,4.06,6.51,5.93,7.49,4.56,4.43,7.52,0.00
4.08,3.94,4.04,3.53,3.84,10.21,10.07,7.16,10.42,10.23,3.95,8.44,4.29,4.46,3.85,7.98,7.64,3.91,4.48,4.71,1.00
