122622_at,25791_at,3097_at,3625_at,56122_at,5836_at,7188_at,7728_at,84674_at,85027_at,label
5.95,6.19,5.36,7.29,7.53,9.60,7.98,7.33,5.77,9.84,0.00
4.25,4.38,7.39,5.43,6.99,10.79,8.48,6.95,9.13,9.72,1.00
3.98,6.25,6.70,6.14,4.41,10.05,6.71,5.87,8.53,7.97,0.00
4.83,4.41,7.34,4.51,3.75,6.78,8.65,5.91,7.01,5.36,1.00
4.78,3.96,5.85,4.37,5.32,9.59,6.18,6.71,6.32,6.67,0.00
6.02,4.57,6.31,4.10,3.56,9.21,7.57,6.72,7.86,8.62,1.00
5.93,8.51,6.49,5.19,8.74,9.06,7.62,5.62,7.52,9.10,0.00
6.67,4.80,4.17,4.62,4.18,9.96,9.08,6.87,4.31,7.46,0.00
5.62,5.93,4.99,9.06,3.60,9.39,7.19,6.59,7.69,6.26,0.00
6.11,4.15,5.59,4.70,3.96,4.56,4.79,7.76,6.30,9.25,1.00
4.76,4.38,6.37,4.74,4.68,4.79,7.91,7.40,5.09,4.82,1.00
4.47,4.32,7.29,4.65,3.65,6.59,9.75,6.72,4.34,7.64,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.45,4.33,7.63,4.69,3.44,5.70,7.29,4.98,5.40,4.66,0.00
4.12,4.25,4.49,8.84,3.76,8.63,5.88,6.73,5.04,8.23,0.00
5.00,5.51,6.87,9.49,4.35,8.94,7.29,6.87,4.86,5.73,0.00
7.12,4.43,5.89,4.82,3.39,11.23,5.37,6.65,4.39,7.27,1.00
4.54,5.47,5.18,9.10,3.84,10.39,6.07,6.07,9.63,7.13,0.00
5.06,5.30,6.94,5.37,6.49,8.30,7.49,7.03,8.82,9.95,0.00
4.29,3.99,5.00,4.22,3.78,7.92,9.72,8.49,7.59,8.17,1.00
6.15,5.10,7.32,5.08,3.89,10.30,4.92,6.70,7.63,5.27,0.00
5.68,4.42,5.68,7.58,5.75,9.47,6.36,6.78,7.88,6.76,0.00
4.35,6.09,7.15,8.02,6.33,4.83,8.37,6.83,9.07,6.12,0.00
4.75,4.36,6.28,5.42,6.62,7.26,6.69,6.86,6.19,7.87,0.00
5.08,4.76,5.93,4.45,6.84,9.79,7.53,6.49,7.43,10.56,1.00
