114818_at,122622_at,1848_at,2012_at,2109_at,25791_at,2706_at,3097_at,3625_at,389136_at,3992_at,401233_at,56122_at,56521_at,5836_at,6920_at,7188_at,7728_at,84674_at,85027_at,label
8.37,5.95,9.60,10.24,8.31,6.19,3.91,5.36,7.29,8.49,9.90,6.09,7.53,6.87,9.60,5.97,7.98,7.33,5.77,9.84,0.00
5.12,4.25,9.42,11.11,9.38,4.38,4.02,7.39,5.43,8.02,9.33,3.38,6.99,4.54,10.79,5.47,8.48,6.95,9.13,9.72,1.00
6.42,3.98,10.29,11.58,9.53,6.25,10.52,6.70,6.14,6.84,9.30,3.13,4.41,4.43,10.05,4.90,6.71,5.87,8.53,7.97,0.00
4.49,4.83,10.64,4.31,8.93,4.41,4.08,7.34,4.51,3.86,10.42,3.39,3.75,6.63,6.78,4.26,8.65,5.91,7.01,5.36,1.00
9.26,4.78,10.76,11.60,9.21,3.96,4.00,5.85,4.37,9.48,8.73,3.05,5.32,3.99,9.59,6.36,6.18,6.71,6.32,6.67,0.00
4.55,6.02,10.14,10.71,9.18,4.57,10.07,6.31,4.10,6.41,11.19,3.32,3.56,8.57,9.21,8.55,7.57,6.72,7.86,8.62,1.00
5.37,5.93,8.99,9.96,9.06,8.51,4.34,6.49,5.19,3.41,10.10,4.87,8.74,4.88,9.06,4.43,7.62,5.62,7.52,9.10,0.00
4.76,6.67,11.92,13.22,9.19,4.80,4.04,4.17,4.62,4.97,10.42,3.33,4.18,5.83,9.96,4.69,9.08,6.87,4.31,7.46,0.00
6.24,5.62,7.07,9.24,9.95,5.93,4.40,4.99,9.06,7.47,10.21,5.43,3.60,8.01,9.39,5.00,7.19,6.59,7.69,6.26,0.00
4.68,6.11,12.59,4.29,9.14,4.15,4.16,5.59,4.70,3.73,9.10,4.76,3.96,6.80,4.56,4.28,4.79,7.76,6.30,9.25,1.00
4.31,4.76,8.62,4.52,10.00,4.38,4.34,6.37,4.74,3.62,9.30,3.87,4.68,7.56,4.79,4.53,7.91,7.40,5.09,4.82,1.00
9.39,4.47,4.43,4.06,9.67,4.32,4.95,7.29,4.65,3.50,8.92,3.56,3.65,7.96,6.59,4.41,9.75,6.72,4.34,7.64,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.28,4.45,4.39,4.20,8.50,4.33,4.12,7.63,4.69,3.66,6.00,4.90,3.44,9.18,5.70,4.03,7.29,4.98,5.40,4.66,0.00
4.69,4.12,9.74,7.58,10.70,4.25,5.05,4.49,8.84,7.66,8.99,5.45,3.76,4.59,8.63,6.85,5.88,6.73,5.04,8.23,0.00
7.37,5.00,8.27,10.02,10.87,5.51,6.15,6.87,9.49,3.58,9.61,6.04,4.35,5.33,8.94,6.50,7.29,6.87,4.86,5.73,0.00
