1466_at,1848_at,2109_at,2167_at,3625_at,56122_at,56256_at,7048_at,7188_at,91056_at,label
11.10,9.60,8.31,3.79,7.29,7.53,9.53,7.24,7.98,4.68,0.00
10.99,9.42,9.38,3.83,5.43,6.99,7.00,7.57,8.48,5.17,1.00
11.49,10.29,9.53,5.91,6.14,4.41,7.15,7.97,6.71,5.45,0.00
10.35,10.64,8.93,3.81,4.51,3.75,4.46,8.69,8.65,6.62,1.00
8.34,10.76,9.21,4.08,4.37,5.32,6.91,10.80,6.18,5.42,0.00
9.23,10.14,9.18,3.53,4.10,3.56,8.09,8.05,7.57,5.04,1.00
9.30,8.99,9.06,3.75,5.19,8.74,8.13,9.88,7.62,5.83,0.00
9.80,11.92,9.19,4.66,4.62,4.18,4.33,5.38,9.08,5.92,0.00
9.28,7.07,9.95,3.92,9.06,3.60,5.36,8.37,7.19,5.49,0.00
5.93,12.59,9.14,4.11,4.70,3.96,5.15,7.47,4.79,6.12,1.00
5.01,8.62,10.00,4.04,4.74,4.68,4.96,6.43,7.91,5.88,1.00
5.13,4.43,9.67,3.90,4.65,3.65,4.18,4.75,9.75,4.63,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.59,4.39,8.50,3.86,4.69,3.44,4.35,8.00,7.29,6.54,0.00
9.37,9.74,10.70,4.22,8.84,3.76,5.37,8.45,5.88,5.02,0.00
10.24,8.27,10.87,4.03,9.49,4.35,6.06,8.30,7.29,4.89,0.00
5.23,10.34,9.56,4.24,4.82,3.39,8.64,8.96,5.37,5.61,1.00
9.70,9.03,9.79,4.54,9.10,3.84,8.89,7.94,6.07,4.79,0.00
9.54,9.11,8.92,7.09,5.37,6.49,6.81,7.51,7.49,4.63,0.00
3.71,5.08,8.31,3.72,4.22,3.78,4.36,8.05,9.72,5.64,1.00
6.36,10.11,10.47,3.83,5.08,3.89,4.38,6.94,4.92,4.40,0.00
10.43,9.29,8.03,4.63,7.58,5.75,5.11,7.56,6.36,4.85,0.00
9.35,9.58,9.71,3.80,8.02,6.33,9.23,8.47,8.37,5.08,0.00
10.11,9.78,9.26,4.80,5.42,6.62,7.90,6.57,6.69,5.09,0.00
11.40,9.84,9.80,6.31,4.45,6.84,7.40,8.63,7.53,5.20,1.00
9.17,10.90,8.67,4.01,4.43,4.29,4.63,7.07,9.50,6.84,1.00
4.72,5.85,9.20,4.27,4.32,4.00,4.54,7.53,9.81,6.49,1.00
3.74,9.62,10.60,11.00,4.78,4.77,9.24,5.99,9.05,5.01,1.00
6.44,10.88,10.73,4.13,4.59,3.75,7.95,8.24,4.34,4.87,1.00
10.33,6.47,10.54,12.02,11.57,3.87,4.90,7.45,8.78,6.25,0.00
3.92,10.00,9.09,3.69,4.33,4.00,4.23,8.10,4.07,8.53,1.00
11.56,8.30,9.76,4.04,4.68,4.07,5.21,4.98,8.93,6.14,0.00
10.70,10.31,8.89,4.04,4.38,3.49,9.22,7.70,9.19,4.43,1.00
10.81,7.82,9.46,3.88,5.63,3.85,8.58,9.56,6.03,5.42,0.00
9.08,8.93,4.62,4.04,4.39,3.85,5.23,6.28,6.33,4.60,0.00
8.17,10.27,9.85,4.65,4.73,4.57,6.76,8.87,6.65,5.20,1.00
7.59,9.83,11.14,4.14,6.04,3.53,5.10,8.31,6.77,5.98,1.00
7.74,11.81,9.53,3.73,11.30,7.30,8.78,8.80,5.14,5.26,0.00
5.75,10.47,10.11,4.59,7.30,3.84,5.53,8.81,6.27,4.61,1.00
7.92,6.28,8.68,4.21,7.30,4.60,8.41,7.65,7.90,5.17,1.00
9.86,10.28,9.20,4.16,4.76,4.07,5.35,6.22,7.37,5.08,1.00
6.97,9.63,10.47,3.90,5.59,4.20,6.96,8.31,5.00,4.93,0.00
9.61,12.32,10.28,3.76,4.55,4.36,6.46,8.12,4.61,5.03,0.00
10.82,9.43,9.10,4.79,8.17,3.98,4.22,8.16,8.03,5.95,0.00
7.32,7.75,8.20,3.76,4.74,3.62,7.78,8.02,4.45,5.02,1.00
8.33,10.39,9.70,5.54,4.54,5.16,7.26,9.83,5.83,4.17,0.00
11.11,4.36,10.12,3.84,5.66,5.02,8.44,5.14,8.01,5.68,0.00
10.27,10.90,9.27,4.14,4.69,6.68,5.06,5.72,6.48,4.67,0.00
9.41,6.59,8.32,3.71,6.88,3.58,8.56,6.41,8.95,6.43,1.00
5.91,9.65,9.69,4.46,5.70,4.63,6.18,9.45,6.90,5.90,1.00
4.74,12.44,10.58,4.23,7.73,5.46,5.32,10.17,7.45,5.84,1.00
11.35,10.22,9.24,7.76,5.21,3.50,5.53,8.74,7.80,4.97,1.00
11.50,8.73,9.17,4.14,10.36,6.79,6.49,7.65,9.06,4.55,0.00
10.31,9.84,9.47,3.81,3.96,7.27,7.82,7.37,7.02,5.79,0.00
9.86,10.34,9.43,4.01,4.59,7.07,8.10,8.52,5.64,5.24,1.00
8.84,9.55,9.76,3.92,4.86,5.03,5.12,9.79,8.16,5.43,1.00
6.29,11.00,10.11,4.62,8.06,4.17,5.37,8.62,4.57,4.78,0.00
10.20,10.54,9.28,3.90,5.28,3.97,5.97,9.44,7.67,5.05,1.00
7.28,9.39,9.24,4.39,5.21,4.09,8.37,6.82,4.22,6.05,0.00
6.19,10.79,10.00,3.90,4.57,4.44,4.07,7.59,9.10,6.02,1.00
7.35,9.59,9.75,3.86,4.62,3.73,5.12,7.76,8.43,5.83,0.00
11.10,10.46,10.16,3.84,9.82,4.66,4.92,8.67,6.76,4.86,0.00
6.01,11.10,10.25,9.19,4.52,4.72,4.95,6.64,7.63,5.05,1.00
11.31,10.33,8.69,4.23,4.83,6.99,5.49,7.94,7.12,5.20,1.00
9.66,10.18,9.51,3.82,10.78,6.88,4.90,7.74,8.09,5.59,0.00
8.80,11.42,12.09,4.22,6.05,6.90,4.40,8.79,8.08,6.71,0.00
8.14,10.44,9.12,4.81,10.35,3.69,6.11,8.20,7.37,5.10,0.00
10.59,11.07,10.77,4.21,5.67,4.36,4.81,8.54,7.15,6.08,1.00
12.39,4.67,8.28,4.18,4.92,3.99,4.47,7.68,7.80,4.87,0.00
8.28,7.31,9.06,3.67,4.59,4.09,4.67,7.12,8.94,8.46,1.00
5.51,7.04,7.92,3.94,5.08,3.62,4.72,8.47,9.56,7.45,1.00
4.46,10.39,10.51,4.07,4.33,3.90,4.63,5.37,8.02,5.50,1.00
3.70,10.32,10.51,3.88,4.47,3.98,4.14,7.00,7.03,7.08,1.00
11.12,11.05,9.07,3.65,4.67,3.96,4.78,10.11,10.14,5.62,1.00
7.55,11.56,9.75,13.81,5.87,4.12,6.03,9.50,6.57,4.78,1.00
7.46,10.26,9.67,3.87,4.29,5.37,4.39,7.43,9.01,6.99,1.00
8.42,7.85,8.63,4.13,4.45,3.75,4.67,6.44,7.30,5.76,1.00
8.43,7.12,3.96,4.54,4.47,4.00,4.41,5.93,8.36,5.82,1.00
10.60,6.22,9.78,4.24,7.81,4.73,8.03,7.85,4.78,5.43,0.00
7.04,10.92,3.96,3.83,5.24,4.12,4.88,5.58,8.37,6.26,1.00
4.22,10.63,9.25,3.97,4.31,3.49,4.16,7.77,8.54,7.14,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.90,10.36,10.24,4.03,7.63,4.37,6.30,10.00,4.87,5.93,0.00
6.91,10.10,9.60,3.70,8.77,4.98,6.58,10.63,6.99,5.15,0.00
9.94,8.54,9.83,6.29,4.46,6.16,7.96,8.17,10.09,4.70,1.00
8.59,9.38,6.85,3.80,8.34,4.32,4.60,7.68,9.04,5.58,1.00
6.04,12.08,10.38,13.97,5.13,6.14,5.00,5.32,6.36,5.03,1.00
11.41,10.35,9.51,4.36,4.83,4.85,7.97,8.15,7.35,5.45,1.00
7.61,9.33,9.43,3.90,4.37,4.80,7.90,9.00,4.99,5.15,0.00
10.04,6.62,10.11,6.82,5.49,5.47,6.34,7.89,7.52,6.09,0.00
10.74,9.86,10.88,5.54,5.05,6.26,4.95,8.07,7.83,5.47,0.00
5.47,8.05,4.39,4.03,4.72,4.01,4.58,6.13,6.70,6.52,1.00
7.06,11.99,9.77,4.19,4.90,5.92,5.18,5.58,6.53,6.11,1.00
8.99,8.57,8.62,3.86,8.16,6.03,8.12,8.32,5.58,5.12,1.00
5.20,5.91,9.67,3.93,4.49,4.73,7.05,7.56,7.23,5.39,0.00
4.35,10.21,9.47,4.54,4.93,6.22,4.21,8.61,10.74,5.11,1.00
6.68,11.34,9.48,3.75,9.72,5.19,4.30,9.23,5.90,5.05,0.00
4.88,5.47,10.47,4.13,8.65,6.39,8.19,6.30,7.58,5.48,0.00
10.22,5.99,8.62,4.06,6.25,8.13,6.12,7.73,8.79,5.37,0.00
6.61,8.40,10.22,3.90,11.14,5.30,8.36,5.59,8.70,4.86,0.00
5.07,10.95,10.59,3.93,11.96,3.99,10.87,5.28,7.95,4.55,0.00
4.41,6.58,8.03,3.81,4.68,3.67,4.83,6.04,9.16,5.71,1.00
11.05,11.80,9.95,3.92,4.43,3.53,4.32,6.45,7.94,5.17,0.00
7.54,5.23,10.12,3.95,4.62,6.61,5.04,10.24,7.04,5.54,0.00
8.60,10.64,10.01,4.31,6.38,5.06,4.56,7.42,7.98,5.44,0.00
10.57,12.54,8.79,3.82,4.46,5.06,4.40,5.85,8.89,6.59,1.00
4.71,10.74,10.48,3.96,4.28,5.93,5.07,9.69,9.39,6.96,1.00
8.18,6.29,8.81,4.04,4.67,4.51,8.99,9.09,6.29,4.91,0.00
10.03,6.26,10.12,3.81,4.16,8.25,6.31,7.05,6.22,4.82,0.00
4.66,11.08,4.25,3.80,4.13,4.30,5.14,5.43,5.39,5.25,1.00
5.33,7.25,9.80,3.93,4.29,3.93,4.47,7.75,10.08,7.56,1.00
4.00,7.32,10.00,7.04,5.05,3.46,3.83,7.07,5.04,7.85,1.00
7.63,10.04,11.24,4.48,7.61,4.88,9.11,7.66,8.90,5.31,1.00
10.41,8.96,10.65,3.84,7.88,4.77,7.95,6.60,8.18,4.81,0.00
8.44,7.70,8.28,4.38,7.76,7.25,9.42,5.43,7.83,4.68,0.00
8.19,4.92,9.90,4.51,6.30,6.15,7.32,9.01,4.95,5.96,0.00
9.40,8.17,9.47,4.08,4.75,4.38,9.45,9.59,8.04,5.53,1.00
9.33,8.27,11.45,4.33,4.85,4.42,6.75,7.95,8.11,4.73,0.00
9.00,5.85,10.78,3.87,11.00,6.58,5.59,9.33,7.61,5.40,0.00
8.65,9.62,9.20,3.94,4.41,6.59,5.50,8.52,6.19,5.20,1.00
9.08,7.88,9.95,3.98,10.33,6.44,6.97,9.29,7.21,6.06,0.00
8.89,10.55,10.09,4.04,5.01,7.54,5.12,8.52,7.18,5.75,0.00
8.58,7.87,10.13,3.80,7.09,4.48,4.13,8.20,4.49,5.27,0.00
9.44,10.81,7.56,4.25,4.71,3.79,9.11,6.32,8.30,7.13,1.00
6.57,9.00,8.63,4.17,9.31,4.94,8.52,7.81,4.29,5.46,0.00
11.36,10.63,10.01,4.27,9.29,5.28,4.66,5.15,6.33,5.42,0.00
4.24,10.51,9.53,3.58,4.91,3.62,4.71,6.87,8.81,4.86,1.00
4.49,10.42,10.25,4.12,4.94,4.73,5.35,8.88,4.85,5.56,1.00
10.14,5.92,9.58,4.00,5.27,4.08,4.76,6.75,6.83,5.73,0.00
4.04,9.56,9.20,3.92,4.82,3.89,4.41,7.12,4.75,6.62,0.00
3.68,10.34,8.91,4.09,6.73,3.67,4.35,8.30,8.54,6.68,1.00
4.64,9.12,11.50,4.44,5.24,3.58,4.61,4.66,4.50,6.06,0.00
9.64,11.16,9.22,4.53,8.13,8.79,7.85,9.93,8.29,4.52,0.00
8.52,11.20,11.29,5.09,5.06,4.82,4.07,8.42,6.37,6.31,0.00
11.24,4.91,10.52,4.06,9.28,5.25,8.53,8.05,4.83,5.40,0.00
10.58,9.54,9.02,3.88,6.28,4.68,4.64,8.06,6.81,4.86,0.00
5.90,11.22,10.55,4.03,5.00,3.78,4.94,7.50,6.00,6.81,1.00
7.50,9.78,9.75,4.31,7.86,3.80,7.73,8.77,7.32,4.93,0.00
7.12,9.12,10.66,4.18,10.44,3.52,8.95,7.63,6.30,5.87,1.00
10.14,10.23,9.50,7.89,12.25,4.02,6.71,8.34,5.92,5.51,0.00
7.20,9.45,10.65,4.10,4.91,3.78,7.69,8.03,5.66,5.23,0.00
7.98,10.77,9.78,4.21,11.08,3.88,7.28,8.22,6.29,5.42,0.00
8.09,9.87,10.10,4.18,5.09,3.99,8.98,6.09,5.20,5.32,0.00
10.03,9.17,9.55,5.79,5.19,4.94,9.09,6.72,7.09,5.11,0.00
9.38,9.41,10.98,3.88,7.41,4.59,6.77,8.88,6.62,4.79,0.00
6.50,9.21,9.73,6.47,11.13,6.11,5.72,6.86,7.48,5.56,0.00
10.36,11.00,9.69,14.23,4.70,3.55,6.43,7.85,7.25,5.43,1.00
11.77,4.25,9.76,3.97,9.82,4.12,8.05,7.29,8.51,5.40,0.00
10.18,9.62,9.01,11.02,10.14,5.40,8.62,9.39,7.44,5.32,1.00
10.30,7.55,9.54,3.99,9.21,7.24,7.99,7.81,5.99,5.01,0.00
