100128252_at,10659_at,120227_at,1466_at,150244_at,1848_at,2012_at,203413_at,2043_at,2109_at,2122_at,2167_at,2346_at,23643_at,25791_at,25925_at,27063_at,27147_at,28234_at,283120_at,2878_at,29015_at,290_at,3117_at,3598_at,3625_at,4257_at,4885_at,51390_at,55179_at,55225_at,56122_at,56256_at,56521_at,57451_at,5836_at,6275_at,644943_at,7048_at,7188_at,728192_at,7314_at,79887_at,84634_at,84674_at,8536_at,91056_at,9118_at,91351_at,9955_at,label
8.94,4.31,8.23,11.10,5.32,9.60,10.24,3.48,7.00,8.31,7.00,3.79,3.44,7.22,6.19,10.43,3.87,5.59,8.70,4.33,3.87,9.13,6.78,3.76,12.26,7.29,12.83,3.76,8.09,7.36,6.75,7.53,9.53,6.87,9.53,9.60,11.11,3.98,7.24,7.98,6.90,14.09,7.19,4.02,5.77,7.06,4.68,4.30,5.14,5.11,0.00
9.83,4.46,7.76,10.99,4.63,9.42,11.11,3.65,5.57,9.38,4.41,3.83,3.38,9.30,4.38,7.98,3.69,5.84,3.70,4.74,4.04,8.42,10.46,3.98,4.25,5.43,10.98,3.72,11.01,5.00,6.73,6.99,7.00,4.54,12.35,10.79,10.15,3.75,7.57,8.48,4.91,13.82,4.56,4.42,9.13,5.48,5.17,4.39,7.29,8.97,1.00
6.44,4.29,8.25,11.49,4.67,10.29,11.58,3.58,6.32,9.53,7.90,5.91,3.76,3.67,6.25,3.53,4.30,6.26,7.97,4.42,3.79,10.31,4.15,4.08,7.57,6.14,12.42,4.14,10.05,8.30,6.36,4.41,7.15,4.43,7.01,10.05,6.86,8.33,7.97,6.71,9.34,13.81,9.08,4.10,8.53,7.26,5.45,8.84,7.70,3.85,0.00
3.94,10.24,8.49,10.35,5.06,10.64,4.31,3.53,4.53,8.93,4.17,3.81,3.97,5.55,4.41,3.52,4.09,4.57,3.65,4.34,4.40,8.17,3.83,4.49,4.27,4.51,5.17,3.98,4.59,10.61,8.56,3.75,4.46,6.63,4.16,6.78,9.65,8.33,8.69,8.65,4.16,13.99,4.30,4.05,7.01,4.86,6.62,4.04,6.39,4.51,1.00
8.68,8.91,7.83,8.34,4.92,10.76,11.60,3.52,7.70,9.21,7.78,4.08,3.41,4.67,3.96,3.33,7.54,5.35,8.51,4.62,4.69,9.43,3.88,3.73,8.50,4.37,10.09,3.67,8.68,7.90,6.53,5.32,6.91,3.99,4.40,9.59,7.24,3.64,10.80,6.18,4.30,13.92,4.62,3.74,6.32,6.50,5.42,4.28,8.07,7.34,0.00
4.09,4.29,8.55,9.23,4.96,10.14,10.71,8.76,4.80,9.18,6.81,3.53,4.54,9.08,4.57,8.35,4.44,4.10,3.34,4.04,4.09,9.88,7.77,3.86,3.68,4.10,4.88,3.74,10.73,8.32,7.44,3.56,8.09,8.57,9.95,9.21,11.30,3.98,8.05,7.57,9.28,14.03,6.29,3.86,7.86,6.40,5.04,4.24,10.00,5.24,1.00
9.89,4.28,4.40,9.30,4.85,8.99,9.96,3.45,7.08,9.06,5.36,3.75,3.66,8.60,8.51,3.39,7.72,5.76,8.76,4.69,4.00,6.60,5.28,4.00,11.94,5.19,7.76,3.73,8.87,8.24,6.41,8.74,8.13,4.88,7.50,9.06,14.32,3.59,9.88,7.62,6.23,14.20,4.47,3.89,7.52,7.70,5.83,4.33,6.58,11.55,0.00
9.12,4.30,7.60,9.80,7.32,11.92,13.22,9.20,4.39,9.19,4.17,4.66,7.71,3.59,4.80,8.61,3.92,4.16,3.49,5.78,4.42,5.16,3.81,3.76,3.73,4.62,9.93,3.68,6.59,8.42,7.50,4.18,4.33,5.83,4.18,9.96,9.13,3.77,5.38,9.08,4.57,14.09,9.67,6.91,4.31,7.79,5.92,9.03,7.82,4.38,0.00
4.78,4.17,8.35,9.28,5.80,7.07,9.24,3.81,4.41,9.95,3.90,3.92,3.57,3.85,5.93,3.42,5.31,4.33,9.29,6.99,8.74,5.95,4.34,3.91,3.86,9.06,13.79,3.79,8.07,8.46,5.73,3.60,5.36,8.01,4.08,9.39,13.75,6.51,8.37,7.19,4.48,14.17,7.51,4.63,7.69,6.06,5.49,9.09,7.89,3.65,0.00
4.06,9.46,9.24,5.93,4.78,12.59,4.29,3.48,5.29,9.14,4.22,4.11,3.91,6.96,4.15,3.65,3.91,4.12,3.87,10.24,4.20,10.04,3.80,3.86,4.31,4.70,4.71,3.67,3.80,7.97,4.46,3.96,5.15,6.80,4.50,4.56,12.05,3.87,7.47,4.79,3.90,14.27,4.49,4.18,6.30,4.46,6.12,4.63,8.05,3.96,1.00
4.26,9.88,8.99,5.01,4.80,8.62,4.52,3.55,4.63,10.00,4.08,4.04,3.70,8.66,4.38,3.51,4.03,4.18,3.76,4.39,4.15,10.72,3.67,10.22,3.86,4.74,11.96,4.24,9.34,7.28,6.63,4.68,4.96,7.56,4.29,4.79,12.40,3.79,6.43,7.91,4.35,13.99,4.02,9.58,5.09,3.90,5.88,4.69,4.52,6.55,1.00
4.73,9.33,7.14,5.13,5.44,4.43,4.06,3.73,4.98,9.67,3.98,3.90,3.58,8.08,4.32,3.61,4.04,4.15,3.47,4.32,4.47,9.21,3.67,10.35,3.77,4.65,12.05,3.74,7.54,8.80,3.35,3.65,4.18,7.96,4.36,6.59,6.14,3.51,4.75,9.75,4.15,14.07,5.45,4.20,4.34,4.26,4.63,4.68,3.90,3.80,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.25,6.74,9.47,7.59,4.84,4.39,4.20,3.46,5.36,8.50,4.09,3.86,3.68,5.83,4.33,3.73,3.98,4.21,3.57,4.40,4.04,9.98,3.76,8.99,4.02,4.69,12.38,3.55,5.08,10.00,7.19,3.44,4.35,9.18,4.36,5.70,7.58,3.84,8.00,7.29,4.36,13.37,8.68,3.87,5.40,4.64,6.54,4.16,3.87,3.92,0.00
