2346_at,394_at,51704_at,label
3.44,7.62,4.49,0.00
3.38,7.59,4.53,1.00
3.76,6.65,7.70,0.00
3.97,8.35,4.66,1.00
3.41,8.21,5.09,0.00
4.54,7.53,4.75,1.00
3.66,6.92,6.35,0.00
7.71,8.17,5.44,0.00
3.57,8.41,8.17,0.00
3.91,8.40,4.31,1.00
3.70,6.53,4.80,1.00
3.58,5.42,4.69,0.00
0.00,0.00,0.00,0.00
3.68,5.23,4.19,0.00
3.53,8.63,7.79,0.00
3.65,7.40,8.48,0.00
3.30,7.62,6.44,1.00
3.30,6.95,7.73,0.00
3.39,7.53,6.22,0.00
3.45,7.19,4.73,1.00
3.28,8.71,7.85,0.00
3.92,7.95,6.03,0.00
3.52,7.13,8.54,0.00
3.81,7.57,4.69,0.00
3.33,8.40,5.47,1.00
3.41,8.88,4.26,1.00
3.66,6.35,4.71,1.00
4.91,8.37,5.42,1.00
3.64,8.59,4.51,1.00
3.83,7.27,6.52,0.00
3.89,6.98,4.55,1.00
4.31,6.74,5.10,0.00
3.74,7.85,4.64,1.00
3.46,8.12,4.49,0.00
3.76,7.44,5.68,0.00
3.41,6.87,4.17,1.00
3.54,7.86,4.65,1.00
3.50,9.32,5.15,0.00
3.58,9.04,6.40,1.00
3.29,7.93,6.79,1.00
4.10,8.70,6.37,1.00
3.54,8.14,5.11,0.00
3.35,8.59,6.78,0.00
3.34,6.74,7.66,0.00
3.88,8.83,4.91,1.00
3.66,7.71,4.79,0.00
5.64,7.49,5.99,0.00
3.66,8.83,4.79,0.00
3.66,7.28,5.49,1.00
3.67,8.58,5.87,1.00
3.57,8.91,4.50,1.00
3.71,7.43,4.88,1.00
3.61,7.50,5.13,0.00
3.43,7.02,6.97,0.00
3.49,8.56,8.18,1.00
6.22,8.06,4.77,1.00
3.91,7.48,8.85,0.00
3.53,7.10,6.13,1.00
3.45,8.54,5.88,0.00
3.41,6.02,4.42,1.00
5.30,7.04,8.35,0.00
3.63,6.98,10.75,0.00
4.07,7.12,4.78,1.00
9.11,7.27,5.03,1.00
3.73,9.50,10.14,0.00
4.37,7.55,4.81,0.00
3.38,8.57,5.08,0.00
6.07,8.37,5.57,1.00
3.62,6.48,4.77,0.00
3.86,8.60,4.36,1.00
